iso3,year,value,wb_indicator,canonical_name,var_year
AZE,2020,42693000000.0,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2020
AZE,2019,48174235294.1176,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2019
AZE,2018,47112470051.7701,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2018
BHS,2024,15832800000.0,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2024
BHS,2023,15271300000.0,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2023
BHS,2022,13896800000.0,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2022
BHS,2021,12037000000.0,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2021
BHS,2020,10363200000.0,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2020
BHS,2019,13277000000.0,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2019
BHS,2018,12819200000.0,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2018
BHR,2024,47109734308.5106,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2024
BHR,2023,46192260638.2979,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2023
BHR,2022,46458191489.3617,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2022
BHR,2021,40840212765.9574,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2021
BHR,2020,35837632978.7234,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2020
BHR,2019,40446808510.6383,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2019
BHR,2018,39567978723.4043,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2018
BGD,2024,450119432068.852,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2024
BGD,2023,437415333018.291,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2023
BGD,2022,460131689083.083,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2022
BGD,2021,416271647911.014,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2021
BGD,2020,373979442362.193,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2020
BGD,2019,351231654603.692,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2019
BGD,2018,321362752441.78,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2018
BRB,2024,7498050000.0,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2024
BRB,2023,7223250000.0,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2023
BRB,2022,6884900000.0,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2022
BRB,2021,5947550000.0,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2021
BRB,2020,5407050000.0,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2020
BRB,2019,6161850000.0,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2019
BRB,2018,6001950000.0,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2018
BLR,2024,75961865471.9129,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2024
BLR,2023,72478760370.4258,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2023
BLR,2022,73775179924.603,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2022
BLR,2021,69673747131.87,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2021
BLR,2020,61371673344.7424,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2020
BLR,2019,64410170653.4569,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2019
BLR,2018,60031026576.26,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2018
BEL,2024,671370081636.406,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2024
BEL,2023,651330595110.011,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2023
BEL,2022,591085783326.267,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2022
BEL,2021,598522422241.851,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2021
BEL,2020,529694473501.791,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2020
BEL,2019,536726344405.489,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2019
