Country,Skills Diffusion Index (AI Engineering skills),Skills Diffusion Index (AI Literacy skills),Year
India*,15.9531,,2021
India*,16.19051,,2022
India*,26.17735,19.48166,2023
India*,39.27974,163.54108,2024
India*,52.94252,381.98802,2025
Indonesia,2.52215,,2016
Indonesia,4.08653,,2017
Indonesia,5.9515,,2018
Indonesia,8.94554,,2019
Indonesia,12.01868,,2020
Indonesia,13.59429,,2021
Indonesia,15.65504,,2022
Indonesia,35.63447,,2023
Indonesia,59.22916,15.02826,2024
Indonesia,84.67373,46.53406,2025
Ireland,2.16793,,2016
Ireland,3.02547,,2017
Ireland,4.69923,,2018
Ireland,7.02662,,2019
Ireland,9.86963,,2020
Ireland,11.43029,,2021
Ireland,12.5785,,2022
Ireland,22.39531,,2023
Ireland,34.37752,12.21906,2024
Ireland,49.29798,34.91728,2025
Israel,1.81329,,2016
Israel,2.68845,,2017
Israel,3.51414,,2018
Israel,4.54172,,2019
Israel,5.73192,,2020
Israel,6.35289,,2021
Israel,7.01898,,2022
Israel,10.6935,1.3019,2023
Israel,14.30108,10.06165,2024
Israel,17.61967,22.37287,2025
Italy,1.96703,,2016
Italy,2.63387,,2017
Italy,3.48681,,2018
Italy,4.93005,,2019
Italy,6.32451,,2020
Italy,7.41734,,2021
Italy,8.32109,,2022
Italy,13.42517,1.99354,2023
Italy,19.92137,28.65381,2024
Italy,27.32971,77.95444,2025
Latvia,1.24886,,2018
Latvia,1.81214,,2019
Latvia,2.83963,,2020
Latvia,3.27542,,2021
Latvia,3.82647,,2022
Latvia,6.37851,,2023
Latvia,9.94678,,2024
Latvia,16.63252,2.40331,2025
Lithuania,1.63656,,2017
Lithuania,2.32292,,2018
Lithuania,4.04022,,2019
Lithuania,5.2941,,2020
Lithuania,5.83562,,2021
Lithuania,6.753,,2022
Lithuania,9.81685,,2023
Lithuania,16.42853,2.2368,2024
Lithuania,24.18016,6.36671,2025
Luxembourg,1.14664,,2016
Luxembourg,1.81021,,2017
Luxembourg,2.56225,,2018
Luxembourg,3.53715,,2019
Luxembourg,4.91361,,2020
Luxembourg,5.97441,,2021
Luxembourg,7.24068,,2022
Luxembourg,11.31166,,2023
Luxembourg,17.39924,,2024
Luxembourg,24.3755,2.15075,2025
Mexico,1.72996,,2016
Mexico,2.58684,,2017
Mexico,3.77961,,2018
Mexico,5.59147,,2019
Mexico,8.40185,,2020
