Country,Country Code,Status
"Micronesia, Fed. Sts.",FSM,CS courses available in some schools or districts
Mongolia,MNG,CS courses available in some schools or districts
Montenegro,MNE,CS courses available in some schools or districts
Mozambique,MOZ,CS courses available in some schools or districts
Myanmar,MMR,CS courses available in some schools or districts
Namibia,NAM,CS courses available in some schools or districts
Nauru,NRU,CS courses available in some schools or districts
Nepal,NPL,CS courses available in some schools or districts
New Caledonia,NCL,CS courses available in some schools or districts
Nicaragua,NIC,CS courses available in some schools or districts
Niger,NER,CS courses available in some schools or districts
Nigeria,NGA,CS courses available in some schools or districts
Northern Mariana Islands,MNP,CS courses available in some schools or districts
Norway,NOR,CS courses available in some schools or districts
Oman,OMN,CS courses available in some schools or districts
Palau,PLW,CS courses available in some schools or districts
Papua New Guinea,PNG,CS courses available in some schools or districts
Paraguay,PRY,CS courses available in some schools or districts
Peru,PER,CS courses available in some schools or districts
Philippines,PHL,CS courses available in some schools or districts
Portugal,PRT,CS courses available in some schools or districts
Puerto Rico,PRI,CS courses available in some schools or districts
Samoa,WSM,CS courses available in some schools or districts
São Tomé and Principe,STP,CS courses available in some schools or districts
Saudi Arabia,SAU,CS courses available in some schools or districts
Senegal,SEN,CS courses available in some schools or districts
Seychelles,SYC,CS courses available in some schools or districts
Sierra Leone,SLE,CS courses available in some schools or districts
Sint Maarten (Dutch part),SXM,CS courses available in some schools or districts
Solomon Islands,SLB,CS courses available in some schools or districts
Somalia,SOM,CS courses available in some schools or districts
South Sudan,SSD,CS courses available in some schools or districts
Sri Lanka,LKA,CS courses available in some schools or districts
St. Kitts and Nevis,KNA,CS courses available in some schools or districts
St. Vincent and the Grenadines,VCT,CS courses available in some schools or districts
Sudan,SDN,CS courses available in some schools or districts
Suriname,SUR,CS courses available in some schools or districts
Syrian Arab Republic,SYR,CS courses available in some schools or districts
Tajikistan,TJK,CS courses available in some schools or districts
Tanzania,TZA,CS courses available in some schools or districts
Timor-Leste,TLS,CS courses available in some schools or districts
Togo,TGO,CS courses available in some schools or districts
Tonga,TON,CS courses available in some schools or districts
Trinidad and Tobago,TTO,CS courses available in some schools or districts
Tunisia,TUN,CS courses available in some schools or districts
Tuvalu,TUV,CS courses available in some schools or districts
Uganda,UGA,CS courses available in some schools or districts
United States of America,USA,CS courses available in some schools or districts
Vanuatu,VUT,CS courses available in some schools or districts
Venezuela,VEN,CS courses available in some schools or districts
Virgin Islands (U.S.),VIR,CS courses available in some schools or districts
West Bank and Gaza,PSE,CS courses available in some schools or districts
Yemen,YEM,CS courses available in some schools or districts
Zimbabwe,ZWE,CS courses available in some schools or districts
Bermuda,BMU,"Government announced CS expansion, plan or pilot"
Eswatini,SWZ,"Government announced CS expansion, plan or pilot"
Ethiopia,ETH,"Government announced CS expansion, plan or pilot"
Grenada,GRD,"Government announced CS expansion, plan or pilot"
Guam,GUM,"Government announced CS expansion, plan or pilot"
Hungary,HUN,"Government announced CS expansion, plan or pilot"
Jordan,JOR,"Government announced CS expansion, plan or pilot"
Netherlands,NLD,"Government announced CS expansion, plan or pilot"
Turkmenistan,TKM,"Government announced CS expansion, plan or pilot"
Uruguay,URY,"Government announced CS expansion, plan or pilot"
Central African Republic,CAF,No online evidence of in-school CS
Chad,TCD,No online evidence of in-school CS
Equatorial Guinea,GNQ,No online evidence of in-school CS
Eritrea,ERI,No online evidence of in-school CS
Mauritania,MRT,No online evidence of in-school CS
