Region,quarter,flow_type,flow_n
Europe and Central Asia,4/1/23,Outflow,53.452778
Europe and Central Asia,7/1/23,Inflow,52.44722267
Europe and Central Asia,7/1/23,Outflow,49.84722167
Europe and Central Asia,10/1/23,Inflow,49.05833267
Europe and Central Asia,10/1/23,Outflow,46.66111133
Europe and Central Asia,1/1/24,Inflow,45.877778
Europe and Central Asia,1/1/24,Outflow,43.23333333
Europe and Central Asia,4/1/24,Inflow,41.90555567
Europe and Central Asia,4/1/24,Outflow,39.77777833
Europe and Central Asia,7/1/24,Inflow,38.07500067
Europe and Central Asia,7/1/24,Outflow,35.744445
Europe and Central Asia,10/1/24,Inflow,32.52011517
Europe and Central Asia,10/1/24,Outflow,30.80172414
India,1/1/16,Inflow,67.083335
India,1/1/16,Outflow,263.458335
India,4/1/16,Inflow,70.08333333
India,4/1/16,Outflow,278.13889
India,7/1/16,Inflow,73.83333333
India,7/1/16,Outflow,294.0833333
India,10/1/16,Inflow,77.5
India,10/1/16,Outflow,300.88889
India,1/1/17,Inflow,80.72222
India,1/1/17,Outflow,308.8888867
India,4/1/17,Inflow,79.66666667
India,4/1/17,Outflow,318.0833333
India,7/1/17,Inflow,80.75000333
India,7/1/17,Outflow,331.4166667
India,10/1/17,Inflow,79.55555667
India,10/1/17,Outflow,346.27778
India,1/1/18,Inflow,80.19444667
India,1/1/18,Outflow,354.5555567
India,4/1/18,Inflow,84.05555667
India,4/1/18,Outflow,362.7499967
India,7/1/18,Inflow,89.47222
India,7/1/18,Outflow,373.3333367
India,10/1/18,Inflow,92.22222333
India,10/1/18,Outflow,380.36111
India,1/1/19,Inflow,96.69444333
India,1/1/19,Outflow,381.8333333
India,4/1/19,Inflow,98.36111333
India,4/1/19,Outflow,385.4166667
India,7/1/19,Inflow,100.3055533
India,7/1/19,Outflow,388.27778
India,10/1/19,Inflow,102.5
India,10/1/19,Outflow,394.4444433
India,1/1/20,Inflow,103.9444433
India,1/1/20,Outflow,402.47222
India,4/1/20,Inflow,103.8333333
India,4/1/20,Outflow,377.6666633
India,7/1/20,Inflow,99.72222333
India,7/1/20,Outflow,334.1944433
India,10/1/20,Inflow,104.9444433
India,10/1/20,Outflow,300.2222233
India,1/1/21,Inflow,107.6944467
India,1/1/21,Outflow,282.52778
India,4/1/21,Inflow,113.4444433
India,4/1/21,Outflow,290.0555533
India,7/1/21,Inflow,124.13889
India,7/1/21,Outflow,325.5555533
India,10/1/21,Inflow,123.5555567
India,10/1/21,Outflow,372.11111
India,1/1/22,Inflow,123.77778
India,1/1/22,Outflow,398.7777767
India,4/1/22,Inflow,121.5555567
India,4/1/22,Outflow,430.8055533
India,7/1/22,Inflow,115.4166667
India,7/1/22,Outflow,446.88889
India,10/1/22,Inflow,111.41667
India,10/1/22,Outflow,438.7777767
India,1/1/23,Inflow,105.6666667
India,1/1/23,Outflow,428.36111
India,4/1/23,Inflow,100.86111
India,4/1/23,Outflow,402.5833333
India,7/1/23,Inflow,95.16666667
