iso3,has_ai_law,regulatory_approach,regulatory_intensity,year_enacted,enforcement_level,thematic_coverage,regulatory_status_group,oecd_member,region,gdp_per_capita_ppp,gdp_per_capita_ppp_year,rd_expenditure,rd_expenditure_year,internet_penetration,internet_penetration_year,tertiary_education,tertiary_education_year,government_effectiveness,government_effectiveness_year,gii_score,ai_readiness_score,ai_adoption_rate,ai_patents_per100k,ai_investment_usd_bn_cumulative,ai_investment_usd_bn_2024,ai_startups_cumulative,ai_startups_2024,year_enacted_ok,has_ai_readiness_score,has_ai_adoption_rate,has_ai_patents_per100k,has_ai_startups_cumulative,has_ai_investment_usd_bn_cumulative,has_has_ai_law,has_regulatory_approach,has_regulatory_intensity,has_enforcement_level,has_thematic_coverage,has_gdp_per_capita_ppp,has_rd_expenditure,has_internet_penetration,has_tertiary_education,has_gii_score,has_government_effectiveness,has_oecd_member,has_region,has_year_enacted_ok,complete_strict,complete_no_ge,complete_core,complete_core_plus
BLZ,0,none,0,,none,0,no_framework,0,Latin America and the Caribbean,14346.5188049737,2024.0,,,80.00582262,2024.0,24.8098643151325,2024.0,,,,22.68,,,0.0265,,1.0,,True,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0
BRA,0,strategy_led,5,,medium,10,strategy_only,0,Latin America and the Caribbean,22338.4765640635,2024.0,1.14526,2020.0,84.4635,2024.0,60.3906211853027,2022.0,-0.546764314174652,2023.0,32.8689996973019,69.55,15.6,0.023680888,2.184213152,0.689429072,85.0,17.0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BRB,0,none,0,,none,0,no_framework,0,Latin America and the Caribbean,24822.5343309908,2024.0,,,70.36470032,2024.0,53.5815662047086,2024.0,,,25.1250313227345,23.33,,,0.0015,,1.0,,True,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0
CAN,0,strategy_led,5,,medium,11,strategy_only,1,Northern America,64610.3795171971,2024.0,1.70133,2023.0,93.9564,2023.0,76.2586212158203,2023.0,1.51680326461792,2023.0,51.0643545243557,74.66,33.5,0.174573338,15.30599504,2.887230487,481.0,51.0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CHE,0,light_touch,3,,low,7,soft_framework,1,Europe,96497.6947971323,2024.0,3.30645,2021.0,97.3444,2023.0,74.0060882568359,2023.0,2.13492703437805,2023.0,65.9619514450125,66.95,32.4,0.191267126,3.897936818,0.428615762,154.0,22.0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CHL,0,strategy_led,4,,low,8,strategy_only,1,Latin America and the Caribbean,36181.156616977,2024.0,0.36041,2021.0,94.4574,2023.0,104.734062194824,2023.0,0.71755576133728,2023.0,33.0660923295208,59.3,19.6,0.005086771,0.68210051,0.009,17.0,,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CHN,1,comprehensive,9,2021.0,high,13,binding_regulation,0,"South East Asia, East Asia, and Oceania",27104.8702677463,2024.0,2.55518,2022.0,92.0,2024.0,76.8757843123403,2024.0,0.679014027118683,2023.0,56.5551447506996,76.27,15.4,6.08154759,119.3198229,9.290337909,1605.0,98.0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CMR,0,none,0,,none,0,no_framework,0,Sub-Saharan Africa,5588.98645861945,2024.0,,,41.9088,2023.0,16.6614294830602,2024.0,-0.906262576580048,2023.0,18.1843870946301,34.91,7.0,,0.005,0.005,1.0,1.0,True,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0
COL,0,strategy_led,3,,low,7,strategy_only,1,Latin America and the Caribbean,22349.436440123,2024.0,0.2894,2020.0,77.3369,2023.0,59.2901382446289,2022.0,-0.075877919793129,2023.0,28.4802835988839,56.02,20.4,0.001911273,0.07194705,0.01,10.0,2.0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CRI,0,strategy_led,2,,low,4,strategy_only,1,Latin America and the Caribbean,31106.7643556729,2024.0,0.33789,2022.0,85.3951,2023.0,55.0202903747559,2019.0,0.260196477174759,2023.0,28.3589014854175,45.92,25.1,,0.005932492,0.004332492,2.0,1.0,True,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
CYP,1,comprehensive,10,2024.0,high,14,binding_regulation,0,Northern Africa and Western Asia,63006.61328125,2024.0,0.74527,2022.0,91.2211,2023.0,99.0216827392578,2023.0,0.73773992061615,2023.0,45.4989362579263,59.71,,,0.129032893,0.004167409,8.0,2.0,True,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
CZE,1,comprehensive,10,2024.0,high,14,binding_regulation,1,Europe,57285.4237001379,2024.0,1.9642,2022.0,87.6878,2024.0,66.7282867431641,2023.0,1.1140114068985,2023.0,42.0357587785266,64.56,26.0,0.092046772,0.257451809,0.004815686,23.0,2.0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DEU,1,comprehensive,10,2024.0,high,14,binding_regulation,1,Europe,73551.9347696836,2024.0,3.13236,2022.0,93.5,2024.0,78.5947494506836,2023.0,1.18541669845581,2023.0,55.4553512524913,76.78,26.5,1.217579251,13.27076964,1.974363427,394.0,67.0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DNK,1,comprehensive,10,2024.0,high,14,binding_regulation,1,Europe,81878.2349849181,2024.0,2.89051,2022.0,99.7692,2024.0,81.2308197021484,2023.0,2.01564884185791,2023.0,56.914915504656,74.75,26.6,0.470829427,0.817811835,0.133226771,59.0,15.0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ECU,0,light_touch,1,,none,2,soft_framework,0,Latin America and the Caribbean,15840.2668567412,2024.0,0.43839,2014.0,77.17273115,2024.0,67.8851161961618,2023.0,,,19.5397643865799,53.04,17.0,,0.0025,,1.0,,True,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1
EGY,0,strategy_led,3,,low,6,strategy_only,0,Northern Africa and Western Asia,19094.1449444111,2024.0,1.03356,2023.0,72.6899,2023.0,37.5781274463676,2024.0,-0.239516973495483,2023.0,24.7122281668271,59.1,12.5,,0.0971,0.009,14.0,2.0,True,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
ESP,1,comprehensive,10,2024.0,high,14,binding_regulation,1,Europe,57965.2948138837,2024.0,1.43532,2022.0,95.7575,2024.0,93.7303466796875,2023.0,0.752065539360046,2023.0,44.6070366016514,74.22,39.7,0.101348745,2.677716484,0.409329697,117.0,18.0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EST,1,comprehensive,10,2024.0,high,14,binding_regulation,1,Europe,49968.7108278373,2024.0,1.78205,2022.0,92.238,2024.0,67.6179275512695,2023.0,1.2634699344635,2023.0,51.091978139021,69.56,,0.072977466,0.145512817,0.023616548,19.0,3.0,True,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
FIN,1,comprehensive,10,2024.0,high,14,binding_regulation,1,Europe,65378.3841859721,2024.0,2.96469,2022.0,93.5139,2023.0,108.130409240723,2023.0,1.73860657215118,2023.0,57.7063647384345,70.3,25.6,0.967064124,1.286856299,0.050754509,53.0,12.0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FRA,1,comprehensive,10,2024.0,high,14,binding_regulation,1,Europe,62556.91810454,2024.0,2.23312,2022.0,88.6538,2024.0,70.4536437988281,2023.0,1.14462625980377,2023.0,53.4156786988289,80.81,40.9,0.434925948,11.09680763,2.617394131,468.0,59.0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GBR,0,strategy_led,6,,high,13,strategy_only,1,Europe,62009.4907765366,2024.0,2.89711,2021.0,96.2988,2023.0,80.4987716674805,2023.0,1.16114270687103,2023.0,59.1153757105143,77.75,36.4,0.517922458,28.17025072,4.519300073,885.0,116.0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GHA,0,strategy_led,2,,low,3,strategy_only,0,Sub-Saharan Africa,8019.99702389611,2024.0,,,72.17569733,2024.0,21.330810546875,2024.0,,,21.8535373304419,47.42,8.7,,0.0801,0.03,4.0,,True,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0
GRC,1,comprehensive,10,2024.0,high,14,binding_regulation,1,Europe,44327.2097808276,2024.0,1.48596,2022.0,86.2697,2024.0,165.113418579102,2023.0,0.148003026843071,2023.0,37.3467991812641,60.51,17.7,0.269086187,0.120460425,0.032428927,7.0,,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HRV,1,comprehensive,10,2024.0,high,14,binding_regulation,0,Europe,49550.7921506017,2024.0,1.40323,2022.0,83.6324,2024.0,81.1775207519531,2023.0,0.712653696537018,2023.0,37.6794484448472,49.79,21.8,,0.181734433,0.107571067,4.0,1.0,True,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
HUN,1,comprehensive,10,2024.0,high,14,binding_regulation,1,Europe,48552.4708092529,2024.0,1.39473,2022.0,93.779,2024.0,56.5924415588379,2023.0,0.372758895158768,2023.0,39.9943737874299,63.17,27.9,0.041700609,0.264105527,0.002,12.0,1.0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IDN,0,strategy_led,3,,low,7,strategy_only,0,"South East Asia, East Asia, and Oceania",16448.2755179559,2024.0,0.28068,2020.0,72.7808,2024.0,44.8813034886441,2023.0,0.58032637834549,2023.0,31.305020749127,59.87,11.7,0.000355631,0.392813428,0.0485,19.0,1.0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IND,0,light_touch,4,,medium,10,soft_framework,0,Central and Southern Asia,11159.9856476091,2024.0,0.64558,2020.0,55.9,2022.0,34.4184659748952,2024.0,0.47511014342308,2023.0,38.1998133830439,66.55,14.2,0.031639637,11.29486342,1.160556186,434.0,74.0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IRL,1,comprehensive,10,2024.0,high,14,binding_regulation,1,Europe,133437.470117019,2024.0,0.96264,2022.0,96.4974,2023.0,76.6049499511719,2022.0,1.59114551544189,2023.0,50.3512250208889,70.58,41.7,0.037681815,1.774355019,0.145372655,89.0,9.0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ISL,0,light_touch,2,,low,4,soft_framework,1,Europe,84256.8454573112,2024.0,2.6004,2022.0,99.8301,2023.0,76.5200729370117,2023.0,1.55512094497681,2023.0,47.0172011061986,60.49,,,0.194233588,0.019234692,9.0,2.0,True,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
ISR,0,light_touch,4,,medium,8,soft_framework,1,Northern Africa and Western Asia,57235.7763244136,2024.0,6.01924,2022.0,88.1824,2024.0,55.8351593017578,2023.0,1.1453697681427,2023.0,52.2499679129743,71.32,33.9,0.122993666,14.95814021,1.364899872,492.0,36.0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ITA,1,comprehensive,10,2024.0,high,14,binding_regulation,1,Europe,62014.2675153689,2024.0,1.39014,2022.0,89.2207,2024.0,75.9496536254883,2023.0,0.611036896705627,2023.0,44.9447399864804,68.81,25.8,0.077974725,1.380678365,0.863945611,85.0,14.0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
JOR,0,strategy_led,2,,low,3,strategy_only,0,Northern Africa and Western Asia,10821.4909765317,2024.0,0.69547,2016.0,92.5344,2023.0,35.9184001120427,2024.0,0.386213511228561,2023.0,29.6936103734472,56.07,25.4,0.01748372,0.0086,,2.0,,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
JPN,1,comprehensive,7,2025.0,medium,12,binding_regulation,1,"South East Asia, East Asia, and Oceania",52039.1716551611,2024.0,3.40537,2022.0,86.9815,2023.0,64.8912200927734,2023.0,1.63126504421234,2023.0,53.5565691353389,72.24,16.7,4.577701054,5.892677976,0.927028226,388.0,42.0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KAZ,1,comprehensive,9,2025,high,12,binding_regulation,1,Central and Southern Asia,40890.9317694408,2024.0,0.14472,2023.0,93.3917,2024.0,53.4564204414133,2024.0,0.146814674139023,2023.0,26.341209901218,56.7,12.7,,0.00924,0.0015,3.0,1.0,True,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
KEN,0,strategy_led,3,,low,5,strategy_only,0,Sub-Saharan Africa,6644.13093243895,2024.0,0.81069,2024.0,34.97622513,2024.0,10.4185962462804,2024.0,,,21.3791141049195,52.55,7.8,,0.040606312,0.0025,6.0,,True,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1
KOR,1,comprehensive,8,2025.0,high,12,binding_regulation,1,"South East Asia, East Asia, and Oceania",61051.3492502498,2024.0,5.21081,2022.0,97.8956,2024.0,106.709167480469,2023.0,1.40480732917786,2023.0,59.9976353178735,76.89,25.9,17.26851235,8.962056925,1.326995968,270.0,52.0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LBN,0,none,0,,none,1,no_framework,0,Northern Africa and Western Asia,12574.8329116403,2023.0,,,80.63400269,2024.0,54.4012561547071,2023.0,,,23.6120255291244,34.26,24.8,,0.0138,,1.0,,True,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0
LKA,0,light_touch,1,,none,2,soft_framework,0,Central and Southern Asia,15632.5924849848,2024.0,0.10506,2022.0,54.59,2024.0,20.7412633848006,2023.0,,,22.9052774592463,45.6,6.2,,0.005564635,,2.0,,True,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1
LTU,1,comprehensive,10,2024.0,high,14,binding_regulation,1,Europe,55285.8991934304,2024.0,1.05319,2022.0,88.5029,2023.0,77.0064163208008,2023.0,1.05012118816376,2023.0,40.7890541798699,65.31,21.0,0.069647947,0.552683711,0.34477884,9.0,7.0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LUX,1,comprehensive,10,2024.0,high,14,binding_regulation,1,Europe,155941.288210791,2024.0,0.97653,2022.0,98.7606,2024.0,21.5371704101562,2023.0,1.91421329975128,2023.0,47.2652289615258,64.28,,15.30543343,0.212533081,0.086071782,17.0,3.0,True,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
LVA,1,comprehensive,10,2024.0,high,14,binding_regulation,1,Europe,43394.2732822314,2024.0,0.76382,2022.0,92.7076,2024.0,85.7360610961914,2023.0,0.696560978889465,2023.0,37.5271138784222,59.14,,0.053263877,0.006565042,,3.0,,True,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
MAR,0,strategy_led,2,,low,4,strategy_only,0,Northern Africa and Western Asia,10415.1240234375,2024.0,,,91.2,2024.0,48.1839617510572,2024.0,,,31.0479471722523,43.06,10.5,0.015909842,,,,,True,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0
MEX,0,strategy_led,3,,low,6,strategy_only,1,Latin America and the Caribbean,26185.3564713253,2024.0,0.26819,2023.0,81.1832,2023.0,47.474681854248,2023.0,-0.198361441493034,2023.0,30.5127163343233,48.33,16.7,0.000770774,0.863794859,0.1019,26.0,3.0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MLT,1,comprehensive,10,2024.0,high,14,binding_regulation,0,Europe,69863.7461313457,2024.0,0.64792,2023.0,93.86029816,2024.0,80.5250091552734,2023.0,,,45.3472846775166,61.48,,,0.015807271,,3.0,,True,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0
MNG,0,light_touch,1,,none,1,soft_framework,0,"South East Asia, East Asia, and Oceania",19144.7261368498,2024.0,0.08365,2022.0,85.12349701,2024.0,69.044059753418,2024.0,,,26.6945540254358,40.86,12.6,,0.0084,,2.0,,True,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1
MUS,0,strategy_led,2,,low,5,strategy_only,0,Sub-Saharan Africa,31839.7597535524,2024.0,0.26181,2024.0,73.30793533,2024.0,45.7771156388358,2024.0,,,32.5030604688201,52.76,,,0.022,,1.0,,True,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0
MYS,0,strategy_led,3,,low,6,strategy_only,0,"South East Asia, East Asia, and Oceania",38779.2830442253,2024.0,0.95055,2020.0,98.0206,2024.0,38.5013945445142,2024.0,0.875369668006897,2023.0,40.5814895487474,62.34,18.3,0.042703048,0.427439288,0.0643,15.0,1.0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NGA,0,strategy_led,3,,low,7,strategy_only,0,Sub-Saharan Africa,9086.87550609627,2024.0,0.28444,2019.0,39.2136,2023.0,,,-0.847906708717346,2023.0,21.0815209410651,50.79,8.7,,0.127722651,0.004,8.0,1.0,True,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0
NLD,1,comprehensive,10,2024.0,high,14,binding_regulation,1,Europe,86173.6290841738,2024.0,2.25533,2022.0,97.0068,2023.0,86.5938262939453,2023.0,1.62553191184998,2023.0,57.035492429262,77.18,36.3,0.402749504,3.089097178,1.090665984,116.0,24.0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NOR,0,strategy_led,4,,medium,8,strategy_only,1,Europe,102037.526800237,2024.0,1.55752,2022.0,99.0,2023.0,95.0573806762695,2023.0,1.79993534088135,2023.0,49.2378087475471,74.84,45.3,0.090586373,0.759006546,0.19464037,50.0,9.0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NZL,0,strategy_led,4,,medium,9,strategy_only,1,"South East Asia, East Asia, and Oceania",55551.143658637,2024.0,1.46569,2021.0,96.1638,2023.0,76.3811416625977,2023.0,1.5299768447876,2023.0,45.4891781536966,62.7,37.6,0.076582872,0.354527332,0.010355605,27.0,2.0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PAK,0,strategy_led,2,,low,3,strategy_only,0,Central and Southern Asia,6252.11543199559,2024.0,0.16399,2023.0,57.253,2024.0,10.8564126844434,2024.0,,,22.0640834582869,45.38,9.7,0.001212099,,,,,True,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0
PAN,0,strategy_led,2,,low,2,strategy_only,0,Latin America and the Caribbean,41369.422541499,2024.0,0.19708,2024.0,72.77149963,2024.0,53.6949637061742,2023.0,,,25.8798675140179,39.3,20.3,,0.01473589,,1.0,,True,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1
PER,1,comprehensive,6,2023.0,medium,9,binding_regulation,0,Latin America and the Caribbean,17802.4182498972,2024.0,0.16178,2022.0,81.9571,2024.0,71.2404708862305,2017.0,-0.491872787475586,2023.0,26.4660453517052,56.52,13.4,,0.002,0.002,1.0,1.0,True,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
PHL,0,strategy_led,2,,low,4,strategy_only,0,"South East Asia, East Asia, and Oceania",11794.1375488492,2024.0,0.32222,2018.0,83.7661,2023.0,47.4134996154186,2024.0,0.154091909527779,2023.0,33.5939127875318,60.51,17.1,0.000870389,0.021,0.0055,5.0,2.0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
POL,1,comprehensive,10,2024.0,high,14,binding_regulation,1,Europe,51262.5105756884,2024.0,1.45383,2022.0,88.585,2024.0,76.8794097900391,2023.0,0.421437799930573,2023.0,37.7080354431444,69.14,26.4,0.057240434,0.351180082,0.03659772,48.0,5.0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PRT,1,comprehensive,10,2024.0,high,14,binding_regulation,1,Europe,51679.8883807527,2024.0,1.70179,2022.0,88.487,2024.0,77.6778182983398,2023.0,0.987550020217896,2023.0,43.8576909479602,66.09,22.4,0.141801411,0.793556783,0.071261713,27.0,5.0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ROU,1,comprehensive,10,2024.0,high,14,binding_regulation,0,Europe,49076.5399383138,2024.0,0.45881,2022.0,91.2905,2024.0,55.1682891845703,2023.0,-0.0926659479737282,2023.0,34.2643558022539,56.73,15.3,0.031480399,0.392566533,0.071166738,13.0,2.0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RUS,1,comprehensive,7,2020.0,high,8,binding_regulation,0,Europe,47404.96484375,2024.0,0.92527,2022.0,94.365,2024.0,60.3891235376867,2024.0,-0.712461888790131,2023.0,30.2640735373132,59.57,7.6,0.019467951,0.225774717,,29.0,,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SAU,0,strategy_led,4,,medium,7,strategy_only,0,Northern Africa and Western Asia,71375.3727890285,2024.0,0.56486,2023.0,100.0,2024.0,83.884129573915,2024.0,0.796441078186035,2023.0,36.0448190047954,71.57,23.7,0.006012453,0.155166756,0.025999147,13.0,3.0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SGP,0,strategy_led,6,,medium,12,strategy_only,0,"South East Asia, East Asia, and Oceania",150689.301625826,2024.0,2.15626,2020.0,94.3776,2024.0,97.2886546863037,2023.0,2.31747198104858,2023.0,59.9434212495639,76.42,58.6,0.980119128,7.27106726,0.847717123,239.0,39.0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SRB,0,strategy_led,2,,low,3,strategy_only,0,Europe,32832.1763221005,2024.0,0.93978,2024.0,87.69071294,2024.0,70.582649230957,2024.0,,,31.7434550377633,60.96,19.7,,0.010291385,,2.0,,True,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1
SVK,1,comprehensive,10,2024.0,high,14,binding_regulation,1,Europe,48132.356430543,2024.0,1.03359,2023.0,89.82507032,2024.0,54.4743194580078,2024.0,,,35.5078995905856,48.55,22.1,0.036854539,0.095848471,0.005417118,5.0,,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
