iso3,ai_publications_frac,ai_publications_frac_year,ai_publications_top10_frac,ai_publications_top10_frac_year,ai_publications_scopus_frac,ai_publications_scopus_frac_year,ai_patents_pct,ai_patents_pct_year,ai_patents_ip5,ai_patents_ip5_year,gerd_pct_gdp,gerd_pct_gdp_year,berd_pct_gdp,berd_pct_gdp_year,researchers_per_1000_employed,researchers_per_1000_employed_year,ai_investment_vc_proxy,vc_proxy_year,source,role
LBN,,,,,,,0.666700005531311,2020.0,0.5,2020.0,,,,,,,,,OECD_STI_MSTI,robustness
LKA,,,,,,,0.0,2020.0,0.0,2020.0,,,,,,,,,OECD_STI_MSTI,robustness
LTU,98.30107322,2023.0,9.687945615,2023.0,11.59003968,2023.0,1.0,2020.0,3.0,2020.0,1.044792985,2024.0,0.425232761,2024.0,7.131068895,2023.0,0.025936817190546,2024.0,OECD_STI_MSTI,robustness
LUX,94.58058631,2023.0,15.86455787,2023.0,35.73502206,2023.0,4.800000190734863,2020.0,3.133300065994263,2020.0,0.992488653,2024.0,0.448283296,2024.0,6.932229594,2023.0,0.0089947782808105,2024.0,OECD_STI_MSTI,robustness
LVA,41.74869151,2023.0,4.547890026,2023.0,24.40005051,2023.0,3.0,2020.0,0.0,2020.0,0.916657505,2024.0,0.334535271,2024.0,4.551375441,2023.0,0.0034489141622116,2024.0,OECD_STI_MSTI,robustness
MAR,,,,,,,1.571400046348572,2020.0,1.0,2020.0,,,,,,,,,OECD_STI_MSTI,robustness
MEX,717.0243278,2023.0,28.13459167,2023.0,130.7252852,2023.0,3.266700029373169,2020.0,10.23910045623779,2020.0,,,,,,,,,OECD_STI_MSTI,robustness
MLT,25.64841107,2023.0,3.561928105,2023.0,5.346459235,2023.0,13.0,2020.0,5.0,2020.0,,,,,4.151746831,2023.0,,,OECD_STI_MSTI,robustness
MNG,,,,,,,0.0,2020.0,0.0,2020.0,,,,,,,,,OECD_STI_MSTI,robustness
MUS,,,,,,,,,,,,,,,,,,,OECD_STI_MSTI,robustness
MYS,1917.669666,2023.0,146.1487993,2023.0,367.5138499,2023.0,13.11110019683838,2020.0,3.661099910736084,2020.0,,,,,,,,,OECD_STI_MSTI,robustness
NGA,,,,,,,0.0,2020.0,0.0,2020.0,,,,,,,,,OECD_STI_MSTI,robustness
NLD,1035.506001,2023.0,149.7373684,2023.0,326.3600068,2023.0,108.8277969360352,2020.0,105.7967987060547,2020.0,2.28764819,2024.0,1.61462726,2024.0,11.6336809,2023.0,0.1053878197766948,2024.0,OECD_STI_MSTI,robustness
NOR,606.7653729,2023.0,84.14934741,2023.0,127.0918163,2023.0,12.08329963684082,2020.0,6.849999904632568,2020.0,1.800074202,2024.0,1.016289998,2024.0,13.77796496,2023.0,0.0508727007737246,2024.0,OECD_STI_MSTI,robustness
NZL,315.3152176,2023.0,31.99598717,2023.0,62.52936134,2023.0,19.54999923706055,2020.0,10.08329963684082,2020.0,1.54848304,2023.0,0.973847842,2023.0,9.619018173,2023.0,,,OECD_STI_MSTI,robustness
PAK,,,,,,,2.299999952316284,2020.0,0.0,2020.0,,,,,,,,,OECD_STI_MSTI,robustness
PAN,,,,,,,0.0,2020.0,0.25,2020.0,,,,,,,,,OECD_STI_MSTI,robustness
PER,291.8083533,2023.0,11.72412226,2023.0,81.350962,2023.0,0.0,2020.0,0.0,2020.0,,,,,,,,,OECD_STI_MSTI,robustness
PHL,,,,,,,1.399999976158142,2020.0,0.0908999964594841,2020.0,,,,,,,,,OECD_STI_MSTI,robustness
POL,1088.584844,2023.0,85.33477705,2023.0,217.7054922,2023.0,12.15240001678467,2020.0,21.03330039978027,2020.0,1.409033501,2024.0,0.891892478,2024.0,8.137624152,2023.0,0.0096933564298014,2024.0,OECD_STI_MSTI,robustness
PRT,903.539273,2023.0,56.9272577,2023.0,164.5000662,2023.0,15.5,2020.0,11.20829963684082,2020.0,1.732380513,2024.0,1.091028483,2024.0,12.02101141,2023.0,0.0241781732439167,2024.0,OECD_STI_MSTI,robustness
ROU,583.3954858,2023.0,30.06746753,2023.0,186.1932625,2023.0,7.866700172424316,2020.0,7.980999946594238,2020.0,0.459293431,2024.0,0.29499031,2024.0,2.448678448,2023.0,0.0034474391155087,2024.0,OECD_STI_MSTI,robustness
RUS,1866.66751,2023.0,98.63082477,2023.0,467.1373534,2023.0,52.6515998840332,2020.0,52.58480072021484,2020.0,1.098029538,2020.0,0.621472272,2020.0,5.625798501,2020.0,,,OECD_STI_MSTI,robustness
SAU,2523.846507,2023.0,315.1014617,2023.0,243.5433803,2023.0,49.97380065917969,2020.0,11.36670017242432,2020.0,,,,,,,,,OECD_STI_MSTI,robustness
SGP,980.6933212,2023.0,229.4273942,2023.0,305.9918198,2023.0,76.7738037109375,2020.0,82.04329681396484,2020.0,2.025513952,2023.0,1.319604383,2023.0,12.49385968,2022.0,,,OECD_STI_MSTI,robustness
SRB,,,,,,,,,,,,,,,,,,,OECD_STI_MSTI,robustness
SVK,202.2453205,2023.0,10.22569197,2023.0,66.29319895,2023.0,2.365099906921387,2020.0,1.726199984550476,2020.0,0.982114684,2024.0,0.589700795,2024.0,7.947384779,2023.0,0.0204306259959083,2024.0,OECD_STI_MSTI,robustness
SVN,133.8789196,2023.0,9.011252473,2023.0,35.34962596,2023.0,1.5,2020.0,0.333299994468689,2020.0,2.162627891,2024.0,1.501235177,2024.0,10.82494589,2023.0,0.0079496615472008,2024.0,OECD_STI_MSTI,robustness
SWE,704.4066757,2023.0,110.4514587,2023.0,194.1015685,2023.0,129.2861022949219,2020.0,89.30000305175781,2020.0,3.559558379,2024.0,2.606937532,2024.0,17.15294365,2023.0,0.1069642352058892,2024.0,OECD_STI_MSTI,robustness
SYC,,,,,,,0.0,2020.0,0.0,2020.0,,,,,,,,,OECD_STI_MSTI,robustness
THA,992.0690447,2023.0,41.58973748,2023.0,250.2563286,2023.0,2.642899990081787,2020.0,0.542900025844574,2020.0,,,,,,,,,OECD_STI_MSTI,robustness
TUN,,,,,,,0.5,2020.0,1.0,2020.0,,,,,,,,,OECD_STI_MSTI,robustness
TUR,2684.79394,2023.0,250.9547561,2023.0,469.2352333,2023.0,42.5,2020.0,8.0,2020.0,1.461902339,2024.0,0.947148408,2024.0,7.353077823,2023.0,,,OECD_STI_MSTI,robustness
TWN,,,,,,,9.392900466918944,2020.0,374.6253967285156,2020.0,4.100001117,2024.0,3.511175136,2024.0,15.25258387,2023.0,,,OECD_STI_MSTI,robustness
UGA,,,,,,,,,,,,,,,,,,,OECD_STI_MSTI,robustness
UKR,471.7105964,2023.0,16.28624937,2023.0,171.6629154,2023.0,10.19839954376221,2020.0,7.555600166320801,2020.0,,,,,,,,,OECD_STI_MSTI,robustness
URY,,,,,,,0.0,2020.0,0.0,2020.0,,,,,,,,,OECD_STI_MSTI,robustness
USA,17879.78157,2023.0,2919.621556,2023.0,4234.041958,2023.0,3045.400390625,2020.0,3295.716796875,2020.0,3.444858189,2024.0,2.667761121,2024.0,10.48328398,2022.0,0.5357469927885149,2024.0,OECD_STI_MSTI,robustness
VNM,1078.434781,2023.0,71.50068313,2023.0,204.7060534,2023.0,,,,,,,,,,,,,OECD_STI_MSTI,robustness
ZAF,531.0440676,2023.0,39.67749722,2023.0,102.4805872,2023.0,5.404799938201904,2020.0,11.77140045166016,2020.0,0.616860274,2023.0,0.214720353,2023.0,1.77047907,2022.0,,,OECD_STI_MSTI,robustness
