iso3,has_ai_law,regulatory_approach,regulatory_intensity,year_enacted,enforcement_level,thematic_coverage,regulatory_status_group,x1_source,ai_patents_per100k,ai_investment_usd_bn_cumulative,ai_investment_usd_bn_2024,ai_startups_cumulative,ai_startups_2024,patents_year,investment_year,startups_year,ai_adoption_rate,adoption_period,ai_readiness_score,readiness_year,gii_score,gii_year,gdp_per_capita_ppp,gdp_per_capita_ppp_year,rd_expenditure,rd_expenditure_year,internet_penetration,internet_penetration_year,tertiary_education,tertiary_education_year,regulatory_quality,regulatory_quality_year,rule_of_law,rule_of_law_year,government_effectiveness,government_effectiveness_year,control_of_corruption,control_of_corruption_year,ict_service_exports_pct,ict_service_exports_pct_year,high_tech_exports_pct,high_tech_exports_pct_year,population,gdp_current_usd,oecd_member,region,ai_investment_vc_proxy,vc_proxy_year,ai_publications_frac,ai_publications_frac_year,has_gdpr_like_law,gdpr_similarity_level,dp_law_year,has_dpa,eu_status,enforcement_active,fh_total_score,fh_status,fh_pr_score,fh_cl_score,fh_democracy_level,fh_year,legal_origin,is_common_law,year_enacted_ok,complete_principal,complete_extended,complete_confounded,complete_digital,complete_regime,complete_legal_tradition,complete_strict,has_ai_readiness_score,has_ai_adoption_rate,has_ai_investment_usd_bn_cumulative,has_ai_startups_cumulative,has_has_ai_law,has_regulatory_approach,has_regulatory_intensity,has_enforcement_level,has_thematic_coverage,has_gdp_per_capita_ppp,has_internet_penetration,has_gii_score,has_oecd_member,has_region,has_rd_expenditure,has_tertiary_education,has_regulatory_quality,has_rule_of_law,has_has_gdpr_like_law,has_gdpr_similarity_level,has_ict_service_exports_pct,has_high_tech_exports_pct,has_fh_total_score,has_fh_democracy_level,has_legal_origin,has_is_common_law,has_ai_patents_per100k,has_ai_investment_usd_bn_2024,has_ai_startups_2024,has_government_effectiveness,has_control_of_corruption,has_ai_investment_vc_proxy
POL,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP,0.057240434,0.351180082,0.03659772,48.0,5.0,2023.0,2024.0,2024.0,28.5,H2_2025,69.14,2025,37.7080354431444,2025.0,51262.5105756884,2024.0,1.45383,2022.0,88.585,2024.0,76.8794097900391,2023.0,0.780193567276001,2023.0,0.458741247653961,2023.0,0.421437799930573,2023.0,0.565399944782257,2023.0,16.7175333733504,2024.0,13.5099699026858,2024.0,36559233.0,917767106146.761,1,Europe,0.0096933564298014,2024.0,1088.584844,2023.0,1,3,2018,1,eu_member,1,81,F,34,47,2,2025,Socialist,0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PRT,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP,0.141801411,0.793556783,0.071261713,27.0,5.0,2023.0,2024.0,2024.0,24.2,H2_2025,66.09,2025,43.8576909479602,2025.0,51679.8883807527,2024.0,1.70179,2022.0,88.487,2024.0,77.6778182983398,2023.0,0.755356550216675,2023.0,1.06766510009766,2023.0,0.987550020217896,2023.0,0.696312069892883,2023.0,8.46870124273545,2024.0,6.77343918950435,2024.0,10694681.0,313271185085.102,1,Europe,0.0241781732439167,2024.0,903.539273,2023.0,1,3,2018,1,eu_member,1,94,F,38,56,2,2025,French,0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ROU,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP,0.031480399,0.392566533,0.071166738,13.0,2.0,2023.0,2024.0,2024.0,16.2,H2_2025,56.73,2025,34.2643558022539,2025.0,49076.5399383138,2024.0,0.45881,2022.0,91.2905,2024.0,55.1682891845703,2023.0,0.318900614976883,2023.0,0.437425792217255,2023.0,-0.0926659479737282,2023.0,0.0404953435063362,2023.0,25.6418520743738,2024.0,13.4497511493721,2024.0,19051804.0,382564217988.866,0,Europe,0.0034474391155087,2024.0,583.3954858,2023.0,1,3,2018,1,eu_member,1,83,F,35,48,2,2025,Socialist,0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RUS,1,comprehensive,7,2020.0,high,8,binding_regulation,IAPP,0.019467951,0.225774717,,29.0,,2023.0,2024.0,2024.0,8.0,H2_2025,59.57,2025,30.2640735373132,2025.0,47404.96484375,2024.0,0.92527,2022.0,94.365,2024.0,60.3891235376867,2024.0,-1.12207186222076,2023.0,-1.18764269351959,2023.0,-0.712461888790131,2023.0,-1.10467827320099,2023.0,5.54206423479125,2024.0,9.72984772707015,2021.0,143533851.0,2173835806671.66,0,Europe,,,1866.66751,2023.0,1,2,2006,1,none,1,12,NF,5,7,0,2025,Socialist,0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
SAU,0,strategy_led,4,,medium,7,strategy_only,IAPP,0.006012453,0.155166756,0.025999147,13.0,3.0,2023.0,2024.0,2024.0,26.2,H2_2025,71.57,2025,36.0448190047954,2025.0,71375.3727890285,2024.0,0.56486,2023.0,100.0,2024.0,83.884129573915,2024.0,0.517070889472961,2023.0,0.414570838212967,2023.0,0.796441078186035,2023.0,0.536042988300323,2023.0,3.45004286026428,2024.0,0.544002126713625,2024.0,35300280.0,1239804533333.33,0,Northern Africa and Western Asia,,,2523.846507,2023.0,1,2,2021,1,none,1,8,NF,1,7,0,2025,French,0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
SGP,0,strategy_led,6,,medium,12,strategy_only,IAPP,0.980119128,7.27106726,0.847717123,239.0,39.0,2023.0,2024.0,2024.0,60.9,H2_2025,76.42,2025,59.9434212495639,2025.0,150689.301625826,2024.0,2.15626,2020.0,94.3776,2024.0,97.2886546863037,2023.0,2.30859136581421,2023.0,1.75317537784576,2023.0,2.31747198104858,2023.0,2.04018402099609,2023.0,7.7793924005477,2024.0,59.429782938503,2024.0,6036860.0,547386645891.847,0,"South East Asia, East Asia, and Oceania",,,980.6933212,2023.0,1,2,2012,1,none,1,48,PF,19,29,1,2025,English,1,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
SRB,0,strategy_led,2,,low,3,strategy_only,IAPP,,0.010291385,,2.0,,,2024.0,2024.0,21.5,H2_2025,60.96,2025,31.7434550377633,2025.0,32832.1763221005,2024.0,0.93978,2024.0,87.69071294,2024.0,70.582649230957,2024.0,0.0850626999999999,2023.0,-0.1840377,2023.0,0.1035439,2023.0,-0.501692,2023.0,28.5641919197406,2024.0,,,6586476.0,90097765959.1114,0,Europe,,,,,1,2,2018,1,none,1,57,PF,23,34,1,2025,Socialist,0,True,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0
SVK,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP,0.036854539,0.095848471,0.005417118,5.0,,2023.0,2024.0,2024.0,23.8,H2_2025,48.55,2025,35.5078995905856,2025.0,48132.356430543,2024.0,1.03359,2023.0,89.82507032,2024.0,54.4743194580078,2024.0,0.5372918,2023.0,0.5534478,2023.0,0.5846525,2023.0,0.3846188,2023.0,16.3712761894841,2024.0,10.5935553645599,2024.0,5422069.0,140934076532.375,1,Europe,0.0204306259959083,2024.0,202.2453205,2023.0,1,3,2018,1,eu_member,1,85,F,35,50,2,2025,Socialist,0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
SVN,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP,0.047159556,0.025633238,0.001518603,3.0,1.0,2023.0,2024.0,2024.0,26.5,H2_2025,62.71,2025,40.1045760929647,2025.0,57186.3713538174,2024.0,2.09525,2022.0,90.7636,2024.0,80.0806884765625,2023.0,0.731421768665314,2023.0,1.03880786895752,2023.0,1.03929400444031,2023.0,0.776647090911865,2023.0,8.66604534266777,2024.0,8.34338034336379,2024.0,2127400.0,72972015197.3859,1,Europe,0.0079496615472008,2024.0,133.8789196,2023.0,1,3,2018,1,eu_member,1,95,F,39,56,2,2025,Socialist,0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SWE,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP,0.740274501,7.267975111,4.335660898,112.0,16.0,2023.0,2024.0,2024.0,33.3,H2_2025,69.45,2025,62.5781910502956,2025.0,71844.9129880579,2024.0,3.40822,2022.0,95.5293,2024.0,81.3998184204102,2023.0,1.71801710128784,2023.0,1.60402345657349,2023.0,1.60138332843781,2023.0,2.0282461643219,2023.0,20.7518340646751,2024.0,17.6524551082203,2024.0,10569709.0,603715224265.798,1,Europe,0.1069642352058892,2024.0,704.4066757,2023.0,1,3,2018,1,eu_member,1,100,F,40,60,2,2025,Scandinavian,0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SYC,0,none,0,,none,0,no_framework,IAPP,,0.002273567,,1.0,,,2024.0,2024.0,,,27.24,2025,27.1626135583414,2025.0,33238.5800343754,2024.0,,,87.81800079,2024.0,14.5342502593994,2024.0,0.4281497,2023.0,0.5546447,2023.0,0.5293894,2023.0,1.151735,2023.0,0.614524305818193,2024.0,0.0899054165105232,2024.0,121354.0,2167239562.46013,0,Sub-Saharan Africa,,,,,1,2,2023,1,none,0,79,F,34,45,2,2025,French,0,True,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0
THA,0,strategy_led,3,,low,6,strategy_only,IAPP,0.001394653,0.14806777,0.002147771,7.0,1.0,2023.0,2024.0,2024.0,10.7,H2_2025,63.22,2025,36.6722982832117,2025.0,24712.0658575135,2024.0,1.15902,2022.0,90.8672,2024.0,44.9845744019321,2024.0,0.158257782459259,2023.0,0.244872748851776,2023.0,0.171705812215805,2023.0,-0.489050775766373,2023.0,0.72117334961778,2024.0,28.3057768762254,2024.0,71668011.0,526517658841.684,0,"South East Asia, East Asia, and Oceania",,,992.0690447,2023.0,1,2,2019,1,none,1,36,PF,13,23,1,2025,German,0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
TUN,0,strategy_led,2,,low,3,strategy_only,IAPP,,0.021,0.013,2.0,1.0,,2024.0,2024.0,12.7,H2_2025,42.23,2025,26.9867919028168,2025.0,14521.0080937638,2024.0,0.74658,2019.0,72.3542,2023.0,38.1219482421875,2023.0,-0.6191326379776,2023.0,-0.138983190059662,2023.0,-0.300515085458755,2023.0,-0.341899782419205,2023.0,4.60032264285871,2024.0,7.70110744284105,2023.0,12277109.0,51332285656.5422,0,Northern Africa and Western Asia,,,,,1,2,2004,1,none,1,49,PF,21,28,1,2025,French,0,True,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
TUR,0,strategy_led,3,,low,5,strategy_only,IAPP,0.004687905,0.867281275,0.51305661,25.0,5.0,2023.0,2024.0,2024.0,14.6,H2_2025,58.91,2025,37.2017171076035,2025.0,45639.0192735944,2024.0,1.32343,2022.0,87.3079,2024.0,127.577972412109,2022.0,-0.229510217905045,2023.0,-0.511972904205322,2023.0,-0.247911587357521,2023.0,-0.50248908996582,2023.0,4.55332838406335,2024.0,5.13775956987065,2024.0,85518661.0,1359123768774.12,1,Northern Africa and Western Asia,,,2684.79394,2023.0,1,2,2016,1,none,1,33,NF,15,18,0,2025,French,0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
TWN,0,strategy_led,5,,medium,9,strategy_only,IAPP,,0.971927833,0.066512313,42.0,2.0,,2024.0,2024.0,28.4,H2_2025,64.81,2025,,,,,,,,,,,,,,,,,,,,,,,,,0,"South East Asia, East Asia, and Oceania",,,,,1,2,2023,1,none,1,94,F,38,56,2,2025,German,0,True,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0
UGA,0,light_touch,1,,none,1,soft_framework,IAPP,,0.0094,,3.0,,,2024.0,2024.0,6.8,H2_2025,35.76,2025,17.0672701323701,2025.0,3273.2671741364,2024.0,0.4383,2023.0,8.949831061,2024.0,,,-0.500208099999999,2023.0,-0.752792999999999,2023.0,-0.4315787,2023.0,-0.996690299999999,2023.0,1.89162479943853,2024.0,1.91593833437355,2024.0,50015092.0,53911907086.1525,0,Sub-Saharan Africa,,,,,1,2,2019,1,none,1,35,NF,13,22,0,2025,English,1,True,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0
UKR,0,strategy_led,2,,low,3,strategy_only,IAPP,,0.015,,4.0,,,2024.0,2024.0,9.0,H2_2025,60.84,2025,29.6910120248977,2025.0,18550.462890625,2024.0,0.36988,2024.0,82.47489929,2024.0,87.1920013427734,2024.0,-0.3782819,2023.0,-0.7454054,2023.0,-0.5803376,2023.0,-0.7242773,2023.0,38.183813760037,2024.0,6.37028789775054,2024.0,37860221.0,190741262414.705,0,Europe,,,471.7105964,2023.0,1,2,2010,1,none,1,48,PF,19,29,1,2025,Socialist,0,True,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0
URY,0,strategy_led,3,,low,5,strategy_only,IAPP,,0.01975,,2.0,,,2024.0,2024.0,22.5,H2_2025,58.47,2025,28.837903949844,2025.0,36417.874162496,2024.0,0.62592,2022.0,91.9911,2024.0,79.9536903496537,2023.0,0.675111055374146,2023.0,0.717662572860718,2023.0,0.850249707698822,2023.0,1.57394731044769,2023.0,20.9358087447164,2024.0,9.84178975855216,2024.0,3386588.0,80961511073.5797,0,Latin America and the Caribbean,,,,,1,3,2008,1,adequacy,1,97,F,40,57,2,2025,French,0,True,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0
USA,0,strategy_led,6,,medium,13,strategy_only,IAPP,5.204605785,470.9223112,109.0773255,6956.0,1073.0,2023.0,2024.0,2024.0,28.3,H2_2025,88.36,2025,61.6892112586677,2025.0,85809.9003846359,2024.0,3.58623,2022.0,93.1444,2023.0,79.361930847168,2022.0,1.39373278617859,2023.0,1.3276778459549,2023.0,1.21720099449158,2023.0,1.12343263626099,2023.0,7.87536206990779,2024.0,24.322982844202,2024.0,340110988.0,28750956130731.2,1,Northern America,0.5357469927885149,2024.0,17879.78157,2023.0,0,1,1996,0,none,1,83,F,33,50,2,2025,English,1,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
VNM,0,strategy_led,4,,low,6,strategy_only,IAPP,0.002989471,0.3139,0.0085,15.0,2.0,2023.0,2024.0,2024.0,23.5,H2_2025,59.98,2025,37.0799641407315,2025.0,16385.5065565458,2024.0,0.42494,2021.0,84.15,2024.0,37.5923642016718,2024.0,-0.382607728242874,2023.0,-0.0854718759655952,2023.0,0.126466900110245,2023.0,-0.415814280509949,2023.0,,,44.256885251682,2023.0,100987686.0,476388230307.175,0,"South East Asia, East Asia, and Oceania",,,1078.434781,2023.0,1,2,2023,0,none,0,19,NF,3,16,0,2025,Socialist,0,True,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
ZAF,0,strategy_led,3,,low,5,strategy_only,IAPP,0.03163937,0.226762699,0.017985041,20.0,4.0,2023.0,2024.0,2024.0,21.1,H2_2025,53.94,2025,30.1382792250188,2025.0,15456.1989933658,2024.0,0.61729,2022.0,75.6592,2023.0,23.493768799339,2023.0,-0.223697945475578,2023.0,0.0862350836396217,2023.0,-0.256946682929993,2023.0,-0.284670442342758,2023.0,9.47859790223546,2024.0,5.70923344153222,2024.0,64007187.0,401144998373.585,0,Sub-Saharan Africa,,,531.0440676,2023.0,1,2,2013,1,none,1,79,F,33,46,2,2025,English,1,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
