iso3,has_ai_law,regulatory_approach,regulatory_intensity,year_enacted,enforcement_level,thematic_coverage,regulatory_status_group,x1_source,ai_patents_per100k,ai_investment_usd_bn_cumulative,ai_investment_usd_bn_2024,ai_startups_cumulative,ai_startups_2024,patents_year,investment_year,startups_year,ai_adoption_rate,adoption_period,ai_readiness_score,readiness_year,gii_score,gii_year,gdp_per_capita_ppp,gdp_per_capita_ppp_year,rd_expenditure,rd_expenditure_year,internet_penetration,internet_penetration_year,tertiary_education,tertiary_education_year,regulatory_quality,regulatory_quality_year,rule_of_law,rule_of_law_year,government_effectiveness,government_effectiveness_year,control_of_corruption,control_of_corruption_year,ict_service_exports_pct,ict_service_exports_pct_year,high_tech_exports_pct,high_tech_exports_pct_year,population,gdp_current_usd,oecd_member,region,ai_investment_vc_proxy,vc_proxy_year,ai_publications_frac,ai_publications_frac_year,has_gdpr_like_law,gdpr_similarity_level,dp_law_year,has_dpa,eu_status,enforcement_active,fh_total_score,fh_status,fh_pr_score,fh_cl_score,fh_democracy_level,fh_year,legal_origin,is_common_law,year_enacted_ok,complete_principal,complete_extended,complete_confounded,complete_digital,complete_regime,complete_legal_tradition,complete_strict,has_ai_readiness_score,has_ai_adoption_rate,has_ai_investment_usd_bn_cumulative,has_ai_startups_cumulative,has_has_ai_law,has_regulatory_approach,has_regulatory_intensity,has_enforcement_level,has_thematic_coverage,has_gdp_per_capita_ppp,has_internet_penetration,has_gii_score,has_oecd_member,has_region,has_rd_expenditure,has_tertiary_education,has_regulatory_quality,has_rule_of_law,has_has_gdpr_like_law,has_gdpr_similarity_level,has_ict_service_exports_pct,has_high_tech_exports_pct,has_fh_total_score,has_fh_democracy_level,has_legal_origin,has_is_common_law,has_ai_patents_per100k,has_ai_investment_usd_bn_2024,has_ai_startups_2024,has_government_effectiveness,has_control_of_corruption,has_ai_investment_vc_proxy
CYP,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP,,0.129032893,0.004167409,8.0,2.0,,2024.0,2024.0,,,59.71,2025,45.4989362579263,2025.0,63006.61328125,2024.0,0.74527,2022.0,91.2211,2023.0,99.0216827392578,2023.0,0.778258264064789,2023.0,0.628040313720703,2023.0,0.73773992061615,2023.0,0.332707405090332,2023.0,29.7104200257727,2024.0,18.0329234506901,2024.0,1358282.0,37634533331.8902,0,Northern Africa and Western Asia,,,111.7694835,2023.0,1,3,2018,1,eu_member,1,93,F,37,56,2,2025,English,1,True,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
CZE,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP,0.092046772,0.257451809,0.004815686,23.0,2.0,2023.0,2024.0,2024.0,27.8,H2_2025,64.56,2025,42.0357587785266,2025.0,57285.4237001379,2024.0,1.9642,2022.0,87.6878,2024.0,66.7282867431641,2023.0,1.30448853969574,2023.0,1.14218366146088,2023.0,1.1140114068985,2023.0,0.767809867858887,2023.0,17.9113983125881,2024.0,22.4045215279558,2024.0,10905028.0,347034062928.479,1,Europe,0.006571424709105,2024.0,401.1913695,2023.0,1,3,2018,1,eu_member,1,91,F,37,54,2,2025,Socialist,0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DEU,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP,1.217579251,13.27076964,1.974363427,394.0,67.0,2023.0,2024.0,2024.0,28.6,H2_2025,76.78,2025,55.4553512524913,2025.0,73551.9347696836,2024.0,3.13236,2022.0,93.5,2024.0,78.5947494506836,2023.0,1.45697498321533,2023.0,1.55120778083801,2023.0,1.18541669845581,2023.0,1.66416621208191,2023.0,11.4757887460968,2024.0,17.9772990379432,2024.0,83516593.0,4685592577804.69,1,Europe,0.0685096003688837,2024.0,4625.988765,2023.0,1,3,2018,1,eu_member,1,93,F,37,56,2,2025,German,0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DNK,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP,0.470829427,0.817811835,0.133226771,59.0,15.0,2023.0,2024.0,2024.0,28.7,H2_2025,74.75,2025,56.914915504656,2025.0,81878.2349849181,2024.0,2.89051,2022.0,99.7692,2024.0,81.2308197021484,2023.0,1.83951985836029,2023.0,1.90893590450287,2023.0,2.01564884185791,2023.0,2.37605309486389,2023.0,7.45621210752859,2024.0,17.6194498489345,2024.0,5976992.0,424524722037.047,1,Europe,0.1250868528826011,2024.0,458.6201336,2023.0,1,3,2018,1,eu_member,1,97,F,40,57,2,2025,Scandinavian,0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ECU,0,light_touch,1,,none,2,soft_framework,IAPP,,0.0025,,1.0,,,2024.0,2024.0,17.7,H2_2025,53.04,2025,19.5397643865799,2025.0,15840.2668567412,2024.0,,,77.17273115,2024.0,67.8851161961618,2023.0,-0.5994798,2023.0,-0.858649799999999,2023.0,-0.162533899999999,2023.0,-0.719996,2023.0,2.45421153353899,2024.0,9.99836390672699,2024.0,18135478.0,124676074700.0,0,Latin America and the Caribbean,,,,,1,2,2021,1,none,1,68,PF,30,38,1,2025,French,0,True,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0
EGY,0,strategy_led,3,,low,6,strategy_only,IAPP,,0.0971,0.009,14.0,2.0,,2024.0,2024.0,13.4,H2_2025,59.1,2025,24.7122281668271,2025.0,19094.1449444111,2024.0,1.03356,2023.0,72.6899,2023.0,37.5781274463676,2024.0,-0.665456295013428,2023.0,-0.184178426861763,2023.0,-0.239516973495483,2023.0,-0.747790396213531,2023.0,5.76658761386299,2024.0,3.81290087814207,2024.0,116538258.0,389059911003.566,0,Northern Africa and Western Asia,,,1313.851307,2023.0,1,2,2020,0,none,0,18,NF,6,12,0,2025,French,0,True,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
ESP,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP,0.101348745,2.677716484,0.409329697,117.0,18.0,2023.0,2024.0,2024.0,41.8,H2_2025,74.22,2025,44.6070366016514,2025.0,57965.2948138837,2024.0,1.43532,2022.0,95.7575,2024.0,93.7303466796875,2023.0,0.693764328956604,2023.0,0.822885692119598,2023.0,0.752065539360046,2023.0,0.629368722438812,2023.0,10.3676098474106,2024.0,9.28447661569937,2024.0,48848840.0,1725671652742.19,1,Europe,0.0558211688475595,2024.0,2371.997193,2023.0,1,3,2018,1,eu_member,1,90,F,37,53,2,2025,French,0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EST,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP,0.072977466,0.145512817,0.023616548,19.0,3.0,2023.0,2024.0,2024.0,,,69.56,2025,51.091978139021,2025.0,49968.7108278373,2024.0,1.78205,2022.0,92.238,2024.0,67.6179275512695,2023.0,1.42964351177216,2023.0,1.42638897895813,2023.0,1.2634699344635,2023.0,1.53812229633331,2023.0,25.9425743305066,2024.0,18.382980141257,2024.0,1372341.0,43130419829.35,1,Europe,0.1972490016363501,2024.0,101.3205926,2023.0,1,3,2018,1,eu_member,1,95,F,39,56,2,2025,Socialist,0,True,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FIN,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP,0.967064124,1.286856299,0.050754509,53.0,12.0,2023.0,2024.0,2024.0,27.3,H2_2025,70.3,2025,57.7063647384345,2025.0,65378.3841859721,2024.0,2.96469,2022.0,93.5139,2023.0,108.130409240723,2023.0,1.76514935493469,2023.0,1.96704590320587,2023.0,1.73860657215118,2023.0,2.22151660919189,2023.0,33.3953910357505,2024.0,9.28522659633957,2024.0,5619911.0,298696961297.656,1,Europe,0.093109148170784,2024.0,449.9117107,2023.0,1,3,2018,1,eu_member,1,100,F,40,60,2,2025,Scandinavian,0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FRA,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP,0.434925948,11.09680763,2.617394131,468.0,59.0,2023.0,2024.0,2024.0,44.0,H2_2025,80.81,2025,53.4156786988289,2025.0,62556.91810454,2024.0,2.23312,2022.0,88.6538,2024.0,70.4536437988281,2023.0,1.15350544452667,2023.0,1.18057084083557,2023.0,1.14462625980377,2023.0,1.18482184410095,2023.0,7.56867927222552,2024.0,23.1371073769038,2024.0,68551653.0,3160442622465.08,1,Europe,0.0704218382872443,2024.0,2274.718126,2023.0,1,3,2018,1,eu_member,1,89,F,37,52,2,2025,French,0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
