pais_original,year,scale,framework,total_score,government,technology_sector,data_infrastructure,vision,governance_ethics,digital_capacity,adaptability,size,innovation_capacity,human_capital,infrastructure,data_availability,data_representativeness
Tajikistan,2021,0-100,3_pillars_10_dims,38.48615463,35.85400625,26.2897616,53.31469605,0.0,40.235145,37.0864,66.09448,9.954519827,39.18204883,29.73271615,43.11710886,58.93804262,57.88893668
Algeria,2021,0-100,3_pillars_10_dims,37.92372769,32.96002743,29.57411441,51.23704122,0.0,41.970695,38.4277025,51.44171222,11.14934247,42.67395538,34.89904539,34.15408419,56.925036,62.63200348
Kyrgyzstan,2021,0-100,3_pillars_10_dims,37.60655564,35.15789896,23.62062675,54.04114121,0.0,45.8502275,36.848285,57.93308333,11.30660295,35.48292335,24.07235394,28.78769695,74.61179,58.72393668
Maldives,2021,0-100,3_pillars_10_dims,37.46980713,29.59328333,16.08446391,66.73167416,0.0,17.65,43.53,57.19313333,24.11858625,,8.050341569,58.07032915,85.44469333,56.68
Paraguay,2021,0-100,3_pillars_10_dims,37.347056,35.32188606,22.44868617,54.27059576,0.0,47.6296575,37.87698675,55.7809,13.68967665,32.31725804,21.33912384,29.13791054,63.06595908,70.60791767
Mongolia,2021,0-100,3_pillars_10_dims,37.19721197,33.45120229,27.23745049,50.90298313,0.0,39.735515,37.7248775,56.34441667,17.94259864,36.24219355,27.5275593,30.92089315,53.338404,68.44965224
Iraq,2021,0-100,3_pillars_10_dims,36.93068457,25.50789267,31.26790425,54.0162568,0.0,28.250505,40.61473125,33.16633444,15.64962795,39.25032604,38.90375877,33.37088911,56.04308323,72.63479805
Côte D'Ivoire,2021,0-100,3_pillars_10_dims,36.70624068,38.72628917,22.29222149,49.10021139,0.0,53.2441725,39.6794575,61.98152667,11.04963303,36.86708855,18.9599429,29.05562463,59.797376,58.44763355
Saint Lucia,2021,0-100,3_pillars_10_dims,36.60854493,28.22205475,27.52783286,54.07574719,0.0,36.97210269,36.36497648,39.55113983,21.46934793,40.42573149,20.68841915,30.88140586,57.37236252,73.97347318
Gabon,2021,0-100,3_pillars_10_dims,36.50752942,32.39631474,26.50296402,50.6233095,0.0,38.31845375,37.61058188,53.65622333,20.631614,38.82066948,20.05660859,34.35052417,42.2501444,75.26925993
Senegal,2021,0-100,3_pillars_10_dims,36.33866393,39.47343729,28.31373279,41.22882171,0.0,46.09159,44.6158725,67.18628667,17.14008121,44.49818333,23.30293382,28.79071352,33.98732352,60.90842808
Botswana,2021,0-100,3_pillars_10_dims,36.32851619,36.27311333,28.18160819,44.53082705,0.0,35.2432225,43.2878075,66.56142333,17.69944528,40.66953985,26.17583945,30.04476513,43.890852,59.65686401
Bangladesh,2021,0-100,3_pillars_10_dims,36.09945532,40.21389292,25.09883801,42.98563502,0.0,54.80686,45.858775,60.18993667,10.14998704,36.30824667,28.83828032,25.84726214,57.61349231,45.49615062
Cabo Verde,2021,0-100,3_pillars_10_dims,36.0725509,36.46299223,23.35131389,48.40334658,0.0,38.7997875,39.33093477,67.72124667,16.21179548,33.25134253,20.59080367,30.6158526,58.01024266,56.58394449
Rwanda,2021,0-100,3_pillars_10_dims,35.15812223,44.43941931,27.02921825,34.00572912,0.0,47.9694,64.370275,65.41800222,8.728454267,52.30020515,20.05899535,26.34811806,43.13443843,32.53463087
Nigeria,2021,0-100,3_pillars_10_dims,35.15364591,35.53463833,26.31931877,43.60698062,0.0,52.56581,36.79255,52.78019333,10.75440058,37.73993253,30.4636232,27.07964448,51.6133762,52.12792117
Lao People's Democratic Republic,2021,0-100,3_pillars_10_dims,34.93069603,29.22001236,24.69076183,50.8813139,0.0,41.5432675,35.2381675,40.09861444,16.581787,32.2033284,25.28717009,47.4004265,42.91650545,62.32700976
Honduras,2021,0-100,3_pillars_10_dims,34.91378879,30.6483746,25.58434149,48.50865028,0.0,36.087335,28.69236675,57.81379667,18.80429356,36.49789375,21.45083714,27.5482734,59.41079736,58.56688007
Papua New Guinea,2021,0-100,3_pillars_10_dims,34.75322378,35.49750177,27.8340035,40.92816607,0.0,42.64476375,39.73426667,59.61097667,18.89669235,39.70818635,24.89713182,24.82273672,34.95834268,63.00341882
Pakistan,2021,0-100,3_pillars_10_dims,34.02797097,39.58095354,34.99819959,27.50475977,0.0,41.4579825,54.097675,62.76815667,15.34134159,46.69170828,42.96154888,28.02114256,34.30313677,20.19
Bhutan,2021,0-100,3_pillars_10_dims,34.02464587,36.52318843,26.15023957,39.40050961,0.0,40.493878,49.2210715,56.37780422,12.63479166,43.31071867,22.50520838,32.76942216,49.59352077,35.8385859
Cambodia,2021,0-100,3_pillars_10_dims,33.35277841,32.65941576,22.53072093,44.86819854,0.0,40.1265525,40.454475,50.05663556,11.39416248,35.79556136,20.40243894,30.40015365,52.270002,51.93443996
