pais_original,year,scale,framework,rank,total_score,policy_capacity,ai_infrastructure,governance_2025,public_sector_adoption,development_diffusion,resilience,policy_vision,policy_commitment,compute_capacity,enabling_technical_infrastructure,data_quality,governance_principles,regulatory_compliance,government_digital_policy,e_government_delivery,human_capital_2025,ai_sector_maturity,ai_technology_diffusion,societal_transition,safety_security
Dominica,2025,0-100,6_pillars_14_dims,174.0,19.76,4.0,34.5,9.53,25.13,12.89,23.17,10.0,0.0,0.0,57.3,46.19,5.25,13.82,3.27,47.0,18.13,5.1,18.04,46.33,0.0
Dominican Republic,2025,0-100,6_pillars_14_dims,84.0,43.73,61.0,36.86,55.38,70.62,22.39,39.19,40.0,75.0,4.16,58.75,47.66,60.75,50.0,66.98,74.26,32.42,2.42,38.98,45.04,33.33
Ecuador,2025,0-100,6_pillars_14_dims,66.0,53.04,76.5,47.34,61.63,79.31,27.94,54.32,60.0,87.5,6.9,72.03,63.08,73.25,50.0,70.0,88.63,50.64,15.09,22.37,41.98,66.67
Egypt,2025,0-100,6_pillars_14_dims,52.0,59.1,100.0,47.71,67.5,60.07,47.68,61.14,100.0,100.0,7.91,63.53,71.68,75.0,60.0,48.63,71.5,59.86,29.87,59.25,38.94,83.33
El Salvador,2025,0-100,6_pillars_14_dims,104.0,38.88,12.0,32.62,49.75,64.19,28.58,52.9,30.0,0.0,4.16,48.98,44.74,49.5,50.0,49.16,79.22,30.4,20.63,37.36,41.46,64.33
Equatorial Guinea,2025,0-100,6_pillars_14_dims,187.0,16.18,0.0,28.09,18.86,2.85,12.67,27.29,0.0,0.0,2.08,30.53,51.67,37.5,0.23,0.87,4.83,23.86,3.25,14.03,29.91,24.67
Eritrea,2025,0-100,6_pillars_14_dims,193.0,12.7,0.0,25.35,6.67,0.0,15.96,13.69,0.0,0.0,0.0,29.02,47.04,0.0,13.33,0.0,0.0,13.1,3.25,35.78,27.38,0.0
Estonia,2025,0-100,6_pillars_14_dims,21.0,69.56,96.0,54.29,90.0,99.63,46.01,64.38,90.0,100.0,7.69,67.21,87.97,100.0,80.0,99.38,99.88,60.67,26.77,56.98,62.09,66.67
Eswatini,2025,0-100,6_pillars_14_dims,137.0,27.7,16.0,35.45,42.99,34.88,10.61,29.06,40.0,0.0,2.08,49.71,54.56,45.75,40.23,45.87,23.89,20.26,3.25,10.78,24.78,33.33
Ethiopia,2025,0-100,6_pillars_14_dims,91.0,41.58,49.5,28.45,54.88,44.65,38.7,49.09,30.0,62.5,5.37,42.17,37.8,59.75,50.0,35.0,54.3,56.79,20.25,45.22,31.52,66.67
Fiji,2025,0-100,6_pillars_14_dims,108.0,37.26,15.5,38.16,27.27,65.94,31.16,44.0,20.0,12.5,0.0,49.84,64.65,23.0,31.54,64.51,67.36,26.97,33.3,32.48,61.66,26.33
Finland,2025,0-100,6_pillars_14_dims,18.0,70.3,80.5,61.63,84.2,81.77,63.01,62.0,70.0,87.5,19.27,72.79,92.83,87.5,80.89,74.3,89.24,79.96,42.21,73.78,90.67,33.33
France,2025,0-100,6_pillars_14_dims,2.0,80.81,77.5,76.27,90.0,97.18,68.2,88.63,100.0,62.5,51.11,84.43,93.26,100.0,80.0,98.26,96.1,81.07,56.88,70.44,77.26,100.0
Gabon,2025,0-100,6_pillars_14_dims,133.0,28.41,16.0,35.19,51.25,16.48,20.37,27.58,40.0,0.0,2.08,47.05,56.44,62.5,40.0,0.0,32.97,25.28,3.25,38.3,35.49,19.67
Gambia (Republic of The),2025,0-100,6_pillars_14_dims,153.0,23.64,15.5,32.99,37.79,15.32,10.31,33.01,20.0,12.5,0.0,46.36,52.6,42.25,33.33,20.0,10.64,19.24,3.25,10.78,32.7,33.33
Georgia,2025,0-100,6_pillars_14_dims,87.0,42.75,19.0,49.35,74.17,47.44,27.24,34.63,10.0,25.0,4.83,65.67,77.54,75.0,73.33,35.0,59.88,43.61,0.76,46.18,42.92,26.33
Germany,2025,0-100,6_pillars_14_dims,6.0,76.78,84.5,73.28,91.17,82.89,66.24,73.37,80.0,87.5,56.98,68.09,94.76,100.0,82.35,80.18,85.6,75.54,53.38,74.1,63.41,83.33
Ghana,2025,0-100,6_pillars_14_dims,78.0,47.42,53.5,46.12,66.25,53.35,33.68,41.81,40.0,62.5,6.59,70.92,60.87,62.5,70.0,25.0,81.71,34.23,22.57,47.92,33.63,50.0
Greece,2025,0-100,6_pillars_14_dims,42.0,60.51,76.5,52.39,75.53,78.76,41.5,62.47,60.0,87.5,9.4,69.5,78.28,75.0,76.05,70.65,86.86,52.93,23.77,53.7,58.27,66.67
Grenada,2025,0-100,6_pillars_14_dims,176.0,19.36,0.0,32.42,19.62,20.45,12.02,22.44,0.0,0.0,0.0,49.34,47.91,38.75,0.48,3.27,37.64,15.23,5.1,18.04,44.88,0.0
Guatemala,2025,0-100,6_pillars_14_dims,129.0,29.34,15.5,37.87,44.5,38.17,11.94,29.32,20.0,12.5,6.24,45.78,61.59,29.0,60.0,35.0,41.34,24.47,0.65,14.46,32.3,26.33
Guinea,2025,0-100,6_pillars_14_dims,183.0,17.81,4.0,28.91,20.63,6.01,11.63,32.79,10.0,0.0,2.08,37.68,46.96,41.25,0.0,0.0,12.02,21.64,2.31,14.03,39.24,26.33
Guinea Bissau,2025,0-100,6_pillars_14_dims,195.0,12.12,4.0,23.24,10.11,2.02,10.5,14.66,10.0,0.0,2.08,31.27,36.36,0.0,20.23,0.87,3.18,16.64,3.25,14.03,29.31,0.0
Guyana,2025,0-100,6_pillars_14_dims,146.0,25.47,15.5,35.62,39.29,19.69,12.27,31.02,20.0,12.5,2.08,56.49,48.3,45.25,33.33,10.0,29.39,16.07,5.1,18.04,43.38,18.67
Haiti,2025,0-100,6_pillars_14_dims,190.0,14.94,11.5,17.97,13.25,14.64,11.08,23.46,10.0,12.5,0.0,31.73,22.17,6.5,20.0,0.83,28.45,17.33,5.1,12.78,27.25,19.67
Honduras,2025,0-100,6_pillars_14_dims,157.0,22.96,4.0,36.49,38.67,18.23,10.87,21.85,10.0,0.0,4.83,43.29,61.35,44.0,33.33,0.0,36.47,21.36,5.53,7.49,36.69,7.0
Hungary,2025,0-100,6_pillars_14_dims,35.0,63.17,77.0,56.02,82.31,82.61,45.24,54.17,80.0,75.0,8.98,72.59,86.49,87.5,77.12,80.86,84.36,72.81,20.02,51.29,58.35,50.0
Iceland,2025,0-100,6_pillars_14_dims,44.0,60.49,77.0,58.43,65.27,66.61,43.0,76.53,80.0,75.0,7.91,79.79,87.58,62.5,68.05,60.54,72.69,61.48,17.37,58.69,89.73,63.33
India,2025,0-100,6_pillars_14_dims,27.0,66.55,96.0,63.31,64.03,79.07,54.85,59.46,90.0,100.0,48.5,65.28,76.15,62.5,65.56,71.19,86.96,58.83,47.14,61.15,35.58,83.33
Indonesia,2025,0-100,6_pillars_14_dims,46.0,59.87,77.0,60.28,61.25,73.77,44.09,58.27,80.0,75.0,21.15,73.34,86.36,62.5,60.0,60.95,86.59,45.48,27.51,64.82,49.86,66.67
Iran (Islamic Republic of),2025,0-100,6_pillars_14_dims,76.0,48.34,84.5,48.86,44.01,51.4,37.59,39.72,80.0,87.5,9.13,66.55,70.89,57.25,30.76,55.87,46.93,56.31,13.47,51.02,29.44,50.0
Iraq,2025,0-100,6_pillars_14_dims,128.0,29.37,35.0,33.36,24.88,5.28,34.98,42.64,50.0,25.0,2.08,57.29,40.7,9.0,40.76,5.87,4.69,39.75,16.9,54.31,35.28,50.0
Ireland,2025,0-100,6_pillars_14_dims,17.0,70.58,88.5,64.71,94.57,74.12,56.91,60.25,90.0,87.5,32.34,66.61,95.2,100.0,89.14,51.33,96.92,76.69,40.78,58.63,70.5,50.0
Israel,2025,0-100,6_pillars_14_dims,16.0,71.32,92.0,62.7,90.38,70.61,64.66,61.32,80.0,100.0,21.14,79.17,87.8,100.0,80.76,65.87,75.35,68.31,45.54,86.51,55.96,66.67
Italy,2025,0-100,6_pillars_14_dims,25.0,68.81,69.5,63.56,85.77,70.24,61.38,72.28,80.0,62.5,39.99,67.06,83.64,100.0,71.54,46.42,94.06,78.59,46.05,64.6,61.23,83.33
Jamaica,2025,0-100,6_pillars_14_dims,99.0,40.09,50.0,41.13,64.5,34.6,17.41,55.94,50.0,50.0,2.08,52.54,68.78,79.0,50.0,30.0,39.19,16.27,11.17,26.85,45.22,66.67
Japan,2025,0-100,6_pillars_14_dims,14.0,72.24,70.0,70.62,80.46,72.71,66.13,80.75,100.0,50.0,50.49,75.98,85.38,75.0,85.92,71.86,73.57,81.69,50.8,71.0,61.5,100.0
Jordan,2025,0-100,6_pillars_14_dims,63.0,56.07,69.5,48.26,69.64,79.99,35.47,57.39,80.0,62.5,6.59,67.32,70.86,75.0,64.27,82.76,77.23,36.53,15.81,60.63,48.12,66.67
Kazakhstan,2025,0-100,6_pillars_14_dims,58.0,56.7,88.0,53.88,64.63,73.59,39.85,37.38,70.0,100.0,7.91,74.35,79.39,75.0,54.25,61.2,85.98,72.11,11.11,45.9,41.44,33.33
Kenya,2025,0-100,6_pillars_14_dims,68.0,52.55,69.0,39.17,70.63,62.14,35.48,70.74,60.0,75.0,9.13,52.81,55.57,61.25,80.0,54.85,69.43,47.06,17.41,47.99,41.48,100.0
Kiribati,2025,0-100,6_pillars_14_dims,150.0,23.9,0.0,41.19,10.39,19.64,19.77,41.58,0.0,0.0,0.0,56.67,66.91,19.25,1.54,4.51,34.76,13.84,13.3,34.33,58.49,24.67
Kuwait,2025,0-100,6_pillars_14_dims,83.0,43.79,35.0,53.31,52.63,51.43,30.19,38.01,50.0,25.0,5.37,67.29,87.28,55.25,50.0,45.46,57.41,34.84,17.84,42.0,30.36,45.67
Kyrgyzstan,2025,0-100,6_pillars_14_dims,119.0,33.28,16.0,43.94,30.98,46.9,22.15,34.8,40.0,0.0,4.16,57.59,70.06,17.25,44.7,12.12,81.68,43.51,3.32,25.88,36.27,33.33
Lao People's Democratic Republic,2025,0-100,6_pillars_14_dims,125.0,29.92,19.5,38.21,45.17,18.21,20.94,36.76,30.0,12.5,3.29,57.78,53.57,37.0,53.33,20.0,16.41,23.16,10.7,32.37,43.52,30.0
Latvia,2025,0-100,6_pillars_14_dims,51.0,59.14,72.5,53.07,82.35,81.44,37.18,47.58,50.0,87.5,9.77,63.08,86.35,75.0,89.7,67.65,95.23,56.31,13.06,50.21,61.83,33.33
Lebanon,2025,0-100,6_pillars_14_dims,117.0,34.26,42.0,41.01,39.38,18.65,34.15,25.67,30.0,50.0,3.29,45.45,74.27,38.75,40.0,1.08,36.22,37.21,15.61,55.8,25.0,26.33
Lesotho,2025,0-100,6_pillars_14_dims,131.0,28.95,34.5,28.79,38.79,36.83,17.59,25.63,30.0,37.5,3.29,37.57,45.51,44.25,33.33,25.0,48.66,28.63,13.11,12.52,19.25,32.0
Liberia,2025,0-100,6_pillars_14_dims,189.0,15.65,8.0,27.05,3.5,24.92,9.77,13.85,20.0,0.0,0.0,31.61,49.53,7.0,0.0,10.0,39.83,20.9,3.25,7.34,27.71,0.0
Libya,2025,0-100,6_pillars_14_dims,134.0,28.38,39.0,43.8,24.88,2.09,18.88,47.61,60.0,25.0,5.84,54.47,71.09,29.75,20.0,2.17,2.02,28.51,6.9,25.22,31.88,63.33
Liechtenstein,2025,0-100,6_pillars_14_dims,98.0,40.19,19.0,46.92,48.4,49.54,28.68,46.99,10.0,25.0,6.24,64.95,69.58,48.75,48.05,30.54,68.54,29.78,27.01,29.8,74.31,19.67
Lithuania,2025,0-100,6_pillars_14_dims,29.0,65.31,80.5,55.11,91.67,84.3,45.56,57.02,70.0,87.5,8.98,68.4,87.95,94.75,88.6,80.0,88.6,68.62,25.68,48.99,67.38,46.67
Luxembourg,2025,0-100,6_pillars_14_dims,33.0,64.28,81.0,57.65,81.52,75.46,46.26,66.54,90.0,75.0,12.18,70.95,89.82,75.0,88.05,65.54,85.39,64.26,27.06,53.85,66.41,66.67
Madagascar,2025,0-100,6_pillars_14_dims,168.0,20.93,0.0,27.37,30.16,30.87,11.93,19.54,0.0,0.0,4.16,32.38,45.58,36.75,23.56,5.87,55.86,26.12,2.24,10.65,32.08,7.0
Malawi,2025,0-100,6_pillars_14_dims,149.0,24.22,23.0,28.7,37.88,5.78,18.57,35.6,20.0,25.0,2.08,44.52,39.5,45.75,30.0,0.0,11.56,22.93,0.79,37.9,37.86,33.33
Malaysia,2025,0-100,6_pillars_14_dims,38.0,62.34,80.5,60.52,78.48,64.78,55.36,38.33,70.0,87.5,19.78,76.92,84.88,75.0,81.97,65.6,63.95,77.41,32.08,64.37,43.32,33.33
Maldives,2025,0-100,6_pillars_14_dims,143.0,26.39,8.0,39.43,22.43,29.58,18.83,32.24,20.0,0.0,3.29,49.08,65.93,33.5,11.37,2.12,57.05,18.77,4.85,37.53,38.14,26.33
Mali,2025,0-100,6_pillars_14_dims,152.0,23.78,4.0,29.54,38.0,26.67,18.12,17.64,10.0,0.0,2.08,36.59,49.94,36.0,40.0,20.0,33.34,19.46,2.23,37.97,29.94,5.33
Malta,2025,0-100,6_pillars_14_dims,39.0,61.48,77.0,52.25,87.77,66.58,44.16,65.19,80.0,75.0,7.19,67.92,81.64,87.5,88.05,65.54,67.62,66.2,25.6,46.86,63.72,66.67
Marshall Islands,2025,0-100,6_pillars_14_dims,177.0,18.92,0.0,40.45,1.39,6.74,18.48,29.7,0.0,0.0,0.0,51.64,69.71,1.25,1.54,4.51,8.96,9.51,13.3,34.33,59.4,0.0
Mauritania,2025,0-100,6_pillars_14_dims,138.0,27.58,34.5,28.63,40.53,30.05,16.0,23.85,30.0,37.5,0.0,33.23,52.67,57.5,23.56,30.87,29.22,36.73,3.9,11.38,29.03,18.67
Mauritius,2025,0-100,6_pillars_14_dims,67.0,52.76,65.5,48.72,72.5,65.63,38.52,36.76,70.0,62.5,7.19,69.22,69.76,75.0,70.0,50.0,81.26,67.38,14.45,41.74,40.19,33.33
Mexico,2025,0-100,6_pillars_14_dims,77.0,48.33,35.0,52.1,67.64,66.11,34.07,32.22,50.0,25.0,12.47,63.83,80.0,71.25,64.04,54.87,77.34,34.36,19.6,53.06,40.11,24.33
Micronesia (Federated States of),2025,0-100,6_pillars_14_dims,172.0,20.6,19.92,28.66,7.64,8.87,22.16,34.3,21.67,18.75,0.0,49.23,36.75,6.25,9.04,11.18,6.55,17.08,19.14,31.26,60.26,8.33
Monaco,2025,0-100,6_pillars_14_dims,105.0,38.62,12.0,48.02,57.4,19.57,34.95,51.37,30.0,0.0,4.16,69.33,70.57,46.75,68.05,10.54,28.59,28.55,37.01,38.59,76.41,26.33
Mongolia,2025,0-100,6_pillars_14_dims,94.0,40.86,35.0,44.37,49.0,69.4,20.5,33.84,50.0,25.0,5.84,58.96,68.32,48.0,50.0,60.0,78.8,28.76,1.43,37.68,41.34,26.33
Montenegro,2025,0-100,6_pillars_14_dims,100.0,39.9,27.0,40.29,53.75,52.29,26.9,44.97,30.0,25.0,0.0,62.87,58.0,47.5,60.0,25.03,79.54,24.06,27.85,28.47,56.6,33.33
Morocco,2025,0-100,6_pillars_14_dims,86.0,43.06,23.0,48.12,78.75,34.9,30.81,39.78,20.0,25.0,7.69,58.63,78.04,87.5,70.0,10.0,59.8,29.75,14.44,53.7,46.23,33.33
Mozambique,2025,0-100,6_pillars_14_dims,161.0,22.31,8.0,29.21,30.79,21.2,11.46,35.42,20.0,0.0,5.84,52.88,28.92,18.25,43.33,20.0,22.4,21.3,2.16,14.02,37.51,33.33
Myanmar,2025,0-100,6_pillars_14_dims,173.0,20.54,8.0,33.25,13.67,12.32,18.57,28.91,20.0,0.0,5.37,55.47,38.91,14.0,13.33,0.0,24.65,28.62,10.91,18.72,36.82,21.0
Namibia,2025,0-100,6_pillars_14_dims,110.0,37.08,19.5,34.85,52.88,44.8,28.21,47.15,30.0,12.5,3.29,35.46,65.79,55.75,50.0,31.36,58.24,49.4,13.76,26.3,34.63,59.67
Nauru,2025,0-100,6_pillars_14_dims,160.0,22.48,0.0,41.71,8.02,17.81,21.0,29.32,0.0,0.0,0.0,53.18,71.95,4.5,11.54,4.51,31.1,17.94,13.3,34.33,58.65,0.0
Nepal,2025,0-100,6_pillars_14_dims,106.0,38.5,49.5,38.05,57.24,32.88,22.5,48.94,30.0,62.5,6.9,52.24,54.99,60.75,53.72,4.56,61.2,38.55,0.68,35.55,31.21,66.67
