iso3,entity_type,pais_original,year,scale,framework,privacy_laws,ai_strategy,data_availability,govt_procurement_advanced_tech,data_capability_govt,technology_skills,ai_startups,log_ai_startups,innovation_capability,digital_public_services,govt_effectiveness,ict_govt_vision,norm_privacy_laws,norm_ai_strategy,norm_data_availability,norm_govt_procurement,norm_data_capability,norm_technology_skills,norm_log_ai_startups,norm_innovation_capability,norm_digital_public_services,norm_govt_effectiveness,norm_ict_govt_vision,total_score,avg_governance,avg_infrastructure_data,avg_skills_education,avg_govt_public_services
TTO,pais,Trinidad and Tobago,2019,0-10,4_clusters,1.0,0.0,21.0,2.880084033,0.644,4.4,3.0,0.4771212547,33.5,0.6389,50.71,3.736408561,1.0,0.0,0.21,0.4114405761428572,0.644,0.6285714285714287,0.1288281095536263,0.335,0.6389,0.5071,0.5337726515714286,5.0376127658393415,0.5,0.4218135253809524,0.3641331793750184,0.5599242171904762
JOR,pais,Jordan,2019,0-10,4_clusters,1.0,0.0,,3.668547741,0.5575,4.7,4.0,0.6020599913,38.9,0.4931,48.55,4.509342807,1.0,0.0,0.0,0.5240782487142857,0.5575,0.6714285714285715,0.1625629748266415,0.389,0.4931,0.4855,0.6441918295714286,4.927361624540927,0.5,0.3605260829047618,0.4076638487517376,0.5409306098571428
GHA,pais,Ghana,2019,0-10,4_clusters,1.0,0.0,16.0,3.489354708,0.539,4.1,4.0,0.6020599913,32.7,0.6944,40.15,3.63679244,1.0,0.0,0.16,0.498479244,0.539,0.5857142857142856,0.1625629748266415,0.327,0.6944,0.4014999999999999,0.5195417771428571,4.888198281683784,0.5,0.399159748,0.3584257535136423,0.5384805923809522
GEO,pais,Georgia,2019,0-10,4_clusters,1.0,0.0,,3.049373002,0.6893,3.7,2.0,0.3010299957,32.7,0.6944,57.88,3.697181962,1.0,0.0,0.0,0.4356247145714285,0.6893,0.5285714285714286,0.0812814874268213,0.327,0.6944,0.5788,0.5281688517142857,4.863146482283964,0.5,0.3749749048571428,0.31228430533275,0.6004562839047619
DOM,pais,Dominican Republic (the),2019,0-10,4_clusters,1.0,0.0,27.0,3.227629079,0.5726,3.6,3.0,0.4771212547,31.4,0.6597,38.98,3.452743504,1.0,0.0,0.27,0.4610898684285714,0.5726,0.5142857142857143,0.1288281095536263,0.314,0.6597,0.3898,0.4932490719999999,4.803552764267913,0.5,0.4345632894761905,0.3190379412797802,0.5142496906666666
SAU,pais,Saudi Arabia,2019,0-10,4_clusters,0.0,0.0,,4.500831761,0.7119,5.1,4.0,0.6020599913,47.4,0.7917,51.2,5.284137488,0.0,0.0,0.0,0.6429759658571428,0.7119,0.7285714285714285,0.1625629748266415,0.474,0.7917,0.512,0.754876784,4.778587153255213,0.0,0.4516253219523809,0.45504480113269,0.6861922613333333
KWT,pais,Kuwait,2019,0-10,4_clusters,1.0,0.0,,2.938677127,0.7388,4.2,1.0,0.0,30.5,0.7917,40.69,3.239248697,1.0,0.0,0.0,0.4198110181428571,0.7388,0.6,0.0,0.305,0.7917,0.4069,0.4627498138571428,4.724960832000001,0.5,0.3862036727142857,0.3016666666666667,0.5537832712857143
MAR,pais,Morocco,2019,0-10,4_clusters,1.0,0.0,,3.03417513,0.5214,3.7,5.0,0.6989700043,34.0,0.6667,42.69,4.279451925,1.0,0.0,0.0,0.43345359,0.5214,0.5285714285714286,0.188729769218263,0.34,0.6667,0.4269,0.611350275,4.717105062789692,0.5,0.3182845299999999,0.3524337325965638,0.5683167583333333
ARM,pais,Armenia,2019,0-10,4_clusters,1.0,0.0,,2.84786116,0.5944,4.4,3.0,0.4771212547,38.8,0.5625,41.47,4.147149382,1.0,0.0,0.0,0.4068373085714286,0.5944,0.6285714285714287,0.1288281095536263,0.3879999999999999,0.5625,0.4147,0.5924499117142857,4.716286758410769,0.5,0.3337457695238095,0.381799846041685,0.5232166372380953
ECU,pais,Ecuador,2019,0-10,4_clusters,1.0,0.0,,3.280701637,0.6129,3.7,2.0,0.3010299957,32.0,0.7292,34.45,3.92920351,1.0,0.0,0.0,0.4686716624285714,0.6129,0.5285714285714286,0.0812814874268213,0.32,0.7292,0.3445,0.5613147871428571,4.6464393655696785,0.5,0.3605238874761904,0.3099509719994167,0.545004929047619
ALB,pais,Albania,2019,0-10,4_clusters,1.0,0.0,36.0,3.829768256,0.6519,,0.0,,31.7,0.7361,45.16,3.855157993,1.0,0.0,0.36,0.5471097508571429,0.6519,0.0,0.0,0.317,0.7361,0.4515999999999999,0.5507368561428572,4.614446607,0.5,0.519669916952381,0.1056666666666666,0.579478952047619
PAK,pais,Pakistan,2019,0-10,4_clusters,1.0,0.0,19.0,3.551027118,0.3566,4.1,8.0,0.903089987,34.9,0.5486,29.35,3.469958011,1.0,0.0,0.19,0.5072895882857142,0.3566,0.5857142857142856,0.2438444622534629,0.349,0.5486,0.2935,0.4957082872857143,4.570256623539176,0.5,0.3512965294285714,0.3928529159892495,0.4459360957619048
SLV,pais,El Salvador,2019,0-10,4_clusters,1.0,0.0,35.0,3.031478098,0.5469,3.3,0.0,,26.9,0.625,38.25,3.415403059,1.0,0.0,0.35,0.4330682997142857,0.5469,0.4714285714285714,0.0,0.2689999999999999,0.625,0.3825,0.4879147227142857,4.565811593857143,0.5,0.4433227665714286,0.2468095238095238,0.4984715742380952
MDA,pais,Republic of Moldova (the),2019,0-10,4_clusters,1.0,0.0,,2.521036094,0.659,4.4,0.0,,30.2,0.7708,29.86,3.603804528,1.0,0.0,0.0,0.3601480134285714,0.659,0.6285714285714287,0.0,0.302,0.7708,0.2986,0.5148292182857143,4.533948660285715,0.5,0.3397160044761905,0.3101904761904762,0.528076406095238
JAM,pais,Jamaica,2019,0-10,4_clusters,1.0,0.0,26.0,2.876676257,0.4697,3.9,1.0,0.0,34.3,0.3194,55.4,3.931645187,1.0,0.0,0.26,0.410953751,0.4697,0.5571428571428572,0.0,0.3429999999999999,0.3194,0.5539999999999999,0.5616635981428572,4.475860206285714,0.5,0.380217917,0.300047619047619,0.4783545327142857
NPL,pais,Nepal,2019,0-10,4_clusters,1.0,0.0,20.0,2.863881175,0.4748,3.7,3.0,0.4771212547,29.0,0.6875,25.03,3.015901334,1.0,0.0,0.2,0.4091258821428571,0.4748,0.5285714285714286,0.1288281095536263,0.29,0.6875,0.2503,0.4308430477142857,4.399968467982198,0.5,0.3613086273809524,0.3157998460416849,0.4562143492380952
BOL,pais,Bolivia (Plurinational State of),2019,0-10,4_clusters,1.0,0.0,30.0,3.294476811,0.5307,3.3,1.0,0.0,26.9,0.5625,31.03,3.391835372,1.0,0.0,0.3,0.4706395444285714,0.5307,0.4714285714285714,0.0,0.2689999999999999,0.5625,0.3103,0.4845479102857143,4.399116026142857,0.5,0.4337798481428571,0.2468095238095238,0.4524493034285714
SYC,pais,Seychelles,2019,0-10,4_clusters,1.0,0.0,,3.694561008,0.6163,4.4,,,43.5,0.6181,,4.0,1.0,0.0,0.0,0.5277944297142857,0.6163,0.6285714285714287,0.0,0.435,0.6181,0.0,0.5714285714285714,4.397194429714285,0.5,0.3813648099047619,0.3545238095238095,0.3965095238095237
UGA,pais,Uganda,2019,0-10,4_clusters,1.0,0.0,,3.541812152,0.4055,3.5,5.0,0.6989700043,29.8,0.5694,31.02,4.145289293,1.0,0.0,0.0,0.5059731645714286,0.4055,0.5,0.188729769218263,0.298,0.5694,0.3102,0.5921841847142858,4.369987118503977,0.5,0.3038243881904762,0.3289099230727543,0.4905947282380952
ZMB,pais,Zambia,2019,0-10,4_clusters,1.0,0.0,19.0,3.88006315,0.4111,3.7,1.0,0.0,28.1,0.4792,28.83,4.108161307,1.0,0.0,0.19,0.5542947357142857,0.4111,0.5285714285714286,0.0,0.281,0.4792,0.2883,0.5868801867142857,4.319346351,0.5,0.3851315785714286,0.2698571428571428,0.4514600622380952
SEN,pais,Senegal,2019,0-10,4_clusters,1.0,0.0,,3.812378801,0.3486,4.4,0.0,,31.2,0.4792,33.57,4.104471518,1.0,0.0,0.0,0.544625543,0.3486,0.6285714285714287,0.0,0.312,0.4792,0.3357,0.586353074,4.235050045571429,0.5,0.2977418476666666,0.3135238095238095,0.467084358
TZA,pais,Tanzania,2019,0-10,4_clusters,1.0,0.0,20.0,3.255527556,0.3929,3.6,0.0,,27.2,0.5625,31.51,3.59198693,1.0,0.0,0.2,0.4650753651428571,0.3929,0.5142857142857143,0.0,0.272,0.5625,0.3151,0.51314099,4.235002069428572,0.5,0.352658455047619,0.2620952380952381,0.4635803299999999
BIH,pais,Bosnia and Herzegovina,2019,0-10,4_clusters,1.0,0.0,26.0,2.353535414,0.5303,3.8,2.0,0.3010299957,28.2,0.4306,34.42,2.630000114,1.0,0.0,0.26,0.3362193448571428,0.5303,0.5428571428571428,0.0812814874268213,0.282,0.4306,0.3442,0.375714302,4.183172277141107,0.5,0.3755064482857143,0.3020462100946547,0.3835047673333333
HND,pais,Honduras,2019,0-10,4_clusters,1.0,0.0,,3.619827492,0.4474,3.6,0.0,,31.5,0.5139,26.98,3.903095078,1.0,0.0,0.0,0.5171182131428572,0.4474,0.5142857142857143,0.0,0.315,0.5139,0.2698,0.5575850111428572,4.135088938571428,0.5,0.3215060710476191,0.2764285714285714,0.4470950037142858
KGZ,pais,Kyrgyzstan,2019,0-10,4_clusters,1.0,0.0,,2.800258485,0.5835,3.9,0.0,,26.7,0.6458,22.86,3.100299737,1.0,0.0,0.0,0.4000369264285714,0.5835,0.5571428571428572,0.0,0.267,0.6458,0.2286,0.4428999624285714,4.124979746,0.5,0.3278456421428571,0.2747142857142857,0.4390999874761905
TJK,pais,Tajikistan,2019,0-10,4_clusters,1.0,0.0,,3.865803292,0.422,4.5,0.0,,27.4,0.3403,19.82,3.930337012,1.0,0.0,0.0,0.5522576131428572,0.422,0.6428571428571429,0.0,0.2739999999999999,0.3403,0.1982,0.5614767159999999,3.991091472,0.5,0.3247525377142857,0.3056190476190476,0.3666589053333333
RWA,pais,Rwanda,2019,0-10,4_clusters,0.0,0.0,,4.6165548,0.459,3.9,,,27.3,0.7222,47.82,5.768590876,0.0,0.0,0.0,0.6595078285714286,0.459,0.5571428571428572,0.0,0.273,0.7222,0.4782,0.8240844108571429,3.973135096571429,0.0,0.3728359428571429,0.2767142857142857,0.6748281369523809
BHR,pais,Bahrain,2019,0-10,4_clusters,0.0,0.0,,4.105276597,0.8116,,3.0,0.4771212547,35.9,0.7986,53.22,5.218081628,0.0,0.0,0.0,0.5864680852857143,0.8116,0.0,0.1288281095536263,0.359,0.7986,0.5322,0.7454402325714286,3.962136427410769,0.0,0.4660226950952381,0.1626093698512087,0.6920800775238095
CPV,pais,Cabo Verde,2019,0-10,4_clusters,1.0,0.0,,3.64709529,0.498,4.1,,,21.4,0.4861,,4.46508594,1.0,0.0,0.0,0.5210136128571429,0.498,0.5857142857142856,0.0,0.214,0.4861,0.0,0.63786942,3.942697318571428,0.5,0.3396712042857143,0.2665714285714285,0.3746564733333333
PRY,pais,Paraguay,2019,0-10,4_clusters,1.0,0.0,44.0,2.713785646,0.5255,,0.0,,28.9,0.5556,26.03,2.902435938,1.0,0.0,0.44,0.3876836637142857,0.5255,0.0,0.0,0.289,0.5556,0.2603,0.4146337054285714,3.872717369142858,0.5,0.4510612212380953,0.0963333333333333,0.4101779018095238
BGD,pais,Bangladesh,2019,0-10,4_clusters,0.0,0.0,25.0,2.595437384,0.4862,3.3,10.0,1.0,30.6,0.7847,28.06,4.116846968,0.0,0.0,0.25,0.3707767691428571,0.4862,0.4714285714285714,0.2700112566450843,0.306,0.7847,0.2805999999999999,0.5881209954285714,3.807837592645084,0.0,0.3689922563809524,0.3491466093578853,0.5511403318095237
CIV,pais,Côte d'Ivoire,2019,0-10,4_clusters,1.0,0.0,,3.652955464,0.2776,3.9,0.0,,28.3,0.2222,28.59,4.612764645,1.0,0.0,0.0,0.5218507805714286,0.2776,0.5571428571428572,0.0,0.283,0.2222,0.2859,0.658966377857143,3.806660015571429,0.5,0.2664835935238095,0.280047619047619,0.389022125952381
LKA,pais,Sri Lanka,2019,0-10,4_clusters,0.0,0.0,,3.824173841,0.5751,3.9,0.0,,33.7,0.6667,39.91,4.997625048,0.0,0.0,0.0,0.5463105487142857,0.5751,0.5571428571428572,0.0,0.337,0.6667,0.3990999999999999,0.7139464354285714,3.795299841285714,0.0,0.3738035162380952,0.298047619047619,0.5932488118095237
BEN,pais,Benin,2019,0-10,4_clusters,1.0,0.0,,2.84375,0.3264,3.4,0.0,,26.7,0.4722,31.12,3.230769157,1.0,0.0,0.0,0.40625,0.3264,0.4857142857142857,0.0,0.267,0.4722,0.3112,0.461538451,3.7303027367142856,0.5,0.2442166666666666,0.2509047619047619,0.4149794836666667
NGA,pais,Nigeria,2019,0-10,4_clusters,1.0,0.0,,2.783441774,0.3807,3.3,18.0,1.255272505,31.4,0.5278,18.18,,1.0,0.0,0.0,0.3976345391428571,0.3807,0.4714285714285714,0.3389377065070729,0.314,0.5278,0.1818,0.0,3.6123008170785016,0.5,0.2594448463809524,0.3747887593118815,0.2365333333333333
GMB,pais,Gambia (the),2019,0-10,4_clusters,1.0,0.0,,3.840211973,0.2958,3.8,,,30.4,0.2708,,4.481577956,1.0,0.0,0.0,0.5486017104285714,0.2958,0.5428571428571428,0.0,0.304,0.2708,0.0,0.6402254222857142,3.602284275571428,0.5,0.2814672368095238,0.2822857142857142,0.3036751407619047
MLI,pais,Mali,2019,0-10,4_clusters,1.0,0.0,,3.4790074,0.2424,3.8,0.0,,29.3,0.2639,20.59,3.692698037,1.0,0.0,0.0,0.4970010571428571,0.2424,0.5428571428571428,0.0,0.293,0.2639,0.2059,0.527528291,3.572586491,0.5,0.246467019047619,0.2786190476190476,0.3324427636666666
ZWE,pais,Zimbabwe,2019,0-10,4_clusters,1.0,0.0,13.0,2.225904716,0.3692,3.8,0.0,,25.5,0.3264,16.39,2.838001808,1.0,0.0,0.13,0.317986388,0.3692,0.5428571428571428,0.0,0.255,0.3264,0.1639,0.4054288297142857,3.5107723605714285,0.5,0.2723954626666666,0.2659523809523809,0.2985762765714286
EGY,pais,Egypt,2019,0-10,4_clusters,0.0,0.0,,3.215918892,0.488,4.2,11.0,1.041392685,37.7,0.5347,28.84,3.243154811,0.0,0.0,0.0,0.4594169845714285,0.488,0.6,0.2811877475378485,0.377,0.5347,0.2884,0.4633078301428571,3.4920125622521345,0.0,0.3158056615238095,0.4193959158459495,0.428802610047619
LBN,pais,Lebanon,2019,0-10,4_clusters,0.0,0.0,,2.581191911,0.553,5.1,10.0,1.0,38.6,0.4722,32.05,2.719230545,0.0,0.0,0.0,0.3687417015714285,0.553,0.7285714285714285,0.2700112566450843,0.386,0.4722,0.3204999999999999,0.3884615064285714,3.4874858932165127,0.0,0.3072472338571428,0.4615275617388376,0.3937205021428571
NAM,pais,Namibia,2019,0-10,4_clusters,0.0,0.0,15.0,3.398239539,0.4554,3.4,0.0,,34.1,0.4514,49.42,3.913677992,0.0,0.0,0.15,0.4854627912857143,0.4554,0.4857142857142857,0.0,0.341,0.4514,0.4942,0.559096856,3.4222739330000005,0.0,0.3636209304285714,0.2755714285714286,0.5015656186666667
MWI,pais,Malawi,2019,0-10,4_clusters,1.0,0.0,5.0,2.724999103,0.2708,3.0,0.0,,28.6,0.2569,26.94,3.161812587,1.0,0.0,0.05,0.3892855861428571,0.2708,0.4285714285714285,0.0,0.286,0.2569,0.2694,0.4516875124285714,3.402644527142857,0.5,0.2366951953809523,0.2381904761904762,0.3259958374761905
GTM,pais,Guatemala,2019,0-10,4_clusters,0.0,0.0,28.0,2.594442714,0.4974,3.6,0.0,,30.7,0.6458,30.17,3.278169236,0.0,0.0,0.28,0.3706346734285714,0.4974,0.5142857142857143,0.0,0.307,0.6458,0.3017,0.4683098908571428,3.3851302785714283,0.0,0.3826782244761905,0.2737619047619048,0.4719366302857142
BTN,pais,Bhutan,2019,0-10,4_clusters,1.0,0.0,23.0,3.694351809,0.4274,,,,,0.5,,4.335373629,1.0,0.0,0.23,0.5277645441428571,0.4274,0.0,0.0,0.0,0.5,0.0,0.6193390898571429,3.3045036340000005,0.5,0.395054848047619,0.0,0.373113029952381
NIC,pais,Nicaragua,2019,0-10,4_clusters,1.0,0.0,,2.431649868,0.4233,3.2,,,27.0,0.4028,,2.657893181,1.0,0.0,0.0,0.3473785525714286,0.4233,0.4571428571428572,0.0,0.27,0.4028,0.0,0.3796990258571428,3.2803204355714284,0.5,0.2568928508571428,0.2423809523809524,0.2608330086190476
LSO,pais,Lesotho,2019,0-10,4_clusters,1.0,0.0,16.0,3.414611115,0.2968,3.5,,,23.7,0.1111,,3.310454528,1.0,0.0,0.16,0.4878015878571428,0.2968,0.5,0.0,0.237,0.1111,0.0,0.4729220754285714,3.2656236632857145,0.5,0.3148671959523809,0.2456666666666666,0.1946740251428571
CMR,pais,Cameroon,2019,0-10,4_clusters,0.0,0.0,11.0,3.278062882,0.3997,3.8,5.0,0.6989700043,29.1,0.4583,26.3,3.571331918,0.0,0.0,0.11,0.4682946974285714,0.3997,0.5428571428571428,0.188729769218263,0.291,0.4583,0.263,0.5101902739999999,3.232071883503977,0.0,0.3259982324761905,0.3408623040251353,0.410496758
BWA,pais,Botswana,2019,0-10,4_clusters,0.0,0.0,9.0,3.528366865,0.4253,3.7,0.0,,30.6,0.2083,57.76,3.988663036,0.0,0.0,0.09,0.5040524092857143,0.4253,0.5285714285714286,0.0,0.306,0.2083,0.5776,0.5698090051428572,3.2096328429999996,0.0,0.3397841364285714,0.2781904761904761,0.4519030017142857
BRN,pais,Brunei Darussalam,2019,0-10,4_clusters,0.0,0.0,,,0.6923,4.7,0.0,,33.9,0.7222,71.77,,0.0,0.0,0.0,0.0,0.6923,0.6714285714285715,0.0,0.3389999999999999,0.7222,0.7177,0.0,3.1426285714285713,0.0,0.2307666666666666,0.3368095238095238,0.4799666666666666
BLR,pais,Belarus,2019,0-10,4_clusters,1.0,0.0,,,0.7641,,10.0,1.0,,0.7361,32.45,,1.0,0.0,0.0,0.0,0.7641,0.0,0.2700112566450843,0.0,0.7361,0.3245,0.0,3.0947112566450845,0.5,0.2547,0.0900037522150281,0.3535333333333333
MNG,pais,Mongolia,2019,0-10,4_clusters,0.0,0.0,,3.216111016,0.5824,,2.0,0.3010299957,31.0,0.5972,42.45,3.872563303,0.0,0.0,0.0,0.4594444308571428,0.5824,0.0,0.0812814874268213,0.31,0.5972,0.4245,0.553223329,3.008049247283964,0.0,0.3472814769523809,0.1304271624756071,0.5249744430000001
BFA,pais,Burkina Faso,2019,0-10,4_clusters,1.0,0.0,,,0.3016,3.2,0.0,,24.9,0.5347,31.64,,1.0,0.0,0.0,0.0,0.3016,0.4571428571428572,0.0,0.249,0.5347,0.3164,0.0,2.8588428571428572,0.5,0.1005333333333333,0.2353809523809523,0.2837
KHM,pais,Cambodia,2019,0-10,4_clusters,0.0,0.0,17.0,2.828028108,0.3753,3.6,1.0,0.0,31.2,0.25,27.93,3.535425749,0.0,0.0,0.17,0.4040040154285714,0.3753,0.5142857142857143,0.0,0.312,0.25,0.2793,0.5050608212857143,2.809950551,0.0,0.3164346718095238,0.2754285714285714,0.3447869404285714
ETH,pais,Ethiopia,2019,0-10,4_clusters,0.0,0.0,,3.591553665,0.3463,3.5,,,26.5,0.6319,,3.647073198,0.0,0.0,0.0,0.513079095,0.3463,0.5,0.0,0.265,0.6319,0.0,0.5210104568571429,2.7772895518571428,0.0,0.2864596983333333,0.255,0.3843034856190476
MOZ,pais,Mozambique,2019,0-10,4_clusters,0.0,0.0,12.0,3.281567227,0.3195,2.8,0.0,,27.1,0.4236,24.0,3.570052964,0.0,0.0,0.12,0.4687953181428571,0.3195,0.3999999999999999,0.0,0.271,0.4236,0.24,0.5100075662857143,2.752902884428571,0.0,0.302765106047619,0.2236666666666666,0.3912025220952381
TCD,pais,Chad,2019,0-10,4_clusters,1.0,0.0,,2.603038052,0.1257,3.0,,,21.6,0.1458,,2.97016559,1.0,0.0,0.0,0.3718625788571428,0.1257,0.4285714285714285,0.0,0.216,0.1458,0.0,0.42430937,2.7122433774285715,0.5,0.1658541929523809,0.2148571428571428,0.1900364566666667
AGO,pais,Angola,2019,0-10,4_clusters,1.0,0.0,,3.056720267,0.3376,2.2,,,16.8,0.4097,,,1.0,0.0,0.0,0.4366743238571429,0.3376,0.3142857142857143,0.0,0.168,0.4097,0.0,0.0,2.6662600381428576,0.5,0.2580914412857143,0.1607619047619047,0.1365666666666666
LIE,pais,Liechtenstein,2019,0-10,4_clusters,1.0,0.0,,,0.8204,,,,,0.7986,,,1.0,0.0,0.0,0.0,0.8204,0.0,0.0,0.0,0.7986,0.0,0.0,2.619,0.5,0.2734666666666667,0.0,0.2662
MDG,pais,Madagascar,2019,0-10,4_clusters,1.0,0.0,,2.844913988,0.2792,,0.0,,,0.3056,16.21,2.917523039,1.0,0.0,0.0,0.406416284,0.2792,0.0,0.0,0.0,0.3056,0.1621,0.4167890055714286,2.570105289571429,0.5,0.2285387613333333,0.0,0.2948296685238095
GAB,pais,Gabon,2019,0-10,4_clusters,1.0,0.0,,2.66681247,0.4313,,,,,0.2292,,3.55407569,1.0,0.0,0.0,0.38097321,0.4313,0.0,0.0,0.0,0.2292,0.0,0.5077250985714286,2.5491983085714285,0.5,0.2707577366666667,0.0,0.2456416995238095
BHS,pais,Bahamas (the),2019,0-10,4_clusters,1.0,0.0,17.0,,0.6552,,,,,0.7014,,,1.0,0.0,0.17,0.0,0.6552,0.0,0.0,0.0,0.7014,0.0,0.0,2.5266,0.5,0.2750666666666667,0.0,0.2338
VEN,pais,Venezuela (Bolivarian Republic of),2019,0-10,4_clusters,0.0,0.0,14.0,1.633133592,0.5287,3.6,,,31.2,0.4097,,2.36893306,0.0,0.0,0.14,0.2333047988571428,0.5287,0.5142857142857143,0.0,0.312,0.4097,0.0,0.3384190085714285,2.476409521714286,0.0,0.3006682662857142,0.2754285714285714,0.2493730028571428
MCO,pais,Monaco,2019,0-10,4_clusters,1.0,0.0,,,0.805,,,,,0.625,,,1.0,0.0,0.0,0.0,0.805,0.0,0.0,0.0,0.625,0.0,0.0,2.43,0.5,0.2683333333333333,0.0,0.2083333333333333
BRB,pais,Barbados,2019,0-10,4_clusters,1.0,0.0,4.0,,0.7229,,,,,0.6667,,,1.0,0.0,0.04,0.0,0.7229,0.0,0.0,0.0,0.6667,0.0,0.0,2.4296,0.5,0.2543,0.0,0.2222333333333333
LAO,pais,Lao People's Democratic Republic (the),2019,0-10,4_clusters,0.0,0.0,,3.138903314,0.3056,3.9,,,27.4,0.1667,,3.931767953,0.0,0.0,0.0,0.4484147591428571,0.3056,0.5571428571428572,0.0,0.2739999999999999,0.1667,0.0,0.5616811361428572,2.313538752428572,0.0,0.2513382530476191,0.277047619047619,0.242793712047619
LBR,pais,Liberia,2019,0-10,4_clusters,0.0,0.0,,3.799999952,0.2737,3.2,,,22.0,0.3403,,3.291139126,0.0,0.0,0.0,0.542857136,0.2737,0.4571428571428572,0.0,0.22,0.3403,0.0,0.4701627322857143,2.3041627254285713,0.0,0.2721857119999999,0.2257142857142857,0.2701542440952381
AND,pais,Andorra,2019,0-10,4_clusters,1.0,0.0,,,0.6857,,,,,0.6042,,,1.0,0.0,0.0,0.0,0.6857,0.0,0.0,0.0,0.6042,0.0,0.0,2.2899,0.5,0.2285666666666666,0.0,0.2014
GIN,pais,Guinea,2019,0-10,4_clusters,0.0,0.0,,2.637388246,0.2348,2.7,0.0,,31.8,0.3125,20.15,2.951551322,0.0,0.0,0.0,0.3767697494285714,0.2348,0.3857142857142857,0.0,0.318,0.3125,0.2014999999999999,0.4216501888571428,2.250934224,0.0,0.2038565831428571,0.2345714285714285,0.3118833962857143
DZA,pais,Algeria,2019,0-10,4_clusters,0.0,0.0,,,0.4227,3.8,0.0,,29.9,0.2153,31.65,3.149965421,0.0,0.0,0.0,0.0,0.4227,0.5428571428571428,0.0,0.299,0.2153,0.3165,0.4499950601428572,2.246352203,0.0,0.1409,0.2806190476190476,0.3272650200476191
KNA,pais,Saint Kitts and Nevis,2019,0-10,4_clusters,1.0,0.0,4.0,,0.6554,,,,,0.5347,,,1.0,0.0,0.04,0.0,0.6554,0.0,0.0,0.0,0.5347,0.0,0.0,2.2301,0.5,0.2318,0.0,0.1782333333333333
DMA,pais,Dominica,2019,0-10,4_clusters,1.0,0.0,,,0.5794,,,,,0.6111,,,1.0,0.0,0.0,0.0,0.5794,0.0,0.0,0.0,0.6111,0.0,0.0,2.1905,0.5,0.1931333333333333,0.0,0.2037
ATG,pais,Antigua and Barbuda,2019,0-10,4_clusters,1.0,0.0,5.0,,0.5906,,,,,0.4583,,,1.0,0.0,0.05,0.0,0.5906,0.0,0.0,0.0,0.4583,0.0,0.0,2.0989,0.5,0.2135333333333333,0.0,0.1527666666666666
GUY,pais,Guyana,2019,0-10,4_clusters,0.0,0.0,20.0,3.404390423,0.4316,,,,,0.4306,,3.816529108,0.0,0.0,0.2,0.486341489,0.4316,0.0,0.0,0.0,0.4306,0.0,0.545218444,2.0937599330000003,0.0,0.372647163,0.0,0.3252728146666666
SMR,pais,San Marino,2019,0-10,4_clusters,1.0,0.0,,,0.6471,,,,,0.4236,,,1.0,0.0,0.0,0.0,0.6471,0.0,0.0,0.0,0.4236,0.0,0.0,2.0707,0.5,0.2157,0.0,0.1412
NER,pais,Niger (the),2019,0-10,4_clusters,1.0,0.0,,,0.1095,,0.0,,,0.1597,30.45,3.371091305,1.0,0.0,0.0,0.0,0.1095,0.0,0.0,0.0,0.1597,0.3045,0.4815844721428571,2.055284472142857,0.5,0.0365,0.0,0.3152614907142857
BDI,pais,Burundi,2019,0-10,4_clusters,0.0,0.0,,2.659258802,0.2985,2.8,,,23.8,0.3056,,3.025993612,0.0,0.0,0.0,0.3798941145714286,0.2985,0.3999999999999999,0.0,0.238,0.3056,0.0,0.4322848017142857,2.054278916285714,0.0,0.2261313715238095,0.2126666666666666,0.2459616005714285
VCT,pais,Saint Vincent and the Grenadines,2019,0-10,4_clusters,1.0,0.0,7.0,,0.5306,,,,,0.4514,,,1.0,0.0,0.07,0.0,0.5306,0.0,0.0,0.0,0.4514,0.0,0.0,2.052,0.5,0.2002,0.0,0.1504666666666666
HTI,pais,Haiti,2019,0-10,4_clusters,0.0,0.0,,2.463406857,0.3047,2.8,,,20.3,0.4444,,2.311015245,0.0,0.0,0.0,0.3519152652857142,0.3047,0.3999999999999999,0.0,0.203,0.4444,0.0,0.330145035,2.0341603002857145,0.0,0.218871755095238,0.2009999999999999,0.2581816783333333
MRT,pais,Mauritania,2019,0-10,4_clusters,0.0,0.0,,2.678482744,0.2314,3.9,,,25.5,0.1597,,3.067652349,0.0,0.0,0.0,0.382640392,0.2314,0.5571428571428572,0.0,0.255,0.1597,0.0,0.4382360498571428,2.0241192989999996,0.0,0.2046801306666666,0.2707142857142857,0.1993120166190476
YEM,pais,Yemen,2019,0-10,4_clusters,1.0,0.0,,,0.2154,2.9,,,22.8,0.0972,,,1.0,0.0,0.0,0.0,0.2154,0.4142857142857142,0.0,0.228,0.0972,0.0,0.0,1.9548857142857143,0.5,0.0718,0.2140952380952381,0.0324
LCA,pais,Saint Lucia,2019,0-10,4_clusters,1.0,0.0,15.0,,0.466,,,,,0.2847,,,1.0,0.0,0.15,0.0,0.466,0.0,0.0,0.0,0.2847,0.0,0.0,1.9007,0.5,0.2053333333333333,0.0,0.0949
SWZ,pais,Swaziland,2019,0-10,4_clusters,1.0,0.0,,3.019966614,,,,,,,,3.201209724,1.0,0.0,0.0,0.4314238019999999,0.0,0.0,0.0,0.0,0.0,0.0,0.4573156748571428,1.8887394768571428,0.5,0.143807934,0.0,0.1524385582857143
