pais_original,privacy_laws,ai_strategy,data_availability,govt_procurement_advanced_tech,data_capability_govt,technology_skills,ai_startups,log_ai_startups,innovation_capability,digital_public_services,govt_effectiveness,ict_govt_vision,norm_privacy_laws,norm_ai_strategy,norm_data_availability,norm_govt_procurement,norm_data_capability,norm_technology_skills,norm_log_ai_startups,norm_innovation_capability,norm_digital_public_services,norm_govt_effectiveness,norm_ict_govt_vision,total_score,avg_governance,avg_infrastructure_data,avg_skills_education,avg_govt_public_services,year,scale,framework
Bosnia and Herzegovina,1.0,0.0,26.0,2.353535414,0.5303,3.8,2.0,0.3010299957,28.2,0.4306,34.42,2.630000114,1.0,0.0,0.26,0.33621934485714283,0.5303,0.5428571428571428,0.08128148742682134,0.282,0.4306,0.3442,0.375714302,4.183172277141107,0.5,0.3755064482857143,0.30204621009465477,0.38350476733333333,2019,0-10,4_clusters
Honduras,1.0,0.0,,3.619827492,0.4474,3.6,0.0,,31.5,0.5139,26.98,3.903095078,1.0,0.0,0.0,0.5171182131428572,0.4474,0.5142857142857143,0.0,0.315,0.5139,0.2698,0.5575850111428572,4.135088938571428,0.5,0.3215060710476191,0.27642857142857147,0.4470950037142858,2019,0-10,4_clusters
Kyrgyzstan,1.0,0.0,,2.800258485,0.5835,3.9,0.0,,26.7,0.6458,22.86,3.100299737,1.0,0.0,0.0,0.4000369264285714,0.5835,0.5571428571428572,0.0,0.267,0.6458,0.2286,0.4428999624285714,4.124979746,0.5,0.3278456421428571,0.27471428571428574,0.4390999874761905,2019,0-10,4_clusters
Tajikistan,1.0,0.0,,3.865803292,0.422,4.5,0.0,,27.4,0.3403,19.82,3.930337012,1.0,0.0,0.0,0.5522576131428572,0.422,0.6428571428571429,0.0,0.27399999999999997,0.3403,0.19820000000000002,0.5614767159999999,3.991091472,0.5,0.3247525377142857,0.3056190476190476,0.36665890533333334,2019,0-10,4_clusters
Rwanda,0.0,0.0,,4.6165548,0.459,3.9,,,27.3,0.7222,47.82,5.768590876,0.0,0.0,0.0,0.6595078285714286,0.459,0.5571428571428572,0.0,0.273,0.7222,0.4782,0.8240844108571429,3.973135096571429,0.0,0.3728359428571429,0.27671428571428575,0.6748281369523809,2019,0-10,4_clusters
Bahrain,0.0,0.0,,4.105276597,0.8116,,3.0,0.4771212547,35.9,0.7986,53.22,5.218081628,0.0,0.0,0.0,0.5864680852857143,0.8116,0.0,0.12882810955362636,0.359,0.7986,0.5322,0.7454402325714286,3.962136427410769,0.0,0.46602269509523814,0.16260936985120877,0.6920800775238095,2019,0-10,4_clusters
Cabo Verde,1.0,0.0,,3.64709529,0.498,4.1,,,21.4,0.4861,,4.46508594,1.0,0.0,0.0,0.5210136128571429,0.498,0.5857142857142856,0.0,0.214,0.4861,0.0,0.63786942,3.9426973185714282,0.5,0.33967120428571435,0.2665714285714285,0.3746564733333333,2019,0-10,4_clusters
Paraguay,1.0,0.0,44.0,2.713785646,0.5255,,0.0,,28.9,0.5556,26.03,2.902435938,1.0,0.0,0.44,0.3876836637142857,0.5255,0.0,0.0,0.289,0.5556,0.26030000000000003,0.4146337054285714,3.8727173691428574,0.5,0.4510612212380953,0.09633333333333333,0.4101779018095238,2019,0-10,4_clusters
Bangladesh,0.0,0.0,25.0,2.595437384,0.4862,3.3,10.0,1.0,30.6,0.7847,28.06,4.116846968,0.0,0.0,0.25,0.3707767691428571,0.4862,0.4714285714285714,0.27001125664508435,0.306,0.7847,0.28059999999999996,0.5881209954285714,3.8078375926450843,0.0,0.3689922563809524,0.3491466093578853,0.5511403318095237,2019,0-10,4_clusters
Côte d'Ivoire,1.0,0.0,,3.652955464,0.2776,3.9,0.0,,28.3,0.2222,28.59,4.612764645,1.0,0.0,0.0,0.5218507805714286,0.2776,0.5571428571428572,0.0,0.28300000000000003,0.2222,0.2859,0.658966377857143,3.8066600155714285,0.5,0.2664835935238095,0.28004761904761905,0.389022125952381,2019,0-10,4_clusters
Sri Lanka,0.0,0.0,,3.824173841,0.5751,3.9,0.0,,33.7,0.6667,39.91,4.997625048,0.0,0.0,0.0,0.5463105487142857,0.5751,0.5571428571428572,0.0,0.337,0.6667,0.39909999999999995,0.7139464354285714,3.795299841285714,0.0,0.3738035162380952,0.29804761904761906,0.5932488118095237,2019,0-10,4_clusters
Benin,1.0,0.0,,2.84375,0.3264,3.4,0.0,,26.7,0.4722,31.12,3.230769157,1.0,0.0,0.0,0.40625,0.3264,0.4857142857142857,0.0,0.267,0.4722,0.31120000000000003,0.461538451,3.7303027367142856,0.5,0.24421666666666667,0.2509047619047619,0.4149794836666667,2019,0-10,4_clusters
Nigeria,1.0,0.0,,2.783441774,0.3807,3.3,18.0,1.255272505,31.4,0.5278,18.18,,1.0,0.0,0.0,0.3976345391428571,0.3807,0.4714285714285714,0.33893770650707294,0.314,0.5278,0.1818,0.0,3.6123008170785016,0.5,0.2594448463809524,0.3747887593118815,0.23653333333333335,2019,0-10,4_clusters
Gambia (the),1.0,0.0,,3.840211973,0.2958,3.8,,,30.4,0.2708,,4.481577956,1.0,0.0,0.0,0.5486017104285714,0.2958,0.5428571428571428,0.0,0.304,0.2708,0.0,0.6402254222857142,3.602284275571428,0.5,0.28146723680952385,0.28228571428571425,0.3036751407619047,2019,0-10,4_clusters
Mali,1.0,0.0,,3.4790074,0.2424,3.8,0.0,,29.3,0.2639,20.59,3.692698037,1.0,0.0,0.0,0.49700105714285714,0.2424,0.5428571428571428,0.0,0.293,0.2639,0.2059,0.527528291,3.572586491,0.5,0.24646701904761903,0.2786190476190476,0.33244276366666664,2019,0-10,4_clusters
Zimbabwe,1.0,0.0,13.0,2.225904716,0.3692,3.8,0.0,,25.5,0.3264,16.39,2.838001808,1.0,0.0,0.13,0.317986388,0.3692,0.5428571428571428,0.0,0.255,0.3264,0.16390000000000002,0.40542882971428573,3.5107723605714285,0.5,0.27239546266666664,0.26595238095238094,0.2985762765714286,2019,0-10,4_clusters
Egypt,0.0,0.0,,3.215918892,0.488,4.2,11.0,1.041392685,37.7,0.5347,28.84,3.243154811,0.0,0.0,0.0,0.45941698457142854,0.488,0.6,0.2811877475378485,0.377,0.5347,0.2884,0.46330783014285715,3.4920125622521345,0.0,0.3158056615238095,0.4193959158459495,0.42880261004761905,2019,0-10,4_clusters
Lebanon,0.0,0.0,,2.581191911,0.553,5.1,10.0,1.0,38.6,0.4722,32.05,2.719230545,0.0,0.0,0.0,0.36874170157142855,0.553,0.7285714285714285,0.27001125664508435,0.386,0.4722,0.32049999999999995,0.3884615064285714,3.4874858932165127,0.0,0.30724723385714287,0.46152756173883763,0.39372050214285714,2019,0-10,4_clusters
Namibia,0.0,0.0,15.0,3.398239539,0.4554,3.4,0.0,,34.1,0.4514,49.42,3.913677992,0.0,0.0,0.15,0.4854627912857143,0.4554,0.4857142857142857,0.0,0.341,0.4514,0.49420000000000003,0.559096856,3.4222739330000005,0.0,0.3636209304285714,0.2755714285714286,0.5015656186666667,2019,0-10,4_clusters
Malawi,1.0,0.0,5.0,2.724999103,0.2708,3.0,0.0,,28.6,0.2569,26.94,3.161812587,1.0,0.0,0.05,0.38928558614285713,0.2708,0.42857142857142855,0.0,0.28600000000000003,0.2569,0.26940000000000003,0.4516875124285714,3.402644527142857,0.5,0.23669519538095238,0.2381904761904762,0.3259958374761905,2019,0-10,4_clusters
Guatemala,0.0,0.0,28.0,2.594442714,0.4974,3.6,0.0,,30.7,0.6458,30.17,3.278169236,0.0,0.0,0.28,0.3706346734285714,0.4974,0.5142857142857143,0.0,0.307,0.6458,0.3017,0.46830989085714286,3.3851302785714283,0.0,0.38267822447619054,0.2737619047619048,0.47193663028571425,2019,0-10,4_clusters
Bhutan,1.0,0.0,23.0,3.694351809,0.4274,,,,,0.5,,4.335373629,1.0,0.0,0.23,0.5277645441428571,0.4274,0.0,0.0,0.0,0.5,0.0,0.6193390898571429,3.3045036340000005,0.5,0.39505484804761903,0.0,0.373113029952381,2019,0-10,4_clusters
Nicaragua,1.0,0.0,,2.431649868,0.4233,3.2,,,27.0,0.4028,,2.657893181,1.0,0.0,0.0,0.3473785525714286,0.4233,0.4571428571428572,0.0,0.27,0.4028,0.0,0.3796990258571428,3.2803204355714284,0.5,0.25689285085714286,0.2423809523809524,0.2608330086190476,2019,0-10,4_clusters
Lesotho,1.0,0.0,16.0,3.414611115,0.2968,3.5,,,23.7,0.1111,,3.310454528,1.0,0.0,0.16,0.48780158785714284,0.2968,0.5,0.0,0.237,0.1111,0.0,0.47292207542857145,3.2656236632857145,0.5,0.31486719595238094,0.24566666666666667,0.19467402514285714,2019,0-10,4_clusters
Cameroon,0.0,0.0,11.0,3.278062882,0.3997,3.8,5.0,0.6989700043,29.1,0.4583,26.3,3.571331918,0.0,0.0,0.11,0.46829469742857144,0.3997,0.5428571428571428,0.188729769218263,0.29100000000000004,0.4583,0.263,0.5101902739999999,3.232071883503977,0.0,0.3259982324761905,0.3408623040251353,0.410496758,2019,0-10,4_clusters
Botswana,0.0,0.0,9.0,3.528366865,0.4253,3.7,0.0,,30.6,0.2083,57.76,3.988663036,0.0,0.0,0.09,0.5040524092857143,0.4253,0.5285714285714286,0.0,0.306,0.2083,0.5776,0.5698090051428572,3.2096328429999996,0.0,0.3397841364285714,0.27819047619047615,0.45190300171428577,2019,0-10,4_clusters
Brunei Darussalam,0.0,0.0,,,0.6923,4.7,0.0,,33.9,0.7222,71.77,,0.0,0.0,0.0,0.0,0.6923,0.6714285714285715,0.0,0.33899999999999997,0.7222,0.7177,0.0,3.1426285714285713,0.0,0.23076666666666668,0.33680952380952384,0.47996666666666665,2019,0-10,4_clusters
Belarus,1.0,0.0,,,0.7641,,10.0,1.0,,0.7361,32.45,,1.0,0.0,0.0,0.0,0.7641,0.0,0.27001125664508435,0.0,0.7361,0.3245,0.0,3.0947112566450845,0.5,0.2547,0.09000375221502811,0.3535333333333333,2019,0-10,4_clusters
Mongolia,0.0,0.0,,3.216111016,0.5824,,2.0,0.3010299957,31.0,0.5972,42.45,3.872563303,0.0,0.0,0.0,0.45944443085714287,0.5824,0.0,0.08128148742682134,0.31,0.5972,0.42450000000000004,0.553223329,3.008049247283964,0.0,0.34728147695238093,0.13042716247560712,0.5249744430000001,2019,0-10,4_clusters
Burkina Faso,1.0,0.0,,,0.3016,3.2,0.0,,24.9,0.5347,31.64,,1.0,0.0,0.0,0.0,0.3016,0.4571428571428572,0.0,0.249,0.5347,0.3164,0.0,2.8588428571428572,0.5,0.10053333333333332,0.23538095238095239,0.2837,2019,0-10,4_clusters
Cambodia,0.0,0.0,17.0,2.828028108,0.3753,3.6,1.0,0.0,31.2,0.25,27.93,3.535425749,0.0,0.0,0.17,0.4040040154285714,0.3753,0.5142857142857143,0.0,0.312,0.25,0.2793,0.5050608212857143,2.809950551,0.0,0.31643467180952384,0.2754285714285714,0.34478694042857144,2019,0-10,4_clusters
Ethiopia,0.0,0.0,,3.591553665,0.3463,3.5,,,26.5,0.6319,,3.647073198,0.0,0.0,0.0,0.513079095,0.3463,0.5,0.0,0.265,0.6319,0.0,0.5210104568571429,2.7772895518571428,0.0,0.28645969833333335,0.255,0.38430348561904765,2019,0-10,4_clusters
Mozambique,0.0,0.0,12.0,3.281567227,0.3195,2.8,0.0,,27.1,0.4236,24.0,3.570052964,0.0,0.0,0.12,0.46879531814285713,0.3195,0.39999999999999997,0.0,0.271,0.4236,0.24,0.5100075662857143,2.752902884428571,0.0,0.302765106047619,0.22366666666666668,0.39120252209523815,2019,0-10,4_clusters
Chad,1.0,0.0,,2.603038052,0.1257,3.0,,,21.6,0.1458,,2.97016559,1.0,0.0,0.0,0.37186257885714286,0.1257,0.42857142857142855,0.0,0.21600000000000003,0.1458,0.0,0.42430937,2.7122433774285715,0.5,0.16585419295238094,0.21485714285714286,0.1900364566666667,2019,0-10,4_clusters
Angola,1.0,0.0,,3.056720267,0.3376,2.2,,,16.8,0.4097,,,1.0,0.0,0.0,0.4366743238571429,0.3376,0.31428571428571433,0.0,0.168,0.4097,0.0,0.0,2.6662600381428576,0.5,0.2580914412857143,0.16076190476190477,0.13656666666666667,2019,0-10,4_clusters
