pais_original,privacy_laws,ai_strategy,data_availability,govt_procurement_advanced_tech,data_capability_govt,technology_skills,ai_startups,log_ai_startups,innovation_capability,digital_public_services,govt_effectiveness,ict_govt_vision,norm_privacy_laws,norm_ai_strategy,norm_data_availability,norm_govt_procurement,norm_data_capability,norm_technology_skills,norm_log_ai_startups,norm_innovation_capability,norm_digital_public_services,norm_govt_effectiveness,norm_ict_govt_vision,total_score,avg_governance,avg_infrastructure_data,avg_skills_education,avg_govt_public_services,year,scale,framework
Tonga,0.0,0.0,,,0.5237,,,,,0.4722,,,0.0,0.0,0.0,0.0,0.5237,0.0,0.0,0.0,0.4722,0.0,0.0,0.9959,0.0,0.17456666666666668,0.0,0.1574,2019,0-10,4_clusters
Fiji,0.0,0.0,,,0.5348,,,,,0.4583,,,0.0,0.0,0.0,0.0,0.5348,0.0,0.0,0.0,0.4583,0.0,0.0,0.9931000000000001,0.0,0.17826666666666668,0.0,0.15276666666666666,2019,0-10,4_clusters
Vanuatu,0.0,0.0,,,0.399,,,,,0.4375,,,0.0,0.0,0.0,0.0,0.399,0.0,0.0,0.0,0.4375,0.0,0.0,0.8365,0.0,0.133,0.0,0.14583333333333334,2019,0-10,4_clusters
Palau,0.0,0.0,,,0.5024,,,,,0.3264,,,0.0,0.0,0.0,0.0,0.5024,0.0,0.0,0.0,0.3264,0.0,0.0,0.8288,0.0,0.16746666666666665,0.0,0.10880000000000001,2019,0-10,4_clusters
Samoa,0.0,0.0,,,0.4236,,,,,0.3403,,,0.0,0.0,0.0,0.0,0.4236,0.0,0.0,0.0,0.3403,0.0,0.0,0.7639,0.0,0.1412,0.0,0.11343333333333333,2019,0-10,4_clusters
Belize,0.0,0.0,,,0.4115,,,,,0.3333,,,0.0,0.0,0.0,0.0,0.4115,0.0,0.0,0.0,0.3333,0.0,0.0,0.7447999999999999,0.0,0.13716666666666666,0.0,0.11109999999999999,2019,0-10,4_clusters
Cuba,0.0,0.0,,,0.4101,,,,,0.2986,,,0.0,0.0,0.0,0.0,0.4101,0.0,0.0,0.0,0.2986,0.0,0.0,0.7087,0.0,0.13670000000000002,0.0,0.09953333333333332,2019,0-10,4_clusters
Timor-Leste,0.0,0.0,,,0.3816,,,,,0.3125,,,0.0,0.0,0.0,0.0,0.3816,0.0,0.0,0.0,0.3125,0.0,0.0,0.6940999999999999,0.0,0.1272,0.0,0.10416666666666667,2019,0-10,4_clusters
Afghanistan,0.0,0.0,12.0,,0.2585,,,,,0.3056,,,0.0,0.0,0.12,0.0,0.2585,0.0,0.0,0.0,0.3056,0.0,0.0,0.6840999999999999,0.0,0.12616666666666668,0.0,0.10186666666666666,2019,0-10,4_clusters
Syrian Arab Republic (the),0.0,0.0,,,0.3459,,,,,0.2986,,,0.0,0.0,0.0,0.0,0.3459,0.0,0.0,0.0,0.2986,0.0,0.0,0.6445,0.0,0.1153,0.0,0.09953333333333332,2019,0-10,4_clusters
Kiribati,0.0,0.0,,,0.345,,,,,0.2986,,,0.0,0.0,0.0,0.0,0.345,0.0,0.0,0.0,0.2986,0.0,0.0,0.6436,0.0,0.11499999999999999,0.0,0.09953333333333332,2019,0-10,4_clusters
Tuvalu,0.0,0.0,,,0.3779,,,,,0.2222,,,0.0,0.0,0.0,0.0,0.3779,0.0,0.0,0.0,0.2222,0.0,0.0,0.6001000000000001,0.0,0.12596666666666667,0.0,0.07406666666666667,2019,0-10,4_clusters
Marshall Islands (the),0.0,0.0,,,0.3543,,,,,0.2292,,,0.0,0.0,0.0,0.0,0.3543,0.0,0.0,0.0,0.2292,0.0,0.0,0.5835,0.0,0.1181,0.0,0.0764,2019,0-10,4_clusters
Papua New Guinea,0.0,0.0,,,0.2787,,,,,0.2708,,,0.0,0.0,0.0,0.0,0.2787,0.0,0.0,0.0,0.2708,0.0,0.0,0.5495,0.0,0.0929,0.0,0.09026666666666666,2019,0-10,4_clusters
Djibouti,0.0,0.0,,,0.2401,,,,,0.2917,,,0.0,0.0,0.0,0.0,0.2401,0.0,0.0,0.0,0.2917,0.0,0.0,0.5318,0.0,0.08003333333333333,0.0,0.09723333333333334,2019,0-10,4_clusters
Solomon Islands,0.0,0.0,,,0.2816,,,,,0.2431,,,0.0,0.0,0.0,0.0,0.2816,0.0,0.0,0.0,0.2431,0.0,0.0,0.5247,0.0,0.09386666666666667,0.0,0.08103333333333333,2019,0-10,4_clusters
Turkmenistan,0.0,0.0,,,0.3652,,,,,0.1319,,,0.0,0.0,0.0,0.0,0.3652,0.0,0.0,0.0,0.1319,0.0,0.0,0.4971,0.0,0.12173333333333335,0.0,0.04396666666666666,2019,0-10,4_clusters
Libya,0.0,0.0,,,0.3833,,,,,0.0972,,,0.0,0.0,0.0,0.0,0.3833,0.0,0.0,0.0,0.0972,0.0,0.0,0.4805,0.0,0.12776666666666667,0.0,0.0324,2019,0-10,4_clusters
Democratic Republic of the Congo (the),0.0,0.0,,,0.2612,,,,,0.2083,,,0.0,0.0,0.0,0.0,0.2612,0.0,0.0,0.0,0.2083,0.0,0.0,0.46950000000000003,0.0,0.08706666666666667,0.0,0.06943333333333333,2019,0-10,4_clusters
Nauru,0.0,0.0,,,0.3324,,,,,0.1319,,,0.0,0.0,0.0,0.0,0.3324,0.0,0.0,0.0,0.1319,0.0,0.0,0.46429999999999993,0.0,0.1108,0.0,0.04396666666666666,2019,0-10,4_clusters
Micronesia (Federated States of),0.0,0.0,,,0.3155,,,,,0.1458,,,0.0,0.0,0.0,0.0,0.3155,0.0,0.0,0.0,0.1458,0.0,0.0,0.46130000000000004,0.0,0.10516666666666667,0.0,0.048600000000000004,2019,0-10,4_clusters
Sudan (the),0.0,0.0,,,0.2394,,,,,0.1528,,,0.0,0.0,0.0,0.0,0.2394,0.0,0.0,0.0,0.1528,0.0,0.0,0.3922,0.0,0.0798,0.0,0.05093333333333333,2019,0-10,4_clusters
Central African Republic (the),0.0,0.0,,,0.1584,,,,,0.2083,,,0.0,0.0,0.0,0.0,0.1584,0.0,0.0,0.0,0.2083,0.0,0.0,0.3667,0.0,0.05280000000000001,0.0,0.06943333333333333,2019,0-10,4_clusters
Comoros (the),0.0,0.0,,,0.2336,,,,,0.0972,,,0.0,0.0,0.0,0.0,0.2336,0.0,0.0,0.0,0.0972,0.0,0.0,0.3308,0.0,0.07786666666666667,0.0,0.0324,2019,0-10,4_clusters
Guinea-Bissau,0.0,0.0,,,0.1887,,,,,0.0764,,,0.0,0.0,0.0,0.0,0.1887,0.0,0.0,0.0,0.0764,0.0,0.0,0.2651,0.0,0.0629,0.0,0.025466666666666665,2019,0-10,4_clusters
South Sudan,0.0,0.0,,,0.1214,,,,,0.1111,,,0.0,0.0,0.0,0.0,0.1214,0.0,0.0,0.0,0.1111,0.0,0.0,0.23249999999999998,0.0,0.040466666666666665,0.0,0.037033333333333335,2019,0-10,4_clusters
Eritrea,0.0,0.0,,,0.1337,,,,,0.0833,,,0.0,0.0,0.0,0.0,0.1337,0.0,0.0,0.0,0.0833,0.0,0.0,0.21700000000000003,0.0,0.04456666666666667,0.0,0.027766666666666665,2019,0-10,4_clusters
Democratic People's Republic of Korea (the),0.0,0.0,,,0.2159,,,,,0.0,,,0.0,0.0,0.0,0.0,0.2159,0.0,0.0,0.0,0.0,0.0,0.0,0.2159,0.0,0.07196666666666666,0.0,0.0,2019,0-10,4_clusters
Somalia,0.0,0.0,,,0.0566,,,,,0.1111,,,0.0,0.0,0.0,0.0,0.0566,0.0,0.0,0.0,0.1111,0.0,0.0,0.16770000000000002,0.0,0.018866666666666667,0.0,0.037033333333333335,2019,0-10,4_clusters
