iso3,entity_type,pais_original,region_pertenece,rank_global,score_global,rank_asia_pacific,score_asia_pacific,rank_africa,score_africa,rank_latam,score_latam,rank_north_america,score_north_america,rank_eastern_europe,score_eastern_europe,rank_australasia,score_australasia,rank_western_europe,score_western_europe
QAT,pais,Qatar,asia_pacific,42.0,6.034872573428571,42.0,6.034872573428571,,,,,,,,,,,,
MLT,pais,Malta,western_europe,43.0,5.960649739949888,,,,,,,,,,,,,43.0,5.960649739949888
COL,pais,Colombia,latam,44.0,5.944830979484859,,,,,44.0,5.944830979484859,,,,,,,,
SVK,pais,Slovakia,eastern_europe,45.0,5.923371120092745,,,,,,,,,45.0,5.923371120092745,,,,
TUR,pais,Turkey,asia_pacific,46.0,5.8789558126789325,46.0,5.8789558126789325,,,,,,,,,,,,
BGR,pais,Bulgaria,eastern_europe,47.0,5.806067715933184,,,,,,,,,47.0,5.806067715933184,,,,
HUN,pais,Hungary,eastern_europe,48.0,5.79401353835768,,,,,,,,,48.0,5.79401353835768,,,,
GRC,pais,Greece,western_europe,49.0,5.760081823451374,,,,,,,,,,,,,49.0,5.760081823451374
PHL,pais,Philippines,asia_pacific,50.0,5.703820851387011,50.0,5.703820851387011,,,,,,,,,,,,
ARG,pais,Argentina,latam,51.0,5.684488358324345,,,,,51.0,5.684488358324345,,,,,,,,
KEN,pais,Kenya,africa,52.0,5.672401122939887,,,52.0,5.672401122939887,,,,,,,,,,
CYP,pais,Cyprus,western_europe,53.0,5.668483113484858,,,,,,,,,,,,,53.0,5.668483113484858
TUN,pais,Tunisia,africa,54.0,5.652322222329298,,,54.0,5.652322222329298,,,,,,,,,,
ROU,pais,Romania,eastern_europe,55.0,5.540178216431697,,,,,,,,,55.0,5.540178216431697,,,,
THA,pais,Thailand,asia_pacific,56.0,5.457617607664175,56.0,5.457617607664175,,,,,,,,,,,,
IDN,pais,Indonesia,asia_pacific,57.0,5.41957546373709,57.0,5.41957546373709,,,,,,,,,,,,
SRB,pais,Serbia,eastern_europe,58.0,5.364108240538021,,,,,,,,,58.0,5.364108240538021,,,,
OMN,pais,Oman,asia_pacific,59.0,5.320782214285715,59.0,5.320782214285715,,,,,,,,,,,,
MUS,pais,Mauritius,africa,60.0,5.317890339126153,,,60.0,5.317890339126153,,,,,,,,,,
MKD,pais,North Macedonia,eastern_europe,61.0,5.284411640411868,,,,,,,,,61.0,5.284411640411868,,,,
HRV,pais,Croatia,eastern_europe,62.0,5.272676846252306,,,,,,,,,62.0,5.272676846252306,,,,
UKR,pais,Ukraine,eastern_europe,63.0,5.26602090746408,,,,,,,,,63.0,5.26602090746408,,,,
AZE,pais,Azerbaijan,eastern_europe,64.0,5.243887937285714,,,,,,,,,64.0,5.243887937285714,,,,
KAZ,pais,Kazakhstan,asia_pacific,65.0,5.235666218840438,65.0,5.235666218840438,,,,,,,,,,,,
CRI,pais,Costa Rica,latam,66.0,5.201992439857143,,,,,66.0,5.201992439857143,,,,,,,,
MNE,pais,Montenegro,eastern_europe,67.0,5.195331740571428,,,,,,,,,67.0,5.195331740571428,,,,
ZAF,pais,South Africa,africa,68.0,5.151937233780326,,,68.0,5.151937233780326,,,,,,,,,,
PAN,pais,Panama,latam,69.0,5.136134371857143,,,,,69.0,5.136134371857143,,,,,,,,
VNM,pais,Viet Nam,asia_pacific,70.0,5.080937023342002,70.0,5.080937023342002,,,,,,,,,,,,
PER,pais,Peru,latam,71.0,5.076199983092746,,,,,71.0,5.076199983092746,,,,,,,,
IRN,pais,Iran,asia_pacific,72.0,5.0494704436727265,72.0,5.0494704436727265,,,,,,,,,,,,
TTO,pais,Trinidad and Tobago,latam,73.0,5.037612765836363,,,,,73.0,5.037612765836363,,,,,,,,
JOR,pais,Jordan,asia_pacific,74.0,4.927361624538021,74.0,4.927361624538021,,,,,,,,,,,,
GHA,pais,Ghana,africa,75.0,4.888198281680877,,,75.0,4.888198281680877,,,,,,,,,,
GEO,pais,Georgia,eastern_europe,76.0,4.86314648226901,,,,,,,,,76.0,4.86314648226901,,,,
DOM,pais,Dominican Republic,latam,77.0,4.803552764264935,,,,,77.0,4.803552764264935,,,,,,,,
SAU,pais,Saudi Arabia,asia_pacific,78.0,4.778587153252307,78.0,4.778587153252307,,,,,,,,,,,,
KWT,pais,Kuwait,asia_pacific,79.0,4.724960832000001,79.0,4.724960832000001,,,,,,,,,,,,
MAR,pais,Morocco,africa,80.0,4.717105062787277,,,80.0,4.717105062787277,,,,,,,,,,
ARM,pais,Armenia,eastern_europe,81.0,4.716286758407791,,,,,,,,,81.0,4.716286758407791,,,,
ECU,pais,Ecuador,latam,82.0,4.646439365554724,,,,,82.0,4.646439365554724,,,,,,,,
ALB,pais,Albania,eastern_europe,83.0,4.614446607,,,,,,,,,83.0,4.614446607,,,,
PAK,pais,Pakistan,asia_pacific,84.0,4.570256623521316,84.0,4.570256623521316,,,,,,,,,,,,
SLV,pais,El Salvador,latam,85.0,4.565811593857143,,,,,85.0,4.565811593857143,,,,,,,,
MDA,pais,Republic of Moldova,eastern_europe,86.0,4.533948660285715,,,,,,,,,86.0,4.533948660285715,,,,
JAM,pais,Jamaica,latam,87.0,4.475860206285714,,,,,87.0,4.475860206285714,,,,,,,,
NPL,pais,Nepal,asia_pacific,88.0,4.39996846797922,88.0,4.39996846797922,,,,,,,,,,,,
BOL,pais,Bolivia (Plurinational State of),latam,89.0,4.399116026142857,,,,,89.0,4.399116026142857,,,,,,,,
SYC,pais,Seychelles,africa,90.0,4.397194429714285,,,90.0,4.397194429714285,,,,,,,,,,
UGA,pais,Uganda,africa,91.0,4.369987118501562,,,91.0,4.369987118501562,,,,,,,,,,
ZMB,pais,Zambia,africa,92.0,4.319346351,,,92.0,4.319346351,,,,,,,,,,
SEN,pais,Senegal,africa,93.0,4.235050045571429,,,93.0,4.235050045571429,,,,,,,,,,
TZA,pais,United Republic of Tanzania,africa,93.0,4.235002069428572,,,93.0,4.235002069428572,,,,,,,,,,
BIH,pais,Bosnia and Herzegovina,eastern_europe,95.0,4.183172277126153,,,,,,,,,95.0,4.183172277126153,,,,
HND,pais,Honduras,latam,96.0,4.135088938571428,,,,,96.0,4.135088938571428,,,,,,,,
KGZ,pais,Kyrgyzstan,asia_pacific,97.0,4.124979746,97.0,4.124979746,,,,,,,,,,,,
TJK,pais,Tajikistan,asia_pacific,98.0,3.991091472,98.0,3.991091472,,,,,,,,,,,,
RWA,pais,Rwanda,africa,99.0,3.973135096571429,,,99.0,3.973135096571429,,,,,,,,,,
BHR,pais,Bahrain,asia_pacific,100.0,3.9621364274077915,100.0,3.9621364274077915,,,,,,,,,,,,
CPV,pais,Cabo Verde,africa,101.0,3.9426973185714282,,,101.0,3.9426973185714282,,,,,,,,,,
PRY,pais,Paraguay,latam,102.0,3.8727173691428574,,,,,102.0,3.8727173691428574,,,,,,,,
BGD,pais,Bangladesh,asia_pacific,103.0,3.807837592627716,103.0,3.807837592627716,,,,,,,,,,,,
CIV,pais,Côte d'Ivoire,africa,104.0,3.8066600155714285,,,104.0,3.8066600155714285,,,,,,,,,,
LKA,pais,Sri Lanka,asia_pacific,105.0,3.795299841285714,105.0,3.795299841285714,,,,,,,,,,,,
BEN,pais,Benin,africa,106.0,3.7303027367142856,,,106.0,3.7303027367142856,,,,,,,,,,
NGA,pais,Nigeria,africa,107.0,3.612300817084593,,,107.0,3.612300817084593,,,,,,,,,,
GMB,pais,Gambia,africa,108.0,3.602284275571428,,,108.0,3.602284275571428,,,,,,,,,,
MLI,pais,Mali,africa,109.0,3.572586491,,,109.0,3.572586491,,,,,,,,,,
ZWE,pais,Zimbabwe,africa,110.0,3.5107723605714285,,,110.0,3.5107723605714285,,,,,,,,,,
EGY,pais,Egypt,africa,111.0,3.492012562276769,,,111.0,3.492012562276769,,,,,,,,,,
LBN,pais,Lebanon,asia_pacific,112.0,3.4874858931991444,112.0,3.4874858931991444,,,,,,,,,,,,
NAM,pais,Namibia,africa,113.0,3.4222739330000005,,,113.0,3.4222739330000005,,,,,,,,,,
MWI,pais,Malawi,africa,114.0,3.402644527142857,,,114.0,3.402644527142857,,,,,,,,,,
GTM,pais,Guatemala,latam,115.0,3.3851302785714283,,,,,115.0,3.3851302785714283,,,,,,,,
BTN,pais,Bhutan,asia_pacific,116.0,3.3045036340000005,116.0,3.3045036340000005,,,,,,,,,,,,
NIC,pais,Nicaragua,latam,117.0,3.2803204355714284,,,,,117.0,3.2803204355714284,,,,,,,,
LSO,pais,Lesotho,africa,118.0,3.2656236632857145,,,118.0,3.2656236632857145,,,,,,,,,,
CMR,pais,Cameroon,africa,119.0,3.232071883501563,,,119.0,3.232071883501563,,,,,,,,,,
BWA,pais,Botswana,africa,120.0,3.2096328429999996,,,120.0,3.2096328429999996,,,,,,,,,,
BRN,pais,Brunei Darussalam,asia_pacific,121.0,3.1426285714285713,121.0,3.1426285714285713,,,,,,,,,,,,
BLR,pais,Belarus,eastern_europe,122.0,3.0947112566277157,,,,,,,,,122.0,3.0947112566277157,,,,
MNG,pais,Mongolia,asia_pacific,123.0,3.008049247269011,123.0,3.008049247269011,,,,,,,,,,,,
BFA,pais,Burkina Faso,africa,124.0,2.8588428571428572,,,124.0,2.8588428571428572,,,,,,,,,,
KHM,pais,Cambodia,asia_pacific,125.0,2.809950551,125.0,2.809950551,,,,,,,,,,,,
ETH,pais,Ethiopia,africa,126.0,2.7772895518571428,,,126.0,2.7772895518571428,,,,,,,,,,
MOZ,pais,Mozambique,africa,127.0,2.752902884428571,,,127.0,2.752902884428571,,,,,,,,,,
TCD,pais,Chad,africa,128.0,2.7122433774285715,,,128.0,2.7122433774285715,,,,,,,,,,
AGO,pais,Angola,africa,129.0,2.6662600381428576,,,129.0,2.6662600381428576,,,,,,,,,,
LIE,pais,Liechtenstein,western_europe,130.0,2.6189999999999998,,,,,,,,,,,,,130.0,2.6189999999999998
MDG,pais,Madagascar,africa,131.0,2.570105289571429,,,131.0,2.570105289571429,,,,,,,,,,
GAB,pais,Gabon,africa,132.0,2.5491983085714285,,,132.0,2.5491983085714285,,,,,,,,,,
BHS,pais,Bahamas,latam,133.0,2.5266,,,,,133.0,2.5266,,,,,,,,
VEN,pais,Venezuela,latam,134.0,2.476409521714286,,,,,134.0,2.476409521714286,,,,,,,,
MCO,pais,Monaco,western_europe,135.0,2.43,,,,,,,,,,,,,135.0,2.43
BRB,pais,Barbados,latam,135.0,2.4296,,,,,135.0,2.4296,,,,,,,,
LAO,pais,Lao People's Democratic Republic,asia_pacific,137.0,2.3135387524285718,137.0,2.3135387524285718,,,,,,,,,,,,
LBR,pais,Liberia,africa,138.0,2.3041627254285713,,,138.0,2.3041627254285713,,,,,,,,,,
AND,pais,Andorra,western_europe,139.0,2.2899,,,,,,,,,,,,,139.0,2.2899
GIN,pais,Guinea,africa,140.0,2.250934224,,,140.0,2.250934224,,,,,,,,,,
DZA,pais,Algeria,africa,141.0,2.246352203,,,141.0,2.246352203,,,,,,,,,,
KNA,pais,Saint Kitts and Nevis,latam,142.0,2.2301,,,,,142.0,2.2301,,,,,,,,
DMA,pais,Dominica,latam,143.0,2.1905,,,,,143.0,2.1905,,,,,,,,
ATG,pais,Antigua and Barbuda,latam,144.0,2.0989,,,,,144.0,2.0989,,,,,,,,
GUY,pais,Guyana,latam,145.0,2.0937599330000003,,,,,145.0,2.0937599330000003,,,,,,,,
SMR,pais,San Marino,western_europe,146.0,2.0707,,,,,,,,,,,,,146.0,2.0707
NER,pais,Niger,africa,147.0,2.055284472142857,,,147.0,2.055284472142857,,,,,,,,,,
BDI,pais,Burundi,africa,148.0,2.054278916285714,,,148.0,2.054278916285714,,,,,,,,,,
VCT,pais,Saint Vincent and the Grenadines,latam,149.0,2.052,,,,,149.0,2.052,,,,,,,,
HTI,pais,Haiti,latam,150.0,2.0341603002857145,,,,,150.0,2.0341603002857145,,,,,,,,
MRT,pais,Mauritania,africa,151.0,2.0241192989999996,,,151.0,2.0241192989999996,,,,,,,,,,
YEM,pais,Yemen,asia_pacific,152.0,1.9548857142857143,152.0,1.9548857142857143,,,,,,,,,,,,
LCA,pais,Saint Lucia,latam,153.0,1.9006999999999998,,,,,153.0,1.9006999999999998,,,,,,,,
SWZ,pais,Eswatini,africa,154.0,1.8887394768571428,,,154.0,1.8887394768571428,,,,,,,,,,
SUR,pais,Suriname,latam,155.0,1.7690000000000001,,,,,155.0,1.7690000000000001,,,,,,,,
IRQ,pais,Iraq,asia_pacific,156.0,1.657,156.0,1.657,,,,,,,,,,,,
STP,pais,Sao Tome and Principe,africa,157.0,1.4813,,,157.0,1.4813,,,,,,,,,,
UZB,pais,Uzbekistan,asia_pacific,158.0,1.4123999999999999,158.0,1.4123999999999999,,,,,,,,,,,,
MMR,pais,Myanmar,asia_pacific,159.0,1.3852041222857143,159.0,1.3852041222857143,,,,,,,,,,,,
SLE,pais,Sierra Leone,africa,160.0,1.344042857142857,,,160.0,1.344042857142857,,,,,,,,,,
GNQ,pais,Equatorial Guinea,africa,161.0,1.2784,,,161.0,1.2784,,,,,,,,,,
TGO,pais,Togo,africa,162.0,1.1391999999999998,,,162.0,1.1391999999999998,,,,,,,,,,
COG,pais,Congo,africa,163.0,1.092957142857143,,,163.0,1.092957142857143,,,,,,,,,,
GRD,pais,Grenada,latam,164.0,1.0861,,,,,164.0,1.0861,,,,,,,,
MDV,pais,Maldives,asia_pacific,165.0,1.0546,165.0,1.0546,,,,,,,,,,,,
TON,pais,Tonga,asia_pacific,166.0,0.9959,166.0,0.9959,,,,,,,,,,,,
FJI,pais,Fiji,asia_pacific,167.0,0.9931000000000001,167.0,0.9931000000000001,,,,,,,,,,,,
VUT,pais,Vanuatu,asia_pacific,168.0,0.8365,168.0,0.8365,,,,,,,,,,,,
PLW,pais,Palau,asia_pacific,169.0,0.8288,169.0,0.8288,,,,,,,,,,,,
WSM,pais,Samoa,asia_pacific,170.0,0.7639,170.0,0.7639,,,,,,,,,,,,
BLZ,pais,Belize,latam,171.0,0.7447999999999999,,,,,171.0,0.7447999999999999,,,,,,,,
CUB,pais,Cuba,latam,172.0,0.7087,,,,,172.0,0.7087,,,,,,,,
TLS,pais,Timor-Leste,asia_pacific,173.0,0.6940999999999999,173.0,0.6940999999999999,,,,,,,,,,,,
AFG,pais,Afghanistan,asia_pacific,174.0,0.6840999999999999,174.0,0.6840999999999999,,,,,,,,,,,,
SYR,pais,Syrian Arab Republic,asia_pacific,175.0,0.6445,175.0,0.6445,,,,,,,,,,,,
KIR,pais,Kiribati,asia_pacific,176.0,0.6436,,,,,,,,,,,,,,
TUV,pais,Tuvalu,asia_pacific,177.0,0.6001000000000001,177.0,0.6001000000000001,,,,,,,,,,,,
MHL,pais,Marshall Islands,asia_pacific,178.0,0.5835,178.0,0.5835,,,,,,,,,,,,
PNG,pais,Papua New Guinea,asia_pacific,179.0,0.5495,179.0,0.5495,,,,,,,,,,,,
DJI,pais,Djibouti,africa,180.0,0.5318,,,180.0,0.5318,,,,,,,,,,
SLB,pais,Solomon Islands,asia_pacific,181.0,0.5247,181.0,0.5247,,,,,,,,,,,,
TKM,pais,Turkmenistan,asia_pacific,182.0,0.4971,182.0,0.4971,,,,,,,,,,,,
LBY,pais,Libya,africa,183.0,0.4805,,,183.0,0.4805,,,,,,,,,,
COD,pais,Democratic Republic of the Congo,africa,184.0,0.46950000000000003,,,184.0,0.46950000000000003,,,,,,,,,,
NRU,pais,Nauru,asia_pacific,185.0,0.46429999999999993,185.0,0.46429999999999993,,,,,,,,,,,,
FSM,pais,Micronesia (Federated States of),asia_pacific,186.0,0.46130000000000004,186.0,0.46130000000000004,,,,,,,,,,,,
SDN,pais,Sudan,africa,187.0,0.3922,,,187.0,0.3922,,,,,,,,,,
CAF,pais,Central African Republic,africa,188.0,0.3667,,,188.0,0.3667,,,,,,,,,,
COM,pais,Comoros,africa,189.0,0.3308,,,189.0,0.3308,,,,,,,,,,
GNB,pais,Guinea-Bissau,africa,190.0,0.2651,,,190.0,0.2651,,,,,,,,,,
SSD,pais,South Sudan,africa,191.0,0.23249999999999998,,,191.0,0.23249999999999998,,,,,,,,,,
ERI,pais,Eritrea,africa,192.0,0.21700000000000003,,,192.0,0.21700000000000003,,,,,,,,,,
PRK,pais,Democratic People's Republic of Korea,asia_pacific,193.0,0.2159,193.0,0.2159,,,,,,,,,,,,
SOM,pais,Somalia,africa,194.0,0.16770000000000002,,,194.0,0.16770000000000002,,,,,,,,,,
