pais_original,year,scale,framework,total_score,government,technology_sector,data_infrastructure,vision,governance_ethics,digital_capacity,adaptability,maturity,innovation_capacity,human_capital,infrastructure,data_availability,data_representativeness
Haiti,2023,0-100,3_pillars_10_dims,21.97179066,8.924944199,22.89019916,34.10022863,0.0,11.28,12.82111111,11.59866568,11.2123406,30.77859024,26.67966664,14.062,25.9886859,62.25
Honduras,2023,0-100,3_pillars_10_dims,32.63199659,25.75036011,30.13924221,42.00638744,0.0,36.52,25.82777778,40.65366266,17.86006104,40.96661142,31.59105418,15.772,42.50216231,67.745
Hungary,2023,0-100,3_pillars_10_dims,60.66027035,69.95734828,42.20108879,69.82237397,100.0,61.576,65.58666667,52.66672645,32.44165721,46.86941751,47.29219166,58.69085132,70.89127058,79.885
Iceland,2023,0-100,3_pillars_10_dims,69.5940496,76.20868237,52.77752625,79.79594017,100.0,66.882,73.2,64.75272947,34.33698507,71.24533249,52.75026119,65.55010526,83.70587314,90.13184211
India,2023,0-100,3_pillars_10_dims,62.57800735,75.1759559,49.38818431,63.16988184,100.0,79.5,69.44666667,51.75715692,33.34569581,62.92308831,51.89576881,51.72290884,61.75173667,76.035
Indonesia,2023,0-100,3_pillars_10_dims,61.03492368,76.24230135,43.48299533,63.37947436,100.0,70.376,72.5,62.09320539,27.87303998,52.015458,50.56048801,51.948,59.42542308,78.765
Iran (Islamic Republic of),2023,0-100,3_pillars_10_dims,42.07324885,31.56491493,38.77360939,55.88122222,0.0,44.012,53.4,28.84765972,23.65041261,47.05338788,45.61702768,49.372,54.38166667,63.89
Iraq,2023,0-100,3_pillars_10_dims,33.39561913,28.8555,29.06845995,42.26289744,50.0,25.622,19.8,20.0,17.02192057,55.59899573,14.58446355,17.33666667,47.41202564,62.04
Ireland,2023,0-100,3_pillars_10_dims,69.82192222,71.51255972,56.95748759,80.99571936,100.0,69.532,60.80666667,55.71157222,53.12953395,56.5637029,61.17922593,65.84890884,77.63824923,99.5
Israel,2023,0-100,3_pillars_10_dims,65.4642356,53.67519243,66.29290327,76.42461111,0.0,75.706,76.20666667,62.78810304,49.70093316,89.8094334,59.36834325,67.758,73.01916667,88.49666667
Italy,2023,0-100,3_pillars_10_dims,67.62584509,76.6065863,50.97617739,75.29477158,100.0,85.546,69.89333333,50.98701186,40.33922246,52.84488071,59.744429,67.29914807,74.57516667,84.01
Jamaica,2023,0-100,3_pillars_10_dims,41.31633222,48.00813521,28.41451317,47.52634829,50.0,49.626,42.81333333,49.59320752,22.46104148,31.75105269,31.03144533,27.456,42.34304487,72.78
Japan,2023,0-100,3_pillars_10_dims,75.07579217,82.76466261,56.85336145,85.60935244,100.0,89.404,73.06333333,68.59131709,38.39971926,68.33440672,63.82595839,79.911224,90.99183333,85.925
Jordan,2023,0-100,3_pillars_10_dims,56.8468117,67.56283902,40.61756831,62.36002778,100.0,61.672,64.17333333,44.40602275,21.39705106,51.56771839,48.88793549,48.148,63.42208333,75.51
Kazakhstan,2023,0-100,3_pillars_10_dims,48.55608275,48.56343216,30.9745383,66.13027778,0.0,54.31,75.68333333,64.26039531,16.72887883,37.80230814,38.39242792,50.8,74.94583333,72.645
Kenya,2023,0-100,3_pillars_10_dims,40.18580433,40.02697704,28.94708919,51.58334675,0.0,53.98,61.65333333,44.47457483,13.19815527,48.80027311,24.84283918,46.644,44.44104026,63.665
Kiribati,2023,0-100,3_pillars_10_dims,27.40464502,25.73842624,16.64475501,39.8307538,0.0,26.088,33.19066667,43.67503831,10.27567505,30.60389698,9.054692998,21.1884,31.15795231,67.14590909
Kuwait,2023,0-100,3_pillars_10_dims,49.85706104,38.14337835,40.57694365,70.85086111,0.0,53.09,54.91666667,44.56684673,33.59270703,38.13682867,50.00129524,55.298,71.12458333,86.13
Kyrgyzstan,2023,0-100,3_pillars_10_dims,34.09800116,33.53303728,22.86179952,45.89916667,0.0,44.528,43.00333333,46.60081578,12.93548235,26.87430541,28.7756108,23.326,53.2865,61.085
Lao People's Democratic Republic,2023,0-100,3_pillars_10_dims,33.05352563,28.39222624,25.80687843,44.96147222,0.0,33.468,38.34,41.76090495,18.02332351,34.60766484,24.78964695,22.522,42.22241667,70.14
Latvia,2023,0-100,3_pillars_10_dims,60.30099482,72.06941292,38.56784977,70.26572177,100.0,67.856,63.62,56.80165168,28.91867498,42.42061061,44.36426371,59.42810526,69.23721795,82.13184211
Lebanon,2023,0-100,3_pillars_10_dims,47.61870616,50.555506,36.99444359,55.30616889,100.0,39.048,39.49666667,23.67735734,15.89696409,44.92619113,50.16017554,45.088,53.93550667,66.895
Lesotho,2023,0-100,3_pillars_10_dims,26.20904086,25.41368604,20.45978938,32.75364715,0.0,39.536,27.03666667,35.08207751,10.25861893,32.16631044,18.95443878,14.23927273,22.41166872,61.61
Liberia,2023,0-100,3_pillars_10_dims,22.24370998,19.2801873,19.90410165,27.54684101,0.0,17.944,29.64916667,29.52758252,7.440244938,32.20731603,20.06474397,13.16716667,15.60835636,53.865
Libya,2023,0-100,3_pillars_10_dims,25.31129372,10.0215,28.10232561,37.81005556,0.0,11.836,12.75,15.5,18.16478524,53.00429974,13.13789186,5.336666667,49.9835,58.11
Liechtenstein,2023,0-100,3_pillars_10_dims,52.63448412,41.37579375,47.78149671,68.74616189,0.0,59.03,45.3991954,61.07397959,40.62657477,51.88643357,50.8314818,43.70458802,74.66222795,87.87166969
Lithuania,2023,0-100,3_pillars_10_dims,63.33225365,75.30598873,43.70352222,70.98725,100.0,69.026,72.09,60.10795492,30.87657735,55.48141239,44.75257692,61.468,61.72875,89.765
Luxembourg,2023,0-100,3_pillars_10_dims,69.40775632,83.11109411,46.50816245,78.60401239,100.0,72.962,86.57333333,72.90904311,36.15405191,56.67407496,46.69636047,72.08089243,74.78930263,88.94184211
Madagascar,2023,0-100,3_pillars_10_dims,28.47313128,25.00503139,19.27536061,41.13900185,0.0,40.226,32.33666667,27.4574589,7.512931484,28.83763911,21.47551124,34.97,27.65200556,60.795
Malawi,2023,0-100,3_pillars_10_dims,24.8675796,22.00016384,20.49032924,32.11224573,0.0,34.686,25.94333333,27.37132201,9.309456745,32.76692051,19.39461046,13.462,28.69473718,54.18
Malaysia,2023,0-100,3_pillars_10_dims,68.7072292,79.98717379,54.13015271,72.00436111,100.0,72.172,78.46333333,69.31336184,34.31719796,61.52516848,66.54809169,59.03,74.21808333,82.765
Maldives,2023,0-100,3_pillars_10_dims,31.71139837,31.71375,20.79336455,42.62708056,0.0,26.99,52.465,47.4,24.38794956,16.82024129,21.17190281,52.81666667,61.474575,13.59
Mali,2023,0-100,3_pillars_10_dims,27.44682921,24.70630087,19.11590336,38.51828339,0.0,35.908,34.44,28.47720349,10.39378755,27.95128405,19.00263849,19.316,37.13385017,59.105
Malta,2023,0-100,3_pillars_10_dims,63.64436289,80.73570142,40.89060948,69.30677778,100.0,83.73,76.57666667,62.63613902,32.88891926,46.24476026,43.53814893,61.352,63.60166667,82.96666667
Marshall Islands,2023,0-100,3_pillars_10_dims,35.70297129,30.24989309,32.26151194,44.59750884,0.0,23.82,38.03916667,59.14040571,28.34981216,45.69375717,22.74096649,22.4295,33.83719318,77.52583333
Mauritania,2023,0-100,3_pillars_10_dims,27.09355128,22.21189093,22.27035699,36.79840591,0.0,36.628,24.29625,27.92331372,13.21485377,29.02819725,24.56801996,21.66514773,33.03507,55.695
Mauritius,2023,0-100,3_pillars_10_dims,53.2671014,69.82048823,30.63123264,59.34958333,100.0,66.458,63.63666667,49.18728627,22.92112093,42.92521226,26.04736473,49.787,59.94675,68.315
Mexico,2023,0-100,3_pillars_10_dims,50.37334308,43.08090167,39.55173226,68.4873953,0.0,55.256,66.15,50.91760669,27.19290516,41.0785564,50.38373522,51.252,72.2201859,81.99
Monaco,2023,0-100,3_pillars_10_dims,50.50433586,41.74762708,39.9664586,69.79892189,0.0,62.954,39.2291954,64.80731293,38.33418343,47.76112007,33.8040723,61.29258802,60.23250795,87.87166969
Mongolia,2023,0-100,3_pillars_10_dims,38.98928752,35.82820452,27.71243583,53.42722222,0.0,45.2,58.61,39.50281809,18.67327291,31.31219026,33.15184431,26.914,62.06266667,71.305
Montenegro,2023,0-100,3_pillars_10_dims,47.1475604,40.2062276,35.53384248,65.70261111,0.0,53.886,53.96,52.97891038,26.49102949,36.95956335,43.15093461,53.647,64.79583333,78.665
Morocco,2023,0-100,3_pillars_10_dims,43.33900818,37.54174536,35.68724541,56.78803377,0.0,63.882,45.06,41.22498143,20.65370774,43.70741462,42.70061388,50.94885132,49.04525,70.37
Mozambique,2023,0-100,3_pillars_10_dims,25.62313593,21.90301976,17.81828455,37.14810347,0.0,31.05494737,30.96666667,25.59046501,7.085525095,30.10891643,16.26041213,33.212,19.51731041,58.715
Myanmar,2023,0-100,3_pillars_10_dims,30.91231228,21.62609291,27.97578127,43.13506265,0.0,25.082,30.08066667,31.34170497,11.46231423,36.40383493,36.06119466,27.3084,48.16678795,53.93
Namibia,2023,0-100,3_pillars_10_dims,35.3730031,32.01796269,28.30055396,45.80049265,0.0,44.454,41.01666667,42.60118409,16.72034163,39.21819269,28.96312757,25.89,43.96647795,67.545
Nauru,2023,0-100,3_pillars_10_dims,46.74580573,38.19242451,38.54359456,63.50139812,0.0,52.67028571,40.112,59.98741233,35.76321458,44.47400296,35.39356613,38.86933333,62.40902769,89.22583333
Nepal,2023,0-100,3_pillars_10_dims,30.76702139,31.03723043,24.20633458,37.05749915,0.0,46.198,42.62,35.33092173,9.326755684,34.35932288,28.93292517,22.656,35.96649744,52.55
Netherlands,2023,0-100,3_pillars_10_dims,74.46899594,78.89586209,61.95684764,82.55427809,100.0,72.41,79.8,63.37344835,51.40729666,69.24630235,65.21694392,80.28643683,83.28639744,84.09
New Zealand,2023,0-100,3_pillars_10_dims,60.18468167,51.84951176,47.04675863,81.65777462,0.0,70.848,74.34,62.21004702,29.60619516,52.04392365,59.49015709,64.486,88.84732385,91.64
Nicaragua,2023,0-100,3_pillars_10_dims,29.77142753,24.53239782,26.32827649,38.45360829,0.0,32.76,33.93444444,31.43514682,15.00217457,32.46495212,31.51770277,17.344,35.49682487,62.52
Niger,2023,0-100,3_pillars_10_dims,24.70831185,25.47542804,15.87601463,32.77349288,0.0,37.872,30.20583333,33.82387882,5.130276137,30.41004689,12.08772085,13.86625758,33.52831197,50.92590909
Nigeria,2023,0-100,3_pillars_10_dims,39.87877496,44.93718128,24.48753788,50.21160573,50.0,49.912,43.12666667,36.71005843,11.19522118,39.47860479,22.78878767,42.666,32.05381718,75.915
North Macedonia,2023,0-100,3_pillars_10_dims,45.40465829,39.54616975,33.89404384,62.77376128,0.0,60.424,51.88,45.88067902,22.75293395,35.06543627,43.8637613,48.319,50.63728385,89.365
Norway,2023,0-100,3_pillars_10_dims,72.71208818,81.76846383,54.96792055,81.39988016,100.0,92.538,67.0591954,67.47665991,44.20588857,61.48394615,59.21392691,68.95222651,84.47057186,90.77684211
Oman,2023,0-100,3_pillars_10_dims,58.93723222,69.34990164,37.70636501,69.75543,100.0,56.328,74.10666667,46.96493988,21.2017398,41.24906419,50.66829104,56.478,71.38829,81.4
Pakistan,2023,0-100,3_pillars_10_dims,42.20012541,43.00187234,34.06842585,49.53007803,50.0,35.976,47.50666667,38.52482269,16.76586202,45.29139737,40.14801814,42.122,48.9082341,57.56
Panama,2023,0-100,3_pillars_10_dims,43.91332742,38.32577863,33.2596714,60.15453222,0.0,49.502,58.55666667,45.24444783,25.14245599,33.39075979,41.24579844,31.05,59.03359667,90.38
Papua New Guinea,2023,0-100,3_pillars_10_dims,30.40577065,25.81542624,22.56267775,42.83920795,0.0,22.506,43.614,37.14170497,13.10472198,32.03134815,22.55196313,18.9884,34.61422385,74.915
Paraguay,2023,0-100,3_pillars_10_dims,36.85412454,37.45030794,24.32093106,48.79113462,0.0,50.738,47.24333333,51.81989843,13.939379,28.55829441,30.46511977,25.116,48.74740385,72.51
Peru,2023,0-100,3_pillars_10_dims,54.8722902,70.15310254,32.28794115,62.17582692,100.0,72.174,62.79,45.64841016,19.8732759,36.05027245,40.94027509,47.942,64.38048077,74.205
Philippines,2023,0-100,3_pillars_10_dims,51.97820876,65.43282697,34.3766371,56.12516222,100.0,55.4,58.38333333,47.94797453,24.71670936,46.99008052,31.42312143,49.522,67.14348667,51.71
Poland,2023,0-100,3_pillars_10_dims,63.09568429,69.79180781,46.83920235,72.65604271,100.0,64.052,65.47,49.64523125,31.31929924,49.30759314,59.89071469,61.94690884,66.1012193,89.92
Portugal,2023,0-100,3_pillars_10_dims,68.28168555,80.47518209,50.9509814,73.41889316,100.0,87.504,73.3,61.09672838,37.36240302,54.02807349,61.46246769,60.724,77.88767949,81.645
Qatar,2023,0-100,3_pillars_10_dims,63.586363,69.63809933,44.30882523,76.81216444,100.0,58.18,71.42333333,48.94906398,30.98999141,48.91521411,53.02127018,61.182,69.60449333,99.65
