pais_original,year,scale,framework,total_score,ranking_detail,government,technology_sector,data_infrastructure,vision,governance_ethics,digital_capacity,adaptability,maturity,innovation_capacity,human_capital,infrastructure,data_availability,data_representativeness
Malta,2024,0-100,3_pillars_10_dims,63.64342039,42.0,75.85860781,39.89417382,75.17747954,100.0,86.99421397,60.39936748,56.04084978,36.9021094,46.48579975,36.29461232,63.24858989,69.92525642,92.35859231
Hungary,2024,0-100,3_pillars_10_dims,63.63204457,43.0,74.08630687,41.80596355,75.00386329,100.0,81.41169254,62.82617214,52.10736282,30.79721804,51.7950946,42.82557799,55.71057973,78.91543012,90.38558003
Chile,2024,0-100,3_pillars_10_dims,63.19327114,44.0,70.75322887,44.11334081,74.71324374,100.0,83.84468047,46.10597107,53.06226396,31.90575267,50.69566413,49.73860565,48.26025701,83.17804781,92.7014264
Oman,2024,0-100,3_pillars_10_dims,62.91022757,45.0,69.60536402,41.28555315,77.83976555,100.0,56.16560693,68.49467735,53.76117181,20.4040485,47.60924703,55.84336392,60.99020256,83.64848846,88.88060563
India,2024,0-100,3_pillars_10_dims,62.80654813,46.0,73.31982484,50.33660101,64.76321854,100.0,80.02717556,63.17405934,50.07806446,35.49099451,63.76079966,51.75800887,43.8534311,67.47820245,82.95802207
Uruguay,2024,0-100,3_pillars_10_dims,62.20915139,47.0,76.39407111,33.30830048,76.92508258,100.0,69.22651663,75.01508876,61.33467903,23.75338838,41.42624181,34.74527125,45.18074515,91.39665569,94.19784691
Latvia,2024,0-100,3_pillars_10_dims,61.87089556,48.0,74.46052864,35.71983287,75.43232517,100.0,87.29765435,57.22746045,53.31699978,27.7425629,41.95891847,37.45801723,56.34995181,73.66232552,96.28469819
Jordan,2024,0-100,3_pillars_10_dims,61.56757258,49.0,74.92340871,42.63719073,67.1421183,100.0,76.81846291,72.82605488,50.04911708,19.41334626,56.0377793,52.46044663,40.61400164,78.43295671,82.37939656
Cyprus,2024,0-100,3_pillars_10_dims,61.50126092,50.0,68.5275774,36.17555978,79.80064559,100.0,68.65642257,53.48330169,51.97058534,29.58800654,47.49700267,31.44167014,59.40642863,81.9478891,98.04761905
Viet Nam,2024,0-100,3_pillars_10_dims,61.41545515,51.0,75.02487277,43.35797988,65.8635128,100.0,71.92983635,72.56334404,55.60631067,27.61367909,56.57414106,45.88611949,42.84198518,79.50303709,75.24551612
Bulgaria,2024,0-100,3_pillars_10_dims,60.63955798,52.0,65.19340947,37.87529008,78.8499744,100.0,59.07425136,49.64537814,52.05400838,26.2394486,49.7927979,37.59362373,65.3133788,83.66036452,87.5761799
Türkiye,2024,0-100,3_pillars_10_dims,60.62787606,53.0,70.72964704,45.13278032,66.02120083,100.0,74.72152976,57.48728456,50.70977386,26.09889704,61.30732784,47.99211607,40.386525,74.02749008,83.6495874
Ukraine,2024,0-100,3_pillars_10_dims,60.57013332,54.0,73.41583722,41.92755308,66.36700965,100.0,75.43121913,57.40773874,60.82439101,30.36265753,46.36832232,49.0516794,36.18024305,83.92779511,78.99299079
Colombia,2024,0-100,3_pillars_10_dims,59.33330773,55.0,71.95600814,38.99648719,67.04742787,100.0,74.95060726,52.97923778,59.89418751,20.37424407,46.42259461,50.19262288,35.91044111,82.52615054,82.70569197
Philippines,2024,0-100,3_pillars_10_dims,58.50707886,56.0,74.49419223,38.57583598,62.45120836,100.0,79.68469203,61.50213896,56.78993792,23.50106915,53.31727446,38.90916434,48.91974306,71.67780384,66.75607819
Serbia,2024,0-100,3_pillars_10_dims,58.48610163,57.0,69.88457689,38.22401947,67.34970854,100.0,80.04467428,48.73121345,50.76241983,21.88507546,43.57437858,49.21260436,37.74043697,78.40451661,85.90417203
Romania,2024,0-100,3_pillars_10_dims,58.0818462,58.0,69.25300822,40.41200333,64.58052704,100.0,82.80649914,50.95014374,43.25538999,28.38747376,47.3181095,45.53042674,53.97600978,60.96366238,78.80190897
