pais_original,year,scale,framework,total_score,government,technology_sector,data_infrastructure,vision,governance_ethics,digital_capacity,adaptability,maturity,innovation_capacity,human_capital,infrastructure,data_availability,data_representativeness
Ukraine,2022,0-100,3_pillars_10_dims,52.79602255,68.96089823,34.68382593,54.7433435,100.0,51.28673061,66.06691333,58.48994896,28.92596148,33.73288853,41.39262778,31.62,66.33683333,66.27
Peru,2022,0-100,3_pillars_10_dims,51.97236356,64.50761812,29.87368963,61.53578294,100.0,48.6736596,62.78035667,46.57645623,18.23185918,28.74872379,42.64048591,47.942,63.98950654,72.68
Mexico,2022,0-100,3_pillars_10_dims,51.78355316,43.05477115,38.84596967,73.44991865,0.0,55.3603631,66.15553,50.70319149,26.26612884,39.57887861,50.69290155,71.252,70.6679502,78.43
Jordan,2022,0-100,3_pillars_10_dims,51.76399042,67.54379962,36.19691228,51.55125937,100.0,61.35566697,64.16418333,44.65534817,20.85194814,42.22005518,45.51873352,28.148,52.52235489,73.98
Slovakia,2022,0-100,3_pillars_10_dims,51.22626911,41.70612339,39.20411097,72.76857297,0.0,60.46912475,57.58268333,48.77268547,32.92370336,41.90005797,42.78857159,58.86466667,77.719,81.72
Egypt,2022,0-100,3_pillars_10_dims,49.41720556,63.4604206,36.0745064,48.71668969,100.0,51.4176637,61.10474333,41.31927538,16.82808336,40.97524523,50.42019061,29.242,43.9803633,72.93
Croatia,2022,0-100,3_pillars_10_dims,48.58505521,40.70324542,36.12006008,68.93186012,0.0,56.67370832,60.88303333,45.25624005,26.21444751,38.23271732,43.91301539,75.70266667,57.57764663,73.52
Brunei Darussalam,2022,0-100,3_pillars_10_dims,48.05568313,37.8120077,42.63062801,63.72441366,0.0,24.98437565,61.39172933,64.87192583,30.25581669,44.96527546,52.67079188,46.07733333,63.8279,81.27
South Africa,2022,0-100,3_pillars_10_dims,47.74442738,37.89559783,37.60370819,67.73397613,0.0,57.33388488,55.62073333,38.6277731,26.06393529,41.50121923,45.24597003,74.418,57.355,71.43
Kuwait,2022,0-100,3_pillars_10_dims,47.67990454,37.39529874,34.71754862,70.92686626,0.0,51.09088986,54.91257333,43.57773176,31.85846447,29.80293384,42.49124754,55.298,71.12458333,86.36
Tunisia,2022,0-100,3_pillars_10_dims,46.80606294,48.63096255,36.91763116,54.8695951,50.0,55.27408186,55.66795667,33.58181169,21.27129095,39.73257125,49.7490313,26.25,58.74068608,79.62
North Macedonia,2022,0-100,3_pillars_10_dims,46.10847621,50.66259277,32.0454817,55.61735416,50.0,55.21072993,51.87222333,45.5674178,22.39542454,28.98981872,44.75120186,48.948,49.86031935,68.04
Kazakhstan,2022,0-100,3_pillars_10_dims,45.78086433,48.40344777,29.21669903,59.72244619,0.0,54.18830781,75.67039,63.75509326,15.47775451,33.62597692,38.54636566,30.8,74.10500564,74.26
Lebanon,2022,0-100,3_pillars_10_dims,45.71549399,51.09230569,33.99203086,52.06214542,100.0,40.14201063,39.48011667,24.74709548,22.0425214,32.51623853,47.41733266,25.088,54.81400672,76.28
Azerbaijan,2022,0-100,3_pillars_10_dims,45.55120353,56.85394497,30.58488893,49.21477668,50.0,53.7546611,66.53855333,57.12256546,13.90358976,37.45134723,40.39972981,35.67,48.72483548,63.25
Iran,2022,0-100,3_pillars_10_dims,45.29521769,45.07807283,34.10237904,56.7052012,50.0,47.91255071,53.37808333,29.02165726,18.39479289,37.18405727,46.72828697,49.372,52.571,68.17
Montenegro,2022,0-100,3_pillars_10_dims,45.19895959,39.26106084,33.13110654,63.20471139,0.0,50.15659721,53.9527,52.93494616,27.57755339,29.64005271,42.17571354,54.276,64.83656061,70.5
Andorra,2022,0-100,3_pillars_10_dims,45.15885579,38.57243067,32.58229083,64.32184587,0.0,49.90149327,40.8304832,63.55774622,36.94057597,46.40246789,14.40382863,42.36266667,64.38212774,86.22
Costa Rica,2022,0-100,3_pillars_10_dims,44.96926052,40.3749866,33.02285101,61.50994396,0.0,56.54442238,56.15604333,48.7994807,26.7478699,30.62851525,41.69216788,33.90766667,69.81558333,80.81
Uzbekistan,2022,0-100,3_pillars_10_dims,44.50639995,49.90068196,24.44894346,59.16957444,50.0,46.39491874,62.21581,40.99199911,15.38078248,26.03522864,31.93081926,47.19533333,59.61240312,70.7
Bangladesh,2022,0-100,3_pillars_10_dims,43.62840762,58.4836569,24.80179892,47.59976704,100.0,30.76691052,63.90799,39.25972708,10.21996343,30.47504559,33.71038773,21.628,58.17828203,62.99
Dominican Republic,2022,0-100,3_pillars_10_dims,42.15738701,42.67410553,24.49444042,59.30361507,0.0,54.2731941,59.23108,57.19214804,15.43250407,22.63328704,35.41753015,47.714,53.79943386,76.4
Albania,2022,0-100,3_pillars_10_dims,42.0977979,41.98351276,30.65768329,53.65219765,0.0,52.38493335,61.63351,53.91560768,17.18516264,30.00851956,44.77936766,25.514,64.93964801,70.5
Republic of Moldova,2022,0-100,3_pillars_10_dims,42.03558654,41.75492243,28.26273496,56.08910224,0.0,52.81891211,63.49645667,50.70432093,18.76295621,26.31720559,39.70804308,28.604,66.02359726,73.64
Armenia,2022,0-100,3_pillars_10_dims,41.91047934,43.59290679,31.07471288,51.06381836,0.0,50.36243889,66.47527,57.53391826,20.14038133,29.14180259,43.94195473,32.998,53.72554241,66.47
Fiji,2022,0-100,3_pillars_10_dims,41.75570206,38.57092146,34.33534822,52.3608365,0.0,26.77125748,66.26425,61.24817836,22.42010929,45.27246976,35.31346561,36.51133333,56.04616575,64.53
