pais_original,ind_ai_strategy,ind_data_protection_laws,ind_cybersecurity,ind_regulatory_quality,ind_ethical_principles,ind_accountability,ind_online_services,ind_foundational_it,ind_govt_promotion_emerging_tech,ind_govt_effectiveness,ind_govt_responsiveness,ind_procurement_data,ind_ai_unicorns_log,ind_non_ai_unicorns_log,ind_ict_trade_services_log,ind_ict_trade_goods_log,ind_software_spending,ind_time_govt_regulations,ind_vc_availability,ind_rd_spending_log,ind_company_investment_emerging_tech,ind_ai_research_papers_log,ind_stem_graduates,ind_github_activity_log,ind_female_stem_graduates,ind_eng_tech_higher_ed_quality,ind_ict_skills,ind_telecom_infrastructure,ind_supercomputers_log,ind_broadband_quality,ind_5g_infrastructure,ind_adoption_emerging_tech,ind_open_data,ind_data_governance,ind_mobile_subscriptions,ind_households_internet,ind_statistical_capacity,ind_cost_internet_device,ind_gender_gap_internet
Canada,100.0,100.0,97.67,83.6,100.0,78.6,85.04,76.9,74.16,81.4,54.22088305,76.0,26.94303373,45.84782679,60.22090572,66.51953768,64.36344996,,100.0,53.64098074,68.25,74.66221664,34.2123645,83.98498684,62.859,88.01843319,,77.7,47.13218414,54.1,100.0,85.04,90.0,50.0,70.15384615,94.2,87.46583333,87.73,97.0
Central African Republic,0.0,0.0,3.24,20.6,0.0,25.8,9.62,21.4,21.2775,15.8,41.38274756,22.88888889,0.0,0.0,12.98032434,13.54117757,2.608268813,90.21764706,12.28571429,12.72028408,28.41666667,0.0,27.29154798,0.7408952309,59.632416,0.0,4.161727907,8.33,0.0,35.34545455,0.0,19.98583333,16.11111111,0.0,25.84615385,5.12052,48.43635417,15.39,89.28181818
Chad,0.0,100.0,40.44,27.0,0.0,20.4,27.26,27.3,9.12,21.6,32.36970902,22.88888889,0.0,0.0,14.28017008,17.11452281,2.608268813,86.7,12.28571429,14.20905299,12.75,6.506957562,18.698496,0.8230478517,59.632416,0.0,4.161727907,11.91,0.0,35.34545455,100.0,3.37,16.11111111,0.0,52.46153846,7.43809,38.54333333,0.0,89.28181818
Chile,100.0,100.0,68.83,69.6,50.0,69.4,82.8,77.2,38.06,61.0,49.96733665,71.0,16.99916163,0.0,47.86981334,57.60541328,51.11835914,80.8,9.0,15.90495756,38.5,48.5913924,26.78767639,60.40095535,37.65716,76.17866005,46.20044778,79.99,0.0,53.3,100.0,61.55,50.0,50.0,100.0,91.1048,82.43708333,61.91,93.0
China,100.0,100.0,92.53,41.6,100.0,17.8,88.76,58.1,100.0,60.0,49.78956382,60.0,72.21120639,76.47905034,38.01092302,65.52045574,34.01913869,96.36666667,28.0,66.28572754,59.75,100.0,28.69412101,40.60973955,67.82422667,91.17334279,46.43750823,80.5,91.47660395,64.5,100.0,47.9875,19.0,50.0,96.07692308,77.9043,58.21833333,74.26,100.0
Colombia,100.0,100.0,63.72,52.8,100.0,53.4,74.18,91.1,37.92,50.2,38.39387098,86.0,0.0,11.4619567,34.35428199,45.01750102,15.62855085,80.5,8.0,13.74256659,38.75,50.37339715,31.2366629,52.6391475,66.81974,48.8833747,31.77927038,64.98,0.0,37.2,100.0,46.99,80.0,0.0,100.0,59.47,73.76541667,64.84,90.0
Comoros,0.0,0.0,3.72,26.0,0.0,32.6,3.26,37.8,23.66875,16.4,41.39554525,30.5,0.0,0.0,31.93910893,18.61517756,11.3024477,92.78571429,14.77777778,10.64699778,31.90625,0.0,24.21675865,5.755339088,58.49270182,0.0,9.456077967,33.0,0.0,32.83636364,0.0,29.009375,0.75,0.0,77.07692308,26.53781133,52.9150463,0.63,86.5
Congo,0.0,88.88888889,14.72,24.8,0.0,26.0,31.77,27.4,23.66875,22.6,41.39554525,30.5,0.0,0.0,28.13176528,22.00143191,11.3024477,92.78571429,14.77777778,10.64699778,31.90625,6.506957562,19.76603904,6.350988033,41.6185,0.0,9.456077967,21.7,0.0,32.83636364,0.0,29.009375,0.75,0.0,74.46153846,5.12052,36.57666667,15.7,86.5
Costa Rica,50.0,100.0,67.45,61.4,0.0,71.4,68.12,66.1,34.29,51.0,34.2522343,57.0,0.0,0.0,56.56118492,51.9912305,31.13290532,87.93333333,5.0,17.08129439,48.25,28.1226027,20.76234636,63.37747482,64.40066,0.0,23.41465824,75.72,0.0,35.36666667,0.0,57.76,38.0,50.0,100.0,83.25,79.77791667,66.46,90.13333333
Côte D'Ivoire,0.0,100.0,67.82,47.0,50.0,41.6,54.67,37.1,39.64,43.2,45.5575784,8.0,0.0,0.0,27.45925656,25.81716578,1.100643074,84.8,8.0,3.679088554,28.5,21.61564514,24.21675865,15.17373296,58.49270182,0.0,5.399710259,51.86,0.0,32.8,0.0,37.49,0.0,0.0,100.0,69.15,56.10833333,51.39,72.0
