pais_original,iso3,entity_type,aparece_2019,aparece_2020,aparece_2021,aparece_2022,aparece_2023,aparece_2024,aparece_2025,total_apariciones
Kyrgyzstan,KGZ,pais,True,True,True,True,True,True,True,7
Lao People's Democratic Republic,LAO,pais,False,True,True,True,True,True,True,6
Lao People's Democratic Republic (the),LAO,pais,True,False,False,False,False,False,False,1
Latvia,LVA,pais,True,True,True,True,True,True,True,7
Lebanon,LBN,pais,True,True,True,True,True,True,True,7
Lesotho,LSO,pais,True,True,True,True,True,True,True,7
Liberia,LBR,pais,True,False,True,True,True,True,True,6
Libya,LBY,pais,True,False,False,True,True,True,True,5
Liechtenstein,LIE,pais,True,False,False,False,True,True,True,4
Lithuania,LTU,pais,True,True,True,True,True,True,True,7
Luxembourg,LUX,pais,True,True,True,True,True,True,True,7
Madagascar,MDG,pais,True,True,True,True,True,True,True,7
Malawi,MWI,pais,True,True,True,True,True,True,True,7
Malaysia,MYS,pais,True,True,True,True,True,True,True,7
Maldives,MDV,pais,True,True,True,True,True,True,True,7
Mali,MLI,pais,True,True,True,True,True,True,True,7
Malta,MLT,pais,True,True,True,True,True,True,True,7
Marshall Islands,MHL,pais,False,False,False,False,True,True,True,3
Marshall Islands (the),MHL,pais,True,False,False,False,False,False,False,1
Mauritania,MRT,pais,True,True,True,True,True,True,True,7
Mauritius,MUS,pais,True,True,True,True,True,True,True,7
Mexico,MEX,pais,True,True,True,True,True,True,True,7
Micronesia (Federated States of),FSM,pais,True,False,False,False,False,False,True,2
Monaco,MCO,pais,True,False,False,False,True,False,True,3
Mongolia,MNG,pais,True,True,True,True,True,True,True,7
Montenegro,MNE,pais,True,True,True,True,True,True,True,7
Morocco,MAR,pais,True,True,True,True,True,True,True,7
Mozambique,MOZ,pais,True,True,True,True,True,True,True,7
Myanmar,MMR,pais,True,True,True,True,True,True,True,7
Namibia,NAM,pais,True,True,True,True,True,True,True,7
Nauru,NRU,pais,True,False,False,False,True,False,True,3
Nepal,NPL,pais,True,True,True,True,True,True,True,7
Netherlands,NLD,pais,False,True,True,True,True,True,True,6
Netherlands (the),NLD,pais,True,False,False,False,False,False,False,1
New Zealand,NZL,pais,True,True,True,True,True,True,True,7
Nicaragua,NIC,pais,True,True,True,True,True,True,True,7
Niger,NER,pais,False,True,True,True,True,True,True,6
Niger (the),NER,pais,True,False,False,False,False,False,False,1
Nigeria,NGA,pais,True,True,True,True,True,True,True,7
North Macedonia,MKD,pais,False,True,True,True,True,True,True,6
Norway,NOR,pais,True,True,True,True,True,True,True,7
Oman,OMN,pais,True,True,True,True,True,True,True,7
Pakistan,PAK,pais,True,True,True,True,True,True,True,7
Palau,PLW,pais,True,False,False,False,False,False,True,2
Panama,PAN,pais,True,True,True,True,True,True,True,7
Papua New Guinea,PNG,pais,True,False,True,True,True,True,True,6
Paraguay,PRY,pais,True,True,True,True,True,True,True,7
Peru,PER,pais,True,True,True,True,True,True,True,7
Philippines,PHL,pais,False,True,True,True,True,True,True,6
Philippines (the),PHL,pais,True,False,False,False,False,False,False,1
Poland,POL,pais,True,True,True,True,True,True,True,7
Portugal,PRT,pais,True,True,True,True,True,True,True,7
Qatar,QAT,pais,True,True,True,True,True,True,True,7
Republic of Korea,KOR,pais,False,True,True,True,True,True,True,6
Republic of Korea (the),KOR,pais,True,False,False,False,False,False,False,1
Republic of Moldova,MDA,pais,False,True,True,True,True,True,True,6
Republic of Moldova (the),MDA,pais,True,False,False,False,False,False,False,1
Romania,ROU,pais,True,True,True,True,True,True,True,7
Russian Federation,RUS,pais,False,True,True,True,True,True,True,6
Russian Federation (the),RUS,pais,True,False,False,False,False,False,False,1
Rwanda,RWA,pais,True,True,True,True,True,True,True,7
Saint Kitts and Nevis,KNA,pais,True,True,False,False,True,True,True,5
Saint Lucia,LCA,pais,True,True,True,True,True,True,True,7
Saint Vincent and the Grenadines,VCT,pais,True,True,False,True,True,True,True,6
Samoa,WSM,pais,True,True,False,True,True,True,True,6
San Marino,SMR,pais,True,False,False,False,True,True,True,4
Sao Tome and Principe,STP,pais,True,False,False,True,True,True,True,5
Saudi Arabia,SAU,pais,True,True,True,True,True,True,True,7
Senegal,SEN,pais,True,True,True,True,True,True,True,7
Serbia,SRB,pais,True,True,True,True,True,True,True,7
Seychelles,SYC,pais,True,True,True,True,True,True,True,7
Sierra Leone,SLE,pais,True,True,True,True,True,True,True,7
Singapore,SGP,pais,True,True,True,True,True,True,True,7
Slovakia,SVK,pais,True,True,True,True,True,True,True,7
