raw_entity_name,iso3_resuelto,country_name_canonical,entity_type_final,confidence_score,action,review_status
Ghana,GHA,Ghana,country_iso3,100.0,approved,auto_match_requires_human_audit
Guinea,GIN,Guinea,country_iso3,100.0,approved,auto_match_requires_human_audit
Guinea-Bissau,GNB,Guinea-Bissau,country_iso3,100.0,approved,auto_match_requires_human_audit
Liberia,LBR,Liberia,country_iso3,100.0,approved,auto_match_requires_human_audit
Mali,MLI,Mali,country_iso3,100.0,approved,auto_match_requires_human_audit
Mauritania,MRT,Mauritania,country_iso3,100.0,approved,auto_match_requires_human_audit
Niger,NER,Niger,country_iso3,100.0,approved,auto_match_requires_human_audit
Nigeria,NGA,Nigeria,country_iso3,100.0,approved,auto_match_requires_human_audit
Sierra Leone,SLE,Sierra Leone,country_iso3,100.0,approved,auto_match_requires_human_audit
Togo,TGO,Togo,country_iso3,100.0,approved,auto_match_requires_human_audit
Lesotho,LSO,Lesotho,country_iso3,100.0,approved,auto_match_requires_human_audit
Myanmar,MMR,Myanmar,country_iso3,100.0,approved,auto_match_requires_human_audit
Ukraine,UKR,Ukraine,country_iso3,100.0,approved,auto_match_requires_human_audit
French Guiana,GUF,French Guiana,territory_iso3,100.0,approved,auto_match_requires_human_audit
Guyana,GUY,Guyana,country_iso3,100.0,approved,auto_match_requires_human_audit
Suriname,SUR,Suriname,country_iso3,100.0,approved,auto_match_requires_human_audit
Venezuela,VEN,Venezuela,country_iso3,100.0,approved,auto_match_requires_human_audit
Belarus,BLR,Belarus,country_iso3,100.0,approved,auto_match_requires_human_audit
Kyrgyzstan,KGZ,Kyrgyzstan,country_iso3,100.0,approved,auto_match_requires_human_audit
Kenya,KEN,Kenya,country_iso3,100.0,approved,auto_match_requires_human_audit
Russia,RUS,Russia,country_iso3,100.0,approved,auto_match_requires_human_audit
Cameroon,CMR,Cameroon,country_iso3,100.0,approved,auto_match_requires_human_audit
Central African Republic,CAF,Central African Republic,country_iso3,100.0,approved,auto_match_requires_human_audit
Chad,TCD,Chad,country_iso3,100.0,approved,auto_match_requires_human_audit
Congo,COG,Congo,country_iso3,100.0,approved,auto_match_requires_human_audit
Congo (DRC),COD,Congo (DRC),country_iso3,100.0,approved,auto_match_requires_human_audit
Haiti,HTI,Haiti,country_iso3,100.0,approved,auto_match_requires_human_audit
Zimbabwe,ZWE,Zimbabwe,country_iso3,100.0,approved,auto_match_requires_human_audit
Papua New Guinea,PNG,Papua New Guinea,country_iso3,100.0,approved,auto_match_requires_human_audit
Syria,SYR,Syria,country_iso3,100.0,approved,auto_match_requires_human_audit
Bangladesh,BGD,Bangladesh,country_iso3,100.0,approved,auto_match_requires_human_audit
Burundi,BDI,Burundi,country_iso3,100.0,approved,auto_match_requires_human_audit
Eritrea,ERI,Eritrea,country_iso3,100.0,approved,auto_match_requires_human_audit
Ethiopia,ETH,Ethiopia,country_iso3,100.0,approved,auto_match_requires_human_audit
Somalia,SOM,Somalia,country_iso3,100.0,approved,auto_match_requires_human_audit
South Sudan,SSD,South Sudan,country_iso3,100.0,approved,auto_match_requires_human_audit
Sudan,SDN,Sudan,country_iso3,100.0,approved,auto_match_requires_human_audit
Tanzania,TZA,Tanzania,country_iso3,100.0,approved,auto_match_requires_human_audit
Uganda,UGA,Uganda,country_iso3,100.0,approved,auto_match_requires_human_audit
Laos,LAO,Laos,country_iso3,100.0,approved,auto_match_requires_human_audit
Armenia,ARM,Armenia,country_iso3,100.0,approved,auto_match_requires_human_audit
Sri Lanka,LKA,Sri Lanka,country_iso3,100.0,approved,auto_match_requires_human_audit
Uzbekistan,UZB,Uzbekistan,country_iso3,100.0,approved,auto_match_requires_human_audit
Rwanda,RWA,Rwanda,country_iso3,100.0,approved,auto_match_requires_human_audit
Cuba,CUB,Cuba,country_iso3,100.0,approved,auto_match_requires_human_audit
Afghanistan,AFG,Afghanistan,country_iso3,100.0,approved,auto_match_requires_human_audit
Tajikistan,TJK,Tajikistan,country_iso3,100.0,approved,auto_match_requires_human_audit
Turkmenistan,TKM,Turkmenistan,country_iso3,100.0,approved,auto_match_requires_human_audit
Cambodia,KHM,Cambodia,country_iso3,100.0,approved,auto_match_requires_human_audit
