iso3,country_name_canonical,entity_type,present_iapp,present_microsoft,present_oxford,present_wb,present_wipo,present_stanford,present_oecd,present_anthropic,n_sources_present,source_list,included_in_matrix,inclusion_notes
RWA,RWA,country_iso3,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,
SEN,Senegal,country_iso3,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,
SLV,SLV,country_iso3,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,
SRB,SRB,country_iso3,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,
SVK,Slovak Republic,country_iso3,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,
SVN,Slovenia,country_iso3,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,
SWE,Sweden,country_iso3,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,
TGO,TGO,country_iso3,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,
THA,THA,country_iso3,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,
TJK,Tajikistan,country_iso3,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,
TUN,Tunisia,country_iso3,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,
TZA,Tanzania,country_iso3,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,
UGA,UGA,country_iso3,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,
UKR,Ukraine,country_iso3,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,
URY,Uruguay,country_iso3,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,
UZB,Uzbekistan,country_iso3,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,
VEN,Venezuela (Bolivarian Republic of),country_iso3,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,
ZAF,ZAF,country_iso3,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,
ZMB,Zambia,country_iso3,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,
ZWE,ZWE,country_iso3,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,
AFG,Afghanistan,country_iso3,0,1,1,1,0,1,1,1,6,"microsoft, oxford, wb, stanford, oecd, anthropic",True,
BHR,Bahrain,country_iso3,0,0,1,1,1,1,1,1,6,"oxford, wb, wipo, stanford, oecd, anthropic",True,
BRB,BRB,country_iso3,0,0,1,1,1,1,1,1,6,"oxford, wb, wipo, stanford, oecd, anthropic",True,
BRN,Brunei Darussalam,country_iso3,0,0,1,1,1,1,1,1,6,"oxford, wb, wipo, stanford, oecd, anthropic",True,
CAF,CAF,country_iso3,0,1,1,1,0,1,1,1,6,"microsoft, oxford, wb, stanford, oecd, anthropic",True,
COD,Democratic Republic of the Congo,country_iso3,0,1,1,1,0,1,1,1,6,"microsoft, oxford, wb, stanford, oecd, anthropic",True,
CPV,CPV,country_iso3,0,0,1,1,1,1,1,1,6,"oxford, wb, wipo, stanford, oecd, anthropic",True,
CUB,Cuba,country_iso3,0,1,1,1,0,1,1,1,6,"microsoft, oxford, wb, stanford, oecd, anthropic",True,
CYP,Cyprus,country_iso3,0,0,1,1,1,1,1,1,6,"oxford, wb, wipo, stanford, oecd, anthropic",True,
ERI,ERI,country_iso3,0,1,1,1,0,1,1,1,6,"microsoft, oxford, wb, stanford, oecd, anthropic",True,
EST,Estonia,country_iso3,0,0,1,1,1,1,1,1,6,"oxford, wb, wipo, stanford, oecd, anthropic",True,
GAB,GAB,country_iso3,0,1,1,1,0,1,1,1,6,"microsoft, oxford, wb, stanford, oecd, anthropic",True,
GMB,Gambia (Republic of The),country_iso3,0,1,1,1,0,1,1,1,6,"microsoft, oxford, wb, stanford, oecd, anthropic",True,
GUY,GUY,country_iso3,0,1,1,1,0,1,1,1,6,"microsoft, oxford, wb, stanford, oecd, anthropic",True,
HKG,"Hong Kong, China",country_iso3,1,0,0,1,1,1,1,1,6,"iapp, wb, wipo, stanford, oecd, anthropic",True,included by documented human-in-loop decision from Fase 3 planning context
HTI,Haiti,country_iso3,0,1,1,1,0,1,1,1,6,"microsoft, oxford, wb, stanford, oecd, anthropic",True,
ISL,Iceland,country_iso3,0,0,1,1,1,1,1,1,6,"oxford, wb, wipo, stanford, oecd, anthropic",True,
LBR,Liberia,country_iso3,0,1,1,1,0,1,1,1,6,"microsoft, oxford, wb, stanford, oecd, anthropic",True,
LBY,Libya,country_iso3,0,1,1,1,0,1,1,1,6,"microsoft, oxford, wb, stanford, oecd, anthropic",True,
LUX,Luxembourg,country_iso3,0,0,1,1,1,1,1,1,6,"oxford, wb, wipo, stanford, oecd, anthropic",True,
LVA,Latvia,country_iso3,0,0,1,1,1,1,1,1,6,"oxford, wb, wipo, stanford, oecd, anthropic",True,
MKD,The former Yugoslav Republic of Macedonia,country_iso3,0,0,1,1,1,1,1,1,6,"oxford, wb, wipo, stanford, oecd, anthropic",True,
MLT,MLT,country_iso3,0,0,1,1,1,1,1,1,6,"oxford, wb, wipo, stanford, oecd, anthropic",True,
MNE,MNE,country_iso3,0,0,1,1,1,1,1,1,6,"oxford, wb, wipo, stanford, oecd, anthropic",True,
PNG,Papua New Guinea,country_iso3,0,1,1,1,0,1,1,1,6,"microsoft, oxford, wb, stanford, oecd, anthropic",True,
SDN,SDN,country_iso3,0,1,1,1,0,1,1,1,6,"microsoft, oxford, wb, stanford, oecd, anthropic",True,
SLE,Sierra Leone,country_iso3,0,1,1,1,0,1,1,1,6,"microsoft, oxford, wb, stanford, oecd, anthropic",True,
SOM,"Somalia, Fed. Rep.",country_iso3,0,1,1,1,0,1,1,1,6,"microsoft, oxford, wb, stanford, oecd, anthropic",True,
SSD,SSD,country_iso3,0,1,1,1,0,1,1,1,6,"microsoft, oxford, wb, stanford, oecd, anthropic",True,
SUR,SUR,country_iso3,0,1,1,1,0,1,1,1,6,"microsoft, oxford, wb, stanford, oecd, anthropic",True,
SYC,SYC,country_iso3,0,0,1,1,1,1,1,1,6,"oxford, wb, wipo, stanford, oecd, anthropic",True,
SYR,SYR,country_iso3,0,1,1,1,0,1,1,1,6,"microsoft, oxford, wb, stanford, oecd, anthropic",True,
TCD,TCD,country_iso3,0,1,1,1,0,1,1,1,6,"microsoft, oxford, wb, stanford, oecd, anthropic",True,
TKM,Turkmenistan,country_iso3,0,1,1,1,0,1,1,1,6,"microsoft, oxford, wb, stanford, oecd, anthropic",True,
TTO,TTO,country_iso3,0,0,1,1,1,1,1,1,6,"oxford, wb, wipo, stanford, oecd, anthropic",True,
TWN,Taiwan,country_iso3,1,1,1,0,0,1,1,1,6,"iapp, microsoft, oxford, stanford, oecd, anthropic",True,included by documented human-in-loop decision from Fase 3 planning context
YEM,Yemen,country_iso3,0,0,1,1,1,1,1,1,6,"oxford, wb, wipo, stanford, oecd, anthropic",True,
AND,Andorra,country_iso3,0,0,1,1,0,1,1,1,5,"oxford, wb, stanford, oecd, anthropic",True,
ATG,Antigua and Barbuda,country_iso3,0,0,1,1,0,1,1,1,5,"oxford, wb, stanford, oecd, anthropic",True,
BHS,Bahamas,country_iso3,0,0,1,1,0,1,1,1,5,"oxford, wb, stanford, oecd, anthropic",True,
BLZ,Belize,country_iso3,0,0,1,1,0,1,1,1,5,"oxford, wb, stanford, oecd, anthropic",True,
BTN,BTN,country_iso3,0,0,1,1,0,1,1,1,5,"oxford, wb, stanford, oecd, anthropic",True,
COM,Comoros,country_iso3,0,0,1,1,0,1,1,1,5,"oxford, wb, stanford, oecd, anthropic",True,
DJI,DJI,country_iso3,0,0,1,1,0,1,1,1,5,"oxford, wb, stanford, oecd, anthropic",True,
DMA,Dominica,country_iso3,0,0,1,1,0,1,1,1,5,"oxford, wb, stanford, oecd, anthropic",True,
FJI,FJI,country_iso3,0,0,1,1,0,1,1,1,5,"oxford, wb, stanford, oecd, anthropic",True,
GNB,GNB,country_iso3,0,1,1,1,0,0,1,1,5,"microsoft, oxford, wb, oecd, anthropic",True,
GNQ,GNQ,country_iso3,0,0,1,1,0,1,1,1,5,"oxford, wb, stanford, oecd, anthropic",True,
GRD,GRD,country_iso3,0,0,1,1,0,1,1,1,5,"oxford, wb, stanford, oecd, anthropic",True,
KIR,Kiribati,country_iso3,0,0,1,1,0,1,1,1,5,"oxford, wb, stanford, oecd, anthropic",True,
KNA,Saint Kitts and Nevis,country_iso3,0,0,1,1,0,1,1,1,5,"oxford, wb, stanford, oecd, anthropic",True,
LCA,LCA,country_iso3,0,0,1,1,0,1,1,1,5,"oxford, wb, stanford, oecd, anthropic",True,
LIE,Liechtenstein,country_iso3,0,0,1,1,0,1,1,1,5,"oxford, wb, stanford, oecd, anthropic",True,
MCO,MCO,country_iso3,0,0,1,1,0,1,1,1,5,"oxford, wb, stanford, oecd, anthropic",True,
MDV,MDV,country_iso3,0,0,1,1,0,1,1,1,5,"oxford, wb, stanford, oecd, anthropic",True,
PSE,West Bank and Gaza,country_iso3,0,0,1,1,0,1,1,1,5,"oxford, wb, stanford, oecd, anthropic",True,
SLB,Solomon Islands,country_iso3,0,0,1,1,0,1,1,1,5,"oxford, wb, stanford, oecd, anthropic",True,
SMR,San Marino,country_iso3,0,0,1,1,0,1,1,1,5,"oxford, wb, stanford, oecd, anthropic",True,
STP,São Tomé and Príncipe,country_iso3,0,0,1,1,0,1,1,1,5,"oxford, wb, stanford, oecd, anthropic",True,
SWZ,Swaziland,country_iso3,0,0,1,1,0,1,1,1,5,"oxford, wb, stanford, oecd, anthropic",True,
TLS,TLS,country_iso3,0,0,1,1,0,1,1,1,5,"oxford, wb, stanford, oecd, anthropic",True,
TON,TON,country_iso3,0,0,1,1,0,1,1,1,5,"oxford, wb, stanford, oecd, anthropic",True,
TUV,Tuvalu,country_iso3,0,0,1,1,0,1,1,1,5,"oxford, wb, stanford, oecd, anthropic",True,
VCT,VCT,country_iso3,0,0,1,1,0,1,1,1,5,"oxford, wb, stanford, oecd, anthropic",True,
VUT,Vanuatu,country_iso3,0,0,1,1,0,1,1,1,5,"oxford, wb, stanford, oecd, anthropic",True,
WSM,WSM,country_iso3,0,0,1,1,0,1,1,1,5,"oxford, wb, stanford, oecd, anthropic",True,
FSM,"Micronesia, Fed. Sts.",country_iso3,0,0,1,1,0,1,0,1,4,"oxford, wb, stanford, anthropic",True,
MHL,Marshall Islands (the),country_iso3,0,0,1,1,0,1,0,1,4,"oxford, wb, stanford, anthropic",True,
NRU,NRU,country_iso3,0,0,1,1,0,1,0,1,4,"oxford, wb, stanford, anthropic",True,
PLW,Palau,country_iso3,0,0,1,1,0,1,0,1,4,"oxford, wb, stanford, anthropic",True,
PRK,PRK,country_iso3,0,0,1,1,0,1,0,1,4,"oxford, wb, stanford, anthropic",True,
MNP,Northern Mariana Islands,country_iso3,0,0,0,1,0,1,0,1,3,"wb, stanford, anthropic",True,
PRI,Puerto Rico (US),country_iso3,0,0,0,1,0,1,0,1,3,"wb, stanford, anthropic",True,included by documented human-in-loop decision from Fase 3 planning context
XKX,XKX,country_iso3,0,0,0,1,0,1,0,1,3,"wb, stanford, anthropic",True,included by documented human-in-loop decision from Fase 3 planning context
BLM,Saint Barthelemy,country_iso3,0,0,0,0,0,1,0,1,2,"stanford, anthropic",True,
CHI,Channel Islands,country_iso3,0,0,0,1,0,0,0,1,2,"wb, anthropic",True,
MAF,Saint Martin,country_iso3,0,0,0,1,0,0,0,1,2,"wb, anthropic",True,
VAT,Vatican,country_iso3,0,0,0,0,0,0,1,1,2,"oecd, anthropic",True,
AFE,AFE,country_iso3,0,0,0,0,0,0,0,1,1,anthropic,True,
AFW,AFW,country_iso3,0,0,0,0,0,0,0,1,1,anthropic,True,
ANT,Netherlands Antilles,country_iso3,0,0,0,0,0,0,0,1,1,anthropic,True,
ATA,Antarctica,country_iso3,0,0,0,0,0,0,0,1,1,anthropic,True,
ATF,French Southern Territories,country_iso3,0,0,0,0,0,0,0,1,1,anthropic,True,
BVT,Bouvet Island,country_iso3,0,0,0,0,0,0,0,1,1,anthropic,True,
CCK,Cocos Islands,country_iso3,0,0,0,0,0,0,0,1,1,anthropic,True,
COK,Cook Islands,country_iso3,0,0,0,0,0,0,0,1,1,anthropic,True,
CXR,Christmas Island,country_iso3,0,0,0,0,0,0,0,1,1,anthropic,True,
EAR,EAR,country_iso3,0,0,0,0,0,0,0,1,1,anthropic,True,
ESH,Western Sahara,country_iso3,0,0,0,0,0,0,0,1,1,anthropic,True,
FLK,Falkland Islands,country_iso3,0,0,0,0,0,0,0,1,1,anthropic,True,
HMD,Heard Island and McDonald Islands,country_iso3,0,0,0,0,0,0,0,1,1,anthropic,True,
IDB,IDB,country_iso3,0,0,0,0,0,0,0,1,1,anthropic,True,
IOT,British Indian Ocean Territory,country_iso3,0,0,0,0,0,0,0,1,1,anthropic,True,
