iso3,country_name,region,income_group,value_used_for_ranking,question_id,question_label,outcome,outcome_label,value_type,rank_desc,rank_asc,percentile,n_ranked,is_top_5_global,is_bottom_5_global,interpretation_label,missingness_flag,why_high_or_low_short,group_name,group_type,rank_within_group,percentile_within_group,n_group_ranked,is_best_in_group,is_worst_in_group,distance_to_group_best,distance_to_group_median,distance_to_chile,why_best_or_worst
SGP,Singapore,East Asia & Pacific,High income,100.0,Q1,Inversión,oxford_ind_vc_availability,oxford_ind_vc_availability,observed_or_score,1.0,40.0,0.9651162790697675,43,True,False,top_pioneer,False,ubicado en el tramo superior de la muestra,East Asia & Pacific,region,1.0,1.0,6,True,False,0.0,-63.5,,mejor de su grupo
NZL,New Zealand,East Asia & Pacific,High income,38.0,Q1,Inversión,oxford_ind_vc_availability,oxford_ind_vc_availability,observed_or_score,13.0,31.0,0.7209302325581395,43,False,False,middle_performer,False,desempeño intermedio relativo,East Asia & Pacific,region,2.0,0.8333333333333334,6,False,False,62.0,-1.5,,
AUS,Australia,East Asia & Pacific,High income,36.0,Q1,Inversión,oxford_ind_vc_availability,oxford_ind_vc_availability,observed_or_score,15.0,29.0,0.6744186046511628,43,False,False,middle_performer,False,desempeño intermedio relativo,East Asia & Pacific,region,4.0,0.5,6,False,False,64.0,0.5,,
KOR,South Korea,East Asia & Pacific,High income,8.0,Q1,Inversión,oxford_ind_vc_availability,oxford_ind_vc_availability,observed_or_score,30.0,11.0,0.29069767441860467,43,False,False,low_performer,False,desempeño bajo relativo,East Asia & Pacific,region,6.0,0.16666666666666666,6,False,True,92.0,28.5,,peor de su grupo
CHN,China,East Asia & Pacific,Upper middle income,28.0,Q1,Inversión,oxford_ind_vc_availability,oxford_ind_vc_availability,observed_or_score,19.0,25.0,0.5813953488372093,43,False,False,middle_performer,False,desempeño intermedio relativo,East Asia & Pacific,region,5.0,0.3333333333333333,6,False,False,72.0,8.5,,
JPN,Japan,East Asia & Pacific,High income,37.0,Q1,Inversión,oxford_ind_vc_availability,oxford_ind_vc_availability,observed_or_score,14.0,30.0,0.6976744186046512,43,False,False,middle_performer,False,desempeño intermedio relativo,East Asia & Pacific,region,3.0,0.6666666666666666,6,False,False,63.0,-0.5,,
SGP,Singapore,East Asia & Pacific,High income,100.0,Q1,Inversión,wipo_c_vencapdeal_score,wipo_c_vencapdeal_score,observed_or_score,1.0,37.0,0.9625,40,True,False,top_pioneer,False,ubicado en el tramo superior de la muestra,East Asia & Pacific,region,1.0,1.0,6,True,False,0.0,-77.6810644949159,,mejor de su grupo
NZL,New Zealand,East Asia & Pacific,High income,19.3026608634052,Q1,Inversión,wipo_c_vencapdeal_score,wipo_c_vencapdeal_score,observed_or_score,19.0,22.0,0.55,40,False,False,middle_performer,False,desempeño intermedio relativo,East Asia & Pacific,region,4.0,0.5,6,False,False,80.69733913659479,3.0162746416788977,,
AUS,Australia,East Asia & Pacific,High income,25.335210146763,Q1,Inversión,wipo_c_vencapdeal_score,wipo_c_vencapdeal_score,observed_or_score,15.0,26.0,0.65,40,False,False,middle_performer,False,desempeño intermedio relativo,East Asia & Pacific,region,3.0,0.6666666666666666,6,False,False,74.664789853237,-3.0162746416789012,,
KOR,South Korea,East Asia & Pacific,High income,5.1544887120339,Q1,Inversión,wipo_c_vencapdeal_score,wipo_c_vencapdeal_score,observed_or_score,28.0,13.0,0.325,40,False,False,low_performer,False,desempeño bajo relativo,East Asia & Pacific,region,6.0,0.16666666666666666,6,False,True,94.8455112879661,17.1644467930502,,peor de su grupo
CHN,China,East Asia & Pacific,Upper middle income,31.0203696294824,Q1,Inversión,wipo_c_vencapdeal_score,wipo_c_vencapdeal_score,observed_or_score,13.0,28.0,0.7,40,False,False,middle_performer,False,desempeño intermedio relativo,East Asia & Pacific,region,2.0,0.8333333333333334,6,False,False,68.9796303705176,-8.7014341243983,,
JPN,Japan,East Asia & Pacific,High income,13.5611776309987,Q1,Inversión,wipo_c_vencapdeal_score,wipo_c_vencapdeal_score,observed_or_score,22.0,19.0,0.475,40,False,False,middle_performer,False,desempeño intermedio relativo,East Asia & Pacific,region,5.0,0.3333333333333333,6,False,False,86.4388223690013,8.7577578740854,,
SGP,Singapore,East Asia & Pacific,High income,0.5499,Q2,Adopción,anthropic_usage_pct,anthropic_usage_pct,observed_or_score,20.0,23.0,0.5476190476190477,42,False,False,middle_performer,False,desempeño intermedio relativo,East Asia & Pacific,region,4.0,0.4,5,False,False,2.3629,1.0407,,
NZL,New Zealand,East Asia & Pacific,High income,0.2739,Q2,Adopción,anthropic_usage_pct,anthropic_usage_pct,observed_or_score,29.0,14.0,0.3333333333333333,42,False,False,low_performer,False,desempeño bajo relativo,East Asia & Pacific,region,5.0,0.2,5,False,True,2.6389,1.3167,,peor de su grupo
AUS,Australia,East Asia & Pacific,High income,1.5906,Q2,Adopción,anthropic_usage_pct,anthropic_usage_pct,observed_or_score,11.0,32.0,0.7619047619047619,42,False,False,high_performer,False,desempeño alto relativo,East Asia & Pacific,region,3.0,0.6,5,False,False,1.3221999999999998,0.0,,
KOR,South Korea,East Asia & Pacific,High income,2.9075,Q2,Adopción,anthropic_usage_pct,anthropic_usage_pct,observed_or_score,7.0,36.0,0.8571428571428571,42,False,False,high_performer,False,desempeño alto relativo,East Asia & Pacific,region,2.0,0.8,5,False,False,0.005299999999999638,-1.3169000000000002,,
CHN,China,East Asia & Pacific,Upper middle income,,Q2,Adopción,anthropic_usage_pct,anthropic_usage_pct,observed_or_score,,,,42,False,False,not_ranked_missing,True,sin dato suficiente para ranking,East Asia & Pacific,region,,,5,False,False,,,,
JPN,Japan,East Asia & Pacific,High income,2.9128,Q2,Adopción,anthropic_usage_pct,anthropic_usage_pct,observed_or_score,6.0,37.0,0.8809523809523809,42,False,False,high_performer,False,desempeño alto relativo,East Asia & Pacific,region,1.0,1.0,5,True,False,0.0,-1.3221999999999998,,mejor de su grupo
SGP,Singapore,East Asia & Pacific,High income,60.9,Q2,Adopción,ms_h2_2025_ai_diffusion_pct,ms_h2_2025_ai_diffusion_pct,observed_or_score,2.0,41.0,0.9761904761904762,42,True,False,top_pioneer,False,ubicado en el tramo superior de la muestra,East Asia & Pacific,region,1.0,1.0,6,True,False,0.0,-27.1,,mejor de su grupo
NZL,New Zealand,East Asia & Pacific,High income,40.5,Q2,Adopción,ms_h2_2025_ai_diffusion_pct,ms_h2_2025_ai_diffusion_pct,observed_or_score,7.0,36.0,0.8571428571428571,42,False,False,high_performer,False,desempeño alto relativo,East Asia & Pacific,region,2.0,0.8333333333333334,6,False,False,20.4,-6.700000000000003,,
AUS,Australia,East Asia & Pacific,High income,36.9,Q2,Adopción,ms_h2_2025_ai_diffusion_pct,ms_h2_2025_ai_diffusion_pct,observed_or_score,11.0,32.0,0.7619047619047619,42,False,False,high_performer,False,desempeño alto relativo,East Asia & Pacific,region,3.0,0.6666666666666666,6,False,False,24.0,-3.1000000000000014,,
KOR,South Korea,East Asia & Pacific,High income,30.7,Q2,Adopción,ms_h2_2025_ai_diffusion_pct,ms_h2_2025_ai_diffusion_pct,observed_or_score,18.0,25.0,0.5952380952380952,42,False,False,middle_performer,False,desempeño intermedio relativo,East Asia & Pacific,region,4.0,0.5,6,False,False,30.2,3.099999999999998,,
CHN,China,East Asia & Pacific,Upper middle income,16.3,Q2,Adopción,ms_h2_2025_ai_diffusion_pct,ms_h2_2025_ai_diffusion_pct,observed_or_score,39.0,4.0,0.09523809523809523,42,False,True,bottom_laggard,False,ubicado en el tramo inferior de la muestra,East Asia & Pacific,region,6.0,0.16666666666666666,6,False,True,44.599999999999994,17.499999999999996,,peor de su grupo
JPN,Japan,East Asia & Pacific,High income,19.1,Q2,Adopción,ms_h2_2025_ai_diffusion_pct,ms_h2_2025_ai_diffusion_pct,observed_or_score,35.0,7.0,0.17857142857142858,42,False,False,bottom_laggard,False,ubicado en el tramo inferior de la muestra,East Asia & Pacific,region,5.0,0.3333333333333333,6,False,False,41.8,14.699999999999996,,
SGP,Singapore,East Asia & Pacific,High income,,Q2,Adopción,oecd_5_ict_business_oecd_biz_ai_pct,oecd_5_ict_business_oecd_biz_ai_pct,observed_or_score,,,,31,False,False,not_ranked_missing,True,sin dato suficiente para ranking,East Asia & Pacific,region,,,4,False,False,,,,
NZL,New Zealand,East Asia & Pacific,High income,9.023666707,Q2,Adopción,oecd_5_ict_business_oecd_biz_ai_pct,oecd_5_ict_business_oecd_biz_ai_pct,observed_or_score,21.0,11.0,0.3548387096774194,31,False,False,low_performer,False,desempeño bajo relativo,East Asia & Pacific,region,3.0,0.5,4,False,False,21.256333293,0.07391664649999896,,
AUS,Australia,East Asia & Pacific,High income,3.39,Q2,Adopción,oecd_5_ict_business_oecd_biz_ai_pct,oecd_5_ict_business_oecd_biz_ai_pct,observed_or_score,31.0,1.0,0.03225806451612903,31,False,True,bottom_laggard,False,ubicado en el tramo inferior de la muestra,East Asia & Pacific,region,4.0,0.25,4,False,True,26.89,5.707583353499999,,peor de su grupo
KOR,South Korea,East Asia & Pacific,High income,30.28,Q2,Adopción,oecd_5_ict_business_oecd_biz_ai_pct,oecd_5_ict_business_oecd_biz_ai_pct,observed_or_score,6.0,26.0,0.8387096774193549,31,False,False,high_performer,False,desempeño alto relativo,East Asia & Pacific,region,1.0,1.0,4,True,False,0.0,-21.182416646500002,,mejor de su grupo
CHN,China,East Asia & Pacific,Upper middle income,,Q2,Adopción,oecd_5_ict_business_oecd_biz_ai_pct,oecd_5_ict_business_oecd_biz_ai_pct,observed_or_score,,,,31,False,False,not_ranked_missing,True,sin dato suficiente para ranking,East Asia & Pacific,region,,,4,False,False,,,,
JPN,Japan,East Asia & Pacific,High income,9.1715,Q2,Adopción,oecd_5_ict_business_oecd_biz_ai_pct,oecd_5_ict_business_oecd_biz_ai_pct,observed_or_score,20.0,12.0,0.3870967741935484,31,False,False,low_performer,False,desempeño bajo relativo,East Asia & Pacific,region,2.0,0.75,4,False,False,21.1085,-0.07391664650000074,,
SGP,Singapore,East Asia & Pacific,High income,88.54,Q2,Adopción,oxford_ind_adoption_emerging_tech,oxford_ind_adoption_emerging_tech,observed_or_score,7.0,37.0,0.8604651162790697,43,False,False,high_performer,False,desempeño alto relativo,East Asia & Pacific,region,1.0,1.0,6,True,False,0.0,-8.39,,mejor de su grupo
NZL,New Zealand,East Asia & Pacific,High income,77.97,Q2,Adopción,oxford_ind_adoption_emerging_tech,oxford_ind_adoption_emerging_tech,observed_or_score,17.0,27.0,0.627906976744186,43,False,False,middle_performer,False,desempeño intermedio relativo,East Asia & Pacific,region,4.0,0.5,6,False,False,10.570000000000007,2.180000000000007,,
AUS,Australia,East Asia & Pacific,High income,82.33,Q2,Adopción,oxford_ind_adoption_emerging_tech,oxford_ind_adoption_emerging_tech,observed_or_score,14.0,30.0,0.6976744186046512,43,False,False,middle_performer,False,desempeño intermedio relativo,East Asia & Pacific,region,3.0,0.6666666666666666,6,False,False,6.210000000000008,-2.1799999999999926,,
KOR,South Korea,East Asia & Pacific,High income,75.4,Q2,Adopción,oxford_ind_adoption_emerging_tech,oxford_ind_adoption_emerging_tech,observed_or_score,18.0,26.0,0.6046511627906976,43,False,False,middle_performer,False,desempeño intermedio relativo,East Asia & Pacific,region,5.0,0.3333333333333333,6,False,False,13.14,4.75,,
CHN,China,East Asia & Pacific,Upper middle income,47.9875,Q2,Adopción,oxford_ind_adoption_emerging_tech,oxford_ind_adoption_emerging_tech,observed_or_score,39.0,5.0,0.11627906976744186,43,False,True,bottom_laggard,False,ubicado en el tramo inferior de la muestra,East Asia & Pacific,region,6.0,0.16666666666666666,6,False,True,40.55250000000001,32.16250000000001,,peor de su grupo
JPN,Japan,East Asia & Pacific,High income,85.26,Q2,Adopción,oxford_ind_adoption_emerging_tech,oxford_ind_adoption_emerging_tech,observed_or_score,9.0,35.0,0.813953488372093,43,False,False,high_performer,False,desempeño alto relativo,East Asia & Pacific,region,2.0,0.8333333333333334,6,False,False,3.280000000000001,-5.109999999999999,,
SGP,Singapore,East Asia & Pacific,High income,92.5,Q2,Adopción,oxford_public_sector_adoption,oxford_public_sector_adoption,observed_or_score,7.0,37.0,0.8604651162790697,43,False,False,high_performer,False,desempeño alto relativo,East Asia & Pacific,region,1.0,1.0,6,True,False,0.0,-16.53,,mejor de su grupo
NZL,New Zealand,East Asia & Pacific,High income,64.32,Q2,Adopción,oxford_public_sector_adoption,oxford_public_sector_adoption,observed_or_score,39.0,5.0,0.11627906976744186,43,False,True,bottom_laggard,False,ubicado en el tramo inferior de la muestra,East Asia & Pacific,region,5.0,0.3333333333333333,6,False,False,28.180000000000007,11.650000000000006,,
AUS,Australia,East Asia & Pacific,High income,82.67,Q2,Adopción,oxford_public_sector_adoption,oxford_public_sector_adoption,observed_or_score,13.0,31.0,0.7209302325581395,43,False,False,middle_performer,False,desempeño intermedio relativo,East Asia & Pacific,region,2.0,0.8333333333333334,6,False,False,9.829999999999998,-6.700000000000003,,
KOR,South Korea,East Asia & Pacific,High income,79.23,Q2,Adopción,oxford_public_sector_adoption,oxford_public_sector_adoption,observed_or_score,17.0,27.0,0.627906976744186,43,False,False,middle_performer,False,desempeño intermedio relativo,East Asia & Pacific,region,3.0,0.6666666666666666,6,False,False,13.269999999999996,-3.260000000000005,,
CHN,China,East Asia & Pacific,Upper middle income,49.02,Q2,Adopción,oxford_public_sector_adoption,oxford_public_sector_adoption,observed_or_score,42.0,2.0,0.046511627906976744,43,False,True,bottom_laggard,False,ubicado en el tramo inferior de la muestra,East Asia & Pacific,region,6.0,0.16666666666666666,6,False,True,43.48,26.949999999999996,,peor de su grupo
JPN,Japan,East Asia & Pacific,High income,72.71,Q2,Adopción,oxford_public_sector_adoption,oxford_public_sector_adoption,observed_or_score,26.0,18.0,0.4186046511627907,43,False,False,middle_performer,False,desempeño intermedio relativo,East Asia & Pacific,region,4.0,0.5,6,False,False,19.790000000000006,3.260000000000005,,
SGP,Singapore,East Asia & Pacific,High income,76.42,Q3,Innovación,oxford_total_score,oxford_total_score,observed_or_score,7.0,37.0,0.8604651162790697,43,False,False,high_performer,False,desempeño alto relativo,East Asia & Pacific,region,2.0,0.8333333333333334,6,False,False,0.46999999999999886,-0.4200000000000017,,
NZL,New Zealand,East Asia & Pacific,High income,62.7,Q3,Innovación,oxford_total_score,oxford_total_score,observed_or_score,31.0,13.0,0.3023255813953488,43,False,False,low_performer,False,desempeño bajo relativo,East Asia & Pacific,region,6.0,0.16666666666666666,6,False,True,14.189999999999998,13.299999999999997,,peor de su grupo
AUS,Australia,East Asia & Pacific,High income,75.73,Q3,Innovación,oxford_total_score,oxford_total_score,observed_or_score,9.0,35.0,0.813953488372093,43,False,False,high_performer,False,desempeño alto relativo,East Asia & Pacific,region,4.0,0.5,6,False,False,1.1599999999999966,0.269999999999996,,
KOR,South Korea,East Asia & Pacific,High income,76.89,Q3,Innovación,oxford_total_score,oxford_total_score,observed_or_score,5.0,39.0,0.9069767441860465,43,True,False,top_pioneer,False,ubicado en el tramo superior de la muestra,East Asia & Pacific,region,1.0,1.0,6,True,False,0.0,-0.8900000000000006,,mejor de su grupo
CHN,China,East Asia & Pacific,Upper middle income,76.27,Q3,Innovación,oxford_total_score,oxford_total_score,observed_or_score,8.0,36.0,0.8372093023255814,43,False,False,high_performer,False,desempeño alto relativo,East Asia & Pacific,region,3.0,0.6666666666666666,6,False,False,0.6200000000000045,-0.269999999999996,,
JPN,Japan,East Asia & Pacific,High income,72.24,Q3,Innovación,oxford_total_score,oxford_total_score,observed_or_score,14.0,30.0,0.6976744186046512,43,False,False,middle_performer,False,desempeño intermedio relativo,East Asia & Pacific,region,5.0,0.3333333333333333,6,False,False,4.650000000000006,3.760000000000005,,
SGP,Singapore,East Asia & Pacific,High income,51.1413477319094,Q3,Innovación,wipo_out_score,wipo_out_score,observed_or_score,9.0,34.0,0.8095238095238095,42,False,False,high_performer,False,desempeño alto relativo,East Asia & Pacific,region,3.0,0.6666666666666666,6,False,False,4.0791250018393015,-1.9233831348531467,,
NZL,New Zealand,East Asia & Pacific,High income,34.1069852263324,Q3,Innovación,wipo_out_score,wipo_out_score,observed_or_score,28.0,15.0,0.35714285714285715,42,False,False,low_performer,False,desempeño bajo relativo,East Asia & Pacific,region,6.0,0.16666666666666666,6,False,True,21.113487507416302,15.110979370723854,,peor de su grupo
AUS,Australia,East Asia & Pacific,High income,37.7631417619452,Q3,Innovación,wipo_out_score,wipo_out_score,observed_or_score,23.0,20.0,0.47619047619047616,42,False,False,middle_performer,False,desempeño intermedio relativo,East Asia & Pacific,region,5.0,0.3333333333333333,6,False,False,17.4573309718035,11.454822835111052,,
KOR,South Korea,East Asia & Pacific,High income,54.7499614119472,Q3,Innovación,wipo_out_score,wipo_out_score,observed_or_score,6.0,37.0,0.8809523809523809,42,False,False,high_performer,False,desempeño alto relativo,East Asia & Pacific,region,2.0,0.8333333333333334,6,False,False,0.4705113218015029,-5.531996814890945,,
CHN,China,East Asia & Pacific,Upper middle income,55.2204727337487,Q3,Innovación,wipo_out_score,wipo_out_score,observed_or_score,5.0,38.0,0.9047619047619048,42,True,False,top_pioneer,False,ubicado en el tramo superior de la muestra,East Asia & Pacific,region,1.0,1.0,6,True,False,0.0,-6.002508136692448,,mejor de su grupo
JPN,Japan,East Asia & Pacific,High income,47.2945814622031,Q3,Innovación,wipo_out_score,wipo_out_score,observed_or_score,14.0,29.0,0.6904761904761905,42,False,False,middle_performer,False,desempeño intermedio relativo,East Asia & Pacific,region,4.0,0.5,6,False,False,7.925891271545602,1.9233831348531538,,
SGP,Singapore,East Asia & Pacific,High income,16.66666666666667,Q5,Uso poblacional,anthropic_collaboration_pct,anthropic_collaboration_pct,observed_or_score,1.0,6.0,0.5714285714285714,42,True,False,middle_performer,False,desempeño intermedio relativo,East Asia & Pacific,region,1.0,0.6,5,True,False,0.0,0.0,,mejor de su grupo
NZL,New Zealand,East Asia & Pacific,High income,16.66666666666667,Q5,Uso poblacional,anthropic_collaboration_pct,anthropic_collaboration_pct,observed_or_score,1.0,6.0,0.5714285714285714,42,True,False,middle_performer,False,desempeño intermedio relativo,East Asia & Pacific,region,1.0,0.6,5,True,False,0.0,0.0,,mejor de su grupo
AUS,Australia,East Asia & Pacific,High income,16.66666666666667,Q5,Uso poblacional,anthropic_collaboration_pct,anthropic_collaboration_pct,observed_or_score,1.0,6.0,0.5714285714285714,42,True,False,middle_performer,False,desempeño intermedio relativo,East Asia & Pacific,region,1.0,0.6,5,True,False,0.0,0.0,,mejor de su grupo
KOR,South Korea,East Asia & Pacific,High income,16.66666666666667,Q5,Uso poblacional,anthropic_collaboration_pct,anthropic_collaboration_pct,observed_or_score,1.0,6.0,0.5714285714285714,42,True,False,middle_performer,False,desempeño intermedio relativo,East Asia & Pacific,region,1.0,0.6,5,True,False,0.0,0.0,,mejor de su grupo
CHN,China,East Asia & Pacific,Upper middle income,,Q5,Uso poblacional,anthropic_collaboration_pct,anthropic_collaboration_pct,observed_or_score,,,,42,False,False,not_ranked_missing,True,sin dato suficiente para ranking,East Asia & Pacific,region,,,5,False,False,,,,
JPN,Japan,East Asia & Pacific,High income,16.66666666666667,Q5,Uso poblacional,anthropic_collaboration_pct,anthropic_collaboration_pct,observed_or_score,1.0,6.0,0.5714285714285714,42,True,False,middle_performer,False,desempeño intermedio relativo,East Asia & Pacific,region,1.0,0.6,5,True,False,0.0,0.0,,mejor de su grupo
SGP,Singapore,East Asia & Pacific,High income,0.5499,Q5,Uso poblacional,anthropic_usage_pct,anthropic_usage_pct,observed_or_score,20.0,23.0,0.5476190476190477,42,False,False,middle_performer,False,desempeño intermedio relativo,East Asia & Pacific,region,4.0,0.4,5,False,False,2.3629,1.0407,,
NZL,New Zealand,East Asia & Pacific,High income,0.2739,Q5,Uso poblacional,anthropic_usage_pct,anthropic_usage_pct,observed_or_score,29.0,14.0,0.3333333333333333,42,False,False,low_performer,False,desempeño bajo relativo,East Asia & Pacific,region,5.0,0.2,5,False,True,2.6389,1.3167,,peor de su grupo
AUS,Australia,East Asia & Pacific,High income,1.5906,Q5,Uso poblacional,anthropic_usage_pct,anthropic_usage_pct,observed_or_score,11.0,32.0,0.7619047619047619,42,False,False,high_performer,False,desempeño alto relativo,East Asia & Pacific,region,3.0,0.6,5,False,False,1.3221999999999998,0.0,,
KOR,South Korea,East Asia & Pacific,High income,2.9075,Q5,Uso poblacional,anthropic_usage_pct,anthropic_usage_pct,observed_or_score,7.0,36.0,0.8571428571428571,42,False,False,high_performer,False,desempeño alto relativo,East Asia & Pacific,region,2.0,0.8,5,False,False,0.005299999999999638,-1.3169000000000002,,
CHN,China,East Asia & Pacific,Upper middle income,,Q5,Uso poblacional,anthropic_usage_pct,anthropic_usage_pct,observed_or_score,,,,42,False,False,not_ranked_missing,True,sin dato suficiente para ranking,East Asia & Pacific,region,,,5,False,False,,,,
JPN,Japan,East Asia & Pacific,High income,2.9128,Q5,Uso poblacional,anthropic_usage_pct,anthropic_usage_pct,observed_or_score,6.0,37.0,0.8809523809523809,42,False,False,high_performer,False,desempeño alto relativo,East Asia & Pacific,region,1.0,1.0,5,True,False,0.0,-1.3221999999999998,,mejor de su grupo
SGP,Singapore,East Asia & Pacific,High income,88.54,Q5,Uso poblacional,oxford_ind_adoption_emerging_tech,oxford_ind_adoption_emerging_tech,observed_or_score,7.0,37.0,0.8604651162790697,43,False,False,high_performer,False,desempeño alto relativo,East Asia & Pacific,region,1.0,1.0,6,True,False,0.0,-8.39,,mejor de su grupo
NZL,New Zealand,East Asia & Pacific,High income,77.97,Q5,Uso poblacional,oxford_ind_adoption_emerging_tech,oxford_ind_adoption_emerging_tech,observed_or_score,17.0,27.0,0.627906976744186,43,False,False,middle_performer,False,desempeño intermedio relativo,East Asia & Pacific,region,4.0,0.5,6,False,False,10.570000000000007,2.180000000000007,,
AUS,Australia,East Asia & Pacific,High income,82.33,Q5,Uso poblacional,oxford_ind_adoption_emerging_tech,oxford_ind_adoption_emerging_tech,observed_or_score,14.0,30.0,0.6976744186046512,43,False,False,middle_performer,False,desempeño intermedio relativo,East Asia & Pacific,region,3.0,0.6666666666666666,6,False,False,6.210000000000008,-2.1799999999999926,,
KOR,South Korea,East Asia & Pacific,High income,75.4,Q5,Uso poblacional,oxford_ind_adoption_emerging_tech,oxford_ind_adoption_emerging_tech,observed_or_score,18.0,26.0,0.6046511627906976,43,False,False,middle_performer,False,desempeño intermedio relativo,East Asia & Pacific,region,5.0,0.3333333333333333,6,False,False,13.14,4.75,,
CHN,China,East Asia & Pacific,Upper middle income,47.9875,Q5,Uso poblacional,oxford_ind_adoption_emerging_tech,oxford_ind_adoption_emerging_tech,observed_or_score,39.0,5.0,0.11627906976744186,43,False,True,bottom_laggard,False,ubicado en el tramo inferior de la muestra,East Asia & Pacific,region,6.0,0.16666666666666666,6,False,True,40.55250000000001,32.16250000000001,,peor de su grupo
JPN,Japan,East Asia & Pacific,High income,85.26,Q5,Uso poblacional,oxford_ind_adoption_emerging_tech,oxford_ind_adoption_emerging_tech,observed_or_score,9.0,35.0,0.813953488372093,43,False,False,high_performer,False,desempeño alto relativo,East Asia & Pacific,region,2.0,0.8333333333333334,6,False,False,3.280000000000001,-5.109999999999999,,
