STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,SECTOR,Institutional sector,EDITION,Edition,CATEGORY,Category,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,PRICE_BASE,Price base,BASE_PER,Base period
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,CRI,Costa Rica,DG_PL,Government as a platform,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.02,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,CZE,Czechia,OUR,"OURdata: open, useful, reusable government data",IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.53,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,CZE,Czechia,DG,Digital government,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.59,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,CZE,Czechia,DG_OD,Open by default,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.11,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,CZE,Czechia,OUR_GSR,Government support for data re-use,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.14,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,CZE,Czechia,DG_UD,User-driven,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.1,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,CZE,Czechia,OUR_DAV,Data availability,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.2,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,CZE,Czechia,OUR_DAC,Data accessibility,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.19,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,CZE,Czechia,DG_PR,Proactiveness,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.07,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,CZE,Czechia,DG_D,Digital by design,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.1,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,CZE,Czechia,DG_PL,Government as a platform,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.11,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,CZE,Czechia,DG_DD,Data-driven public sector,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.11,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,DNK,Denmark,OUR,"OURdata: open, useful, reusable government data",IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.66,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,DNK,Denmark,DG_PR,Proactiveness,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.13,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,DNK,Denmark,OUR_DAV,Data availability,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.24,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,DNK,Denmark,DG,Digital government,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.81,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,DNK,Denmark,DG_D,Digital by design,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.14,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,DNK,Denmark,DG_DD,Data-driven public sector,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.14,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,DNK,Denmark,DG_UD,User-driven,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.12,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,DNK,Denmark,OUR_DAC,Data accessibility,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.23,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,DNK,Denmark,DG_OD,Open by default,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.13,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,DNK,Denmark,OUR_GSR,Government support for data re-use,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.19,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,DNK,Denmark,DG_PL,Government as a platform,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.15,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,EST,Estonia,OUR_GSR,Government support for data re-use,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.24,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,EST,Estonia,DG_PL,Government as a platform,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.12,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,EST,Estonia,DG_UD,User-driven,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.1,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,EST,Estonia,OUR_DAV,Data availability,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.24,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,EST,Estonia,DG_PR,Proactiveness,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.14,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,EST,Estonia,OUR,"OURdata: open, useful, reusable government data",IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.76,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,EST,Estonia,OUR_DAC,Data accessibility,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.28,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,EST,Estonia,DG_DD,Data-driven public sector,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.16,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,EST,Estonia,DG_OD,Open by default,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.1,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,EST,Estonia,DG_D,Digital by design,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.12,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,EST,Estonia,DG,Digital government,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.74,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,FIN,Finland,DG_DD,Data-driven public sector,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.11,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,FIN,Finland,DG_D,Digital by design,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.12,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,FIN,Finland,DG_PL,Government as a platform,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.11,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,FIN,Finland,OUR_DAV,Data availability,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.2,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,FIN,Finland,OUR_DAC,Data accessibility,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.23,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,FIN,Finland,OUR_GSR,Government support for data re-use,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.11,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,FIN,Finland,DG_PR,Proactiveness,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.11,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,FIN,Finland,DG_UD,User-driven,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.11,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,FIN,Finland,DG_OD,Open by default,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.07,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,FIN,Finland,OUR,"OURdata: open, useful, reusable government data",IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.54,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,FIN,Finland,DG,Digital government,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.64,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,FRA,France,DG_PL,Government as a platform,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.1,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,FRA,France,OUR_GSR,Government support for data re-use,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.25,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,FRA,France,DG_PR,Proactiveness,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.09,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,FRA,France,OUR,"OURdata: open, useful, reusable government data",IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.83,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,FRA,France,DG,Digital government,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.66,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,FRA,France,DG_OD,Open by default,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.13,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,FRA,France,DG_UD,User-driven,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.1,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,FRA,France,OUR_DAV,Data availability,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.3,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,FRA,France,DG_DD,Data-driven public sector,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.14,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,FRA,France,DG_D,Digital by design,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.11,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,FRA,France,OUR_DAC,Data accessibility,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.28,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,DEU,Germany,OUR,"OURdata: open, useful, reusable government data",IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.39,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,DEU,Germany,OUR_DAV,Data availability,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.1,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,DEU,Germany,OUR_DAC,Data accessibility,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.21,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,DEU,Germany,OUR_GSR,Government support for data re-use,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.07,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,GRC,Greece,OUR,"OURdata: open, useful, reusable government data",IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.23,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,GRC,Greece,OUR_DAC,Data accessibility,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.12,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,GRC,Greece,OUR_GSR,Government support for data re-use,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.01,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,GRC,Greece,OUR_DAV,Data availability,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.1,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,HUN,Hungary,DG_DD,Data-driven public sector,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.11,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,HUN,Hungary,DG_D,Digital by design,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.1,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,HUN,Hungary,DG_UD,User-driven,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.07,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,HUN,Hungary,DG_PL,Government as a platform,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.07,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,HUN,Hungary,DG_OD,Open by default,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.08,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,HUN,Hungary,DG,Digital government,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.49,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,HUN,Hungary,DG_PR,Proactiveness,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.06,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,ISL,Iceland,DG_UD,User-driven,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.11,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,ISL,Iceland,DG_OD,Open by default,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.08,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,ISL,Iceland,DG_PR,Proactiveness,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.12,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,ISL,Iceland,DG_D,Digital by design,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.11,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,ISL,Iceland,DG_PL,Government as a platform,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.11,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,ISL,Iceland,DG,Digital government,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.64,,A,Normal value,0,Units,_Z,Not applicable,,
