iso3,region,income_group,iapp_has_ai_law,iapp_regulatory_approach,iapp_regulatory_intensity,iapp_enforcement_level,iapp_thematic_coverage,oxford_readiness_score,oxford_rank,oxford_pillar_policy_capacity,oxford_pillar_ai_infrastructure,oxford_pillar_governance,oxford_pillar_public_sector_adoption,oxford_pillar_development_and_diffusion,oxford_pillar_resilience,oxford_dimension_compute_capacity,oxford_dimension_policy_vision,oxford_dimension_e_government_delivery,oxford_dimension_safety_and_security,oxford_dimension_ai_sector_maturity,oxford_dimension_human_capital,oxford_dimension_data_quality,oxford_dimension_regulatory_compliance,oxford_dimension_government_digital_policy,oxford_dimension_societal_transition,oxford_dimension_ai_technology_diffusion,ms_ai_user_share_h1_2025,ms_ai_user_share_h2_2025,ms_ai_user_share_change_pp,fh_fh_status,fh_fh_total_score,fh_fh_pr_score,fh_fh_cl_score,fh_fh_year,gdpr_has_gdpr_like_law,gdpr_gdpr_similarity_level,gdpr_dp_law_year,gdpr_has_dpa,gdpr_eu_status,gdpr_enforcement_active,legal_origin,is_common_law,wipo_gii_score,wipo_gii_rank,wipo_income_group_wipo,wipo_region_un,wipo_ppp_per_capita,wipo_population_thousands,wipo_business_environment,wipo_business_sophistication,wipo_creative_goods_and_services,wipo_creative_outputs,wipo_credit,wipo_ecological_sustainability,wipo_education,wipo_general_infrastructure,wipo_human_capital_and_research,wipo_information_and_communication_technologies_icts,wipo_infrastructure,wipo_innovation_inputs,wipo_innovation_linkages,wipo_innovation_outputs,wipo_institutional_environment,wipo_institutions,wipo_intangible_assets,wipo_investment,wipo_knowledge_absorption,wipo_knowledge_and_technology_outputs,wipo_knowledge_creation,wipo_knowledge_diffusion,wipo_knowledge_impact,wipo_knowledge_workers,wipo_market_sophistication,wipo_online_creativity,wipo_regulatory_environment,wipo_research_and_development_r_d,wipo_tertiary_education,wipo_trade_diversification_and_market_scale,wb_gdp_per_capita_ppp_2024,wb_government_effectiveness_2023,wb_regulatory_quality_2023,wb_rule_of_law_2023,wb_control_of_corruption_2023,wb_voice_accountability_2023,wb_political_stability_2023,wb_gdp_current_usd_2024,wb_population_2024,wb_labor_force_2024,wb_fdi_net_inflows_2024,wb_inflation_consumer_prices_2024,wb_unemployment_rate_2024,wb_high_tech_exports_pct,oecd_year,oecd_has_ai_law,oecd_regulatory_approach,oecd_regulatory_intensity,oecd_enforcement_level,oecd_thematic_coverage,oecd_n_total_initiatives,oecd_n_binding,oecd_n_nonbinding,oecd_n_strategies,oecd_n_regulations,oecd_n_sectors_covered,oecd_n_policy_instruments,stanford_fig_4.2.1,stanford_fig_4.2.13,stanford_fig_4.2.14,stanford_fig_4.2.15,stanford_fig_4.2.16,stanford_fig_4.2.17,stanford_fig_4.2.18,stanford_fig_4.2.19,stanford_fig_4.2.21,stanford_fig_4.2.22,stanford_fig_4.2.23,stanford_fig_4.2.24,stanford_fig_4.2.25,stanford_fig_4.2.7,stanford_fig_4.3.12,stanford_fig_4.3.13,stanford_fig_4.3.15,stanford_fig_4.3.16,stanford_fig_4.3.8,stanford_fig_4.3.9,stanford_fig_4.4.12,stanford_fig_4.4.2,stanford_fig_4.4.5,stanford_fig_4.4.6,stanford_fig_1.1.11,stanford_fig_1.3.3,stanford_fig_6.2.1,stanford_fig_6.2.20,stanford_fig_6.2.8,wb_ict_service_exports_pct,stanford_fig_1.2.4,stanford_fig_1.3.12,stanford_fig_1.3.25,stanford_fig_1.4.6,stanford_fig_6.2.15,stanford_fig_6.2.16,oecd_year_enacted,stanford_fig_4.2.2,stanford_fig_1.2.5,stanford_fig_6.2.17,stanford_fig_6.2.3,stanford_fig_6.2.4,stanford_fig_6.3.1,stanford_fig_6.3.2,stanford_fig_6.3.3,stanford_fig_6.3.4,stanford_fig_6.3.5,iapp_year_enacted,stanford_fig_6.3.8,stanford_fig_4.5.4,stanford_fig_4.5.7,stanford_fig_1.3.1,oxford_dimension_policy_commitment,oxford_dimension_enabling_technical_infrastructure,oxford_dimension_governance_principles,wipo_income_group,wipo_research_and_development,wipo_information_and_communication_technologies,wipo_trade_diversification,oecd_has_ai_law_2024,oecd_regulatory_approach_2024,oecd_regulatory_intensity_2024,oecd_enforcement_level_2024,oecd_thematic_coverage_2024,stanford_fig_4.4.4,stanford_fig_4.4.7,stanford_fig_4.5.5,wipo_information_and_communication_technology_ict,wb_year,wb_education_expenditure_pct_gdp,wb_exports_pct_gdp,wb_internet_penetration,wb_mobile_subscriptions_per100,wb_patent_applications_residents,wb_rd_expenditure,wb_rd_expenditure_pct_gdp,wb_tertiary_education,iapp_approach_ordinal,iapp_enforcement_ordinal,income_ordinal,gdpr_eu_adequacy,gdpr_eu_eea_member,gdpr_eu_eu_member,legal_English,legal_French,legal_German,legal_Scandinavian,legal_Socialist,region_simplified,region_africa,region_asia,region_europe,region_latam,region_mena,region_north_america,region_other,region_south_asia,fh_status_ordinal
BLZ,LATAM,UM,0,none,0,none,0,22.68,158,7.5,35.58,23.08,19.19,13.59,32.95,0.0,0.0,18.39,23.0,,,,,,,,,,,F,86.0,36.0,50.0,2025.0,1,2.0,2021.0,0,none,0,English,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,0.0265,,,,,,,0.0,,,4.31279909604743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,1,0,0,0,0,latam,0,0,0,1,0,0,0,0,
BRA,LATAM,UM,0,strategy_led,5,medium,10,69.55,22,88.0,65.5,78.18,94.78,46.57,67.88,38.57,70.0,97.66,83.33,,,,,,,,15.6,17.1,1.5,F,72.0,31.0,41.0,2025.0,1,2.0,2018.0,1,none,1,French,0,32.8689996973019,52.0,UM,Latin America and the Caribbean,22122.71,211998.57,16.6932786759415,36.1602384450603,7.39142940077917,32.3249051554556,20.8189138101957,26.6274249092658,50.5663427096104,25.2494787738923,33.8523690229962,84.538825270899,45.4719096513524,37.0854869633729,22.6057696683912,28.3947982634734,42.3189731118759,31.7548078206296,45.8428237034512,16.7642996142845,40.1458323310507,24.4646913714913,20.2476274562809,15.534708219787,37.6117384384059,45.7291133357388,38.1881098768259,30.2225438141408,36.2521716740714,30.5705020060939,20.4202623532844,76.9811162059975,22338.4765640635,-0.546764314174652,-0.29647821187973,-0.308802843093872,-0.503643155097961,0.382853865623474,-0.408567786216736,2185821648943.86,211998573.0,107871864.0,74090786050.19,4.36746407652337,6.801,14.0668052120423,2024.0,1.0,comprehensive,10.0,high,15.0,11.0,3.0,5.0,1.0,4.0,1.0,1.0,,30.83%,1/1/18,1.32,Female,0.23%,217%,2016.0,2016.0,-0.09,1/1/19,5.80%,0.1745189273828443,,17.0,85.0,,,0.689429072,2.184213152,,,,,,,0.0,2024.0,1.0,7.79155072187296,0.023680888,,,,0.0,5.0,2019.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.61922979354858,17.9385794398128,84.4635,101.02,4666.0,1.14526,,60.3906211853027,2,2,1,0,0,0,0,1,0,0,0,latam,0,0,0,1,0,0,0,0,
BRB,LATAM,HI,0,none,0,none,0,23.33,155,15.5,34.85,40.75,6.22,14.03,25.16,0.0,20.0,12.44,3.33,,,,,,,,,,,F,94.0,39.0,55.0,2025.0,1,2.0,2019.0,1,none,1,English,1,25.1250313227345,84.0,HI,Latin America and the Caribbean,22034.88,282.47,46.7568397273676,31.0749218462032,30.5726998989089,17.1120900805257,25.6054636732897,6.85363447364135,53.5858526079344,12.5186734389005,26.7929263039672,60.0507982959543,26.4743687361654,32.0328667614402,39.9738389968388,20.0755148878679,64.256351578935,55.0838919444604,8.87871841895818,21.6197135020813,25.1487512130552,23.03893969521,50.3525665183393,8.46729154134082,10.29696102595,28.1021753287156,20.7382249764049,20.1182235852775,54.2384845270786,0.0,,14.9894977538437,,,,,,,,,,,,,,13.6921297160453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,0.0015,,,,,,,1.0,,,,,,,,0.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,0,0,0,1,0,0,0,0,latam,0,0,0,1,0,0,0,0,
CAN,North America,HI,0,strategy_led,5,medium,11,74.66,12,92.5,72.32,76.85,78.6,69.03,67.57,44.24,100.0,79.63,66.67,57.07,83.55,89.17,81.19,77.58,68.47,70.46,33.5,35.0,1.5,F,97.0,39.0,58.0,2025.0,1,3.0,2000.0,1,adequacy,1,English,1,51.0643545243557,17.0,HI,Northern America,62765.57,39742.43,62.6828577877872,56.8399449800642,32.797410920834,44.1209967445603,63.3338197194843,18.3695549196172,66.2792226851452,60.0267011546485,58.36323601282,85.7921609782209,54.7294723508288,63.0643938594709,70.0244316070278,42.7461441704136,84.4552686545826,78.1528547766151,40.199146199134,60.9244012163821,46.6615438696893,41.3712915962669,46.5719564046657,28.5603441950388,48.9815741890962,53.8338594634755,67.2364611770263,63.2882836591392,87.3204378874756,58.6213533474913,50.1891320058234,77.4511625952125,64610.3795171971,1.51680326461792,1.64471042156219,1.47300565242767,1.67150104045868,1.4796462059021,0.822420537471771,2243636826633.76,41288599.0,22690597.0,63052828220.4018,2.38158383281173,6.351,17.1309209127166,2024.0,0.0,strategy_led,9.0,medium,0.0,14.0,0.0,12.0,1.0,6.0,1.0,1.0,2014.0,26.13%,1/1/18,1.3,Female,0.93%,166%,2016.0,2016.0,0.95,1/1/24,,,,51.0,481.0,,,2.887230487,15.30599504,,,,,6.0,61.0,1.0,,,11.6770691777618,0.174573338,,,,4.0,7.0,,,,1.0,,,,,,,,,,4.3,37%,1.0,,,,,,,,,,,,,,,,,,4.88021993637085,32.4437742363653,93.9564,94.1497,4710.0,1.70133,,76.2586212158203,2,2,2,1,0,0,1,0,0,0,0,north_america,0,0,0,0,0,1,0,0,
CHE,Europe-Other,HI,0,light_touch,3,low,7,66.95,26,39.0,68.97,89.2,73.93,61.41,59.84,31.63,60.0,75.02,33.33,51.77,60.33,91.52,78.4,72.84,86.35,75.34,32.4,34.8,2.5,F,96.0,39.0,57.0,2025.0,1,3.0,2023.0,1,adequacy,1,German,0,65.9619514450125,1.0,HI,Europe,95836.64,8921.98,81.4616885977857,67.2294820524216,59.7148299515865,67.1336165137036,70.7973224980884,49.9285453522079,65.1175693329047,50.4312689397685,61.8397614842093,82.0918958565804,60.8172367161856,68.8241363613099,80.3541988522434,66.1220270107369,92.4276969446989,87.7075542853295,61.6970781224856,64.866100955814,50.0875216331418,65.1104375077702,78.7102793422055,60.6788747429306,55.9421584381745,71.2467256718795,66.5266472684035,85.4254798582566,89.233277313504,70.4412477333275,49.9604673863957,63.9165183513082,96497.6947971323,2.13492703437805,1.72938001155853,1.76172566413879,2.02199912071228,1.66502690315247,1.07144391536713,936564198048.516,9005582.0,5139536.0,-108395568633.839,1.06234041976595,4.343,12.9094936723953,2024.0,0.0,light_touch,4.0,none,10.0,4.0,0.0,4.0,0.0,1.0,1.0,1.0,2014.0,18.43%,1/1/18,0.77,Female,1.16%,105%,2016.0,2016.0,3.15,1/1/24,,0.3818420955675578,,22.0,154.0,,,0.428615762,3.897936818,,,,,,14.0,0.0,,,9.58009217619969,0.191267126,,,,0.0,0.0,,,,,,,7.483250512041094,4.0,3048.082527,85.8986977,,,,,,,,,,,,,,,,,,,,,,,,4.92419004440308,72.1589447667905,97.3444,128.64,1288.0,3.30645,,74.0060882568359,1,1,2,1,0,0,0,0,1,0,0,europe,0,0,1,0,0,0,0,0,
CHL,Latin America and the Caribbean,HI,0,strategy_led,4,low,8,59.3,50,92.5,57.77,53.54,70.76,45.26,56.46,18.18,100.0,96.53,55.33,24.68,65.02,79.88,51.58,45.0,57.58,52.95,,,,,,,,,1,,,1,none,0,French,0,33.07,51.0,,,33574.4,19764.77,40.91,30.52,10.03,27.53,35.87,24.51,50.25,29.99,33.52,,45.6,40.91,20.11,24.34,62.46,56.32,36.49,17.58,36.76,21.15,16.73,11.65,35.08,34.69,38.59,27.1,65.59,,36.13,,36181.16,0.72,0.93,0.63,0.97,,0.14,,19764771.0,,,,8.72,,,,,,,,8.0,1.0,7.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.0,,,,,,,,,,,,,,,,87.5,75.24,55.5,HI,14.19,82.29,62.32,1.0,light_touch,7.0,low,14.0,,,,,,4.9,33.72,94.46,135.87,402.0,,0.36,,2,1,2,0,0,0,0,1,0,0,0,latam,0,0,0,1,0,0,0,0,
CHN,East Asia,UM,1,comprehensive,9,high,13,76.27,8,92.5,78.36,91.14,49.02,74.67,77.34,80.66,100.0,56.39,100.0,67.29,81.43,85.21,82.28,,,,15.4,16.3,0.9,NF,9.0,-2.0,11.0,2025.0,1,2.0,2021.0,1,none,1,German,0,56.5551447506996,10.0,UM,"South East Asia, East Asia, and Oceania",26309.99,1419321.28,74.1524707603262,57.9578230548257,32.4051306908427,50.0257807113546,48.9453356058813,37.9775138731364,69.2346349445366,62.1408508074955,50.3316070714561,86.9573558265766,62.3585735024028,56.8023291373442,58.4213600460128,55.8431309075486,61.7891801839567,57.5627297338659,82.0378631743258,25.8749665477156,44.5901770366683,61.6604811037426,69.9098333743787,51.999246120933,63.0723638159161,70.8619320817959,55.8009123241707,3.62226580592397,36.7465382573148,58.1450643871072,23.6151218827246,92.5824348189153,27104.8702677463,0.679014027118683,-0.356507807970047,-0.0401299707591534,-0.0053701046854257,-1.50455415248871,-0.513097047805786,18743803170827.2,1408975000.0,768163717.0,18556141172.84,0.218128938439177,4.59,30.8186302968419,,,,,,,,,,,,,,,,,,,,,,,,,6.10%,0.0019638288902795,4.00%,98.0,1605.0,,,9.290337909,119.3198229,,Human resources,,,34.0,102.0,4.0,,,14.301697198836,6.08154759,,,,1.0,6.0,,,63.16879981,4.0,1.0,4.0,,,,,,2021.0,,276.3,-5%,15.0,,,,,,,,,,,,,75%,72.90%,2011.0,,,4.00127983093262,20.0229166362049,92.0,128.247,1426644.0,2.55518,,76.8757843123403,3,3,1,0,0,0,0,0,1,0,0,asia,0,1,0,0,0,0,0,0,
CMR,Sub-Saharan Africa,LM,0,none,0,none,0,34.91,116,34.5,34.92,53.75,22.49,29.23,39.93,3.29,30.0,34.97,50.0,13.2,46.14,52.67,50.0,10.0,29.85,33.69,7.0,7.8,0.7,NF,14.0,7.0,7.0,2025.0,0,1.0,2010.0,0,none,0,French,0,18.1843870946301,116.0,LM,Sub-Saharan Africa,5565.67,29123.75,53.7411271716813,24.55215765557,4.16929417609216,6.66635473849386,22.8227619885874,21.4796810939336,42.4817722991504,4.74221785654044,16.5041084084816,29.1785248777675,18.4668079427472,20.7130996185093,19.1519511237454,8.13477113842432,30.8128867197794,33.5315553258343,1.63975118076172,3.10287690027863,23.0963835489104,9.60318753835479,7.97545447055583,2.40100318839087,18.4331049561177,31.4081382940541,10.5108687599133,19.2166224163598,16.0406520860423,0.0,7.03055292629435,5.60696739087387,5588.98645861945,-0.906262576580048,-0.913473010063171,-1.03819787502289,-1.16255974769592,-1.0663970708847,-1.40043640136719,53296694320.2057,29123744.0,11175287.0,888218144.392838,4.53331349711606,3.603,5.11907584621214,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,0.005,0.005,,,,,,,0.0,,,6.32217920186948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.83907623667935,15.6732536622499,41.9088,96.4817,,,,16.6614294830602,0,0,0,0,0,0,0,1,0,0,0,africa,1,0,0,0,0,0,0,0,
COL,LATAM,UM,0,strategy_led,3,low,7,56.02,64,80.5,53.74,67.13,70.7,35.33,50.28,11.28,70.0,85.3,50.0,,,,,,,,20.4,22.0,1.6,PF,67.0,32.0,35.0,2025.0,1,2.0,2012.0,1,none,1,French,0,28.4802835988839,71.0,UM,Latin America and the Caribbean,21436.9,52886.36,38.2941701385163,33.6283822222323,7.44711785278308,24.7126432817753,20.0442426835727,35.8519517893509,37.0277685159437,19.5883458722564,25.5806749338008,70.5374031269461,41.9925669295178,35.1527421489298,21.6393982176949,23.2115407557661,50.5129581399384,42.4555578821424,31.5832115911008,13.2051152127607,36.95818318316,21.710438229757,11.6116104496837,19.1532100776197,34.3664941619676,42.287565265842,32.1065287769556,28.2370320921162,38.5595453679725,11.0402023533999,28.6740539320588,63.0702284345334,22349.436440123,-0.075877919793129,0.101034268736839,-0.458272933959961,-0.309191286563873,0.205213740468025,-0.717313230037689,418818154879.271,52886363.0,26786696.0,13683861747.2544,6.60908593728228,9.619,9.04845616228861,2024.0,1.0,comprehensive,17.0,high,19.0,21.0,3.0,15.0,1.0,6.0,1.0,1.0,,,,,,,,,,,,,0.0805169845014622,,2.0,10.0,,,0.01,0.07194705,,,,,,,,,7.0,4.94298555338194,0.001911273,ERNIE 3.0 Titan,,,,,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.26166009902954,16.0992987183311,77.3369,166.98,432.0,0.2894,,59.2901382446289,2,1,1,0,0,0,0,1,0,0,0,latam,0,0,0,1,0,0,0,0,
CRI,LATAM,UM,0,strategy_led,2,low,4,45.92,79,69.0,43.32,66.0,42.61,24.09,58.76,7.69,60.0,63.79,62.33,4.68,41.83,57.71,60.0,21.43,55.19,32.22,25.1,26.5,1.4,F,91.0,37.0,54.0,2025.0,1,2.0,2011.0,1,none,1,French,0,28.3589014854175,72.0,UM,Latin America and the Caribbean,29779.19,5129.91,57.2141351619434,30.7318840868921,13.5229145327288,17.8867857617689,17.3327926179701,37.7756678467803,54.6799062045918,20.8472967392403,26.4083065636201,72.4128483576133,43.6786043145446,36.4158930023064,22.8748237571914,20.2519089102736,55.3536321637963,56.3704903655228,16.0967461434619,2.70439416726308,38.2223041872988,22.6170320587783,4.87698863054684,30.1291756864749,32.8449318593133,31.098524316186,24.8901796809525,25.8307362274228,56.5437037708286,4.82143998098377,19.7235735052848,54.6333522576244,31106.7643556729,0.260196477174759,0.543547570705414,0.389316648244858,0.653749406337738,1.0699063539505,0.984186828136444,95350423176.5962,5129910.0,2402966.0,5298432816.49544,-0.412853001047069,6.936,17.5649349958823,2024.0,1.0,comprehensive,14.0,high,22.0,15.0,7.0,5.0,1.0,9.0,1.0,1.0,,17.61%,1/1/18,0.33,Female,0.63%,240%,2016.0,2016.0,-0.28,1/1/23,,0.0163652407523295,,1.0,2.0,,,0.004332492,0.005932492,,,,,,,,2024.0,,11.3550288612849,,,,,,,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.24841976165771,38.5317940509141,85.3951,145.789,15.0,0.33789,,55.0202903747559,2,1,1,0,0,0,0,1,0,0,0,latam,0,0,0,1,0,0,0,0,
CYP,Europe,HI,1,comprehensive,10,high,14,59.71,47,73.0,58.17,76.52,81.29,36.07,51.81,8.83,70.0,87.04,50.0,,,,,,,,,,,F,93.0,37.0,56.0,2025.0,1,3.0,2018.0,1,eu_member,1,English,1,45.4989362579263,25.0,HI,Northern Africa and Western Asia,59857.88,1358.28,39.2426178368907,43.3255016698366,37.9674951835738,50.6382492663873,28.0335432588667,32.6654749570156,63.816243556834,30.2546440342714,37.9136400418731,82.2227544925822,48.3809578279564,45.4999187883947,42.2775078776638,44.6375105157894,68.86642008883,56.4306484150529,53.0711407498027,40.6476726270174,36.7661905155395,38.6367717651915,35.9545740970798,57.7824723505195,22.1732688479752,50.9328066163063,41.4488459872546,58.4432203823701,61.1829073194378,7.58388610007044,42.340790468715,55.6653220758796,63006.61328125,0.73773992061615,0.778258264064789,0.628040313720703,0.332707405090332,0.974570155143738,0.409627169370651,37634533331.8902,1358282.0,765938.0,-50364142878.0379,1.80023018624815,4.9,19.874215891301,2024.0,1.0,light_touch,5.0,low,7.0,5.0,1.0,4.0,0.0,0.0,1.0,1.0,,6.86%,1/1/18,0.26,,0.89%,219%,2016.0,2016.0,4.67,1/1/23,,,,2.0,8.0,,,0.004167409,0.129032893,,,,,,,1.0,,,18.733724723283,,,,,,,2023.0,,,,,,0.3698029842206609,1.0,369.8029842,29.54906353,,2024.0,,,,,,,,,,,,,,,,,,,,,,4.73588991165161,97.0202359384563,91.2211,155.696,1.0,0.74527,,99.0216827392578,3,3,2,0,0,1,1,0,0,0,0,europe,0,0,1,0,0,0,0,0,
CZE,Europe,HI,1,comprehensive,10,high,14,64.56,32,81.0,58.61,74.14,69.33,54.04,67.74,15.76,90.0,92.52,66.67,32.55,75.26,88.03,73.29,46.15,68.82,61.48,26.0,27.8,1.8,F,91.0,37.0,54.0,2025.0,1,3.0,2018.0,1,eu_member,1,Socialist,0,42.0357587785266,32.0,HI,Europe,56686.22,10735.86,49.940715387704,42.5200032572955,53.6359949104829,38.3420595958092,16.4933749845827,42.4002515380027,57.4409013366027,44.8549149008759,43.691276667384,74.8771618655506,54.0441094348097,47.5611455819444,33.0116672264898,40.523577702343,75.6097112899136,67.4575960619148,20.8556892548082,9.66773012881711,46.63210787209,42.7050958088768,35.3580621691649,55.0338017014683,37.7234235559972,47.9162346733067,30.0927424883178,58.0208649631376,76.8223615081269,27.756509510646,45.8764191549034,64.1171223515536,57285.4237001379,1.1140114068985,1.30448853969574,1.14218366146088,0.767809867858887,1.07654917240143,0.967361629009247,347034062928.479,10905028.0,5593139.0,13051379572.6952,2.43531202435314,2.6,20.7104130233292,2024.0,0.0,strategy_led,9.0,none,8.0,11.0,0.0,9.0,1.0,4.0,1.0,1.0,,11.29%,1/1/18,0.46,Female,0.78%,102%,2016.0,2016.0,0.7,1/1/23,,,,2.0,23.0,,,0.004815686,0.257451809,,,,,,4.0,0.0,,,14.8422120775756,0.092046772,,,,0.0,16.0,,,,,,,40.70957763362463,75.0,261.7853181,382.0095493,5.784437520875026,2024.0,,,,,,,,,,,,,,,,,,,,,,4.30291986465454,68.8681514483249,87.6878,126.005,541.0,1.9642,,66.7282867431641,3,3,2,0,0,1,0,0,0,0,1,europe,0,0,1,0,0,0,0,0,
DEU,Europe,HI,1,comprehensive,10,high,14,76.78,6,84.5,73.28,91.17,82.89,66.24,73.37,56.98,80.0,85.6,83.33,53.38,75.54,94.76,82.35,,,,26.5,28.6,2.1,F,93.0,37.0,56.0,2025.0,1,3.0,2018.0,1,eu_member,1,German,0,55.4553512524913,11.0,HI,Europe,70930.36,84552.24,57.2759921513267,55.2848797202183,31.8982936599061,58.5988740776133,46.7022890308641,27.7522480499114,62.0290529666461,49.3997747723721,61.4340383751657,81.6430716328838,52.9316981517224,59.916581125836,58.5051767908235,56.2490922575727,78.5012421983542,73.5301708713333,68.5842722346786,27.2324708964939,45.475463116425,53.899310437532,57.0116439022172,54.0679406788273,50.6183467315515,61.8739992534063,56.4021185107405,65.32865818119,84.8132782643188,68.3667949212299,53.906267237621,95.2715956048636,73551.9347696836,1.18541669845581,1.45697498321533,1.55120778083801,1.66416621208191,1.46138572692871,0.586989283561707,4685592577804.69,83516593.0,43801773.0,47599143488.7827,2.2564981433876,3.4,16.3869405629417,2024.0,1.0,comprehensive,24.0,medium,25.0,43.0,2.0,37.0,1.0,6.0,1.0,1.0,,9.10%,1/1/18,1.32,Female,1.09%,140%,2016.0,2016.0,2.13,1/1/19,,,,67.0,394.0,,,1.974363427,13.27076964,,,,,7.0,28.0,4.0,,,9.13282868187376,1.217579251,,,,3.0,27.0,2021.0,2014.0,10.97468479,4.0,1.0,4.0,278.073428,409.0,240.654621,333.401983,49.55232301146678,2024.0,2013.0,28.4,7%,,,,,,,,,,,,,,,,2011.0,,,5.23916006088257,41.4340593720908,93.5,124.663,39822.0,3.13236,,78.5947494506836,3,3,2,0,0,1,0,0,1,0,0,europe,0,0,1,0,0,0,0,0,
DNK,Europe,HI,1,comprehensive,10,high,14,74.75,11,92.5,59.51,94.02,85.26,58.91,90.01,12.74,100.0,99.98,100.0,44.33,70.04,89.72,88.05,70.54,80.02,67.23,26.6,28.7,2.1,F,97.0,40.0,57.0,2025.0,1,3.0,2018.0,1,eu_member,1,Scandinavian,0,56.914915504656,9.0,HI,Europe,83454.42,5977.41,79.2915556091757,56.8949044988554,33.8301373143628,52.9466975212833,52.8811514224812,39.7551854076133,67.9725027808382,47.523869189749,58.8724275204976,94.6282912015691,60.6357819329771,63.6147647445384,61.4340843072428,50.6132733790293,92.6528049684447,88.745325627212,52.6987251435245,42.9121376628224,43.6611295443484,48.2798492367754,56.42823471803,40.9784416501234,47.4328713421728,65.5894996449749,52.9253841431501,72.5592024837213,94.2916163040156,65.5127596862613,43.1320200943932,62.9828633441469,81878.2349849181,2.01564884185791,1.83951985836029,1.90893590450287,2.37605309486389,1.66469931602478,0.850847959518433,424524722037.047,5976992.0,3277500.0,18540782141.6393,1.37220049768918,5.358,12.039996737934,2024.0,1.0,strategy_led,10.0,medium,21.0,16.0,1.0,11.0,1.0,0.0,1.0,1.0,,20.47%,1/1/18,0.59,Female,0.78%,192%,2016.0,2016.0,1.14,1/1/23,,,,15.0,59.0,,,0.133226771,0.817811835,,,,,,,0.0,,,7.27922375956897,0.470829427,,,,24.0,71.0,2021.0,,2.304594017,,,,74.40290642056506,32.0,1068.37097,1270.163538,,2024.0,,,,,,,,,,,,,,,,,,,,,,6.35586977005005,71.0020132043046,99.7692,126.919,1090.0,2.89051,,81.2308197021484,3,3,2,0,0,1,0,0,0,1,0,europe,0,0,1,0,0,0,0,0,
ECU,LATAM,UM,0,light_touch,1,none,2,53.04,66,76.5,47.34,61.63,79.31,27.94,54.32,6.9,60.0,88.63,66.67,,,,,,,,17.0,17.7,0.8,PF,68.0,30.0,38.0,2025.0,1,2.0,2021.0,1,none,1,French,0,19.5397643865799,113.0,UM,Latin America and the Caribbean,16515.54,18135.48,20.7511486224861,21.102518383249,0.67181372114971,13.7329432665896,13.3302960266452,22.7549242738904,38.0396316186269,16.4905087931363,21.908221399094,68.6216191130882,35.9556840600383,25.4801379049972,12.2377150867477,13.1734944435815,41.6288313621553,30.0949232144316,16.5426695274204,2.05685575282314,20.9631765640185,12.6140456205735,7.2355585849588,7.51913572830797,23.0874425484537,30.1066634989808,18.3393424681733,21.1746202903677,27.9047896586534,4.96158551479874,22.7234470638563,39.6308756250516,,,,,,,,,,,,,,5.52377825962259,2024.0,0.0,none,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.3847795405687772,,,1.0,0.852195916,2018.0,,0.0025,,,,,,,,2022.0,,2.10568243891987,,,,,18.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,1,0,0,0,latam,0,0,0,1,0,0,0,0,
