atributo,fuente,n_valores,pct_completitud,tipo
oecd_enforcement_level,oecd,66,76.7,str
oecd_thematic_coverage,oecd,66,76.7,float64
oecd_regulatory_approach,oecd,66,76.7,str
oecd_year,oecd,66,76.7,float64
wb_population_2024,wb,63,73.3,float64
wb_political_stability_2023,wb,63,73.3,float64
wb_unemployment_rate_2024,wb,63,73.3,float64
wb_control_of_corruption_2023,wb,63,73.3,float64
wb_regulatory_quality_2023,wb,63,73.3,float64
stanford_fig_4.3.8,stanford,63,73.3,float64
wb_gdp_per_capita_ppp_2024,wb,63,73.3,float64
wb_rule_of_law_2023,wb,63,73.3,float64
wb_mobile_subscriptions_per100,wb,63,73.3,float64
wb_internet_penetration,wb,63,73.3,float64
wb_government_effectiveness_2023,wb,63,73.3,float64
wb_education_expenditure_pct_gdp,wb,62,72.1,float64
wb_patent_applications_residents,wb,62,72.1,float64
wb_exports_pct_gdp,wb,62,72.1,float64
wb_gdp_current_usd_2024,wb,61,70.9,float64
wb_voice_accountability_2023,wb,61,70.9,float64
wb_fdi_net_inflows_2024,wb,61,70.9,float64
wb_inflation_consumer_prices_2024,wb,61,70.9,float64
wb_labor_force_2024,wb,61,70.9,float64
wb_tertiary_education,wb,60,69.8,float64
wb_rd_expenditure,wb,60,69.8,float64
stanford_fig_4.3.12,stanford,59,68.6,float64
stanford_fig_1.2.4,stanford,52,60.5,float64
stanford_fig_6.2.16,stanford,51,59.3,float64
stanford_fig_6.2.15,stanford,51,59.3,float64
stanford_fig_4.2.23,stanford,48,55.8,str
stanford_fig_4.2.15,stanford,48,55.8,float64
stanford_fig_4.2.17,stanford,48,55.8,str
stanford_fig_4.2.18,stanford,48,55.8,str
stanford_fig_4.2.13,stanford,47,54.7,str
stanford_fig_4.2.22,stanford,47,54.7,float64
stanford_fig_4.2.14,stanford,47,54.7,str
stanford_fig_4.2.19,stanford,43,50.0,float64
stanford_fig_4.2.21,stanford,43,50.0,float64
oxford_dimension_ai_sector_maturity,oxford,42,48.8,float64
oxford_dimension_human_capital,oxford,42,48.8,float64
oxford_dimension_data_quality,oxford,42,48.8,float64
oxford_dimension_regulatory_compliance,oxford,42,48.8,float64
stanford_fig_4.2.16,stanford,41,47.7,str
oecd_year_enacted,oecd,40,46.5,float64
oxford_dimension_societal_transition,oxford,38,44.2,float64
oxford_dimension_ai_technology_diffusion,oxford,38,44.2,float64
oxford_dimension_government_digital_policy,oxford,38,44.2,float64
stanford_fig_6.3.3,stanford,37,43.0,float64
stanford_fig_6.3.4,stanford,37,43.0,float64
stanford_fig_6.3.1,stanford,37,43.0,float64
stanford_fig_6.3.2,stanford,37,43.0,float64
iapp_year_enacted,iapp,32,37.2,float64
stanford_fig_4.2.25,stanford,31,36.0,float64
stanford_fig_1.3.3,stanford,29,33.7,float64
stanford_fig_6.2.17,stanford,22,25.6,float64
stanford_fig_6.2.4,stanford,16,18.6,float64
stanford_fig_6.3.5,stanford,16,18.6,float64
stanford_fig_1.2.5,stanford,16,18.6,float64
stanford_fig_4.5.7,stanford,15,17.4,str
stanford_fig_4.5.4,stanford,15,17.4,float64
stanford_fig_6.2.3,stanford,13,15.1,float64
stanford_fig_6.2.20,stanford,11,12.8,float64
stanford_fig_6.2.8,stanford,11,12.8,float64
stanford_fig_4.4.5,stanford,10,11.6,str
stanford_fig_4.3.16,stanford,9,10.5,float64
stanford_fig_4.2.1,stanford,9,10.5,float64
stanford_fig_4.3.15,stanford,9,10.5,float64
stanford_fig_4.2.24,stanford,9,10.5,str
stanford_fig_4.2.2,stanford,9,10.5,float64
stanford_fig_4.4.2,stanford,9,10.5,str
stanford_fig_4.2.7,stanford,8,9.3,str
stanford_fig_1.1.11,stanford,8,9.3,float64
stanford_fig_4.4.12,stanford,6,7.0,str
stanford_fig_1.4.6,stanford,6,7.0,str
stanford_fig_1.3.1,stanford,6,7.0,float64
stanford_fig_1.3.25,stanford,5,5.8,str
stanford_fig_4.4.6,stanford,5,5.8,float64
stanford_fig_1.3.12,stanford,5,5.8,str
stanford_fig_4.4.4,stanford,5,5.8,str
stanford_fig_4.4.7,stanford,5,5.8,str
stanford_fig_6.3.8,stanford,5,5.8,float64
stanford_fig_4.5.5,stanford,5,5.8,float64
oxford_dimension_enabling_technical_infrastructure,oxford,3,3.5,float64
oxford_dimension_policy_commitment,oxford,3,3.5,float64
oxford_dimension_governance_principles,oxford,3,3.5,float64
oecd_enforcement_level_2024,oecd,2,2.3,str
oecd_has_ai_law_2024,oecd,2,2.3,float64
wipo_trade_diversification,wipo,2,2.3,float64
wipo_research_and_development,wipo,2,2.3,float64
wipo_information_and_communication_technologies,wipo,2,2.3,float64
wipo_income_group,wipo,2,2.3,str
oecd_thematic_coverage_2024,oecd,2,2.3,float64
oecd_regulatory_approach_2024,oecd,2,2.3,str
oecd_regulatory_intensity_2024,oecd,2,2.3,float64
wb_rd_expenditure_pct_gdp,wb,2,2.3,float64
wipo_information_and_communication_technology_ict,wipo,1,1.2,float64
wb_year,wb,1,1.2,float64
fh_status_ordinal,fh,0,0.0,float64
