iso3,iapp_has_ai_law,iapp_regulatory_intensity,iapp_thematic_coverage,iapp_approach_ordinal,iapp_enforcement_ordinal,oxford_readiness_score,oxford_rank,oxford_pillar_policy_capacity,oxford_pillar_ai_infrastructure,oxford_pillar_governance,oxford_pillar_public_sector_adoption,oxford_pillar_development_and_diffusion,oxford_pillar_resilience,oxford_dimension_compute_capacity,oxford_dimension_policy_vision,oxford_dimension_e_government_delivery,oxford_dimension_safety_and_security,gdpr_has_gdpr_like_law,gdpr_has_dpa,gdpr_enforcement_active,is_common_law,income_ordinal
CAN,0,5,11,2,2,74.66,12,92.5,72.32,76.85,78.6,69.03,67.57,44.24,100.0,79.63,66.67,1,1,1,1,2
CHE,0,3,7,1,1,66.95,26,39.0,68.97,89.2,73.93,61.41,59.84,31.63,60.0,75.02,33.33,1,1,1,0,2
CHL,0,4,8,2,1,59.3,50,92.5,57.77,53.54,70.76,45.26,56.46,18.18,100.0,96.53,55.33,1,1,0,0,2
CHN,1,9,13,3,3,76.27,8,92.5,78.36,91.14,49.02,74.67,77.34,80.66,100.0,56.39,100.0,1,1,1,0,1
CMR,0,0,0,0,0,34.91,116,34.5,34.92,53.75,22.49,29.23,39.93,3.29,30.0,34.97,50.0,0,0,0,0,0
COL,0,3,7,2,1,56.02,64,80.5,53.74,67.13,70.7,35.33,50.28,11.28,70.0,85.3,50.0,1,1,1,0,1
CRI,0,2,4,2,1,45.92,79,69.0,43.32,66.0,42.61,24.09,58.76,7.69,60.0,63.79,62.33,1,1,1,0,1
CYP,1,10,14,3,3,59.71,47,73.0,58.17,76.52,81.29,36.07,51.81,8.83,70.0,87.04,50.0,1,1,1,1,2
CZE,1,10,14,3,3,64.56,32,81.0,58.61,74.14,69.33,54.04,67.74,15.76,90.0,92.52,66.67,1,1,1,0,2
DEU,1,10,14,3,3,76.78,6,84.5,73.28,91.17,82.89,66.24,73.37,56.98,80.0,85.6,83.33,1,1,1,0,2
DNK,1,10,14,3,3,74.75,11,92.5,59.51,94.02,85.26,58.91,90.01,12.74,100.0,99.98,100.0,1,1,1,0,2
ECU,0,1,2,1,0,53.04,66,76.5,47.34,61.63,79.31,27.94,54.32,6.9,60.0,88.63,66.67,1,1,1,0,1
EGY,0,3,6,2,1,59.1,52,100.0,47.71,67.5,60.07,47.68,61.14,7.91,100.0,71.5,83.33,1,0,0,0,0
ESP,1,10,14,3,3,74.22,13,92.0,65.72,87.98,78.21,61.98,81.7,25.03,80.0,89.14,100.0,1,1,1,0,2
EST,1,10,14,3,3,69.56,21,96.0,54.29,90.0,99.63,46.01,64.38,7.69,90.0,99.88,66.67,1,1,1,0,2
FIN,1,10,14,3,3,70.3,18,80.5,61.63,84.2,81.77,63.01,62.0,19.27,70.0,89.24,33.33,1,1,1,0,2
FRA,1,10,14,3,3,80.81,2,77.5,76.27,90.0,97.18,68.2,88.63,51.11,100.0,96.1,100.0,1,1,1,0,2
GBR,0,6,13,2,3,77.75,3,100.0,72.49,92.27,68.93,68.46,83.3,50.34,100.0,52.84,100.0,1,1,1,1,2
GHA,0,2,3,2,1,47.42,78,53.5,46.12,66.25,53.35,33.68,41.81,6.59,40.0,81.71,50.0,1,1,1,1,0
GRC,1,10,14,3,3,60.51,42,76.5,52.39,75.53,78.76,41.5,62.47,9.4,60.0,86.86,66.67,1,1,1,0,2
HRV,1,10,14,3,3,49.79,72,34.5,52.04,70.64,71.67,29.92,45.04,8.5,30.0,88.34,33.33,1,1,1,0,2
HUN,1,10,14,3,3,63.17,35,77.0,56.02,82.31,82.61,45.24,54.17,8.98,80.0,84.36,50.0,1,1,1,0,1
IDN,0,3,7,2,1,59.87,46,77.0,60.28,61.25,73.77,44.09,58.27,21.15,80.0,86.59,66.67,1,0,0,0,1
IND,0,4,10,1,2,66.55,27,96.0,63.31,64.03,79.07,54.85,59.46,48.5,90.0,86.96,83.33,1,0,0,1,0
IRL,1,10,14,3,3,70.58,17,88.5,64.71,94.57,74.12,56.91,60.25,32.34,90.0,96.92,50.0,1,1,1,1,2
ISL,0,2,4,1,1,60.49,44,77.0,58.43,65.27,66.61,43.0,76.53,7.91,80.0,72.69,63.33,1,1,1,0,2
ISR,0,4,8,1,2,71.32,16,92.0,62.7,90.38,70.61,64.66,61.32,21.14,80.0,75.35,66.67,1,1,1,1,2
ITA,1,10,14,3,3,68.81,25,69.5,63.56,85.77,70.24,61.38,72.28,39.99,80.0,94.06,83.33,1,1,1,0,2
JOR,0,2,3,2,1,56.07,63,69.5,48.26,69.64,79.99,35.47,57.39,6.59,80.0,77.23,66.67,1,0,0,0,1
JPN,1,7,12,3,2,72.24,14,70.0,70.62,80.46,72.71,66.13,80.75,50.49,100.0,73.57,100.0,1,1,1,0,2
KAZ,0,2,3,2,1,56.7,58,88.0,53.88,64.63,73.59,39.85,37.38,7.91,70.0,85.98,33.33,1,1,1,0,1
KEN,0,3,5,2,1,52.55,68,69.0,39.17,70.63,62.14,35.48,70.74,9.13,60.0,69.43,100.0,1,1,1,1,0
KOR,1,8,12,3,3,76.89,5,96.0,68.21,90.73,79.23,65.88,82.71,40.81,90.0,91.5,100.0,1,1,1,0,2
LBN,0,0,1,0,0,34.26,117,42.0,41.01,39.38,18.65,34.15,25.67,3.29,30.0,36.22,26.33,1,0,0,0,0
LKA,0,1,2,1,0,45.6,80,72.5,44.09,56.63,43.99,33.31,39.09,3.29,50.0,63.73,43.0,1,0,0,1,0
LTU,1,10,14,3,3,65.31,29,80.5,55.11,91.67,84.3,45.56,57.02,8.98,70.0,88.6,46.67,1,1,1,0,2
LUX,1,10,14,3,3,64.28,33,81.0,57.65,81.52,75.46,46.26,66.54,12.18,90.0,85.39,66.67,1,1,1,0,2
LVA,1,10,14,3,3,59.14,51,72.5,53.07,82.35,81.44,37.18,47.58,9.77,50.0,95.23,33.33,1,1,1,0,2
MAR,0,2,4,2,1,43.06,86,23.0,48.12,78.75,34.9,30.81,39.78,7.69,20.0,59.8,33.33,1,1,1,0,0
MEX,0,3,6,2,1,48.33,77,35.0,52.1,67.64,66.11,34.07,32.22,12.47,50.0,77.34,24.33,1,1,1,0,1
MLT,1,10,14,3,3,61.48,39,77.0,52.25,87.77,66.58,44.16,65.19,7.19,80.0,67.62,66.67,1,1,1,1,2
MNG,0,1,1,1,0,40.86,94,35.0,44.37,49.0,69.4,20.5,33.84,5.84,50.0,78.8,26.33,1,0,0,0,0
MUS,0,2,5,2,1,52.76,67,65.5,48.72,72.5,65.63,38.52,36.76,7.19,70.0,81.26,33.33,1,1,1,0,1
MYS,0,3,6,2,1,62.34,38,80.5,60.52,78.48,64.78,55.36,38.33,19.78,70.0,63.95,33.33,1,1,1,1,1
NGA,0,3,7,2,1,50.79,70,80.5,39.1,78.13,47.46,39.45,42.66,9.27,70.0,54.93,66.67,1,1,1,1,0
NLD,1,10,14,3,3,77.18,4,92.0,69.85,94.19,94.01,62.5,66.61,39.17,80.0,98.03,66.67,1,1,1,0,2
NOR,0,4,8,2,2,74.84,10,88.0,65.67,94.02,84.17,60.57,77.5,18.92,70.0,97.79,66.67,1,1,1,0,2
NZL,0,4,9,2,2,62.7,37,92.0,57.24,71.88,64.32,49.33,64.3,12.18,80.0,48.63,59.67,1,1,1,1,2
PAK,0,2,3,2,1,45.38,81,61.5,41.23,61.25,36.51,36.95,50.21,9.99,60.0,59.1,66.67,0,0,0,1,0
PAN,0,2,2,2,1,39.3,102,23.0,53.03,41.75,61.33,20.84,30.73,8.67,20.0,62.01,22.0,1,1,1,0,2
PER,1,6,9,3,2,56.52,60,72.5,45.52,72.5,90.4,31.57,55.57,8.12,50.0,95.94,66.67,1,1,1,0,1
PHL,0,2,4,2,1,60.51,43,84.5,49.5,83.34,69.17,43.96,58.17,10.39,80.0,95.14,66.67,1,1,1,0,0
POL,1,10,14,3,3,69.14,24,96.0,64.79,85.0,74.84,47.18,75.73,33.27,90.0,95.09,95.67,1,1,1,0,2
PRT,1,10,14,3,3,66.09,28,57.5,55.38,93.55,81.87,52.86,69.68,11.67,50.0,94.69,66.67,1,1,1,0,2
ROU,1,10,14,3,3,56.73,57,84.0,55.23,71.72,55.66,38.06,59.05,12.56,60.0,82.87,59.67,1,1,1,0,1
RUS,1,7,8,3,3,59.57,49,65.5,57.23,74.14,69.78,49.64,47.13,21.43,70.0,73.42,50.0,1,1,1,0,1
SAU,0,4,7,2,2,71.57,15,92.0,62.93,93.21,88.62,54.48,57.39,25.94,80.0,91.25,66.67,1,1,1,0,2
SGP,0,6,12,2,2,76.42,7,85.0,74.46,78.3,92.5,64.15,76.42,41.99,100.0,91.08,100.0,1,1,1,1,2
SRB,0,2,3,2,1,60.96,40,100.0,52.75,78.64,83.92,35.78,44.42,7.91,100.0,87.85,33.33,1,1,1,0,1
SVK,1,10,14,3,3,48.55,73,19.0,55.8,72.5,62.12,31.39,46.62,7.91,10.0,84.24,33.33,1,1,1,0,2
SVN,1,10,14,3,3,62.71,36,84.0,57.98,72.5,76.44,45.52,60.99,12.96,60.0,96.6,50.0,1,1,1,0,2
SWE,1,10,14,3,3,69.45,23,89.04,67.49,81.52,73.81,57.03,61.17,34.06,72.61,97.09,33.33,1,1,1,0,2
SYC,0,0,0,0,0,27.24,140,8.0,43.75,39.66,26.98,11.77,25.67,2.08,20.0,53.1,11.0,1,1,0,0,2
THA,0,3,6,2,1,63.22,34,88.0,56.38,70.44,85.86,52.58,37.35,21.34,70.0,94.03,33.33,1,1,1,0,1
TUN,0,2,3,2,1,42.23,88,19.5,43.61,59.0,51.19,36.68,36.76,4.83,30.0,52.38,33.33,1,1,1,0,0
TUR,0,3,5,2,1,58.91,53,77.0,52.76,68.18,77.59,45.7,47.27,13.29,80.0,98.06,50.0,1,1,1,0,1
TWN,0,5,9,2,2,64.81,31,79.15,57.03,68.98,69.45,57.45,75.07,22.2,60.0,61.74,94.39,1,1,1,0,2
UGA,0,1,1,1,0,35.76,113,12.0,33.92,45.75,70.84,20.91,33.65,4.83,30.0,81.67,33.33,1,1,1,1,0
UKR,0,2,3,2,1,60.84,41,73.5,52.4,83.0,80.24,40.34,58.21,10.99,90.0,99.63,59.67,1,1,1,0,0
URY,0,3,5,2,1,58.47,55,61.5,56.52,84.5,83.22,31.19,52.35,7.19,60.0,88.58,50.0,1,1,1,0,2
USA,0,6,13,2,2,88.36,1,92.5,91.77,82.5,92.87,88.16,78.28,90.92,100.0,97.84,100.0,0,0,1,1,2
VNM,0,4,6,2,1,59.98,45,53.5,57.41,88.05,73.21,47.03,43.28,10.66,40.0,84.2,33.33,1,0,0,0,0
ZAF,0,3,5,2,1,53.94,65,43.0,60.05,76.58,64.93,37.28,40.81,29.64,70.0,88.68,43.0,1,1,1,1,1
