atributo,fuente,valores,n_total,completitud_pct,valores_faltantes
stanford_fig_1.2.3_Granted AI patents (% of world total),stanford,1,86,1.2,85
"stanford_fig_1.2.4_Granted AI patents (per 100,000 inhabitants) in 2023",stanford,1,86,1.2,85
"stanford_fig_1.2.5_Change of granted AI patents (per 100,000 inhabitants) 2013 vs. 2023 for Top in 2023",stanford,1,86,1.2,85
stanford_fig_1.3.1_Number of notable machine learning models in 2024,stanford,1,86,1.2,85
stanford_fig_1.3.17_Training compute (petaFLOP – log scale),stanford,1,86,1.2,85
stanford_fig_1.3.2_Year,stanford,1,86,1.2,85
stanford_fig_1.3.2_Number of notable AI models,stanford,1,86,1.2,85
"stanford_fig_1.3.3_Number of notable machine learning models, 2003-24 (sum)",stanford,1,86,1.2,85
stanford_fig_1.6.2_Year,stanford,1,86,1.2,85
stanford_fig_1.6.2_AI projects (% of total),stanford,1,86,1.2,85
stanford_fig_1.6.4_Year,stanford,1,86,1.2,85
stanford_fig_1.6.4_Number of cumulative GitHub stars (in millions),stanford,1,86,1.2,85
"stanford_fig_6.2.1_Number of AI-related bills passed into law, 2016-24",stanford,1,86,1.2,85
stanford_fig_6.2.15_Number of mentions of AI in legislative proceedings,stanford,1,86,1.2,85
stanford_fig_6.2.16_Number of mentions of AI in legislative proceedings,stanford,1,86,1.2,85
stanford_fig_6.2.17_Number of AI-related bills passed into law,stanford,1,86,1.2,85
stanford_fig_6.2.17_Number of AI mentions,stanford,1,86,1.2,85
"stanford_fig_6.2.3_Number of AI-related bills passed into law, 2024",stanford,1,86,1.2,85
"stanford_fig_6.2.4_Number of AI-related bills passed into law, 2016–24 (sum)",stanford,1,86,1.2,85
stanford_fig_6.3.1_Tot. Value (M$),stanford,1,86,1.2,85
stanford_fig_6.3.2_N. Contracts,stanford,1,86,1.2,85
stanford_fig_6.3.3_Median Contract Value (k$),stanford,1,86,1.2,85
stanford_fig_6.3.4_Tot. Value per 100k Inhabitants (k$),stanford,1,86,1.2,85
stanford_fig_6.3.5_Public spending on AI-related contracts (in millions of U.S. dollars),stanford,1,86,1.2,85
stanford_fig_6.3.6_Year,stanford,1,86,1.2,85
stanford_fig_6.3.6_Public spending on AI-related contracts  (in millions of US dollars),stanford,1,86,1.2,85
wb_high_tech_exports_pct,wb,81,86,94.2,5
wb_ict_service_exports_pct,wb,80,86,93.0,6
wb_gdp_per_capita_ppp_2024,wb,63,86,73.3,23
wb_government_effectiveness_2023,wb,63,86,73.3,23
wb_regulatory_quality_2023,wb,63,86,73.3,23
wb_rule_of_law_2023,wb,63,86,73.3,23
wb_control_of_corruption_2023,wb,63,86,73.3,23
wb_political_stability_2023,wb,63,86,73.3,23
wb_population_2024,wb,63,86,73.3,23
wb_unemployment_rate_2024,wb,63,86,73.3,23
wb_mobile_subscriptions_per100_2023,wb,62,86,72.1,24
wb_voice_accountability_2023,wb,61,86,70.9,25
wb_gdp_current_usd_2024,wb,61,86,70.9,25
wb_labor_force_2024,wb,61,86,70.9,25
wb_fdi_net_inflows_2024,wb,61,86,70.9,25
wb_inflation_consumer_prices_2024,wb,61,86,70.9,25
wb_exports_pct_gdp_2024,wb,61,86,70.9,25
wb_patent_applications_residents_2021,wb,58,86,67.4,28
wb_rd_expenditure_2022,wb,40,86,46.5,46
wb_tertiary_education_2023,wb,40,86,46.5,46
wb_internet_penetration_2024,wb,37,86,43.0,49
wb_education_expenditure_pct_gdp_2022,wb,36,86,41.9,50
wb_internet_penetration_2023,wb,25,86,29.1,61
wb_education_expenditure_pct_gdp_2023,wb,15,86,17.4,71
wb_tertiary_education_2024,wb,13,86,15.1,73
wb_education_expenditure_pct_gdp_2021,wb,7,86,8.1,79
wb_rd_expenditure_2021,wb,6,86,7.0,80
wb_rd_expenditure_2020,wb,5,86,5.8,81
wb_tertiary_education_2022,wb,5,86,5.8,81
wb_rd_expenditure_2023,wb,5,86,5.8,81
wb_education_expenditure_pct_gdp_2024,wb,3,86,3.5,83
wb_gdp_current_usd_bn_2024,wb,2,86,2.3,84
wb_tertiary_education_rate_2023,wb,2,86,2.3,84
wb_inflation_2024,wb,2,86,2.3,84
wb_fdi_net_inflows_usd_2024,wb,2,86,2.3,84
wb_high_tech_exports_pct_2019,wb,2,86,2.3,84
wb_ict_service_exports_pct_2019,wb,2,86,2.3,84
wb_voice_and_accountability_2023,wb,2,86,2.3,84
wb_patent_applications_residents_2020,wb,2,86,2.3,84
wb_rd_expenditure_2019,wb,2,86,2.3,84
wb_exports_pct_gdp_2023,wb,1,86,1.2,85
wb_rd_expenditure_pct_gdp_2021,wb,1,86,1.2,85
