iso3,country_name,region,income_group,Q1_percentile,Q1_label,Q2_percentile,Q2_label,Q3_percentile,Q3_label,Q5_percentile,Q5_label,Q6_percentile,Q6_label,overall_country_profile_score,overall_country_profile_rank,overall_country_profile_label,main_strengths,main_weaknesses,missingness_warnings,recommended_use_in_phase8,cluster_hca,cluster_kmeans,Q4_regulatory_profile,Q4_regulatory_label,Q4_data_source,overall_country_profile_score_is_descriptive,not_a_causal_or_predictive_index,section,question_id,question_label,dimension_type,outcome,observed_value,score_value,score_source,rank_global,percentile_global,rank_desc,n_comparable_countries,missing_observed_value,missing_score_value,interpretation_label,strength_weakness_label,score_scope,independent_prediction,causal_claim,notes,value_used_for_ranking,outcome_label,value_type,rank_asc,percentile,n_ranked,is_top_5_global,is_bottom_5_global,missingness_flag,why_high_or_low_short,group_name,group_type,rank_within_group,percentile_within_group,n_group_ranked,is_best_in_group,is_worst_in_group,distance_to_group_best,distance_to_group_median,distance_to_chile,why_best_or_worst,model_id,term,term_value,term_percentile,coefficient_or_weight,standardized_contribution,contribution_direction,contribution_rank_within_country,contribution_label,driver_type,interpretation,abs_contribution,fitted_value,residual,absolute_residual,residual_rank,residual_percentile,overperformer_underperformer,gap_vs_best,gap_vs_group_best,gap_vs_chile,gap_vs_singapore
CHL,Chile,Latin America & Caribbean ,High income,,,,,,,,,,,,,,,,,,,,,,,,,q_profile_long,Q6,Sector público,question_outcome,oxford_ind_data_governance,50.0,50.0,observed_or_phase6_score,16.0,0.36046511627906974,16.0,43.0,False,False,low_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL,Chile,Latin America & Caribbean ,High income,,,,,,,,,,,,,,,,,,,,,,,,,q_profile_long,Q6,Sector público,question_outcome,oxford_governance_ethics,83.84468047,83.84468047,observed_or_phase6_score,28.0,0.37209302325581395,28.0,43.0,False,False,low_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL,Chile,Latin America & Caribbean ,High income,,,,,,,,,,,,,,,,,,,,,,,,,q_profile_long,Q6,Sector público,question_outcome,oecd_2_indigo_oecd_indigo_score,0.0830598995089531,0.0830598995089531,observed_or_phase6_score,33.0,0.2558139534883721,33.0,43.0,False,False,low_performer,neutral,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL,Chile,Latin America & Caribbean ,High income,,,,,,,,,,,,,,,,,,,,,,,,,q_profile_long,Q6,Sector público,question_outcome,oecd_4_digital_gov_oecd_digital_gov_overall,0.4,0.4,observed_or_phase6_score,28.0,0.12903225806451613,28.0,31.0,False,False,bottom_laggard,weakness,in_sample_descriptive_positioning,False,False,Descriptive country-level position; not external prediction or causality.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL,Chile,Latin America & Caribbean ,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q1,Inversión,,oxford_ind_ai_unicorns_log,,,,,,8.0,,,,high_performer,,,,,,16.99916163,oxford_ind_ai_unicorns_log,observed_or_score,32.0,0.7906976744186046,43.0,False,False,False,desempeño alto relativo,High income,income,7.0,0.7857142857142857,35.0,False,False,83.00083837,-16.99916163,0.0,,,,,,,,,,,,,,,,,,,,,,,
CHL,Chile,Latin America & Caribbean ,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q1,Inversión,,oxford_ind_company_investment_emerging_tech,,,,,,35.0,,,,low_performer,,,,,,38.5,oxford_ind_company_investment_emerging_tech,observed_or_score,9.0,0.20930232558139536,43.0,False,False,False,desempeño bajo relativo,High income,income,29.0,0.2,35.0,False,False,61.5,29.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
CHL,Chile,Latin America & Caribbean ,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q1,Inversión,,oxford_ind_vc_availability,,,,,,27.0,,,,low_performer,,,,,,9.0,oxford_ind_vc_availability,observed_or_score,15.0,0.37209302325581395,43.0,False,False,False,desempeño bajo relativo,High income,income,23.0,0.34285714285714286,35.0,False,False,91.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
CHL,Chile,Latin America & Caribbean ,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q1,Inversión,,wipo_c_vencapdeal_score,,,,,,31.0,,,,low_performer,,,,,,3.94851488450514,wipo_c_vencapdeal_score,observed_or_score,10.0,0.25,40.0,False,False,False,desempeño bajo relativo,High income,income,28.0,0.18181818181818182,33.0,False,False,96.05148511549486,15.35414597890006,0.0,,,,,,,,,,,,,,,,,,,,,,,
CHL,Chile,Latin America & Caribbean ,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q2,Adopción,,anthropic_usage_pct,,,,,,30.0,,,,low_performer,,,,,,0.272,anthropic_usage_pct,observed_or_score,13.0,0.30952380952380953,42.0,False,False,False,desempeño bajo relativo,High income,income,23.0,0.37142857142857144,35.0,False,False,21.965200000000003,0.19839999999999997,0.0,,,,,,,,,,,,,,,,,,,,,,,
CHL,Chile,Latin America & Caribbean ,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q2,Adopción,,ms_h2_2025_ai_diffusion_pct,,,,,,33.0,,,,low_performer,,,,,,20.8,ms_h2_2025_ai_diffusion_pct,observed_or_score,10.0,0.23809523809523808,42.0,False,False,False,desempeño bajo relativo,High income,income,31.0,0.11764705882352941,34.0,False,False,43.2,10.249999999999996,0.0,,,,,,,,,,,,,,,,,,,,,,,
CHL,Chile,Latin America & Caribbean ,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q2,Adopción,,oecd_5_ict_business_oecd_biz_ai_pct,,,,,,,,,,not_ranked_missing,,,,,,,oecd_5_ict_business_oecd_biz_ai_pct,observed_or_score,,,31.0,False,False,True,sin dato suficiente para ranking,High income,income,,,29.0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL,Chile,Latin America & Caribbean ,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q2,Adopción,,oxford_ind_adoption_emerging_tech,,,,,,28.0,,,,low_performer,,,,,,61.55,oxford_ind_adoption_emerging_tech,observed_or_score,16.0,0.37209302325581395,43.0,False,False,False,desempeño bajo relativo,High income,income,27.0,0.2571428571428571,35.0,False,False,38.45,13.040000000000006,0.0,,,,,,,,,,,,,,,,,,,,,,,
CHL,Chile,Latin America & Caribbean ,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q2,Adopción,,oxford_public_sector_adoption,,,,,,30.0,,,,low_performer,,,,,,70.76,oxford_public_sector_adoption,observed_or_score,14.0,0.32558139534883723,43.0,False,False,False,desempeño bajo relativo,High income,income,26.0,0.2857142857142857,35.0,False,False,28.86999999999999,7.449999999999989,0.0,,,,,,,,,,,,,,,,,,,,,,,
CHL,Chile,Latin America & Caribbean ,High income,,,,,,,,,,,,,,,,,,,,,,,,,group_rankings,Q3,Innovación,,oxford_total_score,,,,,,33.0,,,,low_performer,,,,,,59.3,oxford_total_score,observed_or_score,11.0,0.2558139534883721,43.0,False,False,False,desempeño bajo relativo,High income,income,29.0,0.2,35.0,False,False,29.060000000000002,10.420000000000002,0.0,,,,,,,,,,,,,,,,,,,,,,,
