canonical,code,source,source_id,name,source_org,last_updated,total_records_api,pages,sample_years,sample_values,valid,error
ict_service_exports_pct,BX.GSR.CCIS.ZS,WDI,2,,,2026-04-08,2128,22,"2018, 2019, 2020, 2021, 2022, 2023, 2024",82,True,
control_of_corruption,CC.EST,WGI,Excel,WGI via Excel download (govindicators/doc/wgidataset_with_sourcedata-2025.xlsx),World Bank WGI (govindicators),2025 update,0,0,1996-2024 (via Excel),0,True,API v2 no disponible; descarga via Excel directo
government_effectiveness,GE.EST,WGI,Excel,WGI via Excel download (govindicators/doc/wgidataset_with_sourcedata-2025.xlsx),World Bank WGI (govindicators),2025 update,0,0,1996-2024 (via Excel),0,True,API v2 no disponible; descarga via Excel directo
political_stability,PV.EST,WGI,Excel,WGI via Excel download (govindicators/doc/wgidataset_with_sourcedata-2025.xlsx),World Bank WGI (govindicators),2025 update,0,0,1996-2024 (via Excel),0,True,API v2 no disponible; descarga via Excel directo
regulatory_quality,RQ.EST,WGI,Excel,WGI via Excel download (govindicators/doc/wgidataset_with_sourcedata-2025.xlsx),World Bank WGI (govindicators),2025 update,0,0,1996-2024 (via Excel),0,True,API v2 no disponible; descarga via Excel directo
rule_of_law,RL.EST,WGI,Excel,WGI via Excel download (govindicators/doc/wgidataset_with_sourcedata-2025.xlsx),World Bank WGI (govindicators),2025 update,0,0,1996-2024 (via Excel),0,True,API v2 no disponible; descarga via Excel directo
voice_accountability,VA.EST,WGI,Excel,WGI via Excel download (govindicators/doc/wgidataset_with_sourcedata-2025.xlsx),World Bank WGI (govindicators),2025 update,0,0,1996-2024 (via Excel),0,True,API v2 no disponible; descarga via Excel directo
control_of_corruption_se,CC.STD.ERR,WGI,Excel,WGI via Excel download (govindicators/doc/wgidataset_with_sourcedata-2025.xlsx),World Bank WGI (govindicators),2025 update,0,0,1996-2024 (via Excel),0,True,API v2 no disponible; descarga via Excel directo
government_effectiveness_se,GE.STD.ERR,WGI,Excel,WGI via Excel download (govindicators/doc/wgidataset_with_sourcedata-2025.xlsx),World Bank WGI (govindicators),2025 update,0,0,1996-2024 (via Excel),0,True,API v2 no disponible; descarga via Excel directo
political_stability_se,PV.STD.ERR,WGI,Excel,WGI via Excel download (govindicators/doc/wgidataset_with_sourcedata-2025.xlsx),World Bank WGI (govindicators),2025 update,0,0,1996-2024 (via Excel),0,True,API v2 no disponible; descarga via Excel directo
regulatory_quality_se,RQ.STD.ERR,WGI,Excel,WGI via Excel download (govindicators/doc/wgidataset_with_sourcedata-2025.xlsx),World Bank WGI (govindicators),2025 update,0,0,1996-2024 (via Excel),0,True,API v2 no disponible; descarga via Excel directo
rule_of_law_se,RL.STD.ERR,WGI,Excel,WGI via Excel download (govindicators/doc/wgidataset_with_sourcedata-2025.xlsx),World Bank WGI (govindicators),2025 update,0,0,1996-2024 (via Excel),0,True,API v2 no disponible; descarga via Excel directo
voice_accountability_se,VA.STD.ERR,WGI,Excel,WGI via Excel download (govindicators/doc/wgidataset_with_sourcedata-2025.xlsx),World Bank WGI (govindicators),2025 update,0,0,1996-2024 (via Excel),0,True,API v2 no disponible; descarga via Excel directo
