ISO3,ECONOMY_NAME,INCOME,REG_UN,REG_UN_CODE,POP,PPPGDP,PPPPC
CMR,Cameroon,LM,Sub-Saharan Africa,SSA,27914.54,123.341,4418.99
CAN,Canada,HI,Northern America,NAC,38454.33,2240.39,57827.45
CHL,Chile,HI,Latin America and the Caribbean,LCN,19603.73,575.516,28887.5
CHN,China,UM,"South East Asia, East Asia, and Oceania",SEAO,1425887.34,30074.38,21290.89
COL,Colombia,UM,Latin America and the Caribbean,LCN,51874.02,964.743,18693.14
CRI,Costa Rica,UM,Latin America and the Caribbean,LCN,5180.83,129.95,24836.58
CIV,CÃ´te d'Ivoire,LM,Sub-Saharan Africa,SSA,28160.54,181.533,6397
HRV,Croatia,HI,Europe,EUR,4030.36,150.433,37549.8
CYP,Cyprus,HI,Northern Africa and Western Asia,NAWA,1251.49,44.762,49504.44
CZE,Czech Republic,HI,Europe,EUR,10493.99,514.732,48918.58
DNK,Denmark,HI,Europe,EUR,5882.26,411.039,69845.09
DOM,Dominican Republic,UM,Latin America and the Caribbean,LCN,11228.82,256.446,24119.55
ECU,Ecuador,UM,Latin America and the Caribbean,LCN,18001,229.815,12763.08
EGY,Egypt,LM,Northern Africa and Western Asia,NAWA,110990.1,1661.96,15958.55
SLV,El Salvador,LM,Latin America and the Caribbean,LCN,6336.39,69.285,10576.06
EST,Estonia,HI,Europe,EUR,1326.06,61.389,46125.98
ETH,Ethiopia,LI,Sub-Saharan Africa,SSA,123379.92,347.847,3433.96
FIN,Finland,HI,Europe,EUR,5540.75,324.829,58659
FRA,France,HI,Europe,EUR,64626.63,3688.32,56199.9
GEO,Georgia,UM,Northern Africa and Western Asia,NAWA,3744.39,73.579,19788.5
DEU,Germany,HI,Europe,EUR,83369.84,5316.93,63834.86
GHA,Ghana,LM,Sub-Saharan Africa,SSA,33475.87,217.525,6780.28
GRC,Greece,HI,Europe,EUR,10384.97,387.801,36465.54
GTM,Guatemala,UM,Latin America and the Caribbean,LCN,17843.91,185.849,9931.43
GIN,Guinea,LI,Sub-Saharan Africa,SSA,13859.34,43.922,2993.08
HND,Honduras,LM,Latin America and the Caribbean,LCN,10432.86,69.684,6769.15
HKG,"Hong Kong, China",HI,"South East Asia, East Asia, and Oceania",SEAO,7488.87,518.743,69987.04
HUN,Hungary,HI,Europe,EUR,9967.31,409.834,42132.31
ISL,Iceland,HI,Europe,EUR,372.9,24.888,66466.99
IND,India,LM,Central and Southern Asia,CSA,1417173.17,11665.49,8293.2
IDN,Indonesia,LM,"South East Asia, East Asia, and Oceania",SEAO,275501.34,4023.5,14638.41
IRN,Iran (Islamic Republic of),LM,Central and Southern Asia,CSA,88550.57,1599.25,18663.23
IRL,Ireland,HI,Europe,EUR,5023.11,666.309,131034.14
ISR,Israel,HI,Northern Africa and Western Asia,NAWA,9038.31,496.841,52173.08
ITA,Italy,HI,Europe,EUR,59037.47,3022.16,51061.79
JAM,Jamaica,UM,Latin America and the Caribbean,LCN,2827.38,32.818,11962.38
JPN,Japan,HI,"South East Asia, East Asia, and Oceania",SEAO,123951.69,6109.96,48812.76
JOR,Jordan,UM,Northern Africa and Western Asia,NAWA,11285.87,123.351,11974.86
KAZ,Kazakhstan,UM,Central and Southern Asia,CSA,19398,596.666,30827.31
KEN,Kenya,LM,Sub-Saharan Africa,SSA,54027.49,311.753,6121.95
KWT,Kuwait,HI,Northern Africa and Western Asia,NAWA,4268.87,248.113,51527.92
KGZ,Kyrgyzstan,LM,Central and Southern Asia,CSA,6630.62,39.214,5771.06
LAO,Lao People's Democratic Republic,LM,"South East Asia, East Asia, and Oceania",SEAO,7529.48,68.573,9166.25
LVA,Latvia,HI,Europe,EUR,1850.65,72.033,38123.99
LBN,Lebanon,LM,Northern Africa and Western Asia,NAWA,5489.74,,
LTU,Lithuania,HI,Europe,EUR,2750.06,130.67,46158.6
LUX,Luxembourg,HI,Europe,EUR,647.6,91.107,141587.11
MDG,Madagascar,LI,Sub-Saharan Africa,SSA,29611.71,51.849,1790.29
MYS,Malaysia,UM,"South East Asia, East Asia, and Oceania",SEAO,33938.22,1096.51,33112.71
MLI,Mali,LI,Sub-Saharan Africa,SSA,22593.59,56.051,2608.76
MLT,Malta,HI,Europe,EUR,533.29,29.367,56337.69
MRT,Mauritania,LM,Sub-Saharan Africa,SSA,4736.14,30.013,6924.85
MUS,Mauritius,UM,Sub-Saharan Africa,SSA,1299.47,32.013,25372.21
MEX,Mexico,UM,Latin America and the Caribbean,LCN,127504.13,2919.88,22440.14
MNG,Mongolia,LM,"South East Asia, East Asia, and Oceania",SEAO,3398.37,47.115,13611.35
MNE,Montenegro,UM,Europe,EUR,627.08,16.195,26032.37
MAR,Morocco,LM,Northern Africa and Western Asia,NAWA,37457.97,359.671,9808.32
MOZ,Mozambique,LI,Sub-Saharan Africa,SSA,32969.52,48.04,1457.11
NAM,Namibia,UM,Sub-Saharan Africa,SSA,2567.01,28.021,10790.65
NPL,Nepal,LM,Central and Southern Asia,CSA,30547.58,141.161,4676.57
NLD,Netherlands,HI,Europe,EUR,17564.01,1226.66,69714.52
NZL,New Zealand,HI,"South East Asia, East Asia, and Oceania",SEAO,5185.29,261.039,50851.08
NIC,Nicaragua,LM,Latin America and the Caribbean,LCN,6948.39,47.273,7154.43
NER,Niger,LI,Sub-Saharan Africa,SSA,26207.98,37.648,1443.35
NGA,Nigeria,LM,Sub-Saharan Africa,SSA,218541.21,1275.3,5883.81
MKD,North Macedonia,UM,Europe,EUR,2093.6,40.927,19783.01
NOR,Norway,HI,Europe,EUR,5434.32,425.612,78127.61
OMN,Oman,HI,Northern Africa and Western Asia,NAWA,4576.3,190.475,41150
PAK,Pakistan,LM,Central and Southern Asia,CSA,235824.86,1512.48,6662.11
PAN,Panama,HI,Latin America and the Caribbean,LCN,4408.58,159.863,36370.38
PRY,Paraguay,UM,Latin America and the Caribbean,LCN,6780.74,108.29,14528.42
PER,Peru,UM,Latin America and the Caribbean,LCN,34049.59,521.841,15273.23
PHL,Philippines,LM,"South East Asia, East Asia, and Oceania",SEAO,115559.01,1154.88,10343.63
POL,Poland,HI,Europe,EUR,39857.15,1599.02,42465.86
PRT,Portugal,HI,Europe,EUR,10270.87,432.063,42066.5
QAT,Qatar,HI,Northern Africa and Western Asia,NAWA,2695.12,303.596,113674.65
KOR,Republic of Korea,HI,"South East Asia, East Asia, and Oceania",SEAO,51815.81,2765.83,53574.17
MDA,Republic of Moldova,UM,Europe,EUR,3273,41.882,16482.63
ROU,Romania,HI,Europe,EUR,19659.27,731.466,38096.84
RUS,Russian Federation,UM,Europe,EUR,144713.31,4649.67,31967.03
RWA,Rwanda,LI,Sub-Saharan Africa,SSA,13776.7,37.586,2835.82
SAU,Saudi Arabia,HI,Northern Africa and Western Asia,NAWA,36408.82,2018.26,55802.34
SEN,Senegal,LM,Sub-Saharan Africa,SSA,17316.45,72.703,4113.05
SRB,Serbia,UM,Europe,EUR,7221.37,164.835,24084.41
SGP,Singapore,HI,"South East Asia, East Asia, and Oceania",SEAO,5975.69,700.98,131425.71
SVK,Slovakia,HI,Europe,EUR,5643.45,211.118,38620.16
SVN,Slovenia,HI,Europe,EUR,2119.84,105.45,49967.8
ZAF,South Africa,UM,Sub-Saharan Africa,SSA,59893.89,949.846,15555.9
ESP,Spain,HI,Europe,EUR,47558.63,2215.99,46551.16
LKA,Sri Lanka,LM,Central and Southern Asia,CSA,21832.14,318.69,14230.06
SWE,Sweden,HI,Europe,EUR,10549.35,684.458,63877.42
CHE,Switzerland,HI,Europe,EUR,8740.47,737.838,84468.91
TJK,Tajikistan,LM,Central and Southern Asia,CSA,9952.79,47.241,4802.83
THA,Thailand,UM,"South East Asia, East Asia, and Oceania",SEAO,71697.03,1479.64,21114.18
TGO,Togo,LI,Sub-Saharan Africa,SSA,8848.7,22.781,2618.52
TTO,Trinidad and Tobago,HI,Latin America and the Caribbean,LCN,1531.04,42.136,29797.28
TUN,Tunisia,LM,Northern Africa and Western Asia,NAWA,12356.12,151.495,12490.2
TUR,TÃ¼rkiye,UM,Northern Africa and Western Asia,NAWA,85341.24,3320.99,38759.39
UGA,Uganda,LI,Sub-Saharan Africa,SSA,47249.59,132.01,3018.46
UKR,Ukraine,LM,Europe,EUR,39701.74,,
ARE,United Arab Emirates,HI,Northern Africa and Western Asia,NAWA,9441.13,814.733,77272.3
GBR,United Kingdom,HI,Europe,EUR,67508.94,3776.04,55862.09
TZA,United Republic of Tanzania,LM,Sub-Saharan Africa,SSA,65497.75,207.55,3374.25
USA,United States of America,HI,Northern America,NAC,338289.86,25035.16,75179.59
URY,Uruguay,HI,Latin America and the Caribbean,LCN,3422.79,96.81,27232.79
UZB,Uzbekistan,LM,Central and Southern Asia,CSA,34627.65,334.318,9478.46
VNM,Viet Nam,LM,"South East Asia, East Asia, and Oceania",SEAO,98186.86,1299.69,13074.99
ZMB,Zambia,LI,Sub-Saharan Africa,SSA,20017.68,76.325,3808.05
ZWE,Zimbabwe,LM,Sub-Saharan Africa,SSA,16320.54,40.408,2554.73
