ECONOMY_NAME,ISO3,ISO2,POP,NGDPD,PPPPC,INCOME,REGION_WB,REG_UN,REG_UN_CODE,SubReg,EU27,YEAR,PPPGDP
Trinidad and Tobago,TTO,,1502.95,,30718.75,HI,,Latin America and the Caribbean,LCN,,,2024,43.658
Tunisia,TUN,,12200.43,,13248.95,LM,,Northern Africa and Western Asia,NAWA,,,2024,162.097
Türkiye,TUR,,87270.5,,41887.53,UM,,Northern Africa and Western Asia,NAWA,,,2024,3613.54
Uganda,UGA,,48656.61,,3222.4,LI,,Sub-Saharan Africa,SSA,,,2024,145.157
Ukraine,UKR,,37732.88,,14303.98,LM,,Europe,EUR,,,2024,474.773
United Arab Emirates,ARE,,10667.12,,88961.77,HI,,Northern Africa and Western Asia,NAWA,,,2024,895.166
United Kingdom,GBR,,68682.99,,56835.72,HI,,Europe,EUR,,,2024,3871.79
United Republic of Tanzania,TZA,,66617.61,,3595.1,LM,,Sub-Saharan Africa,SSA,,,2024,227.725
United States of America,USA,,343027.25,,80412.41,HI,,Northern America,NAC,,,2024,26949.64
Uruguay,URY,,3388.08,,28983.79,HI,,Latin America and the Caribbean,LCN,,,2024,103.372
Uzbekistan,UZB,,35652.3,,10316.37,LM,,Central and Southern Asia,CSA,,,2024,371.646
Viet Nam,VNM,,100352.19,,14285.09,LM,,"South East Asia, East Asia, and Oceania",SEAO,,,2024,1434.21
Zambia,ZMB,,20723.97,,4068.44,LM,,Sub-Saharan Africa,SSA,,,2024,83.687
Zimbabwe,ZWE,,16340.84,,2749.78,LM,,Sub-Saharan Africa,SSA,,,2024,44.448
Albania,ALB,,2791.76,,21376.59,UM,,Europe,EUR,,,2025,58.196
Algeria,DZA,,46814.31,,17718.29,UM,,Northern Africa and Western Asia,NAWA,,,2025,826.136
Angola,AGO,,37885.85,,9801,LM,,Sub-Saharan Africa,SSA,,,2025,374.937
Argentina,ARG,,45696.16,,28704.1,UM,,Latin America and the Caribbean,LCN,,,2025,1353.804
Armenia,ARM,,2973.84,,23376.23,UM,,Northern Africa and Western Asia,NAWA,,,2025,69.297
Australia,AUS,,26713.21,,69475.41,HI,,"South East Asia, East Asia, and Oceania",SEAO,,,2025,1897.885
Austria,AUT,,9120.82,,73050.85,HI,,Europe,EUR,,,2025,667.153
Azerbaijan,AZE,,10336.58,,24698.09,UM,,Northern Africa and Western Asia,NAWA,,,2025,253.121
Bahrain,BHR,,1607.05,,65344.83,HI,,Northern Africa and Western Asia,NAWA,,,2025,105.646
Bangladesh,BGD,,173562.36,,9840.47,LM,,Central and Southern Asia,CSA,,,2025,1692.743
Barbados,BRB,,282.47,,22034.88,HI,,Latin America and the Caribbean,LCN,,,2025,6.408
Belarus,BLR,,9056.7,,32098.48,UM,,Europe,EUR,,,2025,293.136
Belgium,BEL,,11738.77,,73221.64,HI,,Europe,EUR,,,2025,863.837
Benin,BEN,,14462.73,,4500.58,LM,,Sub-Saharan Africa,SSA,,,2025,63.541
Bolivia (Plurinational State of),BOL,,12413.31,,11322.89,LM,,Latin America and the Caribbean,LCN,,,2025,139.158
Bosnia and Herzegovina,BIH,,3164.26,,21498.09,UM,,Europe,EUR,,,2025,74.278
Botswana,BWA,,2521.14,,19723.37,UM,,Sub-Saharan Africa,SSA,,,2025,53.642
Brazil,BRA,,211998.57,,22122.71,UM,,Latin America and the Caribbean,LCN,,,2025,4702.004
Brunei Darussalam,BRN,,462.72,,91046.4,HI,,"South East Asia, East Asia, and Oceania",SEAO,,,2025,41.016
Bulgaria,BGR,,6757.69,,39185.32,HI,,Europe,EUR,,,2025,248.906
Burkina Faso,BFA,,23548.78,,2850.07,LI,,Sub-Saharan Africa,SSA,,,2025,68.58
Burundi,BDI,,14047.79,,985.65,LI,,Sub-Saharan Africa,SSA,,,2025,13.174
Cabo Verde,CPV,,524.88,,11397.07,LM,,Sub-Saharan Africa,SSA,,,2025,5.83
Cambodia,KHM,,17638.8,,8136.53,LM,,"South East Asia, East Asia, and Oceania",SEAO,,,2025,139.801
Cameroon,CMR,,29123.75,,5565.67,LM,,Sub-Saharan Africa,SSA,,,2025,163.156
Canada,CAN,,39742.43,,62765.57,HI,,Northern America,NAC,,,2025,2582.228
Chile,CHL,,19764.77,,33574.4,HI,,Latin America and the Caribbean,LCN,,,2025,674.388
China,CHN,,1419321.28,,26309.99,UM,,"South East Asia, East Asia, and Oceania",SEAO,,,2025,37072.086
Colombia,COL,,52886.36,,21436.9,UM,,Latin America and the Caribbean,LCN,,,2025,1129.638
Congo,COG,,6332.96,,6403.61,LM,,Sub-Saharan Africa,SSA,,,2025,40.403
Costa Rica,CRI,,5129.91,,29779.19,UM,,Latin America and the Caribbean,LCN,,,2025,158.645
Croatia,HRV,,3875.33,,48811.09,HI,,Europe,EUR,,,2025,187.192
Cyprus,CYP,,1358.28,,59857.88,HI,,Northern Africa and Western Asia,NAWA,,,2025,55.14
Czech Republic,CZE,,10735.86,,56686.22,HI,,Europe,EUR,,,2025,619.881
Côte d'Ivoire,CIV,,31934.23,,7648.16,LM,,Sub-Saharan Africa,SSA,,,2025,244.611
Denmark,DNK,,5977.41,,83454.42,HI,,Europe,EUR,,,2025,496.696
Dominican Republic,DOM,,11427.55,,28949.59,UM,,Latin America and the Caribbean,LCN,,,2025,312.565
Ecuador,ECU,,18135.48,,16515.54,UM,,Latin America and the Caribbean,LCN,,,2025,296.728
Egypt,EGY,,116538.26,,20799.05,LM,,Northern Africa and Western Asia,NAWA,,,2025,2231.822
El Salvador,SLV,,6338.19,,13172.75,UM,,Latin America and the Caribbean,LCN,,,2025,84.22
Estonia,EST,,1360.55,,48008.04,HI,,Europe,EUR,,,2025,65.537
Ethiopia,ETH,,132059.76,,4045.13,LI,,Sub-Saharan Africa,SSA,,,2025,434.441
Finland,FIN,,5617.31,,64657.34,HI,,Europe,EUR,,,2025,361.312
France,FRA,,66548.53,,65940.41,HI,,Europe,EUR,,,2025,4359.372
Georgia,GEO,,3807.67,,27363.37,UM,,Northern Africa and Western Asia,NAWA,,,2025,102.245
Germany,DEU,,84552.24,,70930.36,HI,,Europe,EUR,,,2025,6017.222
Ghana,GHA,,34427.42,,7975.13,LM,,Sub-Saharan Africa,SSA,,,2025,269.105
Greece,GRC,,10047.82,,42065.72,HI,,Europe,EUR,,,2025,436.757
Guatemala,GTM,,18406.36,,14791.41,UM,,Latin America and the Caribbean,LCN,,,2025,264.033
Guinea,GIN,,14754.78,,4321.38,LM,,Sub-Saharan Africa,SSA,,,2025,66.624
Honduras,HND,,10825.7,,7604.66,LM,,Latin America and the Caribbean,LCN,,,2025,81.06
"Hong Kong, China",HKG,,7414.91,,75406.84,HI,,"South East Asia, East Asia, and Oceania",SEAO,,,2025,569.828
Hungary,HUN,,9676.14,,46807.17,HI,,Europe,EUR,,,2025,448.456
Iceland,ISL,,393.4,,78808.04,HI,,Europe,EUR,,,2025,30.241
India,IND,,1450935.79,,11111.71,LM,,Central and Southern Asia,CSA,,,2025,16019.97
Indonesia,IDN,,283487.93,,16542.11,UM,,"South East Asia, East Asia, and Oceania",SEAO,,,2025,4658.321
Iran (Islamic Republic of),IRN,,91567.74,,19606.81,UM,,Central and Southern Asia,CSA,,,2025,1698.463
Ireland,IRL,,5255.02,,127750.16,HI,,Europe,EUR,,,2025,691.904
Israel,ISR,,9387.02,,54446.21,HI,,Northern Africa and Western Asia,NAWA,,,2025,541.343
Italy,ITA,,59342.87,,60992.86,HI,,Europe,EUR,,,2025,3597.954
Jamaica,JAM,,2839.18,,12283.26,UM,,Latin America and the Caribbean,LCN,,,2025,33.775
Japan,JPN,,123753.04,,53059.36,HI,,"South East Asia, East Asia, and Oceania",SEAO,,,2025,6572.198
Jordan,JOR,,11552.88,,10916.51,LM,,Northern Africa and Western Asia,NAWA,,,2025,124.284
Kazakhstan,KAZ,,20592.57,,41366.31,UM,,Central and Southern Asia,CSA,,,2025,830.605
Kenya,KEN,,56432.94,,7157.32,LM,,Sub-Saharan Africa,SSA,,,2025,375.356
Kuwait,KWT,,4934.51,,49736.26,HI,,Northern Africa and Western Asia,NAWA,,,2025,249.255
Kyrgyzstan,KGZ,,7186.01,,7772.56,LM,,Central and Southern Asia,CSA,,,2025,55.01
Lao People's Democratic Republic,LAO,,7769.82,,9727.29,LM,,"South East Asia, East Asia, and Oceania",SEAO,,,2025,74.76
Latvia,LVA,,1871.87,,43526.93,HI,,Europe,EUR,,,2025,81.798
Lebanon,LBN,,5805.96,,,LM,,Northern Africa and Western Asia,NAWA,,,2025,
Lesotho,LSO,,2337.42,,3260.42,LM,,Sub-Saharan Africa,SSA,,,2025,7.055
Lithuania,LTU,,2859.11,,53623.64,HI,,Europe,EUR,,,2025,154.615
Luxembourg,LUX,,673.04,,151145.79,HI,,Europe,EUR,,,2025,101.876
Madagascar,MDG,,31964.96,,1989.82,LI,,Sub-Saharan Africa,SSA,,,2025,60.877
Malawi,MWI,,21655.29,,1713.77,LI,,Sub-Saharan Africa,SSA,,,2025,40.074
Malaysia,MYS,,35557.67,,41021.96,UM,,"South East Asia, East Asia, and Oceania",SEAO,,,2025,1372.61
Mali,MLI,,24478.59,,2843.34,LI,,Sub-Saharan Africa,SSA,,,2025,68.526
Malta,MLT,,539.61,,72941.91,HI,,Europe,EUR,,,2025,40.316
Mauritania,MRT,,5169.4,,8233.32,LM,,Sub-Saharan Africa,SSA,,,2025,37.285
Mauritius,MUS,,1271.17,,32062.71,UM,,Sub-Saharan Africa,SSA,,,2025,40.429
Mexico,MEX,,130861.01,,24971.32,UM,,Latin America and the Caribbean,LCN,,,2025,3303.067
Mongolia,MNG,,3475.54,,19063.37,UM,,"South East Asia, East Asia, and Oceania",SEAO,,,2025,67.691
Montenegro,MNE,,638.48,,31858.01,UM,,Europe,EUR,,,2025,20.181
Morocco,MAR,,38081.17,,10615.06,LM,,Northern Africa and Western Asia,NAWA,,,2025,396.685
Mozambique,MOZ,,34631.77,,1729.56,LI,,Sub-Saharan Africa,SSA,,,2025,60.29
Myanmar,MMR,,54500.09,,5205.77,LM,,"South East Asia, East Asia, and Oceania",SEAO,,,2025,283.747
Namibia,NAM,,3030.13,,11730.16,UM,,Sub-Saharan Africa,SSA,,,2025,35.071
Nepal,NPL,,29651.06,,5348.12,LM,,Central and Southern Asia,CSA,,,2025,169.122
Netherlands (Kingdom of the),NLD,,18228.74,,81494.63,HI,,Europe,EUR,,,2025,1460.53
New Zealand,NZL,,5213.94,,52983.05,HI,,"South East Asia, East Asia, and Oceania",SEAO,,,2025,283.908
Nicaragua,NIC,,6916.14,,8949.81,LM,,Latin America and the Caribbean,LCN,,,2025,60.374
Niger,NER,,27032.41,,1978.17,LI,,Sub-Saharan Africa,SSA,,,2025,55.547
Nigeria,NGA,,232679.48,,6542.59,LM,,Sub-Saharan Africa,SSA,,,2025,1489.832
North Macedonia,MKD,,1823.01,,26911.82,UM,,Europe,EUR,,,2025,49.295
Norway,NOR,,5576.66,,103446.04,HI,,Europe,EUR,,,2025,576.236
Oman,OMN,,5281.54,,41651.67,HI,,Northern Africa and Western Asia,NAWA,,,2025,222.058
Pakistan,PAK,,251269.16,,6715.3,LM,,Central and Southern Asia,CSA,,,2025,1584.474
Panama,PAN,,4515.58,,41292.26,HI,,Latin America and the Caribbean,LCN,,,2025,186.209
Paraguay,PRY,,6929.15,,16642.23,UM,,Latin America and the Caribbean,LCN,,,2025,127.416
Peru,PER,,34217.85,,17775.18,UM,,Latin America and the Caribbean,LCN,,,2025,605.57
Philippines,PHL,,115843.67,,12079.57,LM,,"South East Asia, East Asia, and Oceania",SEAO,,,2025,1367.043
Poland,POL,,38539.2,,51628.83,HI,,Europe,EUR,,,2025,1890.698
Portugal,PRT,,10425.29,,49236.5,HI,,Europe,EUR,,,2025,508.508
Qatar,QAT,,3048.43,,115074.54,HI,,Northern Africa and Western Asia,NAWA,,,2025,355.999
Republic of Korea,KOR,,51717.59,,62960.47,HI,,"South East Asia, East Asia, and Oceania",SEAO,,,2025,3258.366
Republic of Moldova,MDA,,3034.96,,18524.02,UM,,Europe,EUR,,,2025,45.407
Romania,ROU,,19015.09,,47203.73,HI,,Europe,EUR,,,2025,894.222
Russian Federation,RUS,,144820.42,,47298.71,HI,,Europe,EUR,,,2025,6909.381
Rwanda,RWA,,14256.56,,3746.81,LI,,Sub-Saharan Africa,SSA,,,2025,51.918
Saudi Arabia,SAU,,33962.76,,63117.95,HI,,Northern Africa and Western Asia,NAWA,,,2025,2112.88
Senegal,SEN,,18501.98,,5056.15,LM,,Sub-Saharan Africa,SSA,,,2025,94.351
Serbia,SRB,,6736.22,,29038.9,UM,,Europe,EUR,,,2025,191.561
Seychelles,SYC,,130.42,,41077.69,HI,,Sub-Saharan Africa,SSA,,,2025,4.136
Singapore,SGP,,5832.39,,148185.78,HI,,"South East Asia, East Asia, and Oceania",SEAO,,,2025,879.978
Slovakia,SVK,,5506.76,,45632.21,HI,,Europe,EUR,,,2025,247.54
Slovenia,SVN,,2118.7,,55683.97,HI,,Europe,EUR,,,2025,117.993
South Africa,ZAF,,64007.19,,15723.25,UM,,Sub-Saharan Africa,SSA,,,2025,993.745
Spain,ESP,,47910.53,,55089.21,HI,,Europe,EUR,,,2025,2665.23
Sri Lanka,LKA,,23103.57,,,LM,,Central and Southern Asia,CSA,,,2025,
Sweden,SWE,,10607,,71730.79,HI,,Europe,EUR,,,2025,763.589
Switzerland,CHE,,8921.98,,95836.64,HI,,Europe,EUR,,,2025,851.136
Tajikistan,TJK,,10590.93,,5532.77,LM,,Central and Southern Asia,CSA,,,2025,56.367
Thailand,THA,,71668.01,,25211.77,UM,,"South East Asia, East Asia, and Oceania",SEAO,,,2025,1771.532
Togo,TGO,,9515.23,,3289.86,LI,,Sub-Saharan Africa,SSA,,,2025,30.563
Trinidad and Tobago,TTO,,1507.78,,34987.23,HI,,Latin America and the Caribbean,LCN,,,2025,49.967
Tunisia,TUN,,12277.11,,14338.49,LM,,Northern Africa and Western Asia,NAWA,,,2025,176.873
Türkiye,TUR,,87473.81,,40283.31,UM,,Northern Africa and Western Asia,NAWA,,,2025,3456.771
Uganda,UGA,,50015.09,,3641.79,LI,,Sub-Saharan Africa,SSA,,,2025,170.611
Ukraine,UKR,,37860.22,,19603.12,UM,,Europe,EUR,,,2025,655.583
United Arab Emirates,ARE,,11027.13,,77251.44,HI,,Northern Africa and Western Asia,NAWA,,,2025,849.778
United Kingdom,GBR,,69138.19,,62573.61,HI,,Europe,EUR,,,2025,4282.173
United Republic of Tanzania,TZA,,68560.16,,4134.12,LM,,Sub-Saharan Africa,SSA,,,2025,269.672
United States of America,USA,,345426.57,,86601.28,HI,,Northern America,NAC,,,2025,29167.779
Uruguay,URY,,3386.59,,34440.2,HI,,Latin America and the Caribbean,LCN,,,2025,123.223
Uzbekistan,UZB,,36361.86,,11596.42,LM,,Central and Southern Asia,CSA,,,2025,428.204
Venezuela (Bolivarian Republic of),VEN,,28405.54,,8403.84,,,Latin America and the Caribbean,LCN,,,2025,222.356
Viet Nam,VNM,,100987.68,,16193.27,LM,,"South East Asia, East Asia, and Oceania",SEAO,,,2025,1631.796
Zambia,ZMB,,21314.96,,4190.27,LM,,Sub-Saharan Africa,SSA,,,2025,88.56
Zimbabwe,ZWE,,16634.37,,5070.61,LM,,Sub-Saharan Africa,SSA,,,2025,86.162
