ISO3,ECONOMY_NAME,INCOME,REG_UN,REG_UN_CODE,POP,PPPGDP,PPPPC
NOR,Norway,HI,Europe,EUR,5576.66,576.236,103446.04
OMN,Oman,HI,Northern Africa and Western Asia,NAWA,5281.54,222.058,41651.67
PAK,Pakistan,LM,Central and Southern Asia,CSA,251269.16,1584.474,6715.3
PAN,Panama,HI,Latin America and the Caribbean,LCN,4515.58,186.209,41292.26
PRY,Paraguay,UM,Latin America and the Caribbean,LCN,6929.15,127.416,16642.23
PER,Peru,UM,Latin America and the Caribbean,LCN,34217.85,605.57,17775.18
PHL,Philippines,LM,"South East Asia, East Asia, and Oceania",SEAO,115843.67,1367.043,12079.57
POL,Poland,HI,Europe,EUR,38539.2,1890.698,51628.83
PRT,Portugal,HI,Europe,EUR,10425.29,508.508,49236.5
QAT,Qatar,HI,Northern Africa and Western Asia,NAWA,3048.43,355.999,115074.54
KOR,Republic of Korea,HI,"South East Asia, East Asia, and Oceania",SEAO,51717.59,3258.366,62960.47
MDA,Republic of Moldova,UM,Europe,EUR,3034.96,45.407,18524.02
ROU,Romania,HI,Europe,EUR,19015.09,894.222,47203.73
RUS,Russian Federation,HI,Europe,EUR,144820.42,6909.381,47298.71
RWA,Rwanda,LI,Sub-Saharan Africa,SSA,14256.56,51.918,3746.81
SAU,Saudi Arabia,HI,Northern Africa and Western Asia,NAWA,33962.76,2112.88,63117.95
SEN,Senegal,LM,Sub-Saharan Africa,SSA,18501.98,94.351,5056.15
SRB,Serbia,UM,Europe,EUR,6736.22,191.561,29038.9
SYC,Seychelles,HI,Sub-Saharan Africa,SSA,130.42,4.136,41077.69
SGP,Singapore,HI,"South East Asia, East Asia, and Oceania",SEAO,5832.39,879.978,148185.78
SVK,Slovakia,HI,Europe,EUR,5506.76,247.54,45632.21
SVN,Slovenia,HI,Europe,EUR,2118.7,117.993,55683.97
ZAF,South Africa,UM,Sub-Saharan Africa,SSA,64007.19,993.745,15723.25
ESP,Spain,HI,Europe,EUR,47910.53,2665.23,55089.21
LKA,Sri Lanka,LM,Central and Southern Asia,CSA,23103.57,,
SWE,Sweden,HI,Europe,EUR,10607,763.589,71730.79
CHE,Switzerland,HI,Europe,EUR,8921.98,851.136,95836.64
TJK,Tajikistan,LM,Central and Southern Asia,CSA,10590.93,56.367,5532.77
THA,Thailand,UM,"South East Asia, East Asia, and Oceania",SEAO,71668.01,1771.532,25211.77
TGO,Togo,LI,Sub-Saharan Africa,SSA,9515.23,30.563,3289.86
TTO,Trinidad and Tobago,HI,Latin America and the Caribbean,LCN,1507.78,49.967,34987.23
TUN,Tunisia,LM,Northern Africa and Western Asia,NAWA,12277.11,176.873,14338.49
TUR,Türkiye,UM,Northern Africa and Western Asia,NAWA,87473.81,3456.771,40283.31
UGA,Uganda,LI,Sub-Saharan Africa,SSA,50015.09,170.611,3641.79
UKR,Ukraine,UM,Europe,EUR,37860.22,655.583,19603.12
ARE,United Arab Emirates,HI,Northern Africa and Western Asia,NAWA,11027.13,849.778,77251.44
GBR,United Kingdom,HI,Europe,EUR,69138.19,4282.173,62573.61
TZA,United Republic of Tanzania,LM,Sub-Saharan Africa,SSA,68560.16,269.672,4134.12
USA,United States of America,HI,Northern America,NAC,345426.57,29167.779,86601.28
URY,Uruguay,HI,Latin America and the Caribbean,LCN,3386.59,123.223,34440.2
UZB,Uzbekistan,LM,Central and Southern Asia,CSA,36361.86,428.204,11596.42
VEN,Venezuela (Bolivarian Republic of),,Latin America and the Caribbean,LCN,28405.54,222.356,8403.84
VNM,Viet Nam,LM,"South East Asia, East Asia, and Oceania",SEAO,100987.68,1631.796,16193.27
ZMB,Zambia,LM,Sub-Saharan Africa,SSA,21314.96,88.56,4190.27
ZWE,Zimbabwe,LM,Sub-Saharan Africa,SSA,16634.37,86.162,5070.61
