fig_id,variable,entity_type,chapter
fig_6.1.8,fig_6.1.8_Model Number of Parameters,model,6
fig_6.1.9,fig_6.1.9_Date of Release,model,6
fig_6.1.9,fig_6.1.9_Model Performance,model,6
fig_6.1.9,fig_6.1.9_Parameters,model,6
fig_6.2.11,fig_6.2.11_Number of publications,global,6
fig_6.2.12,fig_6.2.12_Number of patent filings,global,6
fig_6.2.3,fig_6.2.3_Number of papers reporting prospective clinical trials,global,6
fig_6.2.4,fig_6.2.4_total_pct,category,6
fig_6.2.5,fig_6.2.5_num_cleared_devices,category,6
fig_6.2.6,fig_6.2.6_Number of AI medical devices,global,6
fig_6.2.7,fig_6.2.7_Number of Devices,category,6
fig_6.2.8,fig_6.2.8_value,category,6
fig_6.2.9,fig_6.2.9_Number of Authorized Devices,organization,6
fig_6.3.1,fig_6.3.1_% with AI Overview,category,6
fig_6.3.2,fig_6.3.2_Number of publications,global,6
fig_6.3.4,fig_6.3.4_Volume of Publications,category,6
fig_6.3.5,fig_6.3.5_Volume of Publications,country,6
fig_6.4.1,fig_6.4.1_num_pubs,category,6
fig_6.4.2,fig_6.4.2_num_pubs,category,6
fig_6.4.3,fig_6.4.3_Number of publications,global,6
fig_6.4.5(1),fig_6.4.5(1)_num_pubs,category,6
fig_6.4.5,fig_6.4.5_num_pubs,category,6
fig_6.4.6,fig_6.4.6_num_pubs,category,6
fig_7.2.10,fig_7.2.10_2022,country,7
fig_7.2.10,fig_7.2.10_2023,country,7
fig_7.2.11,fig_7.2.11_2022,country,7
fig_7.2.11,fig_7.2.11_2023,country,7
fig_7.2.12,fig_7.2.12_2022,country,7
fig_7.2.12,fig_7.2.12_2023,country,7
fig_7.2.13,fig_7.2.13_Education level abbreviated,country,7
fig_7.2.13,fig_7.2.13_Group,country,7
fig_7.2.13,fig_7.2.13_Percent Female,country,7
fig_7.2.14,"fig_7.2.14_Number of CS, CE, and information faculty",category,7
fig_7.2.15,fig_7.2.15_Label,category,7
fig_7.2.15,fig_7.2.15_Race/Ethnicity,category,7
fig_7.2.16,fig_7.2.16_University students (% of total) who have used GenAI,country,7
fig_7.2.17,fig_7.2.17_% of Respondents,category,7
fig_7.2.1_hardware,fig_7.2.1_hardware_value,organization,7
fig_7.2.1_software,fig_7.2.1_software_value,organization,7
fig_7.2.2_hardware,fig_7.2.2_hardware_Female,category,7
fig_7.2.2_hardware,fig_7.2.2_hardware_Male,category,7
fig_7.2.2_software,fig_7.2.2_software_Female,category,7
fig_7.2.2_software,fig_7.2.2_software_Male,category,7
fig_7.2.3,fig_7.2.3_Label,category,7
fig_7.2.3,fig_7.2.3_Race/Ethnicity,category,7
fig_7.2.4,fig_7.2.4_Label,category,7
fig_7.2.4,fig_7.2.4_Race/Ethnicity,category,7
fig_7.2.5_hardware,fig_7.2.5_hardware_Nonresident,category,7
fig_7.2.5_hardware,fig_7.2.5_hardware_Resident,category,7
fig_7.2.5_software,fig_7.2.5_software_Nonresident,category,7
fig_7.2.5_software,fig_7.2.5_software_Resident,category,7
fig_7.2.7,fig_7.2.7_Number of new AI PhD graduates,category,7
fig_7.2.8,fig_7.2.8_New AI PhD graduates (% of total),category,7
fig_7.2.9,fig_7.2.9_2022,country,7
fig_7.2.9,fig_7.2.9_2023,country,7
fig_7.3.10,fig_7.3.10_Percent of HS offering CS,us_state,7
fig_7.3.10,fig_7.3.10_Percent of students enrolled,us_state,7
fig_7.3.11,fig_7.3.11_Race/Ethnicity,category,7
fig_7.3.12,fig_7.3.12_Group,category,7
fig_7.3.13,fig_7.3.13_Number of AP computer science exams taken (in thousands),global,7
fig_7.3.14,fig_7.3.14_Number of AP computer science exams taken,category,7
fig_7.3.15,fig_7.3.15_AP computer science exams taken (% of total responding students),category,7
fig_7.3.16,fig_7.3.16_Race/Ethnicity,category,7
fig_7.3.17,fig_7.3.17_% of Respondents,category,7
fig_7.3.18,fig_7.3.18_Status,us_state,7
fig_7.3.19,fig_7.3.19_Country Code,country,7
fig_7.3.19,fig_7.3.19_Status,country,7
fig_7.3.1,fig_7.3.1_% of schools,global,7
fig_7.3.2,fig_7.3.2_percent_public_hs_teach_cs,us_state,7
fig_7.3.3,fig_7.3.3_percent_students,us_state,7
fig_7.3.4,fig_7.3.4_% of schools,global,7
fig_7.3.5,fig_7.3.5_Percent,category,7
fig_7.3.6,fig_7.3.6_Percent,category,7
fig_7.3.7,fig_7.3.7_Percent,category,7
fig_7.3.8,fig_7.3.8_name,us_state,7
fig_7.3.8,fig_7.3.8_percent_students,us_state,7
fig_7.3.9,fig_7.3.9_percent_students,us_state,7
fig_7.4.1,fig_7.4.1_Relative AI skill penetration rate,country,7
fig_7.4.2,fig_7.4.2_Label,country,7
fig_7.4.2,fig_7.4.2_Relative AI Skill Penetration Rate,country,7
fig_7.4.3,fig_7.4.3_Skills Diffusion Index (AI Engineering skills),country,7
fig_7.4.3,fig_7.4.3_Skills Diffusion Index (AI Literacy skills),country,7
fig_8.2.1,fig_8.2.1_2019,country,8
fig_8.2.1,fig_8.2.1_2020,country,8
fig_8.2.1,fig_8.2.1_2021,country,8
fig_8.2.1,fig_8.2.1_2022,country,8
fig_8.2.1,fig_8.2.1_2023,country,8
fig_8.2.1,fig_8.2.1_2024,country,8
fig_8.2.1,fig_8.2.1_2025,country,8
fig_8.3.1,fig_8.3.1_Cumulative number of AI supercomputers,category,8
fig_8.3.2,fig_8.3.2_has_nvidia,country,8
fig_8.3.2,fig_8.3.2_has_openai,country,8
fig_8.3.2,fig_8.3.2_initiative_type,country,8
fig_8.3.3,fig_8.3.3_Cumulative number of data localization measures,category,8
fig_8.3.4,fig_8.3.4_Cumulative number of AI models released,category,8
fig_8.3.5,fig_8.3.5_Agriculture and environment,country,8
fig_8.3.5,fig_8.3.5_Business and enterprise services,country,8
fig_8.3.5,fig_8.3.5_Consumer and lifestyle,country,8
fig_8.3.5,fig_8.3.5_Education,country,8
fig_8.3.5,fig_8.3.5_Financial services,country,8
fig_8.3.5,fig_8.3.5_General-purpose AI capabilities,country,8
fig_8.3.5,fig_8.3.5_Healthcare and life sciences,country,8
fig_8.3.5,"fig_8.3.5_Industry, energy and infrastructure",country,8
fig_8.3.5,fig_8.3.5_Legal services,country,8
fig_8.3.5,fig_8.3.5_Public sector and governance,country,8
fig_8.3.5,fig_8.3.5_Security and defense,country,8
fig_8.3.6,fig_8.3.6_flow_n,category,8
fig_8.3.6,fig_8.3.6_flow_type,category,8
fig_8.4.10,fig_8.4.10_Number of AI-related regulations,global,8
fig_8.4.11,fig_8.4.11_Number of AI-related regulations,organization,8
fig_8.4.1,fig_8.4.1_Number of AI-related bills passed,global,8
fig_8.4.2,fig_8.4.2_Number of AI-related bills passed into law,country,8
fig_8.4.3,"fig_8.4.3_Number of AI-related bills passed into law, 2016–25 (sum)",country,8
fig_8.4.4,fig_8.4.4_Number of AI-related bills passed,global,8
fig_8.4.5,fig_8.4.5_Number of AI-related bills 2016–24 (sum),us_state,8
fig_8.4.6,fig_8.4.6_Number of AI-related bills passed 2016–25,us_state,8
fig_8.4.7,fig_8.4.7_Number of witnesses,global,8
fig_8.4.8,fig_8.4.8_Label,category,8
fig_8.4.8,fig_8.4.8_Witnesses (% of total),category,8
fig_8.4.9,fig_8.4.9_Label,category,8
fig_8.4.9,fig_8.4.9_Number of Witnesses,category,8
fig_8.5.10,fig_8.5.10_Median Contract Value (M$),country,8
fig_8.5.11,fig_8.5.11_Public spending on AI-related contracts (% of total),category,8
