question,tier,y_var,model,x_var,coefficient,std_error,p_value,ci95_lower,ci95_upper,p_value_bootstrap,n_effective,r2,ci_method,n_boot,seed,binarization_threshold_value,binarization_method,n_class_0,n_class_1,auc_cv_5fold_mean,auc_cv_5fold_std,auc_loocv,model_hyperparams_json,fdr_q_value,fdr_significant_05
Q6,primary,oxford_e_government_delivery,OLS_full,n_non_binding,-11.391424594123507,7.857535085429638,0.16343635469949103,-59.28194883933956,40.599874703430686,0.415,36,0.4979413581396497,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_e_government_delivery,OLS_full,n_hybrid,2.52126819191637,7.712159820521427,0.7473016671604197,-39.87454905100712,64.19849542653579,0.854,36,0.4979413581396497,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_e_government_delivery,OLS_full,regulatory_intensity,-38.79553253223318,97.94103423245329,0.6964361786889147,-687.8861342974337,681.5791556466868,0.706,36,0.4979413581396497,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_e_government_delivery,OLS_full,n_regulatory_mechanisms,3.3683358422350436,3.613524820677787,0.36295524959978176,-25.47209246686128,26.33214182969633,0.532,36,0.4979413581396497,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_e_government_delivery,OLS_full,wb_gdp_per_capita_ppp_z,0.9832686355554898,2.4693195935969077,0.694926024420223,-7.708140019608015,11.191479130777834,0.785,36,0.4979413581396497,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_e_government_delivery,OLS_full,wb_internet_penetration_z,-1.7600866238344732,2.309231694282066,0.45530164872373846,-11.07486930816418,4.999097502793253,0.355,36,0.4979413581396497,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_e_government_delivery,OLS_full,wb_tertiary_education_enrollment_z,-0.033252202573186285,1.3838950557929537,0.9810808525069207,-4.558496992800702,7.411341992487574,0.99,36,0.4979413581396497,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_e_government_delivery,OLS_full,wb_rd_expenditure_pct_gdp_z,-9.751061036175724,6.115653626871298,0.12733650077961614,-26.91720970511115,9.868584546171139,0.223,36,0.4979413581396497,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_e_government_delivery,OLS_full,wb_researchers_rd_per_million_z,6.494998523295351,5.290024658325815,0.23452289553238362,-11.44182841430291,29.036017121441404,0.255,36,0.4979413581396497,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_e_government_delivery,OLS_full,wb_government_effectiveness_z,-4.350087758996036,10.10864793823459,0.6717949411201944,-37.397545872652145,41.626695509975036,0.885,36,0.4979413581396497,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_e_government_delivery,OLS_full,wb_rule_of_law_z,10.11942366721766,7.405676421016212,0.1877549694458029,-24.355472152549186,37.29959918258287,0.627,36,0.4979413581396497,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_e_government_delivery,OLS_full,wb_regulatory_quality_z,-11.164188806197366,8.900226447264656,0.22491975502483771,-45.36335254191264,17.108153815157095,0.529,36,0.4979413581396497,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_e_government_delivery,OLS_full,wipo_in_score_z,6.373333761532512,7.479035587766726,0.4047392077990898,-20.091501737148466,28.29505386094215,0.794,36,0.4979413581396497,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_e_government_delivery,OLS_full,wb_mobile_subscriptions_per100_z,1.070245830852631,1.3098425345732285,0.4240104309112829,-4.460871328503953,7.595796030749197,0.569,36,0.4979413581396497,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_e_government_delivery,OLS_full,wb_secure_servers_per_1m_z,1.206435246883526,1.7198474611043897,0.4915082991636277,-4.004998178096221,6.517088312791105,0.965,36,0.4979413581396497,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_e_government_delivery,OLS_full,wb_electric_consumption_kwh_pc_z,0.309483888434424,1.2456624670264391,0.8064524401308967,-4.051540986004052,7.2831888560082305,0.772,36,0.4979413581396497,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_e_government_delivery,OLS_full,const,89.365788540903,7.204970037091703,1.4793818215878004e-10,62.890080778784835,110.67731756040061,0.002,36,0.4979413581396497,bootstrap_2000,2000.0,42,,,,,,,,,,
Q6,primary,oxford_e_government_delivery,Logistic,__model_metadata__,,,,,,,36,,,,42,89.19,median,18.0,18.0,0.6398333333333334,0.25267755033727163,,"{""penalty"":""l2"",""C"":1.0}",,
Q6,primary,oxford_e_government_delivery,Logistic,n_binding,0.6610990851343644,,,,,,36,,,,42,,,,,,,,,,
Q6,primary,oxford_e_government_delivery,Logistic,n_non_binding,-0.9075321134446742,,,,,,36,,,,42,,,,,,,,,,
Q6,primary,oxford_e_government_delivery,Logistic,n_hybrid,0.44277749968033314,,,,,,36,,,,42,,,,,,,,,,
Q6,primary,oxford_e_government_delivery,Logistic,regulatory_intensity,0.1163057857865191,,,,,,36,,,,42,,,,,,,,,,
Q6,primary,oxford_e_government_delivery,Logistic,n_regulatory_mechanisms,0.19634447137002337,,,,,,36,,,,42,,,,,,,,,,
Q6,primary,oxford_e_government_delivery,Logistic,wb_gdp_per_capita_ppp_z,-0.10704943088761452,,,,,,36,,,,42,,,,,,,,,,
Q6,primary,oxford_e_government_delivery,Logistic,wb_internet_penetration_z,-0.31552244932795104,,,,,,36,,,,42,,,,,,,,,,
Q6,primary,oxford_e_government_delivery,Logistic,wb_tertiary_education_enrollment_z,0.10857251272921832,,,,,,36,,,,42,,,,,,,,,,
Q6,primary,oxford_e_government_delivery,Logistic,wb_rd_expenditure_pct_gdp_z,-0.6508916958425737,,,,,,36,,,,42,,,,,,,,,,
Q6,primary,oxford_e_government_delivery,Logistic,wb_researchers_rd_per_million_z,0.5810805208040691,,,,,,36,,,,42,,,,,,,,,,
Q6,primary,oxford_e_government_delivery,Logistic,wb_government_effectiveness_z,-0.2690036281775487,,,,,,36,,,,42,,,,,,,,,,
Q6,primary,oxford_e_government_delivery,Logistic,wb_rule_of_law_z,-0.01913807976610461,,,,,,36,,,,42,,,,,,,,,,
Q6,primary,oxford_e_government_delivery,Logistic,wb_regulatory_quality_z,0.5781484111389869,,,,,,36,,,,42,,,,,,,,,,
Q6,primary,oxford_e_government_delivery,Logistic,wipo_in_score_z,0.31839770126269384,,,,,,36,,,,42,,,,,,,,,,
Q6,primary,oxford_e_government_delivery,Logistic,wb_mobile_subscriptions_per100_z,0.3431909123701356,,,,,,36,,,,42,,,,,,,,,,
Q6,primary,oxford_e_government_delivery,Logistic,wb_secure_servers_per_1m_z,0.29862849585211865,,,,,,36,,,,42,,,,,,,,,,
Q6,primary,oxford_e_government_delivery,Logistic,wb_electric_consumption_kwh_pc_z,0.21113195541510474,,,,,,36,,,,42,,,,,,,,,,
