iso3,question,outcome,predictor,score_value,score_scope,independent_prediction,holdout_used,analysis_scope,country_name_canonical
CHL,Q2,ms_h2_2025_ai_diffusion_pct,iapp_ley_ia_vigente,20.8,in_sample_descriptive_positioning,False,False,full_preregistered_sample_available_by_outcome,Chile
USA,Q2,ms_h2_2025_ai_diffusion_pct,iapp_ley_ia_vigente,28.3,in_sample_descriptive_positioning,False,False,full_preregistered_sample_available_by_outcome,United States
CHN,Q2,ms_h2_2025_ai_diffusion_pct,iapp_ley_ia_vigente,16.3,in_sample_descriptive_positioning,False,False,full_preregistered_sample_available_by_outcome,China
IND,Q2,ms_h2_2025_ai_diffusion_pct,iapp_ley_ia_vigente,15.7,in_sample_descriptive_positioning,False,False,full_preregistered_sample_available_by_outcome,India
JPN,Q2,ms_h2_2025_ai_diffusion_pct,iapp_ley_ia_vigente,19.1,in_sample_descriptive_positioning,False,False,full_preregistered_sample_available_by_outcome,Japan
ARG,Q2,ms_h2_2025_ai_diffusion_pct,iapp_ley_ia_vigente,19.6,in_sample_descriptive_positioning,False,False,full_preregistered_sample_available_by_outcome,Argentina
BRA,Q2,ms_h2_2025_ai_diffusion_pct,iapp_ley_ia_vigente,17.1,in_sample_descriptive_positioning,False,False,full_preregistered_sample_available_by_outcome,Brazil
COL,Q2,ms_h2_2025_ai_diffusion_pct,iapp_ley_ia_vigente,22.0,in_sample_descriptive_positioning,False,False,full_preregistered_sample_available_by_outcome,Colombia
PER,Q2,ms_h2_2025_ai_diffusion_pct,iapp_ley_ia_vigente,14.7,in_sample_descriptive_positioning,False,False,full_preregistered_sample_available_by_outcome,Peru
NOR,Q2,oecd_5_ict_business_oecd_biz_ai_pct,n_binding,28.8939,in_sample_descriptive_positioning,False,False,full_preregistered_sample_available_by_outcome,Norway
IRL,Q2,oecd_5_ict_business_oecd_biz_ai_pct,n_binding,19.6416,in_sample_descriptive_positioning,False,False,full_preregistered_sample_available_by_outcome,Ireland
FRA,Q2,oecd_5_ict_business_oecd_biz_ai_pct,n_binding,18.1592,in_sample_descriptive_positioning,False,False,full_preregistered_sample_available_by_outcome,France
ESP,Q2,oecd_5_ict_business_oecd_biz_ai_pct,n_binding,20.2685,in_sample_descriptive_positioning,False,False,full_preregistered_sample_available_by_outcome,Spain
NZL,Q2,oecd_5_ict_business_oecd_biz_ai_pct,n_binding,9.023666707,in_sample_descriptive_positioning,False,False,full_preregistered_sample_available_by_outcome,New Zealand
NLD,Q2,oecd_5_ict_business_oecd_biz_ai_pct,n_binding,33.2079,in_sample_descriptive_positioning,False,False,full_preregistered_sample_available_by_outcome,Netherlands (Kingdom of the)
GBR,Q2,oecd_5_ict_business_oecd_biz_ai_pct,n_binding,4.1104,in_sample_descriptive_positioning,False,False,full_preregistered_sample_available_by_outcome,United Kingdom
AUS,Q2,oecd_5_ict_business_oecd_biz_ai_pct,n_binding,3.39,in_sample_descriptive_positioning,False,False,full_preregistered_sample_available_by_outcome,Australia
ISR,Q2,oecd_5_ict_business_oecd_biz_ai_pct,n_binding,3.694724719,in_sample_descriptive_positioning,False,False,full_preregistered_sample_available_by_outcome,Israel
