iso3,country_name_canonical,entity_type,region,income_group,present_iapp,present_microsoft,present_oxford,present_wb,present_wipo,present_stanford,present_oecd,present_anthropic,n_sources_present,source_list,included_in_matrix,included_in_dense_candidate,inclusion_notes
SYC,SYC,country_iso3,Sub-Saharan Africa ,High income,0,0,1,1,1,1,1,1,6,"oxford, wb, wipo, stanford, oecd, anthropic",True,True,
SYR,SYR,country_iso3,"Middle East, North Africa, Afghanistan & Pakistan",Low income,0,1,1,1,0,1,1,1,6,"microsoft, oxford, wb, stanford, oecd, anthropic",True,True,
TCD,TCD,country_iso3,Sub-Saharan Africa ,Low income,0,1,1,1,0,1,1,1,6,"microsoft, oxford, wb, stanford, oecd, anthropic",True,True,
TKM,Turkmenistan,country_iso3,Europe & Central Asia,Upper middle income,0,1,1,1,0,1,1,1,6,"microsoft, oxford, wb, stanford, oecd, anthropic",True,True,
TTO,TTO,country_iso3,Latin America & Caribbean ,High income,0,0,1,1,1,1,1,1,6,"oxford, wb, wipo, stanford, oecd, anthropic",True,True,
TWN,Taiwan,country_iso3,,,1,1,1,0,0,1,1,1,6,"iapp, microsoft, oxford, stanford, oecd, anthropic",True,True,included by documented human-in-loop decision; comparable special case
YEM,Yemen,country_iso3,"Middle East, North Africa, Afghanistan & Pakistan",Low income,0,0,1,1,1,1,1,1,6,"oxford, wb, wipo, stanford, oecd, anthropic",True,True,
AND,Andorra,country_iso3,Europe & Central Asia,High income,0,0,1,1,0,1,1,1,5,"oxford, wb, stanford, oecd, anthropic",True,True,
ATG,Antigua and Barbuda,country_iso3,Latin America & Caribbean ,High income,0,0,1,1,0,1,1,1,5,"oxford, wb, stanford, oecd, anthropic",True,True,
BHS,Bahamas,country_iso3,Latin America & Caribbean ,High income,0,0,1,1,0,1,1,1,5,"oxford, wb, stanford, oecd, anthropic",True,True,
BLZ,Belize,country_iso3,Latin America & Caribbean ,Upper middle income,0,0,1,1,0,1,1,1,5,"oxford, wb, stanford, oecd, anthropic",True,True,
BTN,BTN,country_iso3,South Asia,Lower middle income,0,0,1,1,0,1,1,1,5,"oxford, wb, stanford, oecd, anthropic",True,True,
COM,Comoros,country_iso3,Sub-Saharan Africa ,Lower middle income,0,0,1,1,0,1,1,1,5,"oxford, wb, stanford, oecd, anthropic",True,True,
DJI,DJI,country_iso3,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0,0,1,1,0,1,1,1,5,"oxford, wb, stanford, oecd, anthropic",True,True,
DMA,Dominica,country_iso3,Latin America & Caribbean ,Upper middle income,0,0,1,1,0,1,1,1,5,"oxford, wb, stanford, oecd, anthropic",True,True,
FJI,FJI,country_iso3,East Asia & Pacific,Upper middle income,0,0,1,1,0,1,1,1,5,"oxford, wb, stanford, oecd, anthropic",True,True,
GNB,GNB,country_iso3,Sub-Saharan Africa ,Low income,0,1,1,1,0,0,1,1,5,"microsoft, oxford, wb, oecd, anthropic",True,True,
GNQ,GNQ,country_iso3,Sub-Saharan Africa ,Upper middle income,0,0,1,1,0,1,1,1,5,"oxford, wb, stanford, oecd, anthropic",True,True,
GRD,GRD,country_iso3,Latin America & Caribbean ,Upper middle income,0,0,1,1,0,1,1,1,5,"oxford, wb, stanford, oecd, anthropic",True,True,
KIR,Kiribati,country_iso3,East Asia & Pacific,Lower middle income,0,0,1,1,0,1,1,1,5,"oxford, wb, stanford, oecd, anthropic",True,True,
KNA,Saint Kitts and Nevis,country_iso3,Latin America & Caribbean ,High income,0,0,1,1,0,1,1,1,5,"oxford, wb, stanford, oecd, anthropic",True,True,
LCA,LCA,country_iso3,Latin America & Caribbean ,Upper middle income,0,0,1,1,0,1,1,1,5,"oxford, wb, stanford, oecd, anthropic",True,True,
LIE,Liechtenstein,country_iso3,Europe & Central Asia,High income,0,0,1,1,0,1,1,1,5,"oxford, wb, stanford, oecd, anthropic",True,True,
MCO,MCO,country_iso3,Europe & Central Asia,High income,0,0,1,1,0,1,1,1,5,"oxford, wb, stanford, oecd, anthropic",True,True,
MDV,MDV,country_iso3,South Asia,Upper middle income,0,0,1,1,0,1,1,1,5,"oxford, wb, stanford, oecd, anthropic",True,True,
PSE,West Bank and Gaza,country_iso3,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0,0,1,1,0,1,1,1,5,"oxford, wb, stanford, oecd, anthropic",True,True,
SLB,Solomon Islands,country_iso3,East Asia & Pacific,Lower middle income,0,0,1,1,0,1,1,1,5,"oxford, wb, stanford, oecd, anthropic",True,True,
SMR,San Marino,country_iso3,Europe & Central Asia,High income,0,0,1,1,0,1,1,1,5,"oxford, wb, stanford, oecd, anthropic",True,True,
STP,São Tomé and Príncipe,country_iso3,Sub-Saharan Africa ,Lower middle income,0,0,1,1,0,1,1,1,5,"oxford, wb, stanford, oecd, anthropic",True,True,
SWZ,Swaziland,country_iso3,Sub-Saharan Africa ,Lower middle income,0,0,1,1,0,1,1,1,5,"oxford, wb, stanford, oecd, anthropic",True,True,
TLS,TLS,country_iso3,East Asia & Pacific,Lower middle income,0,0,1,1,0,1,1,1,5,"oxford, wb, stanford, oecd, anthropic",True,True,
TON,TON,country_iso3,East Asia & Pacific,Upper middle income,0,0,1,1,0,1,1,1,5,"oxford, wb, stanford, oecd, anthropic",True,True,
TUV,Tuvalu,country_iso3,East Asia & Pacific,Upper middle income,0,0,1,1,0,1,1,1,5,"oxford, wb, stanford, oecd, anthropic",True,True,
VCT,VCT,country_iso3,Latin America & Caribbean ,Upper middle income,0,0,1,1,0,1,1,1,5,"oxford, wb, stanford, oecd, anthropic",True,True,
VUT,Vanuatu,country_iso3,East Asia & Pacific,Lower middle income,0,0,1,1,0,1,1,1,5,"oxford, wb, stanford, oecd, anthropic",True,True,
WSM,WSM,country_iso3,East Asia & Pacific,Upper middle income,0,0,1,1,0,1,1,1,5,"oxford, wb, stanford, oecd, anthropic",True,True,
FSM,"Micronesia, Fed. Sts.",country_iso3,East Asia & Pacific,Lower middle income,0,0,1,1,0,1,0,1,4,"oxford, wb, stanford, anthropic",True,False,
MHL,Marshall Islands (the),country_iso3,East Asia & Pacific,Upper middle income,0,0,1,1,0,1,0,1,4,"oxford, wb, stanford, anthropic",True,False,
NRU,NRU,country_iso3,East Asia & Pacific,High income,0,0,1,1,0,1,0,1,4,"oxford, wb, stanford, anthropic",True,False,
PLW,Palau,country_iso3,East Asia & Pacific,High income,0,0,1,1,0,1,0,1,4,"oxford, wb, stanford, anthropic",True,False,
PRK,PRK,country_iso3,East Asia & Pacific,Low income,0,0,1,1,0,1,0,1,4,"oxford, wb, stanford, anthropic",True,False,
PRI,Puerto Rico (US),country_iso3,Latin America & Caribbean ,High income,0,0,0,1,0,1,0,1,3,"wb, stanford, anthropic",True,False,included by documented human-in-loop decision; comparable special case
XKX,XKX,country_iso3,Europe & Central Asia,Upper middle income,0,0,0,1,0,1,0,1,3,"wb, stanford, anthropic",True,False,included by documented human-in-loop decision; comparable special case
VAT,Vatican,country_iso3,,,0,0,0,0,0,0,1,1,2,"oecd, anthropic",True,False,
CUW,Curacao,territory_iso3,Latin America & Caribbean ,High income,0,0,0,1,0,1,1,1,4,"wb, stanford, oecd, anthropic",False,False,territory excluded from principal country matrix
MAC,MAC,territory_iso3,East Asia & Pacific,High income,0,0,0,1,0,1,1,1,4,"wb, stanford, oecd, anthropic",False,False,territory excluded from principal country matrix
ABW,ABW,territory_iso3,Latin America & Caribbean ,High income,0,0,0,1,0,1,0,1,3,"wb, stanford, anthropic",False,False,territory excluded from principal country matrix
ASM,American Samoa,territory_iso3,East Asia & Pacific,High income,0,0,0,1,0,1,0,1,3,"wb, stanford, anthropic",False,False,territory excluded from principal country matrix
BMU,Bermuda,territory_iso3,North America,High income,0,0,0,1,0,1,0,1,3,"wb, stanford, anthropic",False,False,territory excluded from principal country matrix
CYM,Cayman Islands,territory_iso3,Latin America & Caribbean ,High income,0,0,0,1,0,1,0,1,3,"wb, stanford, anthropic",False,False,territory excluded from principal country matrix
FRO,FRO,territory_iso3,Europe & Central Asia,High income,0,0,0,1,0,1,0,1,3,"wb, stanford, anthropic",False,False,territory excluded from principal country matrix
GIB,Gibraltar,territory_iso3,Europe & Central Asia,High income,0,0,0,1,0,1,0,1,3,"wb, stanford, anthropic",False,False,territory excluded from principal country matrix
GRL,Greenland,territory_iso3,Europe & Central Asia,High income,0,0,0,1,0,1,0,1,3,"wb, stanford, anthropic",False,False,territory excluded from principal country matrix
GUF,French Guiana,territory_iso3,,,0,1,0,0,0,1,0,1,3,"microsoft, stanford, anthropic",False,False,territory excluded from principal country matrix
GUM,Guam,territory_iso3,East Asia & Pacific,High income,0,0,0,1,0,1,0,1,3,"wb, stanford, anthropic",False,False,territory excluded from principal country matrix
MNP,Northern Mariana Islands,territory_iso3,East Asia & Pacific,High income,0,0,0,1,0,1,0,1,3,"wb, stanford, anthropic",False,False,territory excluded from principal country matrix
NCL,New Caledonia,territory_iso3,East Asia & Pacific,High income,0,0,0,1,0,1,0,1,3,"wb, stanford, anthropic",False,False,territory excluded from principal country matrix
PYF,PYF,territory_iso3,East Asia & Pacific,High income,0,0,0,1,0,1,0,1,3,"wb, stanford, anthropic",False,False,territory excluded from principal country matrix
SXM,SXM,territory_iso3,Latin America & Caribbean ,High income,0,0,0,1,0,1,0,1,3,"wb, stanford, anthropic",False,False,territory excluded from principal country matrix
TCA,TCA,territory_iso3,Latin America & Caribbean ,High income,0,0,0,1,0,1,0,1,3,"wb, stanford, anthropic",False,False,territory excluded from principal country matrix
VGB,VGB,territory_iso3,Latin America & Caribbean ,High income,0,0,0,1,0,1,0,1,3,"wb, stanford, anthropic",False,False,territory excluded from principal country matrix
VIR,U.S. Virgin Islands,territory_iso3,Latin America & Caribbean ,High income,0,0,0,1,0,1,0,1,3,"wb, stanford, anthropic",False,False,territory excluded from principal country matrix
BLM,Saint Barthelemy,territory_iso3,,,0,0,0,0,0,1,0,1,2,"stanford, anthropic",False,False,territory excluded from principal country matrix
CHI,Channel Islands,unknown_requires_review,Europe & Central Asia,High income,0,0,0,1,0,0,0,1,2,"wb, anthropic",False,False,unknown_requires_review excluded until explicit human approval
IMN,Isle of Man,territory_iso3,Europe & Central Asia,High income,0,0,0,1,0,0,0,1,2,"wb, anthropic",False,False,territory excluded from principal country matrix
JEY,JEY,territory_iso3,,,0,0,0,0,0,1,0,1,2,"stanford, anthropic",False,False,territory excluded from principal country matrix
MAF,Saint Martin,territory_iso3,Latin America & Caribbean ,High income,0,0,0,1,0,0,0,1,2,"wb, anthropic",False,False,territory excluded from principal country matrix
AFE,AFE,region,,,0,0,0,0,0,0,0,1,1,anthropic,False,False,regional aggregate excluded from country matrix
AFW,AFW,region,,,0,0,0,0,0,0,0,1,1,anthropic,False,False,regional aggregate excluded from country matrix
AIA,Anguilla,territory_iso3,,,0,0,0,0,0,0,0,1,1,anthropic,False,False,territory excluded from principal country matrix
ALA,Aland Islands,territory_iso3,,,0,0,0,0,0,0,0,1,1,anthropic,False,False,territory excluded from principal country matrix
ANT,Netherlands Antilles,obsolete_or_non_comparable,,,0,0,0,0,0,0,0,1,1,anthropic,False,False,obsolete_or_non_comparable excluded until explicit human approval
ATA,Antarctica,unknown_requires_review,,,0,0,0,0,0,0,0,1,1,anthropic,False,False,unknown_requires_review excluded until explicit human approval
ATF,French Southern Territories,unknown_requires_review,,,0,0,0,0,0,0,0,1,1,anthropic,False,False,unknown_requires_review excluded until explicit human approval
BES,"Bonaire, Saint Eustatius and Saba ",territory_iso3,,,0,0,0,0,0,0,0,1,1,anthropic,False,False,territory excluded from principal country matrix
BVT,Bouvet Island,territory_iso3,,,0,0,0,0,0,0,0,1,1,anthropic,False,False,territory excluded from principal country matrix
CCK,Cocos Islands,territory_iso3,,,0,0,0,0,0,0,0,1,1,anthropic,False,False,territory excluded from principal country matrix
COK,Cook Islands,territory_iso3,,,0,0,0,0,0,0,0,1,1,anthropic,False,False,territory excluded from principal country matrix
CXR,Christmas Island,territory_iso3,,,0,0,0,0,0,0,0,1,1,anthropic,False,False,territory excluded from principal country matrix
EAR,EAR,region,,,0,0,0,0,0,0,0,1,1,anthropic,False,False,regional aggregate excluded from country matrix
ESH,Western Sahara,obsolete_or_non_comparable,,,0,0,0,0,0,0,0,1,1,anthropic,False,False,obsolete_or_non_comparable excluded until explicit human approval
FLK,Falkland Islands,territory_iso3,,,0,0,0,0,0,0,0,1,1,anthropic,False,False,territory excluded from principal country matrix
GGY,Guernsey,territory_iso3,,,0,0,0,0,0,0,0,1,1,anthropic,False,False,territory excluded from principal country matrix
GLP,Guadeloupe,territory_iso3,,,0,0,0,0,0,0,0,1,1,anthropic,False,False,territory excluded from principal country matrix
HMD,Heard Island and McDonald Islands,territory_iso3,,,0,0,0,0,0,0,0,1,1,anthropic,False,False,territory excluded from principal country matrix
IDB,IDB,region,,,0,0,0,0,0,0,0,1,1,anthropic,False,False,regional aggregate excluded from country matrix
IOT,British Indian Ocean Territory,territory_iso3,,,0,0,0,0,0,0,0,1,1,anthropic,False,False,territory excluded from principal country matrix
LDC,LDC,region,,,0,0,0,0,0,0,0,1,1,anthropic,False,False,regional aggregate excluded from country matrix
MSR,Montserrat,territory_iso3,,,0,0,0,0,0,0,0,1,1,anthropic,False,False,territory excluded from principal country matrix
MTQ,Martinique,territory_iso3,,,0,0,0,0,0,0,0,1,1,anthropic,False,False,territory excluded from principal country matrix
MYT,Mayotte,territory_iso3,,,0,0,0,0,0,0,0,1,1,anthropic,False,False,territory excluded from principal country matrix
NFK,Norfolk Island,territory_iso3,,,0,0,0,0,0,0,0,1,1,anthropic,False,False,territory excluded from principal country matrix
NIU,Niue,territory_iso3,,,0,0,0,0,0,0,0,1,1,anthropic,False,False,territory excluded from principal country matrix
PCN,Pitcairn,territory_iso3,,,0,0,0,0,0,0,0,1,1,anthropic,False,False,territory excluded from principal country matrix
REU,Reunion,territory_iso3,,,0,0,0,0,0,0,0,1,1,anthropic,False,False,territory excluded from principal country matrix
SCG,Serbia and Montenegro,obsolete_or_non_comparable,,,0,0,0,0,0,0,0,1,1,anthropic,False,False,obsolete_or_non_comparable excluded until explicit human approval
SGS,South Georgia and the South Sandwich Islands,territory_iso3,,,0,0,0,0,0,0,0,1,1,anthropic,False,False,territory excluded from principal country matrix
SHN,Saint Helena,territory_iso3,,,0,0,0,0,0,0,0,1,1,anthropic,False,False,territory excluded from principal country matrix
SJM,Svalbard and Jan Mayen,territory_iso3,,,0,0,0,0,0,0,0,1,1,anthropic,False,False,territory excluded from principal country matrix
SPM,Saint Pierre and Miquelon,territory_iso3,,,0,0,0,0,0,0,0,1,1,anthropic,False,False,territory excluded from principal country matrix
TKL,Tokelau,territory_iso3,,,0,0,0,0,0,0,0,1,1,anthropic,False,False,territory excluded from principal country matrix
UMI,United States Minor Outlying Islands,territory_iso3,,,0,0,0,0,0,0,0,1,1,anthropic,False,False,territory excluded from principal country matrix
WLF,Wallis and Futuna,territory_iso3,,,0,0,0,0,0,0,0,1,1,anthropic,False,False,territory excluded from principal country matrix
XKV,nan,unknown_requires_review,,,0,0,0,0,0,0,1,0,1,oecd,False,False,unknown_requires_review excluded until explicit human approval
