iso3,country_name_canonical,entity_type,region,income_group,present_iapp,present_microsoft,present_oxford,present_wb,present_wipo,present_stanford,present_oecd,present_anthropic,n_sources_present,source_list,included_in_matrix,included_in_dense_candidate,inclusion_notes
GTM,GTM,country_iso3,Latin America & Caribbean ,Upper middle income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
HND,Honduras,country_iso3,Latin America & Caribbean ,Lower middle income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
HRV,Croatia,country_iso3,Europe & Central Asia,High income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
HUN,HUN,country_iso3,Europe & Central Asia,High income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
IRL,Ireland,country_iso3,Europe & Central Asia,High income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
IRN,IRN,country_iso3,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
IRQ,Iraq,country_iso3,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
ITA,Italy,country_iso3,Europe & Central Asia,High income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
JAM,JAM,country_iso3,Latin America & Caribbean ,Upper middle income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
JOR,JOR,country_iso3,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
KAZ,KAZ,country_iso3,Europe & Central Asia,Upper middle income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
KGZ,Kyrgyzstan,country_iso3,Europe & Central Asia,Lower middle income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
KHM,KHM,country_iso3,East Asia & Pacific,Lower middle income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
KWT,Kuwait,country_iso3,"Middle East, North Africa, Afghanistan & Pakistan",High income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
LAO,Laos,country_iso3,East Asia & Pacific,Lower middle income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
LBN,Lebanon,country_iso3,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
LKA,Sri Lanka,country_iso3,South Asia,Lower middle income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
LSO,Lesotho,country_iso3,Sub-Saharan Africa ,Lower middle income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
LTU,Lithuania,country_iso3,Europe & Central Asia,High income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
MAR,Morocco,country_iso3,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
MDA,Moldova,country_iso3,Europe & Central Asia,Upper middle income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
MDG,Madagascar,country_iso3,Sub-Saharan Africa ,Low income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
MEX,MEX,country_iso3,Latin America & Caribbean ,Upper middle income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
MLI,Mali,country_iso3,Sub-Saharan Africa ,Low income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
MMR,Myanmar,country_iso3,East Asia & Pacific,Lower middle income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
MNG,MNG,country_iso3,East Asia & Pacific,Upper middle income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
MOZ,MOZ,country_iso3,Sub-Saharan Africa ,Low income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
MRT,Mauritania,country_iso3,Sub-Saharan Africa ,Lower middle income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
MUS,Mauritius,country_iso3,Sub-Saharan Africa ,Upper middle income,1,0,1,1,1,1,1,1,7,"iapp, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
MWI,Malawi,country_iso3,Sub-Saharan Africa ,Low income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
MYS,Malaysia,country_iso3,East Asia & Pacific,Upper middle income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
NAM,Namibia,country_iso3,Sub-Saharan Africa ,Lower middle income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
NER,NER,country_iso3,Sub-Saharan Africa ,Low income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
NIC,NIC,country_iso3,Latin America & Caribbean ,Lower middle income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
NLD,The Netherlands,country_iso3,Europe & Central Asia,High income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
NOR,NOR,country_iso3,Europe & Central Asia,High income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
NPL,NPL,country_iso3,South Asia,Lower middle income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
OMN,OMN,country_iso3,"Middle East, North Africa, Afghanistan & Pakistan",High income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
PAK,PAK,country_iso3,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
PAN,Panama,country_iso3,Latin America & Caribbean ,High income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
PHL,PHL,country_iso3,East Asia & Pacific,Lower middle income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
POL,POL,country_iso3,Europe & Central Asia,High income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
PRT,PRT,country_iso3,Europe & Central Asia,High income,0,1,1,1,1,1,1,1,7,"microsoft, oxford, wb, wipo, stanford, oecd, anthropic",True,True,
