source_file,sha256,size_bytes,size_mb,extension,n_rows,processed_at
release_2025_03_27/automation_augmentation_by_occupation.png,5c3aeba2d117968c0276be83cdc864db9b677f79a34f37b097545e256dc2e822,672136,0.64,.png,,2026-05-04T13:21:30.934933
release_2025_03_27/automation_augmentation_comparison.png,3410655893206268a5e0492a6c2b8a7850f24088301c0ed3a23aaf0f0d1e4576,149993,0.14,.png,,2026-05-04T13:21:30.935303
release_2025_03_27/automation_vs_augmentation_by_task.csv,f6570714a9af31ae783fd91bd7ee3b2e9cfabcbf522a30ba1aa9b1f230665e79,561368,0.54,.csv,3365.0,2026-05-04T13:21:30.936577
release_2025_03_27/automation_vs_augmentation_v1.csv,d1e264882b17618db4f4a00b6f87f48134222bc5c15eefb3d46aae9519e89d11,197,0.0,.csv,7.0,2026-05-04T13:21:30.936846
release_2025_03_27/automation_vs_augmentation_v2.csv,0d7d8b1666f3d942d728f9b2177681ca6756edfe01fb8fc130e29264d41a391e,198,0.0,.csv,7.0,2026-05-04T13:21:30.937047
release_2025_03_27/cluster_level_data/README.md,adec743d27e29e33c678b74336decb874f0471f06a59aff0b77e7107df1b223d,2917,0.0,.md,,2026-05-04T13:21:30.937190
release_2025_03_27/cluster_level_data/cluster_level_dataset.tsv,401e3f09d8bb209048502175f593a359b394c9db0a7131d052bedb2211ae2031,947989,0.9,.tsv,631.0,2026-05-04T13:21:30.938819
release_2025_03_27/cluster_level_data/cluster_level_example_analysis.ipynb,1b45406ad2076381fb25d15668a5ff31a5ccaa9f5f8ba3390e9a990571f292bc,280733,0.27,.ipynb,,2026-05-04T13:21:30.939381
release_2025_03_27/normalized_automation_by_category.png,7090a9d2db3a728fa4cfbe2685bf3b0f4804b4d155980d53b019cea605ec1466,854296,0.81,.png,,2026-05-04T13:21:30.940432
release_2025_03_27/onet_task_statements.csv,82e4c418dc08475ef1263ad1e8c66ffa3357291370cd35ee1065ecea590597ec,3592256,3.43,.csv,19531.0,2026-05-04T13:21:30.948117
release_2025_03_27/task_pct_v1.csv,8de89c99f762146c9e46b2202c3501e2a14f11c5b44c61c8007021127b6c676e,461306,0.44,.csv,3515.0,2026-05-04T13:21:30.949441
release_2025_03_27/task_pct_v2.csv,0c20f184cd4a1e3d8ef3d77f500b32b62431ce61a3c2f133c3af7fa8429f97db,435372,0.42,.csv,3366.0,2026-05-04T13:21:30.950622
release_2025_03_27/task_thinking_fractions.csv,35a78bc803b610e4dcc654391e87e33e124021115fce2ffa4b6488230e2be357,372332,0.36,.csv,3366.0,2026-05-04T13:21:30.951731
release_2025_03_27/v2_report_replication.ipynb,35017a56de27a9d7de63160930a2d94719ced2feca2fc453c0eb0aa5faa29c74,1897331,1.81,.ipynb,,2026-05-04T13:21:30.953703
release_2025_09_15/README.md,cfb576732eb4768d9ee071d13b71c578db9ee47708d85a78181ac6cba47b97ff,2640,0.0,.md,,2026-05-04T13:21:30.953986
release_2025_09_15/code/aei_analysis_functions_1p_api.py,62d4217444b40f9c5a7c26460638fabdf0c8b31d08a198679a9c3fe83c9a7ebe,76365,0.07,.py,,2026-05-04T13:21:30.954342
release_2025_09_15/code/aei_analysis_functions_claude_ai.py,e3899e54efda712dcf81ad6db7c799a4f0389253cd5c4c09efdb196ef718901b,92526,0.09,.py,,2026-05-04T13:21:30.954662
release_2025_09_15/code/aei_report_v3_analysis_1p_api.ipynb,6d4014d2375738eb5f6e81b392ce6c94e68234304edc5282a5682595d8872c38,8079,0.01,.ipynb,,2026-05-04T13:21:30.954811
release_2025_09_15/code/aei_report_v3_analysis_claude_ai.ipynb,f31844cdf3829a57e5fdd229c27082c4a9de30b43ebaab756f6f6b572fe54ff3,22150,0.02,.ipynb,,2026-05-04T13:21:30.954977
release_2025_09_15/code/aei_report_v3_change_over_time_claude_ai.py,eeb070d08c014366d6748bc5c04b8dfd5232b8d0be1cfe57da2016cfb1e03837,18565,0.02,.py,,2026-05-04T13:21:30.955154
release_2025_09_15/code/aei_report_v3_preprocessing_claude_ai.ipynb,ae091150222670abefc49d9b59f1794457002a1115a090dfe35f4a706a11fb88,85914,0.08,.ipynb,,2026-05-04T13:21:30.955454
release_2025_09_15/code/preprocess_gdp.py,91cb518f86599fd9ab57879ee8733b2e9caaf46e8c0ba6edcf67215583ace96b,11748,0.01,.py,,2026-05-04T13:21:30.955603
release_2025_09_15/code/preprocess_iso_codes.py,6536db33ceb9c7764e4f0f459e6529ee14bbfa33d3fd9b7e671bae1359fea33f,3226,0.0,.py,,2026-05-04T13:21:30.955711
release_2025_09_15/code/preprocess_onet.py,9d6877ef9e419432948c0dcdded593d54559eee447abd2b819eff6ab0497027d,5279,0.01,.py,,2026-05-04T13:21:30.955826
release_2025_09_15/code/preprocess_population.py,fcb0f7eaad56c12963dc5c471cb837040cdd4d4dac796bd0e048d0824d6aa13d,13542,0.01,.py,,2026-05-04T13:21:30.955951
release_2025_09_15/data/input/BTOS_National.xlsx,c55e2fc6892941a1a536e87445de0bee8ea327526081389b93b85c54a8d69761,63052,0.06,.xlsx,,2026-05-04T13:21:30.956234
release_2025_09_15/data/input/Population%20by%20single%20age%20_20250903072924.csv,89c1e953dbab481760a966c40bdb121ed4e301b4cd0cbaea8a44990caa91ce8e,2176,0.0,.csv,66.0,2026-05-04T13:21:30.956411
release_2025_09_15/data/input/automation_vs_augmentation_v1.csv,d1e264882b17618db4f4a00b6f87f48134222bc5c15eefb3d46aae9519e89d11,197,0.0,.csv,7.0,2026-05-04T13:21:30.956581
release_2025_09_15/data/input/automation_vs_augmentation_v2.csv,0d7d8b1666f3d942d728f9b2177681ca6756edfe01fb8fc130e29264d41a391e,198,0.0,.csv,7.0,2026-05-04T13:21:30.957279
release_2025_09_15/data/input/bea_us_state_gdp_2024.csv,913bc0d017570e711c71bc838016b3b52cbf49e717d0cabc4cc2d70306acfa5a,1663,0.0,.csv,59.0,2026-05-04T13:21:30.957396
release_2025_09_15/data/input/census_state_codes.txt,bea4e03f71a1fa0045ae732aabad11fa541e5932b071c2369bb0d325e8cba5a0,1485,0.0,.txt,,2026-05-04T13:21:30.957470
release_2025_09_15/data/input/geonames_countryInfo.txt,0be4994498c57cd6ef79a5c7a480a4a98f5b1579aa4b5d30ef33be9699c1fc26,31667,0.03,.txt,,2026-05-04T13:21:30.957658
release_2025_09_15/data/input/imf_gdp_raw_2024.json,d8583c093381da17225f57ee69ab39285f4c9557d53fa1ce5a8ce1160950c509,265358,0.25,.json,,2026-05-04T13:21:30.958202
release_2025_09_15/data/input/onet_task_statements_raw.xlsx,373cdc961891d04bcd29db66c43c7cf412d61fe3ef1f49e634dd979f4d5a3a95,1204658,1.15,.xlsx,,2026-05-04T13:21:30.959587
release_2025_09_15/data/input/sc-est2024-agesex-civ.csv,334210a5080a6e470db22e42346ba7e6d0d43490887e08c5ed3ece62a7adfa9c,818707,0.78,.csv,13573.0,2026-05-04T13:21:30.961574
release_2025_09_15/data/input/soc_structure_raw.csv,05eb5e689fb471b7a66962b57bba6666dee2c3e6a6854f0f84faf423af68dd17,77176,0.07,.csv,1597.0,2026-05-04T13:21:30.962076
release_2025_09_15/data/input/task_pct_v1.csv,8de89c99f762146c9e46b2202c3501e2a14f11c5b44c61c8007021127b6c676e,461306,0.44,.csv,3515.0,2026-05-04T13:21:30.963193
release_2025_09_15/data/input/task_pct_v2.csv,0c20f184cd4a1e3d8ef3d77f500b32b62431ce61a3c2f133c3af7fa8429f97db,435372,0.42,.csv,3366.0,2026-05-04T13:21:30.964337
release_2025_09_15/data/input/working_age_pop_2024_country_raw.csv,7c86dcb133a3f9f54f5f22e74683f5d6c5cc97faa9ddc2cdd466a4422cd4124c,22974,0.02,.csv,267.0,2026-05-04T13:21:30.964583
release_2025_09_15/data/intermediate/aei_raw_1p_api_2025-08-04_to_2025-08-11.csv,c0fc061ea7d4feb71a7bd88c528d54e2d3a11e2045574f1e1fb2d594eebffd0f,7027019,6.7,.csv,33795.0,2026-05-04T13:21:30.974357
release_2025_09_15/data/intermediate/aei_raw_claude_ai_2025-08-04_to_2025-08-11.csv,c8ef9c5eee0c42febc73e358ecc7d2358e0a0ce3b50122c0c15ae8ec569aceff,18894517,18.02,.csv,100063.0,2026-05-04T13:21:30.998107
release_2025_09_15/data/intermediate/gdp_2024_country.csv,e0618d6ba634a612b97b1c82f521ab38a387216069818a86f50c9aaf8e2bda6c,4115,0.0,.csv,175.0,2026-05-04T13:21:30.998429
release_2025_09_15/data/intermediate/gdp_2024_us_state.csv,cb1573e8143bd407c2ea7c43f5a6822852568c596dbde843fc5d8692c9e967ec,2179,0.0,.csv,52.0,2026-05-04T13:21:30.998603
release_2025_09_15/data/intermediate/iso_country_codes.csv,eee318d4ab2c2c30f5a7da11f2bc7e0e36c246f6be5bb9b323fdb12b8e4809e0,4564,0.0,.csv,253.0,2026-05-04T13:21:30.998812
release_2025_09_15/data/intermediate/onet_task_statements.csv,88427f8d2a9f37a7c08b5420c6c66a01cdae6467b716bbbd31989128504b8ebb,3650862,3.48,.csv,19531.0,2026-05-04T13:21:31.004133
release_2025_09_15/data/intermediate/soc_structure.csv,97dee70470182ac642872839f71a4a938c03677829aadca9bfbf250cb4021863,78834,0.08,.csv,1597.0,2026-05-04T13:21:31.004655
release_2025_09_15/data/intermediate/working_age_pop_2024_country.csv,3a9e0edc0453702e8efb63d7cab57e5b1a689bc09e070626bbf513e37edd5dd3,6321,0.01,.csv,195.0,2026-05-04T13:21:31.004878
release_2025_09_15/data/intermediate/working_age_pop_2024_us_state.csv,e2d0fb7239934f4f6d0ae3444ab12ad8ff1dd323b71ccfc4295d074b537f17ec,1079,0.0,.csv,52.0,2026-05-04T13:21:31.005058
release_2025_09_15/data/output/aei_enriched_claude_ai_2025-08-04_to_2025-08-11.csv,48a2c39f8a98ce7c2ba72767cbe3760fd55ba4a64a193abfecefc76d19852c09,26840881,25.6,.csv,136846.0,2026-05-04T13:21:31.037570
release_2025_09_15/data/output/request_hierarchy_tree_1p_api.json,83ad607dace603931ef663768edc63738fe3547b41e5ab47739b49e3b1cdbad7,302699,0.29,.json,,2026-05-04T13:21:31.038323
release_2025_09_15/data/output/request_hierarchy_tree_claude_ai.json,79f9f7939ba8c2dda1a5e52967dd9c6def3238e9fe024772330a411c849de7e0,438531,0.42,.json,,2026-05-04T13:21:31.039276
release_2025_09_15/data_documentation.md,d7e23aa0888628fdeb27f49a14e151c41ea99d47bd5dd65e84383b203c23464a,20133,0.02,.md,,2026-05-04T13:21:31.039476
release_2026_01_15/aei_v4_appendix.pdf,2c23a233ea334600881c614c7dd76db05a45f46d4ecff61a050680736ba9a9ed,6036245,5.76,.pdf,,2026-05-04T13:21:31.043795
release_2026_01_15/data/intermediate/aei_raw_1p_api_2025-11-13_to_2025-11-20.csv,432f8d14348ba384dd9c659fa7fdc85754cbae3b5a480c14a344ac4823d0e861,41518256,39.59,.csv,187773.0,2026-05-04T13:21:31.094868
release_2026_01_15/data/intermediate/aei_raw_claude_ai_2025-11-13_to_2025-11-20.csv,70dc16780061b84d3f34ddf7fe5c978d65c99a5ef58afd78f9315f886a6a5873,94086309,89.73,.csv,458779.0,2026-05-04T13:21:31.214239
release_2026_01_15/data_documentation.md,50f117f8f995606004680749fc43012d2bd83c5fc9dab6044a935f601643ef6f,18721,0.02,.md,,2026-05-04T13:21:31.214567
release_2026_03_24/data/aei_raw_1p_api_2026-02-05_to_2026-02-12.csv,b3bcd68e7f6d820ffbb50a3c53d71ec2a122556fc2a38226cd86951a054bd4c8,43957174,41.92,.csv,195157.0,2026-05-04T13:21:31.273745
release_2026_03_24/data/aei_raw_claude_ai_2026-02-05_to_2026-02-12.csv,9c53320b8732ac2e88fc2c95fbdefa02222f04333a41d4f4e947861409798cf1,96018130,91.57,.csv,425258.0,2026-05-04T13:21:31.439445
release_2026_03_24/data_documentation.md,177f2168f47bb85055810645c84a045dba772df3055c1aefefa08e2e6b5aa555,18002,0.02,.md,,2026-05-04T13:21:31.439786
