Category,Country,Response
I know which types of products and services use artificial intelligence ,Peru,-0.04
I have a good understanding of what artificial intelligence is ,Peru,-0.03
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years ,Peru,-0.07
I have a good understanding of what artificial intelligence is ,Poland,0
I know which types of products and services use artificial intelligence ,Poland,0.03
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years ,Poland,0.08
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years ,Poland,0.07
I trust artificial intelligence to not discriminate or show bias toward any group of people ,Poland,0.05
I trust that companies that use artificial intelligence will protect my personal data ,Poland,0.06
Products and services using artificial intelligence make me excited ,Poland,0.05
Products and services using artificial intelligence make me nervous ,Poland,0.03
Products and services using artificial intelligence make me nervous ,Singapore,0.02
Products and services using artificial intelligence make me excited ,Singapore,0.03
I trust artificial intelligence to not discriminate or show bias toward any group of people ,Singapore,0.1
I trust that companies that use artificial intelligence will protect my personal data ,Singapore,0.08
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years ,Singapore,0.02
I know which types of products and services use artificial intelligence ,Singapore,0.13
I have a good understanding of what artificial intelligence is ,Singapore,0.07
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years ,Singapore,0.01
I have a good understanding of what artificial intelligence is ,South Africa,0.01
I know which types of products and services use artificial intelligence ,South Africa,-0.06
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years ,South Africa,-0.01
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years ,South Africa,0.01
I trust artificial intelligence to not discriminate or show bias toward any group of people ,South Africa,-0.01
I trust that companies that use artificial intelligence will protect my personal data ,South Africa,-0.03
Products and services using artificial intelligence make me excited ,South Africa,0
Products and services using artificial intelligence make me nervous ,South Africa,-0.07
Products and services using artificial intelligence make me nervous ,South Korea,0
Products and services using artificial intelligence make me excited ,South Korea,-0.04
I trust that companies that use artificial intelligence will protect my personal data ,South Korea,0.02
I trust artificial intelligence to not discriminate or show bias toward any group of people ,South Korea,0.01
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years ,South Korea,0.01
I know which types of products and services use artificial intelligence ,South Korea,-0.02
I have a good understanding of what artificial intelligence is ,South Korea,-0.02
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years ,South Korea,0.04
I have a good understanding of what artificial intelligence is ,Spain,0.01
I know which types of products and services use artificial intelligence ,Spain,-0.02
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years ,Spain,0.06
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years ,Spain,0.01
I trust artificial intelligence to not discriminate or show bias toward any group of people ,Spain,0
I trust that companies that use artificial intelligence will protect my personal data ,Spain,0.02
Products and services using artificial intelligence make me excited ,Spain,0
Products and services using artificial intelligence make me nervous ,Spain,0.03
Products and services using artificial intelligence make me nervous ,Sweden,-0.01
Products and services using artificial intelligence make me excited ,Sweden,-0.02
I trust artificial intelligence to not discriminate or show bias toward any group of people ,Sweden,-0.05
I trust that companies that use artificial intelligence will protect my personal data ,Sweden,-0.06
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years ,Sweden,0.04
I know which types of products and services use artificial intelligence ,Sweden,0.04
I have a good understanding of what artificial intelligence is ,Sweden,0
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years ,Sweden,0.06
I have a good understanding of what artificial intelligence is ,Switzerland,0.01
I know which types of products and services use artificial intelligence ,Switzerland,0.01
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years ,Switzerland,0.05
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years ,Switzerland,0.06
I trust artificial intelligence to not discriminate or show bias toward any group of people ,Switzerland,0.06
I trust that companies that use artificial intelligence will protect my personal data ,Switzerland,-0.02
Products and services using artificial intelligence make me excited ,Switzerland,0.02
Products and services using artificial intelligence make me nervous ,Switzerland,-0.01
Products and services using artificial intelligence make me nervous ,Thailand,0.06
Products and services using artificial intelligence make me excited ,Thailand,0.03
I trust artificial intelligence to not discriminate or show bias toward any group of people ,Thailand,0.05
I trust that companies that use artificial intelligence will protect my personal data ,Thailand,0.02
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years ,Thailand,0.04
I know which types of products and services use artificial intelligence ,Thailand,0.07
I have a good understanding of what artificial intelligence is ,Thailand,0.04
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years ,Thailand,0.04
Products and services using artificial intelligence make me nervous ,Turkey,0.05
Products and services using artificial intelligence make me excited ,Turkey,-0.03
I trust artificial intelligence to not discriminate or show bias toward any group of people ,Turkey,-0.03
I trust that companies that use artificial intelligence will protect my personal data ,Turkey,0
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years ,Turkey,0.01
I know which types of products and services use artificial intelligence ,Turkey,0
I have a good understanding of what artificial intelligence is ,Turkey,-0.01
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years ,Turkey,-0.01
Products and services using artificial intelligence make me excited ,United States,0.04
I have a good understanding of what artificial intelligence is ,United States,-0.02
I know which types of products and services use artificial intelligence ,United States,0.05
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years ,United States,0.02
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years ,United States,-0.01
I trust artificial intelligence to not discriminate or show bias toward any group of people ,United States,-0.04
I trust that companies that use artificial intelligence will protect my personal data ,United States,0
Products and services using artificial intelligence make me nervous ,United States,0
