iso3,country_name_canonical,region,income_group,n_vars_total,n_vars_available,n_vars_missing,pct_vars_available,pct_regulatory_treatment,pct_ecosystem_outcome,pct_adoption_diffusion,pct_socioeconomic_control,pct_institutional_control,pct_tech_infrastructure_control,n_blocks_with_data,included_in_dense_candidate
OMN,Oman,"Middle East, North Africa, Afghanistan & Pakistan",High income,397,325,72,81.86,15.15,95.97,57.14,92.86,64.52,88.02,6,True
MOZ,Mozambique,Sub-Saharan Africa ,Low income,397,324,73,81.61,12.12,94.35,57.14,85.71,87.1,86.23,6,True
KHM,Cambodia,East Asia & Pacific,Lower middle income,397,324,73,81.61,15.15,92.74,57.14,85.71,87.1,86.83,6,True
BLR,Belarus,Europe & Central Asia,Upper middle income,397,324,73,81.61,12.12,97.58,21.43,92.86,67.74,89.22,6,True
HND,Honduras,Latin America & Caribbean ,Lower middle income,397,321,76,80.86,12.12,94.35,57.14,92.86,83.87,83.83,6,True
PRY,Paraguay,Latin America & Caribbean ,Upper middle income,397,320,77,80.6,15.15,93.55,57.14,85.71,83.87,84.43,6,True
MNE,Montenegro,Europe & Central Asia,Upper middle income,397,320,77,80.6,12.12,93.55,35.71,89.29,87.1,85.63,6,True
CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,397,320,77,80.6,15.15,95.97,57.14,82.14,83.87,83.23,6,True
UGA,Uganda,Sub-Saharan Africa ,Low income,397,319,78,80.35,12.12,92.74,57.14,85.71,87.1,84.43,6,True
BFA,Burkina Faso,Sub-Saharan Africa ,Low income,397,319,78,80.35,15.15,92.74,57.14,89.29,83.87,83.83,6,True
IRN,Iran,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,397,319,78,80.35,3.03,96.77,21.43,85.71,64.52,90.42,6,True
TZA,Tanzania,Sub-Saharan Africa ,Lower middle income,397,319,78,80.35,12.12,91.94,57.14,85.71,87.1,85.03,6,True
KGZ,Kyrgyz Republic,Europe & Central Asia,Lower middle income,397,319,78,80.35,12.12,97.58,57.14,89.29,67.74,83.83,6,True
DOM,Dominican Republic (the),Latin America & Caribbean ,Upper middle income,397,319,78,80.35,12.12,95.97,57.14,85.71,83.87,82.63,6,True
ZWE,Zimbabwe,Sub-Saharan Africa ,Lower middle income,397,318,79,80.1,12.12,95.16,57.14,82.14,87.1,82.63,6,True
KWT,Kuwait,"Middle East, North Africa, Afghanistan & Pakistan",High income,397,318,79,80.1,12.12,96.77,57.14,85.71,64.52,85.03,6,True
CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,397,318,79,80.1,12.12,95.97,57.14,82.14,83.87,82.63,6,True
ETH,Ethiopia,Sub-Saharan Africa ,Not classified,397,317,80,79.85,15.15,94.35,21.43,75.0,83.87,86.83,6,True
MLI,Mali,Sub-Saharan Africa ,Low income,397,314,83,79.09,15.15,92.74,21.43,82.14,83.87,85.03,6,True
MDG,Madagascar,Sub-Saharan Africa ,Low income,397,314,83,79.09,0.0,91.13,57.14,89.29,87.1,84.43,5,True
TJK,Tajikistan,Europe & Central Asia,Lower middle income,397,313,84,78.84,12.12,95.16,57.14,85.71,67.74,82.63,6,True
NER,Niger (the),Sub-Saharan Africa ,Low income,397,313,84,78.84,12.12,94.35,57.14,82.14,83.87,80.84,6,True
MMR,Myanmar,East Asia & Pacific,Lower middle income,397,313,84,78.84,12.12,90.32,21.43,78.57,87.1,86.83,6,True
ZMB,Zambia,Sub-Saharan Africa ,Lower middle income,397,311,86,78.34,12.12,93.55,57.14,75.0,87.1,80.84,6,True
NPL,Nepal,South Asia,Lower middle income,397,311,86,78.34,12.12,92.74,57.14,82.14,83.87,80.84,6,True
LBN,Lebanon,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,397,311,86,78.34,12.12,91.94,57.14,82.14,67.74,84.43,6,True
TGO,Togo,Sub-Saharan Africa ,Low income,397,310,87,78.09,12.12,95.16,57.14,89.29,83.87,77.25,6,True
BRN,Brunei,East Asia & Pacific,High income,397,309,88,77.83,0.0,91.13,35.71,92.86,87.1,82.63,5,True
BEN,Benin,Sub-Saharan Africa ,Lower middle income,397,309,88,77.83,12.12,95.16,57.14,82.14,83.87,77.84,6,True
AGO,Angola,Sub-Saharan Africa ,Lower middle income,397,308,89,77.58,0.0,92.74,57.14,85.71,87.1,80.24,5,True
BOL,Bolivia,Latin America & Caribbean ,Lower middle income,397,307,90,77.33,12.12,91.94,57.14,75.0,83.87,80.24,6,True
JAM,Jamaica,Latin America & Caribbean ,Upper middle income,397,305,92,76.83,12.12,94.35,57.14,64.29,64.52,82.63,6,True
LAO,Laos,East Asia & Pacific,Lower middle income,397,304,93,76.57,15.15,93.55,57.14,71.43,87.1,76.65,6,True
TTO,Trinidad and Tobago,Latin America & Caribbean ,High income,397,301,96,75.82,12.12,95.16,35.71,78.57,64.52,79.04,6,True
GIN,Guinea,Sub-Saharan Africa ,Lower middle income,397,300,97,75.57,12.12,92.74,57.14,67.86,83.87,76.65,6,True
MWI,Malawi,Sub-Saharan Africa ,Low income,397,300,97,75.57,12.12,88.71,57.14,85.71,87.1,76.05,6,True
CPV,Cabo Verde,Sub-Saharan Africa ,Upper middle income,397,288,109,72.54,0.0,87.1,35.71,85.71,83.87,74.85,5,True
YEM,"Yemen, Rep.","Middle East, North Africa, Afghanistan & Pakistan",Low income,397,267,130,67.25,0.0,85.48,0.0,46.43,64.52,76.65,4,True
HKG,Hong Kong,East Asia & Pacific,High income,397,265,132,66.75,75.76,37.1,0.0,92.86,64.52,88.62,5,True
BDI,Burundi,Sub-Saharan Africa ,Low income,397,226,171,56.93,12.12,86.29,57.14,67.86,61.29,41.32,6,True
MRT,Mauritania,Sub-Saharan Africa ,Lower middle income,397,218,179,54.91,0.0,85.48,57.14,75.0,58.06,38.92,5,True
NIC,Nicaragua,Latin America & Caribbean ,Lower middle income,397,216,181,54.41,0.0,84.68,21.43,67.86,58.06,42.51,5,True
LSO,Lesotho,Sub-Saharan Africa ,Lower middle income,397,214,183,53.9,12.12,80.65,57.14,78.57,61.29,36.53,6,True
COG,Republic of the Congo,Sub-Saharan Africa ,Lower middle income,397,212,185,53.4,0.0,83.87,57.14,78.57,58.06,35.93,5,True
BRB,Barbados,Latin America & Caribbean ,High income,397,203,194,51.13,12.12,82.26,35.71,57.14,38.71,38.32,6,True
SYC,Seychelles,Sub-Saharan Africa ,High income,397,196,201,49.37,0.0,70.97,35.71,64.29,61.29,39.52,5,True
VEN,Venezuela,Latin America & Caribbean ,Not classified,397,192,205,48.36,0.0,83.06,21.43,46.43,38.71,36.53,5,True
IRQ,Iraq,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,397,191,206,48.11,0.0,75.0,57.14,64.29,38.71,35.93,5,True
GMB,The Gambia,Sub-Saharan Africa ,Low income,397,129,268,32.49,12.12,59.68,57.14,78.57,58.06,1.8,6,True
TCD,Chad,Sub-Saharan Africa ,Low income,397,126,271,31.74,15.15,59.68,57.14,60.71,58.06,2.4,6,True
SLE,Sierra Leone,Sub-Saharan Africa ,Low income,397,126,271,31.74,12.12,59.68,57.14,67.86,58.06,1.8,6,True
GAB,Gabon,Sub-Saharan Africa ,Upper middle income,397,125,272,31.49,12.12,59.68,57.14,60.71,58.06,2.4,6,True
COD,Democratic Republic of the Congo,Sub-Saharan Africa ,Low income,397,123,274,30.98,12.12,59.68,21.43,64.29,61.29,2.99,6,True
LBR,Liberia,Sub-Saharan Africa ,Low income,397,121,276,30.48,12.12,59.68,57.14,50.0,58.06,1.8,6,True
SWZ,Swaziland,Sub-Saharan Africa ,Lower middle income,397,121,276,30.48,0.0,59.68,35.71,67.86,61.29,2.4,5,True
BTN,Bhutan,South Asia,Lower middle income,397,120,277,30.23,12.12,59.68,35.71,75.0,38.71,2.4,6,True
GUY,Guyana,Latin America & Caribbean ,High income,397,119,278,29.97,12.12,59.68,57.14,60.71,38.71,2.4,6,True
CAF,Central African Republic (the),Sub-Saharan Africa ,Low income,397,119,278,29.97,12.12,59.68,21.43,60.71,58.06,1.8,6,True
DJI,Djibouti,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,397,119,278,29.97,0.0,59.68,35.71,64.29,58.06,2.4,5,True
SDN,Sudan (the),Sub-Saharan Africa ,Low income,397,118,279,29.72,0.0,59.68,35.71,60.71,58.06,2.4,5,True
COM,Comoros (the),Sub-Saharan Africa ,Lower middle income,397,118,279,29.72,0.0,59.68,28.57,67.86,58.06,1.8,5,True
BLZ,Belize,Latin America & Caribbean ,Upper middle income,397,118,279,29.72,12.12,59.68,35.71,71.43,38.71,1.8,6,True
HTI,Haiti,Latin America & Caribbean ,Lower middle income,397,117,280,29.47,12.12,58.06,57.14,60.71,38.71,2.4,6,True
SUR,Suriname,Latin America & Caribbean ,Upper middle income,397,115,282,28.97,0.0,59.68,57.14,60.71,38.71,2.4,5,True
SOM,"Somalia, Fed. Rep.",Sub-Saharan Africa ,Low income,397,115,282,28.97,12.12,58.87,21.43,50.0,58.06,1.8,6,True
LCA,Saint Lucia,Latin America & Caribbean ,Upper middle income,397,115,282,28.97,12.12,59.68,28.57,60.71,38.71,2.4,6,True
GNB,Guinea Bissau,Sub-Saharan Africa ,Low income,397,114,283,28.72,0.0,59.68,21.43,57.14,58.06,1.8,5,True
ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,397,114,283,28.72,12.12,59.68,28.57,57.14,38.71,2.4,6,True
TLS,Timor Leste,East Asia & Pacific,Lower middle income,397,113,284,28.46,0.0,59.68,35.71,67.86,38.71,1.8,5,True
PNG,Papua New Guinea,East Asia & Pacific,Lower middle income,397,112,285,28.21,0.0,59.68,57.14,53.57,38.71,1.8,5,True
TKM,Turkmenistan,Europe & Central Asia,Upper middle income,397,112,285,28.21,12.12,58.87,28.57,57.14,38.71,1.8,6,True
LBY,Libya,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,397,112,285,28.21,15.15,51.61,21.43,60.71,61.29,2.4,6,True
SSD,South Sudan,Sub-Saharan Africa ,Low income,397,111,286,27.96,12.12,58.87,21.43,28.57,61.29,2.4,6,True
VUT,Vanuatu,East Asia & Pacific,Lower middle income,397,111,286,27.96,0.0,59.68,0.0,60.71,58.06,1.2,4,True
BHS,The Bahamas,Latin America & Caribbean ,High income,397,111,286,27.96,0.0,58.87,35.71,64.29,38.71,1.8,5,True
FJI,Fiji,East Asia & Pacific,Upper middle income,397,111,286,27.96,0.0,59.68,35.71,60.71,38.71,1.8,5,True
VCT,Saint Vincent and the Grenadines,Latin America & Caribbean ,Upper middle income,397,110,287,27.71,0.0,59.68,28.57,60.71,38.71,1.8,5,True
GNQ,Equatorial Guinea,Sub-Saharan Africa ,Upper middle income,397,110,287,27.71,0.0,58.87,0.0,53.57,58.06,2.4,4,True
STP,Sao Tome and Principe,Sub-Saharan Africa ,Lower middle income,397,110,287,27.71,0.0,58.87,0.0,57.14,58.06,1.8,4,True
WSM,Samoa,East Asia & Pacific,Upper middle income,397,109,288,27.46,0.0,59.68,0.0,71.43,38.71,1.8,4,True
CUB,Cuba,Latin America & Caribbean ,Upper middle income,397,109,288,27.46,0.0,59.68,21.43,53.57,38.71,2.99,5,True
PSE,Palestine,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,397,109,288,27.46,12.12,52.42,35.71,67.86,41.94,1.8,6,True
TWN,Taiwan,,,397,108,289,27.2,72.73,58.87,57.14,3.57,3.23,0.6,6,True
SLB,Solomon Islands,East Asia & Pacific,Lower middle income,397,108,289,27.2,0.0,59.68,0.0,67.86,38.71,1.8,4,True
TON,Tonga,East Asia & Pacific,Upper middle income,397,108,289,27.2,0.0,59.68,0.0,67.86,38.71,1.8,4,True
ERI,Eritrea,Sub-Saharan Africa ,Low income,397,107,290,26.95,12.12,58.87,21.43,21.43,58.06,1.8,6,True
KIR,Kiribati,East Asia & Pacific,Lower middle income,397,106,291,26.7,0.0,59.68,0.0,60.71,38.71,1.8,4,True
SMR,San Marino,Europe & Central Asia,High income,397,105,292,26.45,0.0,58.87,7.14,53.57,38.71,2.4,5,True
GRD,Grenada,Latin America & Caribbean ,Upper middle income,397,105,292,26.45,0.0,59.68,7.14,53.57,38.71,1.8,5,True
DMA,Dominica,Latin America & Caribbean ,Upper middle income,397,103,294,25.94,0.0,59.68,7.14,46.43,38.71,1.8,5,True
MHL,Marshall Islands (the),East Asia & Pacific,Upper middle income,397,102,295,25.69,0.0,58.87,0.0,53.57,38.71,1.2,4,False
MDV,Maldives,South Asia,Upper middle income,397,101,296,25.44,0.0,49.19,35.71,71.43,38.71,1.8,5,True
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,397,101,296,25.44,12.12,49.19,21.43,64.29,38.71,1.8,6,True
MCO,Monaco,Europe & Central Asia,High income,397,101,296,25.44,0.0,58.87,35.71,25.0,38.71,2.4,5,True
LIE,Liechtenstein,Europe & Central Asia,High income,397,101,296,25.44,0.0,58.87,28.57,32.14,38.71,1.8,5,True
KNA,Saint Kitts and Nevis,Latin America & Caribbean ,High income,397,101,296,25.44,0.0,59.68,0.0,42.86,38.71,1.8,4,True
TUV,Tuvalu,East Asia & Pacific,Upper middle income,397,99,298,24.94,0.0,58.87,0.0,42.86,38.71,1.2,4,True
NRU,Nauru,East Asia & Pacific,High income,397,98,299,24.69,0.0,58.06,0.0,42.86,38.71,1.2,4,False
SYR,Syria,"Middle East, North Africa, Afghanistan & Pakistan",Low income,397,97,300,24.43,0.0,51.61,21.43,46.43,38.71,2.99,5,True
AND,Andorra,Europe & Central Asia,High income,397,97,300,24.43,0.0,58.87,35.71,53.57,0.0,2.4,4,True
PRK,North Korea,East Asia & Pacific,Low income,397,73,324,18.39,0.0,42.74,0.0,21.43,38.71,1.2,4,False
PLW,Palau,East Asia & Pacific,High income,397,53,344,13.35,0.0,16.94,0.0,64.29,38.71,1.2,4,False
FSM,Micronesia (Federated States of),East Asia & Pacific,Lower middle income,397,46,351,11.59,0.0,16.94,0.0,39.29,38.71,1.2,4,False
XKX,Kosovo,Europe & Central Asia,Upper middle income,397,35,362,8.82,12.12,0.0,35.71,46.43,38.71,0.6,5,False
PRI,Puerto Rico,Latin America & Caribbean ,High income,397,33,364,8.31,0.0,0.0,35.71,50.0,38.71,1.2,4,False
VAT,Vatican,,,397,3,394,0.76,0.0,0.0,14.29,0.0,0.0,0.6,2,False
