bloque_tematico,variable_matriz,tipo_matriz,source_id,unit,is_primary,n_non_null,pct_complete,n_unique,median,iqr,min,max
ecosystem_outcome,wipo_out_6_3_3_score,numeric,wipo,score_0_100,True,139,69.85,137,5.052594,20.720964,0.0,100.0
ecosystem_outcome,wipo_out_6_3_4_score,numeric,wipo,score_0_100,True,141,70.85,138,12.308173,23.207774,0.0,100.0
ecosystem_outcome,wipo_out_6_3_5_score,numeric,wipo,score_0_100,True,139,69.85,139,10.703475,20.67406,0.0,100.0
ecosystem_outcome,wipo_out_6_3_score,numeric,wipo,score_0_100,True,141,70.85,141,18.120833,22.412868,0.502933,62.757332
ecosystem_outcome,wipo_out_6_score,numeric,wipo,score_0_100,True,141,70.85,141,20.495274,18.563127,5.45628,60.70452
ecosystem_outcome,wipo_out_7_1_1_score,numeric,wipo,score_0_100,True,83,41.71,80,76.098387,19.850913,0.0,100.0
ecosystem_outcome,wipo_out_7_1_2_score,numeric,wipo,score_0_100,True,139,69.85,138,14.323866,16.086962,0.0,100.0
ecosystem_outcome,wipo_out_7_1_3_score,numeric,wipo,score_0_100,True,124,62.31,81,3.665267,27.099377,0.0,100.0
ecosystem_outcome,wipo_out_7_1_4_score,numeric,wipo,score_0_100,True,135,67.84,132,18.803967,30.371768,0.0,100.0
ecosystem_outcome,wipo_out_7_1_score,numeric,wipo,score_0_100,True,141,70.85,141,23.885386,29.828766,0.0,81.208703
ecosystem_outcome,wipo_out_7_2_1_score,numeric,wipo,score_0_100,True,124,62.31,120,9.6602,18.490758,0.0,100.0
ecosystem_outcome,wipo_out_7_2_2_score,numeric,wipo,score_0_100,True,93,46.73,91,12.439509,28.316404,0.0,100.0
ecosystem_outcome,wipo_out_7_2_3_score,numeric,wipo,score_0_100,True,65,32.66,64,11.22774,41.595124,0.0,100.0
ecosystem_outcome,wipo_out_7_2_4_score,numeric,wipo,score_0_100,True,139,69.85,135,5.051169,18.040369,0.0,100.0
ecosystem_outcome,wipo_out_7_2_5_score,numeric,wipo,score_0_100,True,131,65.83,126,4.919,18.048616,0.0,100.0
ecosystem_outcome,wipo_out_7_2_score,numeric,wipo,score_0_100,True,141,70.85,141,9.841134,25.921008,0.040789,63.993785
ecosystem_outcome,wipo_out_7_3_1_score,numeric,wipo,score_0_100,True,141,70.85,137,3.493888,18.971978,0.0,100.0
ecosystem_outcome,wipo_out_7_3_2_score,numeric,wipo,score_0_100,True,141,70.85,140,6.577245,26.023276,0.0,100.0
