variable_matriz,source_id,bloque_tematico,unit,direction,is_primary,n_total,n_non_null,n_missing,pct_complete,pct_missing
oxford_ind_procurement_data,oxford,ecosystem_outcome,score_0_100,higher_better,True,199,187,12,93.97,6.03
oxford_ind_open_data,oxford,ecosystem_outcome,score_0_100,higher_better,True,199,187,12,93.97,6.03
oxford_ind_govt_responsiveness,oxford,ecosystem_outcome,score_0_100,higher_better,True,199,187,12,93.97,6.03
oxford_ind_software_spending,oxford,ecosystem_outcome,score_0_100,higher_better,True,199,184,15,92.46,7.54
oxford_ind_adoption_emerging_tech,oxford,ecosystem_outcome,score_0_100,higher_better,True,199,184,15,92.46,7.54
oxford_ind_govt_promotion_emerging_tech,oxford,ecosystem_outcome,score_0_100,higher_better,True,199,184,15,92.46,7.54
oxford_ind_gender_gap_internet,oxford,ecosystem_outcome,score_0_100,higher_better,True,199,184,15,92.46,7.54
oxford_ind_broadband_quality,oxford,ecosystem_outcome,score_0_100,higher_better,True,199,184,15,92.46,7.54
oxford_ind_company_investment_emerging_tech,oxford,ecosystem_outcome,score_0_100,higher_better,True,199,184,15,92.46,7.54
wb_inflation_consumer_prices,wb,socioeconomic_control,count,lower_better,True,199,181,18,90.95,9.05
wb_labor_force,wb,socioeconomic_control,count,unknown,True,199,181,18,90.95,9.05
oxford_ind_ict_skills,oxford,ecosystem_outcome,score_0_100,higher_better,True,199,181,18,90.95,9.05
wb_unemployment_rate,wb,socioeconomic_control,count,lower_better,True,199,181,18,90.95,9.05
oxford_ind_time_govt_regulations,oxford,ecosystem_outcome,score_0_100,higher_better,True,199,180,19,90.45,9.55
oxford_ind_vc_availability,oxford,ecosystem_outcome,score_0_100,higher_better,True,199,180,19,90.45,9.55
wb_education_expenditure_pct_gdp,wb,socioeconomic_control,pct,higher_better,True,199,179,20,89.95,10.05
oxford_size,oxford,ecosystem_outcome,score_0_100,higher_better,True,199,176,23,88.44,11.56
wb_ict_service_exports_pct,wb,socioeconomic_control,pct,unknown,True,199,173,26,86.93,13.07
anthropic_gdp_total,anthropic,socioeconomic_control,usd,higher_better,False,199,173,26,86.93,13.07
wb_trade_pct_gdp,wb,socioeconomic_control,pct,higher_better,True,199,172,27,86.43,13.57
wb_exports_pct_gdp,wb,socioeconomic_control,pct,higher_better,True,199,172,27,86.43,13.57
wb_high_tech_exports_pct_manufactured,wb,socioeconomic_control,pct,unknown,True,199,170,29,85.43,14.57
wb_gross_capital_formation_pct_gdp,wb,socioeconomic_control,pct,higher_better,True,199,168,31,84.42,15.58
anthropic_usage_pct,anthropic,adoption_diffusion,pct,higher_better,True,199,163,36,81.91,18.09
wb_ict_goods_exports_pct,wb,socioeconomic_control,pct,unknown,True,199,161,38,80.9,19.1
wb_tertiary_education_enrollment,wb,socioeconomic_control,pct,higher_better,True,199,157,42,78.89,21.11
anthropic_ai_education_years_mean,anthropic,adoption_diffusion,count,unknown,True,199,157,42,78.89,21.11
anthropic_ai_autonomy_median,anthropic,adoption_diffusion,count,unknown,True,199,157,42,78.89,21.11
anthropic_ai_autonomy_mean,anthropic,adoption_diffusion,count,unknown,True,199,157,42,78.89,21.11
anthropic_collaboration_pct,anthropic,adoption_diffusion,pct,higher_better,True,199,154,45,77.39,22.61
wb_electric_consumption_kwh_pc,wb,tech_infrastructure_control,count,unknown,True,199,147,52,73.87,26.13
ms_h1_2025_ai_diffusion_pct,microsoft,adoption_diffusion,pct,higher_better,True,199,146,53,73.37,26.63
ms_h2_2025_ai_diffusion_pct,microsoft,adoption_diffusion,pct,higher_better,True,199,146,53,73.37,26.63
ms_change_pp,microsoft,adoption_diffusion,pct,higher_better,True,199,146,53,73.37,26.63
wipo_in_2_3_4_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,141,58,70.85,29.15
wipo_in_2_3_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,141,58,70.85,29.15
wipo_in_2_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,141,58,70.85,29.15
wipo_in_3_1_2_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,141,58,70.85,29.15
wipo_in_2_1_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,141,58,70.85,29.15
wipo_in_1_2_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,141,58,70.85,29.15
wipo_in_1_1_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,141,58,70.85,29.15
wipo_out_7_3_1_score,wipo,ecosystem_outcome,score_0_100,higher_better,True,199,141,58,70.85,29.15
wipo_out_7_3_2_score,wipo,ecosystem_outcome,score_0_100,higher_better,True,199,141,58,70.85,29.15
wipo_out_7_3_score,wipo,ecosystem_outcome,score_0_100,higher_better,True,199,141,58,70.85,29.15
wipo_in_5_3_1_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,141,58,70.85,29.15
wipo_in_4_3_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,141,58,70.85,29.15
wipo_in_4_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,141,58,70.85,29.15
wipo_in_5_1_score,wipo,tech_infrastructure_control,score_0_100,higher_better,True,199,141,58,70.85,29.15
