variable_matriz,bloque_tematico,source_id,unit,pct_complete,n_outliers_iqr_1_5,suggest_log_transform,fe_recommendation
oxford_ind_ict_trade_services_log,ecosystem_outcome,oxford,score_0_100,96.48,0,False,keep_primary
oxford_ind_mobile_subscriptions,ecosystem_outcome,oxford,score_0_100,96.98,1,False,keep_primary
oxford_ind_non_ai_unicorns_log,ecosystem_outcome,oxford,score_0_100,96.98,42,True,transform_log
oxford_ind_online_services,ecosystem_outcome,oxford,score_0_100,96.98,0,False,keep_primary
oxford_ind_open_data,ecosystem_outcome,oxford,score_0_100,93.97,0,False,keep_primary
oxford_ind_procurement_data,ecosystem_outcome,oxford,score_0_100,93.97,0,False,keep_primary
oxford_ind_rd_spending_log,ecosystem_outcome,oxford,score_0_100,95.48,2,False,keep_primary
oxford_ind_regulatory_quality,ecosystem_outcome,oxford,score_0_100,96.98,0,False,keep_primary
oxford_ind_software_spending,ecosystem_outcome,oxford,score_0_100,92.46,4,False,keep_primary
oxford_ind_statistical_capacity,ecosystem_outcome,oxford,score_0_100,96.48,0,False,keep_primary
oxford_ind_stem_graduates,ecosystem_outcome,oxford,score_0_100,96.98,5,False,keep_primary
oxford_ind_supercomputers_log,ecosystem_outcome,oxford,score_0_100,96.98,34,True,transform_log
oxford_ind_telecom_infrastructure,ecosystem_outcome,oxford,score_0_100,96.98,0,False,keep_primary
oxford_ind_time_govt_regulations,ecosystem_outcome,oxford,score_0_100,90.45,3,False,exclude_constant
oxford_ind_vc_availability,ecosystem_outcome,oxford,score_0_100,90.45,11,True,transform_log
oxford_infrastructure,ecosystem_outcome,oxford,score_0_100,96.98,0,False,keep_primary
oxford_innovation_capacity,ecosystem_outcome,oxford,score_0_100,96.98,5,False,keep_primary
oxford_maturity,ecosystem_outcome,oxford,score_0_100,96.98,3,False,keep_primary
oxford_policy_capacity,ecosystem_outcome,oxford,score_0_100,97.99,0,False,keep_primary
oxford_policy_commitment,ecosystem_outcome,oxford,score_0_100,97.99,0,False,keep_primary
oxford_policy_vision,ecosystem_outcome,oxford,score_0_100,97.99,0,False,keep_primary
oxford_public_sector_adoption,ecosystem_outcome,oxford,score_0_100,97.99,0,False,keep_primary
oxford_regulatory_compliance,ecosystem_outcome,oxford,score_0_100,97.99,0,False,keep_primary
oxford_resilience,ecosystem_outcome,oxford,score_0_100,97.99,0,False,keep_primary
oxford_safety_security,ecosystem_outcome,oxford,score_0_100,97.99,0,False,keep_primary
oxford_size,ecosystem_outcome,oxford,score_0_100,88.44,2,False,keep_primary
oxford_societal_transition,ecosystem_outcome,oxford,score_0_100,97.99,3,False,keep_primary
oxford_technology_sector,ecosystem_outcome,oxford,score_0_100,96.98,2,False,keep_primary
oxford_total_score,ecosystem_outcome,oxford,score_0_100,97.99,0,False,keep_primary
oxford_vision,ecosystem_outcome,oxford,score_0_100,96.98,0,False,keep_primary
stanford_fig_3_4_4_fig_3_4_4_number_of_rai_submissions,regulatory_treatment,stanford,count,5.03,2,False,exclude_low_coverage
stanford_fig_3_4_5_fig_3_4_5_number_of_rai_submissions,regulatory_treatment,stanford,count,42.21,16,True,transform_log
stanford_fig_3_5_2_fig_3_5_2_ai_action_summit_inclusive_2025,regulatory_treatment,stanford,count,29.15,0,False,exclude_low_coverage
stanford_fig_3_5_2_fig_3_5_2_bletchley_declaration_2023,regulatory_treatment,stanford,count,29.15,0,False,exclude_low_coverage
stanford_fig_3_5_2_fig_3_5_2_coe_drafters_2022,regulatory_treatment,stanford,count,29.15,0,False,exclude_low_coverage
stanford_fig_3_5_2_fig_3_5_2_g20_ai_principles_2019,regulatory_treatment,stanford,count,29.15,0,False,exclude_low_coverage
stanford_fig_3_5_2_fig_3_5_2_g7_hiroshima_ai_process_2023,regulatory_treatment,stanford,count,29.15,7,True,exclude_low_coverage
stanford_fig_3_5_2_fig_3_5_2_gpai_ministerial_declaration_2022,regulatory_treatment,stanford,count,29.15,0,False,exclude_low_coverage
stanford_fig_3_5_2_fig_3_5_2_oecd_ai_principles_2019,regulatory_treatment,stanford,count,29.15,0,False,exclude_low_coverage
stanford_fig_3_5_2_fig_3_5_2_seoul_ministerial_statement_2024,regulatory_treatment,stanford,count,29.15,0,False,exclude_low_coverage
stanford_fig_3_6_1_fig_3_6_1_data_protection_and_privacy,regulatory_treatment,stanford,count,69.35,0,False,keep_with_caution
stanford_fig_3_7_1_fig_3_7_1_bias_and_unfair_discrimination,regulatory_treatment,stanford,count,69.35,1,False,keep_with_caution
stanford_fig_3_7_2_fig_3_7_2_gender_equality,regulatory_treatment,stanford,count,69.35,7,False,keep_with_caution
stanford_fig_3_7_3_fig_3_7_3_cultural_and_linguistic_diversity,regulatory_treatment,stanford,count,69.35,10,False,keep_with_caution
stanford_fig_6_3_5_fig_6_3_5_volume_of_publications,ecosystem_outcome,stanford,count,19.6,4,True,exclude_low_coverage
wb_control_of_corruption,institutional_control,wb,wgi_-2.5_2.5,98.49,0,False,collapse_redundant
wb_control_of_corruption_se,institutional_control,wb,wgi_-2.5_2.5,98.49,24,True,transform_log
wb_education_expenditure_pct_gdp,socioeconomic_control,wb,pct,89.95,5,False,keep_primary
wb_electric_consumption_kwh_pc,tech_infrastructure_control,wb,count,73.87,11,True,transform_log
wb_exports_pct_gdp,socioeconomic_control,wb,pct,86.43,8,True,transform_log
wb_fdi_net_inflows,socioeconomic_control,wb,count,95.98,46,True,transform_log
wb_fdi_pct_gdp,socioeconomic_control,wb,pct,94.97,24,True,transform_log
wb_fixed_broadband_per100,tech_infrastructure_control,wb,pct,97.99,0,False,keep_primary
wb_gdp_current_usd,socioeconomic_control,wb,usd,97.49,21,True,collapse_redundant
wb_gdp_growth_annual_pct,socioeconomic_control,wb,pct,96.98,11,False,keep_with_caution
wb_gdp_per_capita_ppp,socioeconomic_control,wb,usd,94.97,4,False,keep_primary
wb_government_effectiveness,institutional_control,wb,wgi_-2.5_2.5,98.49,0,False,collapse_redundant
wb_government_effectiveness_se,institutional_control,wb,wgi_-2.5_2.5,98.49,27,False,keep_with_caution
wb_gross_capital_formation_pct_gdp,socioeconomic_control,wb,pct,84.42,11,False,keep_with_caution
wb_high_tech_exports_pct_manufactured,socioeconomic_control,wb,pct,85.43,11,True,transform_log
wb_ict_goods_exports_pct,socioeconomic_control,wb,pct,80.9,24,True,transform_log
wb_ict_service_exports_pct,socioeconomic_control,wb,pct,86.93,16,True,transform_log
wb_inflation_consumer_prices,socioeconomic_control,wb,count,90.95,27,True,transform_log
wb_internet_penetration,tech_infrastructure_control,wb,count,95.98,0,False,keep_primary
wb_labor_force,socioeconomic_control,wb,count,90.95,22,True,transform_log
wb_mobile_subscriptions_per100,socioeconomic_control,wb,pct,98.99,6,True,transform_log
wb_patent_applications_residents,tech_infrastructure_control,wb,count,67.84,17,True,collapse_redundant
wb_political_stability,institutional_control,wb,wgi_-2.5_2.5,98.49,1,False,keep_primary
wb_political_stability_se,institutional_control,wb,wgi_-2.5_2.5,98.49,20,False,exclude_constant
wb_population,socioeconomic_control,wb,count,98.99,19,True,transform_log
wb_rd_expenditure_pct_gdp,socioeconomic_control,wb,pct,58.79,6,False,keep_with_caution
wb_regulatory_quality,institutional_control,wb,wgi_-2.5_2.5,98.49,0,False,collapse_redundant
wb_regulatory_quality_se,institutional_control,wb,wgi_-2.5_2.5,98.49,27,True,transform_log
wb_researchers_rd_per_million,socioeconomic_control,wb,count,54.27,2,True,transform_log
wb_rule_of_law,institutional_control,wb,wgi_-2.5_2.5,98.49,0,False,collapse_redundant
wb_rule_of_law_se,institutional_control,wb,wgi_-2.5_2.5,98.49,15,True,exclude_constant
wb_secure_servers_per_1m,socioeconomic_control,wb,count,98.49,35,True,transform_log
wb_tertiary_education_enrollment,socioeconomic_control,wb,pct,78.89,1,False,keep_primary
wb_trade_pct_gdp,socioeconomic_control,wb,pct,86.43,7,True,transform_log
wb_unemployment_rate,socioeconomic_control,wb,count,90.95,13,True,transform_log
wb_voice_accountability,institutional_control,wb,wgi_-2.5_2.5,98.49,0,False,keep_primary
wb_voice_accountability_se,institutional_control,wb,wgi_-2.5_2.5,98.49,23,True,transform_log
wipo_appcrea_score,ecosystem_outcome,wipo,score_0_100,52.26,9,True,transform_log
wipo_apptarriff_score,tech_infrastructure_control,wipo,score_0_100,66.33,1,False,keep_with_caution
wipo_brandval_score,ecosystem_outcome,wipo,score_0_100,56.78,6,False,keep_with_caution
wipo_c_eccomplexity_score,tech_infrastructure_control,wipo,score_0_100,60.8,0,False,keep_with_caution
wipo_c_hhi_score,tech_infrastructure_control,wipo,score_0_100,56.28,6,True,transform_log
wipo_c_hitechmanufind2_score,tech_infrastructure_control,wipo,score_0_100,55.28,0,False,keep_with_caution
wipo_c_htexphkg_score,tech_infrastructure_control,wipo,score_0_100,65.83,11,True,transform_log
wipo_c_scitechart_score,ecosystem_outcome,wipo,score_0_100,65.83,2,False,keep_with_caution
wipo_c_vencapdeal_score,tech_infrastructure_control,wipo,score_0_100,47.24,8,True,transform_log
wipo_cctld_score,tech_infrastructure_control,wipo,score_0_100,66.33,18,True,transform_log
wipo_citdoc_score,tech_infrastructure_control,wipo,score_0_100,66.33,10,False,keep_with_caution
wipo_compsoftspend_score,tech_infrastructure_control,wipo,score_0_100,62.81,1,False,keep_with_caution
wipo_costredu_score,tech_infrastructure_control,wipo,score_0_100,65.33,4,False,keep_with_caution
wipo_creagoodexp_score,ecosystem_outcome,wipo,score_0_100,65.83,12,True,transform_log
wipo_cultservexp_score,tech_infrastructure_control,wipo,score_0_100,56.78,6,False,keep_with_caution
wipo_domcred2priv_score,tech_infrastructure_control,wipo,score_0_100,65.33,4,False,keep_with_caution
wipo_dommarksc_score,tech_infrastructure_control,wipo,score_0_100,66.33,2,False,collapse_redundant
wipo_easecred_score,institutional_control,wipo,score_0_100,66.33,4,False,keep_with_caution
wipo_easeinsol_score,institutional_control,wipo,score_0_100,66.33,0,False,keep_with_caution
wipo_easeprotinv_score,institutional_control,wipo,score_0_100,66.33,0,False,keep_with_caution
wipo_easestartbus_score,institutional_control,wipo,score_0_100,66.33,3,False,keep_with_caution
wipo_elecout_score,ecosystem_outcome,wipo,score_0_100,62.31,8,True,transform_log
wipo_entmedia_score,tech_infrastructure_control,wipo,score_0_100,31.66,0,False,collapse_redundant
wipo_envperf_score,tech_infrastructure_control,wipo,score_0_100,65.33,0,False,keep_with_caution
wipo_epart_score,tech_infrastructure_control,wipo,score_0_100,65.83,0,False,keep_with_caution
wipo_expedu_score,socioeconomic_control,wipo,score_0_100,57.29,2,False,keep_with_caution
