variable_matriz,bloque_tematico,n,pct_complete,mean,median,std,mad,min,p05,p25,p75,p95,max,iqr,skewness,kurtosis,suggest_log_transform
oxford_enabling_technical_infrastructure,ecosystem_outcome,195,97.99,58.401026,58.75,14.873996,10.39,17.72,31.694,49.155,69.415,79.706,89.61,20.26,-0.3173,-0.4212,False
oxford_governance_2025,ecosystem_outcome,195,97.99,52.57841,54.27,26.177117,19.89,1.39,7.906,32.935,74.14,90.853,94.57,41.205,-0.2666,-1.0142,False
oxford_governance_ethics,ecosystem_outcome,193,96.98,56.658644,54.313687,24.642343,20.349389,0.114201,16.440331,38.901827,78.886302,94.158027,97.376842,39.984475,-0.0454,-0.9244,False
oxford_governance_principles,ecosystem_outcome,195,97.99,54.239538,55.25,27.811638,19.75,0.0,4.5,37.125,75.0,100.0,100.0,37.875,-0.1492,-0.7633,False
oxford_government,ecosystem_outcome,193,96.98,47.294039,39.40606,23.747384,17.00511,7.521644,16.047712,27.686054,71.4382,84.582,90.962032,43.752146,0.2547,-1.3589,False
oxford_government_digital_policy,ecosystem_outcome,195,97.99,37.651179,35.0,29.199889,26.2,0.0,0.0,10.0,62.0,84.908,99.38,52.0,0.229,-1.2526,False
oxford_human_capital,ecosystem_outcome,193,96.98,38.911502,36.357674,14.368707,9.604025,11.00685,19.819432,27.555338,48.879571,67.061061,76.472498,21.324233,0.5382,-0.454,False
oxford_human_capital_2025,ecosystem_outcome,195,97.99,40.43559,34.84,20.665332,14.56,6.18,16.098,23.065,57.015,78.52,85.17,33.95,0.5512,-0.9465,False
oxford_ind_5g_infrastructure,ecosystem_outcome,193,96.98,50.259067,100.0,50.129366,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,-0.0104,-1.9999,False
oxford_ind_accountability,ecosystem_outcome,193,96.98,48.784456,50.0,19.981584,17.2,9.6,16.72,31.4,66.8,78.48,85.4,35.4,-0.1211,-1.1374,False
oxford_ind_adoption_emerging_tech,ecosystem_outcome,184,92.46,47.28196,44.222308,21.404982,14.452308,0.0,16.4685,32.455,60.7725,85.227,100.0,28.3175,0.36,-0.2182,False
oxford_ind_ai_research_papers_log,ecosystem_outcome,193,96.98,34.487905,32.823658,25.515668,22.510375,0.0,0.0,10.313284,58.131146,73.56572,100.0,47.817862,0.212,-1.0844,False
oxford_ind_ai_strategy,ecosystem_outcome,193,96.98,37.305699,0.0,46.569782,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,0.5236,-1.636,False
oxford_ind_ai_unicorns_log,ecosystem_outcome,193,96.98,2.183674,0.0,10.558777,0.0,0.0,0.0,0.0,0.0,16.999162,100.0,0.0,6.4937,48.3631,True
oxford_ind_broadband_quality,ecosystem_outcome,184,92.46,42.598167,39.72,10.490422,5.95,18.4,31.375,34.875,51.8,62.39,85.3,16.925,1.0109,1.2199,False
oxford_ind_company_investment_emerging_tech,ecosystem_outcome,184,92.46,43.089164,37.75,19.034375,9.416667,0.0,19.0375,30.5625,55.445312,79.5,100.0,24.882812,0.7735,0.1183,False
oxford_ind_cost_internet_device,ecosystem_outcome,191,95.98,52.898444,53.02,23.533005,16.21,0.0,14.49,38.070909,69.587143,87.87,100.0,31.516234,-0.125,-0.4724,False
oxford_ind_cybersecurity,ecosystem_outcome,193,96.98,52.80091,53.23,34.879632,35.49,1.35,4.236,18.23,88.82,97.982,100.0,70.59,-0.0239,-1.6172,False
oxford_ind_data_governance,ecosystem_outcome,193,96.98,25.388601,0.0,32.322903,0.0,0.0,0.0,0.0,50.0,100.0,100.0,50.0,0.8989,-0.2844,False
oxford_ind_data_protection_laws,ecosystem_outcome,192,96.48,78.841527,100.0,36.971876,0.0,0.0,0.0,57.706767,100.0,100.0,100.0,42.293233,-1.4029,0.2932,False
oxford_ind_eng_tech_higher_ed_quality,ecosystem_outcome,193,96.98,18.621626,0.0,32.187522,0.0,0.0,0.0,0.0,23.644098,84.842255,100.0,23.644098,1.31,-0.0532,False
oxford_ind_ethical_principles,ecosystem_outcome,193,96.98,17.875648,0.0,36.502641,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,1.6698,0.9706,False
oxford_ind_female_stem_graduates,ecosystem_outcome,190,95.48,67.428264,68.06312,17.566246,8.9126,0.0,38.981896,59.13107,76.812755,94.978473,100.0,17.681685,-1.0513,3.1745,False
oxford_ind_foundational_it,ecosystem_outcome,193,96.98,57.751295,58.1,23.766135,20.4,0.3,18.8,38.2,79.2,91.04,99.0,41.0,-0.2652,-0.9875,False
oxford_ind_gender_gap_internet,ecosystem_outcome,184,92.46,92.992899,95.0,5.388611,3.275,72.0,84.0,90.0,96.666667,99.725,100.0,6.666667,-1.1349,1.5515,False
oxford_ind_github_activity_log,ecosystem_outcome,193,96.98,38.426688,38.914282,27.59817,24.535414,0.0,0.0,11.146675,62.153479,82.558039,100.0,51.006804,0.1164,-1.2488,False
oxford_ind_govt_effectiveness,ecosystem_outcome,193,96.98,48.356477,47.4,20.018319,13.6,2.2,15.8,34.6,61.6,81.48,92.8,27.0,0.1635,-0.5312,False
oxford_ind_govt_promotion_emerging_tech,ecosystem_outcome,184,92.46,39.555162,37.034,20.678568,13.36525,0.05,8.404,23.66875,49.055,76.223125,100.0,25.38625,0.6287,0.095,False
oxford_ind_govt_responsiveness,ecosystem_outcome,187,93.97,44.257698,42.625115,13.346756,8.372881,7.19746,23.903161,35.376877,51.982097,69.309115,85.220989,16.60522,0.3411,0.4092,False
oxford_ind_households_internet,ecosystem_outcome,192,96.48,63.978042,74.6,30.2924,18.055,1.91734,9.620711,32.9424,90.0925,96.324,100.0,57.1501,-0.6259,-1.0643,False
oxford_ind_ict_skills,ecosystem_outcome,181,90.95,32.608706,24.456736,23.828909,19.373107,2.660345,4.161728,10.127749,54.207823,72.540498,100.0,44.080074,0.5297,-0.8169,False
oxford_ind_ict_trade_goods_log,ecosystem_outcome,192,96.48,45.757434,45.333865,20.21255,15.298002,8.626637,15.156817,30.442361,60.846979,78.361883,100.0,30.404618,0.0944,-0.8132,False
oxford_ind_ict_trade_services_log,ecosystem_outcome,192,96.48,39.817299,39.136616,21.341492,17.427611,0.0,8.7461,21.610381,56.562706,75.520367,100.0,34.952325,0.3011,-0.662,False
oxford_ind_mobile_subscriptions,ecosystem_outcome,193,96.98,79.841884,87.076923,21.733068,12.923077,15.153846,37.415385,66.769231,100.0,100.0,100.0,33.230769,-1.0057,0.0192,False
oxford_ind_non_ai_unicorns_log,ecosystem_outcome,193,96.98,6.218146,0.0,14.93203,0.0,0.0,0.0,0.0,0.0,39.651855,100.0,0.0,3.1695,11.7946,True
oxford_ind_online_services,ecosystem_outcome,193,96.98,55.773368,54.09,24.214006,20.31,0.0,15.574,36.52,77.53,90.532,100.0,41.01,-0.1158,-0.952,False
oxford_ind_open_data,ecosystem_outcome,187,93.97,34.666674,35.75,27.363651,19.638889,0.0,0.0,0.75,51.5,81.0,90.0,50.75,0.1558,-1.1042,False
oxford_ind_procurement_data,ecosystem_outcome,187,93.97,43.955714,45.0,21.67833,15.0,0.0,3.1,28.875,58.0,77.7,96.0,29.125,-0.0656,-0.6298,False
oxford_ind_rd_spending_log,ecosystem_outcome,190,95.48,25.886285,16.820578,22.110555,8.568159,0.548271,3.235932,10.646998,39.927836,74.195944,100.0,29.280839,1.202,0.5611,False
oxford_ind_regulatory_quality,ecosystem_outcome,193,96.98,48.392746,47.0,19.969345,13.2,2.2,18.32,35.4,61.4,82.68,94.2,26.0,0.1156,-0.551,False
oxford_ind_software_spending,ecosystem_outcome,184,92.46,22.038172,17.496277,18.534847,11.651122,0.0,1.534734,6.15816,29.665555,63.095531,100.0,23.507395,1.186,1.3611,False
oxford_ind_statistical_capacity,ecosystem_outcome,192,96.48,63.454674,61.824167,17.344844,12.992083,19.617917,33.595458,52.867708,78.290729,88.260604,90.09375,25.423021,-0.3066,-0.5754,False
oxford_ind_stem_graduates,ecosystem_outcome,193,96.98,29.553348,28.108653,10.307862,5.163565,1.682002,15.290042,24.216759,35.475966,46.016671,100.0,11.259207,1.7651,10.4493,False
oxford_ind_supercomputers_log,ecosystem_outcome,193,96.98,6.579867,0.0,16.881019,0.0,0.0,0.0,0.0,0.0,46.008154,100.0,0.0,3.0238,9.7331,True
oxford_ind_telecom_infrastructure,ecosystem_outcome,193,96.98,57.868764,60.82,25.651357,21.59,0.0,14.0,36.5,80.12,92.482,100.0,43.62,-0.3345,-1.0287,False
