record_type,iso3,variable_matriz,component,value,explained_variance_ratio
loading,,ms_change_pp,PC1,0.027836,0.37287
loading,,ms_change_pp,PC2,0.002838,0.22296
loading,,ms_change_pp,PC3,0.004573,0.148778
loading,,ms_change_pp,PC4,0.043461,0.060602
loading,,ms_change_pp,PC5,0.014605,0.037459
loading,,ms_change_pp,PC6,-0.01806,0.032488
loading,,ms_change_pp,PC7,-0.025581,0.024564
loading,,ms_change_pp,PC8,-0.0168,0.017946
loading,,ms_change_pp,PC9,-0.007,0.010927
loading,,ms_change_pp,PC10,-0.027574,0.007181
loading,,ms_h1_2025_ai_diffusion_pct,PC1,0.029685,0.37287
loading,,ms_h1_2025_ai_diffusion_pct,PC2,-0.002664,0.22296
loading,,ms_h1_2025_ai_diffusion_pct,PC3,0.000175,0.148778
loading,,ms_h1_2025_ai_diffusion_pct,PC4,0.047656,0.060602
loading,,ms_h1_2025_ai_diffusion_pct,PC5,0.014211,0.037459
loading,,ms_h1_2025_ai_diffusion_pct,PC6,-0.028786,0.032488
loading,,ms_h1_2025_ai_diffusion_pct,PC7,-0.032797,0.024564
loading,,ms_h1_2025_ai_diffusion_pct,PC8,-0.007051,0.017946
loading,,ms_h1_2025_ai_diffusion_pct,PC9,-0.027359,0.010927
loading,,ms_h1_2025_ai_diffusion_pct,PC10,-0.008876,0.007181
loading,,ms_h2_2025_ai_diffusion_pct,PC1,0.030259,0.37287
loading,,ms_h2_2025_ai_diffusion_pct,PC2,-0.002285,0.22296
loading,,ms_h2_2025_ai_diffusion_pct,PC3,0.000521,0.148778
loading,,ms_h2_2025_ai_diffusion_pct,PC4,0.048515,0.060602
loading,,ms_h2_2025_ai_diffusion_pct,PC5,0.014581,0.037459
loading,,ms_h2_2025_ai_diffusion_pct,PC6,-0.028595,0.032488
loading,,ms_h2_2025_ai_diffusion_pct,PC7,-0.033102,0.024564
loading,,ms_h2_2025_ai_diffusion_pct,PC8,-0.007864,0.017946
loading,,ms_h2_2025_ai_diffusion_pct,PC9,-0.026679,0.010927
loading,,ms_h2_2025_ai_diffusion_pct,PC10,-0.010689,0.007181
loading,,oecd_2_indigo_oecd_indigo_score,PC1,0.029889,0.37287
loading,,oecd_2_indigo_oecd_indigo_score,PC2,-0.002123,0.22296
loading,,oecd_2_indigo_oecd_indigo_score,PC3,0.002945,0.148778
loading,,oecd_2_indigo_oecd_indigo_score,PC4,0.031156,0.060602
loading,,oecd_2_indigo_oecd_indigo_score,PC5,0.005763,0.037459
loading,,oecd_2_indigo_oecd_indigo_score,PC6,-0.002962,0.032488
loading,,oecd_2_indigo_oecd_indigo_score,PC7,-0.011795,0.024564
loading,,oecd_2_indigo_oecd_indigo_score,PC8,-0.029708,0.017946
loading,,oecd_2_indigo_oecd_indigo_score,PC9,-0.052588,0.010927
loading,,oecd_2_indigo_oecd_indigo_score,PC10,0.065828,0.007181
loading,,oxford_adaptability,PC1,0.027686,0.37287
loading,,oxford_adaptability,PC2,0.001436,0.22296
loading,,oxford_adaptability,PC3,-0.010277,0.148778
loading,,oxford_adaptability,PC4,0.035062,0.060602
loading,,oxford_adaptability,PC5,0.035966,0.037459
loading,,oxford_adaptability,PC6,-0.022699,0.032488
loading,,oxford_adaptability,PC7,-0.042248,0.024564
loading,,oxford_adaptability,PC8,-0.008287,0.017946
loading,,oxford_adaptability,PC9,-0.004576,0.010927
loading,,oxford_adaptability,PC10,-0.035216,0.007181
loading,,oxford_ai_infrastructure,PC1,0.035483,0.37287
loading,,oxford_ai_infrastructure,PC2,0.014679,0.22296
loading,,oxford_ai_infrastructure,PC3,-0.000647,0.148778
loading,,oxford_ai_infrastructure,PC4,0.060386,0.060602
loading,,oxford_ai_infrastructure,PC5,0.025001,0.037459
loading,,oxford_ai_infrastructure,PC6,-0.018671,0.032488
loading,,oxford_ai_infrastructure,PC7,-0.043645,0.024564
loading,,oxford_ai_infrastructure,PC8,-0.041281,0.017946
loading,,oxford_ai_infrastructure,PC9,-0.028783,0.010927
loading,,oxford_ai_infrastructure,PC10,-0.01905,0.007181
loading,,oxford_ai_sector_maturity,PC1,0.050379,0.37287
loading,,oxford_ai_sector_maturity,PC2,0.02435,0.22296
loading,,oxford_ai_sector_maturity,PC3,-0.001784,0.148778
loading,,oxford_ai_sector_maturity,PC4,0.052543,0.060602
loading,,oxford_ai_sector_maturity,PC5,-0.002633,0.037459
loading,,oxford_ai_sector_maturity,PC6,-0.034597,0.032488
loading,,oxford_ai_sector_maturity,PC7,-7.8e-05,0.024564
loading,,oxford_ai_sector_maturity,PC8,0.018634,0.017946
loading,,oxford_ai_sector_maturity,PC9,-0.049762,0.010927
loading,,oxford_ai_sector_maturity,PC10,-0.086434,0.007181
loading,,oxford_ai_technology_diffusion,PC1,0.039256,0.37287
loading,,oxford_ai_technology_diffusion,PC2,0.014084,0.22296
loading,,oxford_ai_technology_diffusion,PC3,0.004447,0.148778
loading,,oxford_ai_technology_diffusion,PC4,0.063434,0.060602
loading,,oxford_ai_technology_diffusion,PC5,0.040815,0.037459
loading,,oxford_ai_technology_diffusion,PC6,-0.034288,0.032488
loading,,oxford_ai_technology_diffusion,PC7,-0.035137,0.024564
loading,,oxford_ai_technology_diffusion,PC8,0.010078,0.017946
loading,,oxford_ai_technology_diffusion,PC9,-0.037389,0.010927
loading,,oxford_ai_technology_diffusion,PC10,-0.081747,0.007181
loading,,oxford_compute_capacity,PC1,0.070374,0.37287
loading,,oxford_compute_capacity,PC2,0.066762,0.22296
loading,,oxford_compute_capacity,PC3,0.003301,0.148778
loading,,oxford_compute_capacity,PC4,0.097989,0.060602
loading,,oxford_compute_capacity,PC5,-0.046342,0.037459
loading,,oxford_compute_capacity,PC6,-0.020004,0.032488
loading,,oxford_compute_capacity,PC7,0.043543,0.024564
loading,,oxford_compute_capacity,PC8,-0.024017,0.017946
loading,,oxford_compute_capacity,PC9,-0.031548,0.010927
loading,,oxford_compute_capacity,PC10,-0.065301,0.007181
loading,,oxford_data_availability,PC1,0.0347,0.37287
loading,,oxford_data_availability,PC2,0.004562,0.22296
loading,,oxford_data_availability,PC3,0.007611,0.148778
loading,,oxford_data_availability,PC4,0.078485,0.060602
loading,,oxford_data_availability,PC5,0.056173,0.037459
loading,,oxford_data_availability,PC6,-0.011573,0.032488
loading,,oxford_data_availability,PC7,-0.06833,0.024564
loading,,oxford_data_availability,PC8,-0.069743,0.017946
loading,,oxford_data_availability,PC9,-0.025908,0.010927
loading,,oxford_data_availability,PC10,0.006443,0.007181
loading,,oxford_data_infrastructure,PC1,0.027569,0.37287
loading,,oxford_data_infrastructure,PC2,0.002257,0.22296
loading,,oxford_data_infrastructure,PC3,-0.000131,0.148778
loading,,oxford_data_infrastructure,PC4,0.046003,0.060602
loading,,oxford_data_infrastructure,PC5,0.027588,0.037459
loading,,oxford_data_infrastructure,PC6,-0.010024,0.032488
loading,,oxford_data_infrastructure,PC7,-0.043972,0.024564
loading,,oxford_data_infrastructure,PC8,-0.031582,0.017946
loading,,oxford_data_infrastructure,PC9,-0.012372,0.010927
loading,,oxford_data_infrastructure,PC10,0.00417,0.007181
loading,,oxford_data_quality,PC1,0.037996,0.37287
loading,,oxford_data_quality,PC2,0.005967,0.22296
loading,,oxford_data_quality,PC3,0.004917,0.148778
loading,,oxford_data_quality,PC4,0.06427,0.060602
loading,,oxford_data_quality,PC5,0.049043,0.037459
loading,,oxford_data_quality,PC6,-0.019843,0.032488
loading,,oxford_data_quality,PC7,-0.064592,0.024564
loading,,oxford_data_quality,PC8,-0.060615,0.017946
loading,,oxford_data_quality,PC9,-0.037774,0.010927
loading,,oxford_data_quality,PC10,0.013792,0.007181
loading,,oxford_data_representativeness,PC1,0.027308,0.37287
loading,,oxford_data_representativeness,PC2,0.002249,0.22296
loading,,oxford_data_representativeness,PC3,-0.004081,0.148778
loading,,oxford_data_representativeness,PC4,0.041572,0.060602
loading,,oxford_data_representativeness,PC5,0.019717,0.037459
loading,,oxford_data_representativeness,PC6,-0.015436,0.032488
loading,,oxford_data_representativeness,PC7,-0.05231,0.024564
loading,,oxford_data_representativeness,PC8,-0.029271,0.017946
loading,,oxford_data_representativeness,PC9,-0.006245,0.010927
loading,,oxford_data_representativeness,PC10,0.036237,0.007181
loading,,oxford_development_diffusion,PC1,0.041192,0.37287
loading,,oxford_development_diffusion,PC2,0.015687,0.22296
loading,,oxford_development_diffusion,PC3,0.001325,0.148778
loading,,oxford_development_diffusion,PC4,0.053537,0.060602
loading,,oxford_development_diffusion,PC5,0.022783,0.037459
loading,,oxford_development_diffusion,PC6,-0.018894,0.032488
loading,,oxford_development_diffusion,PC7,-0.018351,0.024564
loading,,oxford_development_diffusion,PC8,0.000674,0.017946
loading,,oxford_development_diffusion,PC9,-0.037503,0.010927
loading,,oxford_development_diffusion,PC10,-0.087988,0.007181
loading,,oxford_digital_capacity,PC1,0.030431,0.37287
loading,,oxford_digital_capacity,PC2,0.011504,0.22296
loading,,oxford_digital_capacity,PC3,-0.006068,0.148778
loading,,oxford_digital_capacity,PC4,0.062305,0.060602
loading,,oxford_digital_capacity,PC5,0.032121,0.037459
loading,,oxford_digital_capacity,PC6,-0.016636,0.032488
loading,,oxford_digital_capacity,PC7,-0.042476,0.024564
loading,,oxford_digital_capacity,PC8,-0.023742,0.017946
loading,,oxford_digital_capacity,PC9,-0.029583,0.010927
loading,,oxford_digital_capacity,PC10,-0.092658,0.007181
loading,,oxford_e_government_delivery,PC1,0.026904,0.37287
loading,,oxford_e_government_delivery,PC2,0.007912,0.22296
loading,,oxford_e_government_delivery,PC3,-0.001244,0.148778
loading,,oxford_e_government_delivery,PC4,0.049274,0.060602
loading,,oxford_e_government_delivery,PC5,0.040441,0.037459
loading,,oxford_e_government_delivery,PC6,0.011952,0.032488
loading,,oxford_e_government_delivery,PC7,-0.09611,0.024564
loading,,oxford_e_government_delivery,PC8,-0.045139,0.017946
loading,,oxford_e_government_delivery,PC9,-0.040402,0.010927
loading,,oxford_e_government_delivery,PC10,-0.027325,0.007181
loading,,oxford_enabling_technical_infrastructure,PC1,0.031374,0.37287
loading,,oxford_enabling_technical_infrastructure,PC2,0.005375,0.22296
loading,,oxford_enabling_technical_infrastructure,PC3,-0.009801,0.148778
loading,,oxford_enabling_technical_infrastructure,PC4,0.065163,0.060602
loading,,oxford_enabling_technical_infrastructure,PC5,0.044654,0.037459
loading,,oxford_enabling_technical_infrastructure,PC6,-0.025523,0.032488
loading,,oxford_enabling_technical_infrastructure,PC7,-0.084219,0.024564
loading,,oxford_enabling_technical_infrastructure,PC8,-0.046431,0.017946
loading,,oxford_enabling_technical_infrastructure,PC9,-0.030213,0.010927
loading,,oxford_enabling_technical_infrastructure,PC10,-0.044333,0.007181
loading,,oxford_governance_2025,PC1,0.028849,0.37287
loading,,oxford_governance_2025,PC2,0.002423,0.22296
loading,,oxford_governance_2025,PC3,0.007017,0.148778
loading,,oxford_governance_2025,PC4,0.037528,0.060602
loading,,oxford_governance_2025,PC5,0.021319,0.037459
loading,,oxford_governance_2025,PC6,-0.011261,0.032488
loading,,oxford_governance_2025,PC7,-0.023037,0.024564
loading,,oxford_governance_2025,PC8,-0.018881,0.017946
loading,,oxford_governance_2025,PC9,-0.045271,0.010927
loading,,oxford_governance_2025,PC10,-0.09245,0.007181
loading,,oxford_governance_ethics,PC1,0.029489,0.37287
loading,,oxford_governance_ethics,PC2,0.006482,0.22296
loading,,oxford_governance_ethics,PC3,-9.4e-05,0.148778
loading,,oxford_governance_ethics,PC4,0.033692,0.060602
loading,,oxford_governance_ethics,PC5,0.023757,0.037459
loading,,oxford_governance_ethics,PC6,-0.004414,0.032488
loading,,oxford_governance_ethics,PC7,-0.024806,0.024564
loading,,oxford_governance_ethics,PC8,-0.008404,0.017946
loading,,oxford_governance_ethics,PC9,-0.07214,0.010927
loading,,oxford_governance_ethics,PC10,-0.047471,0.007181
loading,,oxford_governance_principles,PC1,0.034784,0.37287
loading,,oxford_governance_principles,PC2,0.002628,0.22296
loading,,oxford_governance_principles,PC3,0.011762,0.148778
loading,,oxford_governance_principles,PC4,0.045382,0.060602
loading,,oxford_governance_principles,PC5,0.022587,0.037459
loading,,oxford_governance_principles,PC6,-0.021325,0.032488
loading,,oxford_governance_principles,PC7,-0.018575,0.024564
loading,,oxford_governance_principles,PC8,-0.027181,0.017946
loading,,oxford_governance_principles,PC9,-0.067636,0.010927
loading,,oxford_governance_principles,PC10,-0.106945,0.007181
loading,,oxford_government,PC1,0.029785,0.37287
loading,,oxford_government,PC2,0.010525,0.22296
loading,,oxford_government,PC3,0.001225,0.148778
loading,,oxford_government,PC4,0.050816,0.060602
loading,,oxford_government,PC5,0.032476,0.037459
loading,,oxford_government,PC6,-0.002364,0.032488
loading,,oxford_government,PC7,-0.04787,0.024564
loading,,oxford_government,PC8,-0.0119,0.017946
loading,,oxford_government,PC9,-0.068724,0.010927
loading,,oxford_government,PC10,-0.090671,0.007181
loading,,oxford_government_digital_policy,PC1,0.028527,0.37287
loading,,oxford_government_digital_policy,PC2,0.01265,0.22296
loading,,oxford_government_digital_policy,PC3,-0.00167,0.148778
loading,,oxford_government_digital_policy,PC4,0.048108,0.060602
loading,,oxford_government_digital_policy,PC5,0.018622,0.037459
loading,,oxford_government_digital_policy,PC6,-0.013659,0.032488
loading,,oxford_government_digital_policy,PC7,-0.03825,0.024564
loading,,oxford_government_digital_policy,PC8,-0.045778,0.017946
loading,,oxford_government_digital_policy,PC9,-0.016777,0.010927
loading,,oxford_government_digital_policy,PC10,-0.091788,0.007181
loading,,oxford_human_capital,PC1,0.033574,0.37287
loading,,oxford_human_capital,PC2,0.009335,0.22296
loading,,oxford_human_capital,PC3,0.004706,0.148778
loading,,oxford_human_capital,PC4,0.049723,0.060602
loading,,oxford_human_capital,PC5,0.020704,0.037459
loading,,oxford_human_capital,PC6,-0.014517,0.032488
loading,,oxford_human_capital,PC7,-0.037355,0.024564
loading,,oxford_human_capital,PC8,0.001681,0.017946
loading,,oxford_human_capital,PC9,-0.016447,0.010927
loading,,oxford_human_capital,PC10,-0.058431,0.007181
loading,,oxford_human_capital_2025,PC1,0.025453,0.37287
loading,,oxford_human_capital_2025,PC2,0.006734,0.22296
loading,,oxford_human_capital_2025,PC3,0.001199,0.148778
loading,,oxford_human_capital_2025,PC4,0.03435,0.060602
loading,,oxford_human_capital_2025,PC5,0.023149,0.037459
loading,,oxford_human_capital_2025,PC6,0.00588,0.032488
loading,,oxford_human_capital_2025,PC7,-0.0158,0.024564
loading,,oxford_human_capital_2025,PC8,-0.017279,0.017946
loading,,oxford_human_capital_2025,PC9,-0.019553,0.010927
loading,,oxford_human_capital_2025,PC10,-0.069928,0.007181
loading,,oxford_ind_accountability,PC1,0.030177,0.37287
loading,,oxford_ind_accountability,PC2,-0.002275,0.22296
loading,,oxford_ind_accountability,PC3,0.003484,0.148778
loading,,oxford_ind_accountability,PC4,0.009605,0.060602
loading,,oxford_ind_accountability,PC5,0.006307,0.037459
loading,,oxford_ind_accountability,PC6,-0.004434,0.032488
loading,,oxford_ind_accountability,PC7,-0.012625,0.024564
loading,,oxford_ind_accountability,PC8,0.007076,0.017946
loading,,oxford_ind_accountability,PC9,-0.083689,0.010927
loading,,oxford_ind_accountability,PC10,0.088736,0.007181
loading,,oxford_ind_adoption_emerging_tech,PC1,0.044717,0.37287
loading,,oxford_ind_adoption_emerging_tech,PC2,0.004484,0.22296
loading,,oxford_ind_adoption_emerging_tech,PC3,0.002161,0.148778
loading,,oxford_ind_adoption_emerging_tech,PC4,0.049184,0.060602
loading,,oxford_ind_adoption_emerging_tech,PC5,0.030154,0.037459
loading,,oxford_ind_adoption_emerging_tech,PC6,-0.022321,0.032488
loading,,oxford_ind_adoption_emerging_tech,PC7,-0.029155,0.024564
loading,,oxford_ind_adoption_emerging_tech,PC8,0.020936,0.017946
loading,,oxford_ind_adoption_emerging_tech,PC9,0.007393,0.010927
loading,,oxford_ind_adoption_emerging_tech,PC10,-0.071349,0.007181
loading,,oxford_ind_ai_research_papers_log,PC1,0.025097,0.37287
loading,,oxford_ind_ai_research_papers_log,PC2,0.025227,0.22296
loading,,oxford_ind_ai_research_papers_log,PC3,0.001656,0.148778
loading,,oxford_ind_ai_research_papers_log,PC4,0.042981,0.060602
loading,,oxford_ind_ai_research_papers_log,PC5,0.02487,0.037459
loading,,oxford_ind_ai_research_papers_log,PC6,-0.008371,0.032488
loading,,oxford_ind_ai_research_papers_log,PC7,-0.017349,0.024564
loading,,oxford_ind_ai_research_papers_log,PC8,-0.032454,0.017946
loading,,oxford_ind_ai_research_papers_log,PC9,-0.053738,0.010927
loading,,oxford_ind_ai_research_papers_log,PC10,-0.04278,0.007181
loading,,oxford_ind_broadband_quality,PC1,0.029329,0.37287
loading,,oxford_ind_broadband_quality,PC2,-0.008473,0.22296
loading,,oxford_ind_broadband_quality,PC3,-0.005788,0.148778
loading,,oxford_ind_broadband_quality,PC4,0.02625,0.060602
loading,,oxford_ind_broadband_quality,PC5,0.03215,0.037459
loading,,oxford_ind_broadband_quality,PC6,-0.015275,0.032488
loading,,oxford_ind_broadband_quality,PC7,-0.050552,0.024564
loading,,oxford_ind_broadband_quality,PC8,-0.024795,0.017946
loading,,oxford_ind_broadband_quality,PC9,0.000301,0.010927
loading,,oxford_ind_broadband_quality,PC10,-0.004741,0.007181
loading,,oxford_ind_company_investment_emerging_tech,PC1,0.040937,0.37287
loading,,oxford_ind_company_investment_emerging_tech,PC2,0.009411,0.22296
loading,,oxford_ind_company_investment_emerging_tech,PC3,-0.006681,0.148778
loading,,oxford_ind_company_investment_emerging_tech,PC4,0.03166,0.060602
loading,,oxford_ind_company_investment_emerging_tech,PC5,0.03806,0.037459
loading,,oxford_ind_company_investment_emerging_tech,PC6,-0.024024,0.032488
loading,,oxford_ind_company_investment_emerging_tech,PC7,-0.000824,0.024564
loading,,oxford_ind_company_investment_emerging_tech,PC8,0.06317,0.017946
loading,,oxford_ind_company_investment_emerging_tech,PC9,0.031515,0.010927
loading,,oxford_ind_company_investment_emerging_tech,PC10,-0.118195,0.007181
loading,,oxford_ind_cost_internet_device,PC1,0.03131,0.37287
loading,,oxford_ind_cost_internet_device,PC2,0.003124,0.22296
loading,,oxford_ind_cost_internet_device,PC3,-0.001654,0.148778
loading,,oxford_ind_cost_internet_device,PC4,0.040296,0.060602
loading,,oxford_ind_cost_internet_device,PC5,0.007237,0.037459
loading,,oxford_ind_cost_internet_device,PC6,-0.024079,0.032488
loading,,oxford_ind_cost_internet_device,PC7,-0.057865,0.024564
loading,,oxford_ind_cost_internet_device,PC8,-0.02572,0.017946
loading,,oxford_ind_cost_internet_device,PC9,-0.021178,0.010927
loading,,oxford_ind_cost_internet_device,PC10,0.009715,0.007181
loading,,oxford_ind_cybersecurity,PC1,0.031266,0.37287
loading,,oxford_ind_cybersecurity,PC2,0.015533,0.22296
loading,,oxford_ind_cybersecurity,PC3,-0.008829,0.148778
loading,,oxford_ind_cybersecurity,PC4,0.053759,0.060602
loading,,oxford_ind_cybersecurity,PC5,0.03067,0.037459
loading,,oxford_ind_cybersecurity,PC6,-0.016623,0.032488
loading,,oxford_ind_cybersecurity,PC7,-0.05367,0.024564
loading,,oxford_ind_cybersecurity,PC8,-0.035674,0.017946
loading,,oxford_ind_cybersecurity,PC9,-0.06831,0.010927
loading,,oxford_ind_cybersecurity,PC10,-0.149533,0.007181
loading,,oxford_ind_female_stem_graduates,PC1,-0.007576,0.37287
loading,,oxford_ind_female_stem_graduates,PC2,0.007557,0.22296
loading,,oxford_ind_female_stem_graduates,PC3,-0.005177,0.148778
loading,,oxford_ind_female_stem_graduates,PC4,0.025821,0.060602
loading,,oxford_ind_female_stem_graduates,PC5,0.023092,0.037459
loading,,oxford_ind_female_stem_graduates,PC6,-0.010046,0.032488
loading,,oxford_ind_female_stem_graduates,PC7,-0.045816,0.024564
loading,,oxford_ind_female_stem_graduates,PC8,-0.022641,0.017946
loading,,oxford_ind_female_stem_graduates,PC9,0.039983,0.010927
loading,,oxford_ind_female_stem_graduates,PC10,-0.004657,0.007181
loading,,oxford_ind_foundational_it,PC1,0.015707,0.37287
loading,,oxford_ind_foundational_it,PC2,0.016846,0.22296
loading,,oxford_ind_foundational_it,PC3,-0.005099,0.148778
loading,,oxford_ind_foundational_it,PC4,0.057639,0.060602
loading,,oxford_ind_foundational_it,PC5,0.026694,0.037459
loading,,oxford_ind_foundational_it,PC6,-0.0011,0.032488
loading,,oxford_ind_foundational_it,PC7,-0.073873,0.024564
loading,,oxford_ind_foundational_it,PC8,-0.052039,0.017946
loading,,oxford_ind_foundational_it,PC9,-0.032411,0.010927
loading,,oxford_ind_foundational_it,PC10,-0.039166,0.007181
loading,,oxford_ind_gender_gap_internet,PC1,0.022569,0.37287
loading,,oxford_ind_gender_gap_internet,PC2,-0.004512,0.22296
loading,,oxford_ind_gender_gap_internet,PC3,-0.002854,0.148778
loading,,oxford_ind_gender_gap_internet,PC4,0.044539,0.060602
loading,,oxford_ind_gender_gap_internet,PC5,0.024687,0.037459
loading,,oxford_ind_gender_gap_internet,PC6,-0.009687,0.032488
loading,,oxford_ind_gender_gap_internet,PC7,-0.03301,0.024564
loading,,oxford_ind_gender_gap_internet,PC8,-0.010473,0.017946
loading,,oxford_ind_gender_gap_internet,PC9,0.037503,0.010927
loading,,oxford_ind_gender_gap_internet,PC10,0.03831,0.007181
loading,,oxford_ind_github_activity_log,PC1,0.03557,0.37287
loading,,oxford_ind_github_activity_log,PC2,-0.004441,0.22296
loading,,oxford_ind_github_activity_log,PC3,0.00277,0.148778
loading,,oxford_ind_github_activity_log,PC4,0.043488,0.060602
loading,,oxford_ind_github_activity_log,PC5,0.039526,0.037459
loading,,oxford_ind_github_activity_log,PC6,-0.021488,0.032488
loading,,oxford_ind_github_activity_log,PC7,-0.061592,0.024564
loading,,oxford_ind_github_activity_log,PC8,-0.029026,0.017946
loading,,oxford_ind_github_activity_log,PC9,-0.025102,0.010927
loading,,oxford_ind_github_activity_log,PC10,0.065277,0.007181
loading,,oxford_ind_govt_effectiveness,PC1,0.045091,0.37287
loading,,oxford_ind_govt_effectiveness,PC2,-0.001861,0.22296
loading,,oxford_ind_govt_effectiveness,PC3,-0.007758,0.148778
loading,,oxford_ind_govt_effectiveness,PC4,0.031404,0.060602
loading,,oxford_ind_govt_effectiveness,PC5,0.034641,0.037459
loading,,oxford_ind_govt_effectiveness,PC6,-0.027461,0.032488
loading,,oxford_ind_govt_effectiveness,PC7,-0.04627,0.024564
loading,,oxford_ind_govt_effectiveness,PC8,0.012215,0.017946
loading,,oxford_ind_govt_effectiveness,PC9,-0.047671,0.010927
loading,,oxford_ind_govt_effectiveness,PC10,-0.058277,0.007181
loading,,oxford_ind_govt_promotion_emerging_tech,PC1,0.033198,0.37287
loading,,oxford_ind_govt_promotion_emerging_tech,PC2,0.003521,0.22296
loading,,oxford_ind_govt_promotion_emerging_tech,PC3,-0.006761,0.148778
loading,,oxford_ind_govt_promotion_emerging_tech,PC4,0.062021,0.060602
loading,,oxford_ind_govt_promotion_emerging_tech,PC5,0.039024,0.037459
loading,,oxford_ind_govt_promotion_emerging_tech,PC6,-0.031567,0.032488
loading,,oxford_ind_govt_promotion_emerging_tech,PC7,-0.025985,0.024564
loading,,oxford_ind_govt_promotion_emerging_tech,PC8,0.021395,0.017946
loading,,oxford_ind_govt_promotion_emerging_tech,PC9,0.054826,0.010927
loading,,oxford_ind_govt_promotion_emerging_tech,PC10,-0.204228,0.007181
loading,,oxford_ind_govt_responsiveness,PC1,0.019626,0.37287
loading,,oxford_ind_govt_responsiveness,PC2,0.00597,0.22296
loading,,oxford_ind_govt_responsiveness,PC3,-0.005135,0.148778
loading,,oxford_ind_govt_responsiveness,PC4,0.015437,0.060602
loading,,oxford_ind_govt_responsiveness,PC5,0.022264,0.037459
loading,,oxford_ind_govt_responsiveness,PC6,-0.029285,0.032488
loading,,oxford_ind_govt_responsiveness,PC7,-0.016755,0.024564
loading,,oxford_ind_govt_responsiveness,PC8,0.026003,0.017946
loading,,oxford_ind_govt_responsiveness,PC9,0.067102,0.010927
loading,,oxford_ind_govt_responsiveness,PC10,-0.22785,0.007181
loading,,oxford_ind_households_internet,PC1,0.047419,0.37287
loading,,oxford_ind_households_internet,PC2,-0.014128,0.22296
loading,,oxford_ind_households_internet,PC3,0.01242,0.148778
loading,,oxford_ind_households_internet,PC4,0.115341,0.060602
loading,,oxford_ind_households_internet,PC5,0.082649,0.037459
loading,,oxford_ind_households_internet,PC6,-0.040902,0.032488
loading,,oxford_ind_households_internet,PC7,-0.151757,0.024564
loading,,oxford_ind_households_internet,PC8,-0.13082,0.017946
loading,,oxford_ind_households_internet,PC9,0.016443,0.010927
loading,,oxford_ind_households_internet,PC10,0.076218,0.007181
loading,,oxford_ind_ict_skills,PC1,0.027968,0.37287
loading,,oxford_ind_ict_skills,PC2,-0.006866,0.22296
loading,,oxford_ind_ict_skills,PC3,-0.002704,0.148778
loading,,oxford_ind_ict_skills,PC4,0.04246,0.060602
loading,,oxford_ind_ict_skills,PC5,0.021146,0.037459
loading,,oxford_ind_ict_skills,PC6,-0.020455,0.032488
