variable_matriz,bloque_tematico,source_id,unit,direction,is_primary,n,n_missing,pct_complete,mean,median,std,mad,min,p01,p05,p10,p25,p75,p90,p95,p99,max,iqr,cv_robust,skewness,kurtosis,n_zero,n_negative,n_outliers_iqr_1_5,n_outliers_iqr_3_0,n_outliers_z_robust,normality_test,normality_stat,normality_p,suggest_log_transform,status
oecd_5_ict_business_oecd_biz_bigdata_pct,adoption_diffusion,oecd,pct,unknown,True,36,163,18.09,33.498056,37.95185,15.767875,8.15625,2.6,3.47225,5.501161,6.717661,25.880875,43.18335,53.09815,55.970275,58.58921,59.9904,17.302475,0.2149,-0.5029,-0.5955,0,0,0,0,5,shapiro,0.937,0.041087,False,ok
oecd_5_ict_business_oecd_biz_cloud_pct,adoption_diffusion,oecd,pct,unknown,True,38,161,19.1,52.852567,54.45265,16.106809,11.155692,17.8331,18.744447,23.72544,27.29338,44.136571,65.849171,72.5917,74.37672,77.87343,79.2058,21.7126,0.2049,-0.4638,-0.5019,0,0,0,0,0,shapiro,0.9623,0.22571,False,ok
oecd_5_ict_business_oecd_biz_ict_specialists_pct,adoption_diffusion,oecd,pct,unknown,True,36,163,18.09,21.113513,20.38225,6.746608,5.391086,8.08,9.60495,12.923,13.26695,15.924275,26.649715,30.00445,30.62175,34.603597,36.57458,10.72544,0.2645,0.3182,-0.7372,0,0,0,0,0,shapiro,0.9608,0.226755,False,ok
oecd_5_ict_business_oecd_biz_iot_pct,adoption_diffusion,oecd,pct,unknown,True,36,163,18.09,26.877228,23.37315,11.891731,5.7644,6.189147,7.103951,10.086743,13.34,19.978625,32.6977,43.755295,49.790425,53.63797,55.18,12.719075,0.2466,0.6012,-0.1229,0,0,1,0,4,shapiro,0.9579,0.185198,False,ok
oecd_5_ict_business_oecd_biz_website_pct,adoption_diffusion,oecd,pct,unknown,True,36,163,18.09,76.130458,77.4983,12.786926,9.08605,49.7322,50.63093,53.277475,58.10745,67.2383,84.511837,91.76495,92.42675,96.891945,98.4709,17.273537,0.1172,-0.3542,-0.7729,0,0,0,0,0,shapiro,0.9652,0.308458,False,ok
oecd_6_fdi_restrictiveness_oecd_fdi_restrictiveness,institutional_control,oecd,count,lower_better,True,103,96,51.76,0.120042,0.078896,0.117662,0.064452,0.000167,0.006483,0.007634,0.010639,0.024955,0.190527,0.287916,0.350644,0.405748,0.566825,0.165572,0.8169,1.2451,1.1929,0,0,1,0,10,shapiro,0.8575,0.0,False,ok
oecd_7_pmr_oecd_pmr_overall,institutional_control,oecd,count,unknown,True,55,144,27.64,1.563788,1.478137,0.522641,0.297115,0.806338,0.832346,0.901368,0.956144,1.209562,1.810991,2.356514,2.542956,2.87099,2.922681,0.601429,0.201,0.8133,-0.0467,0,0,2,0,4,shapiro,0.931,0.00362,False,ok
oecd_8_rd_tax_oecd_rd_tax_subsidy_rate,socioeconomic_control,oecd,count,unknown,True,52,147,26.13,0.147308,0.155,0.124446,0.115,-0.02,-0.02,-0.02,-0.01,0.0275,0.26,0.319,0.349,0.3747,0.39,0.2325,0.7419,0.2254,-1.1637,2,8,0,0,0,shapiro,0.9355,0.007381,False,ok
oxford_adaptability,ecosystem_outcome,oxford,score_0_100,higher_better,True,193,6,96.98,46.435835,46.029125,15.807272,10.760813,5.644707,7.239669,22.692321,26.389688,35.152131,56.564381,68.556634,72.998692,77.952568,89.700364,21.412251,0.2338,0.0011,-0.2596,0,0,1,0,4,shapiro,0.9941,0.644175,False,ok
oxford_ai_infrastructure,ecosystem_outcome,oxford,score_0_100,higher_better,True,195,4,97.99,44.208462,41.48,14.368363,10.25,16.63,18.4024,23.06,27.178,33.225,54.7,63.46,69.901,76.3954,91.77,21.475,0.2471,0.4158,-0.2781,0,0,1,0,2,shapiro,0.9801,0.007226,False,ok
