variable_matriz,bloque_tematico,source_id,unit,direction,is_primary,n,n_missing,pct_complete,mean,median,std,mad,min,p01,p05,p10,p25,p75,p90,p95,p99,max,iqr,cv_robust,skewness,kurtosis,n_zero,n_negative,n_outliers_iqr_1_5,n_outliers_iqr_3_0,n_outliers_z_robust,normality_test,normality_stat,normality_p,suggest_log_transform,status
wb_tertiary_education_enrollment,socioeconomic_control,wb,pct,higher_better,True,157,42,78.89,50.547079,50.801079,31.490336,26.510484,2.566425,3.442114,6.333237,10.157793,22.41037,75.949654,86.833096,106.273365,120.43628,165.113419,53.539284,0.5218,0.4336,-0.1025,0,0,1,0,1,shapiro,0.9598,0.000163,False,ok
wb_trade_pct_gdp,socioeconomic_control,wb,pct,higher_better,True,172,27,86.43,93.202225,81.550069,58.902378,30.12457,1.995412,20.842125,31.852322,40.139718,51.706608,112.241184,153.551357,189.284344,343.965908,359.506711,60.534577,0.3694,2.0373,5.9643,0,0,7,4,10,shapiro,0.8299,0.0,True,ok
wb_unemployment_rate,socioeconomic_control,wb,count,lower_better,True,181,18,90.95,6.861409,5.092,5.667413,2.208,0.13,0.3678,1.505,2.174,3.227,8.54,13.572,18.758,27.2902,34.202,5.313,0.4336,2.0675,5.3369,0,0,13,3,22,shapiro,0.8012,0.0,True,ok
wb_voice_accountability,institutional_control,wb,wgi_-2.5_2.5,higher_better,True,196,3,98.49,-0.144427,-0.110221,1.043167,0.893739,-2.289781,-2.12577,-1.718189,-1.53301,-1.021029,0.63794,1.250286,1.533786,1.855627,1.929425,1.658969,8.1086,0.0246,-0.9936,0,105,0,0,0,shapiro,0.9749,0.00136,False,ok
wb_voice_accountability_se,institutional_control,wb,wgi_-2.5_2.5,higher_better,True,196,3,98.49,0.17668,0.15768,0.051918,0.009831,0.138556,0.138858,0.142237,0.142237,0.151615,0.177114,0.235765,0.297926,0.419131,0.41932,0.025498,0.0623,2.9737,9.4605,0,0,23,14,33,shapiro,0.6109,0.0,True,ok
wipo_appcrea_score,ecosystem_outcome,wipo,score_0_100,higher_better,True,104,95,52.26,16.611347,7.812085,24.674311,7.639162,0.0,1.6e-05,0.003675,0.029825,0.606723,20.528101,42.332482,83.83592,100.0,100.0,19.921378,0.9779,2.1879,4.1945,1,0,9,6,13,shapiro,0.6763,0.0,True,ok
wipo_apptarriff_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,132,67,66.33,73.603417,80.771379,21.781906,9.893797,0.0,13.634987,32.657906,41.928448,59.027386,89.714924,93.789826,95.721073,99.247065,100.0,30.687537,0.1225,-1.1292,0.5399,1,0,1,0,18,shapiro,0.8646,0.0,False,ok
wipo_brandval_score,ecosystem_outcome,wipo,score_0_100,higher_better,True,113,86,56.78,14.438445,3.961682,20.532407,3.961682,0.0,0.0,0.0,0.0,0.0,22.023071,47.000799,54.43348,76.252516,100.0,22.023071,1.0,1.7271,2.6892,34,0,6,1,32,shapiro,0.7414,0.0,False,ok
wipo_c_eccomplexity_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,121,78,60.8,46.869593,44.24091,22.202419,15.241928,0.0,4.919512,13.643723,21.350264,30.476917,63.701545,78.739939,85.583773,93.703858,100.0,33.224628,0.3445,0.301,-0.6619,1,0,0,0,1,shapiro,0.9783,0.04814,False,ok
wipo_c_hhi_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,112,87,56.28,83.47478,88.330691,16.747463,7.914808,0.0,23.499865,51.580812,63.288382,77.49061,94.76251,97.819729,98.635973,99.385128,100.0,17.2719,0.0896,-2.1578,6.142,1,0,6,2,9,shapiro,0.7914,0.0,True,ok
wipo_c_hitechmanufind2_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,110,89,55.28,33.282831,29.342217,22.999847,17.366608,0.0,1.621798,3.276227,5.016394,16.060361,49.782224,63.728245,75.56895,88.871049,100.0,33.721863,0.5919,0.6079,-0.416,1,0,0,0,1,shapiro,0.9482,0.000316,False,ok
wipo_c_htexphkg_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,131,68,65.83,16.706315,5.90146,24.396144,5.37185,0.0,0.053055,0.234968,0.47869,1.381716,22.043386,47.123272,75.45206,100.0,100.0,20.66167,0.9103,2.1669,4.3272,1,0,11,7,31,shapiro,0.6828,0.0,True,ok
wipo_c_scitechart_score,ecosystem_outcome,wipo,score_0_100,higher_better,True,131,68,65.83,28.612623,20.000387,24.253756,12.348256,0.0,1.009012,2.584411,4.27613,10.828357,41.577492,66.714216,79.190565,93.012271,100.0,30.749135,0.6174,1.0837,0.2017,1,0,2,0,16,shapiro,0.8716,0.0,False,ok
wipo_c_vencapdeal_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,94,105,47.24,18.358099,9.231397,24.146203,7.235578,0.0,0.174391,0.664035,1.626864,3.282183,22.470498,43.043061,80.169439,100.0,100.0,19.188315,0.7838,2.1978,4.3306,1,0,8,5,15,shapiro,0.6899,0.0,True,ok
wipo_cctld_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,132,67,66.33,14.726042,2.333719,25.176934,2.283487,0.0,0.001861,0.026323,0.071509,0.445027,14.370884,55.760845,69.525912,100.0,100.0,13.925856,0.9785,2.087,3.4665,1,0,18,13,40,shapiro,0.6318,0.0,True,ok
wipo_citdoc_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,132,67,66.33,20.630811,11.496225,21.884429,6.897735,0.0,1.161977,2.515443,3.500343,5.525051,29.186685,53.527797,68.695951,95.978723,100.0,23.661633,0.6,1.7141,2.4472,1,0,10,0,26,shapiro,0.7768,0.0,False,ok
wipo_compsoftspend_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,125,74,62.81,20.970332,19.836091,17.284389,12.269931,0.0,0.411828,1.123466,1.809805,6.298498,28.587988,46.727192,48.205045,60.44829,100.0,22.28949,0.6186,1.1664,2.258,1,0,1,1,1,shapiro,0.9021,0.0,False,ok
wipo_costredu_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,130,69,65.33,79.563378,82.838284,19.447449,12.513751,0.0,5.577558,46.192362,57.540468,70.202735,95.00275,100.0,100.0,100.0,100.0,24.800016,0.1511,-1.6467,3.7461,1,0,4,0,4,shapiro,0.8535,0.0,False,ok
wipo_creagoodexp_score,ecosystem_outcome,wipo,score_0_100,higher_better,True,131,68,65.83,15.93015,4.457242,24.84745,4.217268,0.0,0.049002,0.12292,0.279621,1.179689,20.129481,40.520037,80.484527,100.0,100.0,18.949792,0.9462,2.1571,3.9557,1,0,12,9,34,shapiro,0.6581,0.0,True,ok
wipo_cultservexp_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,113,86,56.78,19.332368,10.94338,23.348917,9.382806,0.0,0.002534,0.079659,0.495239,3.290996,27.263364,49.326733,62.90222,100.0,100.0,23.972368,0.8574,1.8321,3.2691,1,0,6,4,17,shapiro,0.7702,0.0,False,ok
wipo_domcred2priv_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,130,69,65.33,25.302423,19.928413,19.725937,11.264851,0.0,1.650593,2.875431,4.471628,9.998471,35.261547,55.716255,65.398067,78.760406,100.0,25.263076,0.5653,1.1723,1.1216,1,0,4,0,10,shapiro,0.8997,0.0,False,ok
wipo_dommarksc_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,132,67,66.33,52.76299,51.618841,16.895038,12.339328,0.0,22.691579,30.798217,33.999892,39.327477,63.412062,76.421889,79.926133,95.832998,100.0,24.084585,0.239,0.2415,0.0796,1,0,2,0,3,shapiro,0.9827,0.092172,False,ok
wipo_easecred_score,institutional_control,wipo,score_0_100,higher_better,True,132,67,66.33,62.575758,65.0,20.9915,15.0,0.0,6.55,27.75,35.0,50.0,76.25,85.0,95.0,100.0,100.0,26.25,0.2308,-0.6017,0.2349,1,0,4,0,4,shapiro,0.9667,0.002545,False,ok
wipo_easeinsol_score,institutional_control,wipo,score_0_100,higher_better,True,132,67,66.33,53.674566,53.040345,20.007035,14.221955,0.0,0.0,26.260921,30.363013,39.48576,68.53166,80.15702,84.412943,90.401749,92.69427,29.0459,0.2681,-0.2479,-0.0732,4,0,0,0,4,shapiro,0.9743,0.013246,False,ok
wipo_easeprotinv_score,institutional_control,wipo,score_0_100,higher_better,True,132,67,66.33,58.890909,62.0,17.606424,12.0,10.0,20.0,27.1,34.0,44.0,72.0,80.0,84.0,87.38,92.0,28.0,0.1935,-0.4726,-0.4474,0,0,0,0,1,shapiro,0.9682,0.003483,False,ok
wipo_easestartbus_score,institutional_control,wipo,score_0_100,higher_better,True,132,67,66.33,86.814789,88.418985,8.563332,4.99068,52.42046,60.849678,70.416594,74.557083,82.86372,93.235827,95.110823,96.355652,99.189273,99.97544,10.372107,0.0564,-1.2363,1.7698,0,0,3,0,7,shapiro,0.9098,0.0,False,ok
wipo_elecout_score,ecosystem_outcome,wipo,score_0_100,higher_better,True,124,75,62.31,17.370254,11.508996,18.563505,8.299287,0.0,0.053629,0.577581,1.40675,4.318372,23.101652,37.416569,58.274742,92.734448,100.0,18.78328,0.7211,2.1128,5.5353,1,0,8,2,12,shapiro,0.786,0.0,True,ok
wipo_entmedia_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,63,136,31.66,26.549172,13.799032,26.969578,12.469975,0.0,0.079208,0.910232,1.209096,4.963809,50.590249,61.82918,75.975134,98.385898,100.0,45.62644,0.9037,0.946,-0.1273,1,0,0,0,9,shapiro,0.8516,2e-06,False,ok
wipo_envperf_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,130,69,65.33,50.114615,46.6,15.970783,11.85,25.1,25.974,29.18,30.98,37.425,63.55,74.36,78.81,82.068,82.5,26.125,0.2543,0.4367,-0.9322,0,0,0,0,0,shapiro,0.9423,3.1e-05,False,ok
wipo_epart_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,131,68,65.83,68.402137,71.43,21.182913,15.47,15.48,22.858,30.95,36.9,51.785,85.71,95.24,97.62,100.0,100.0,33.925,0.2166,-0.4385,-0.8029,0,0,0,0,1,shapiro,0.9539,0.000213,False,ok
wipo_expedu_score,socioeconomic_control,wipo,score_0_100,higher_better,True,114,85,57.29,44.464276,45.357728,19.756702,12.870534,0.0,8.980645,14.200401,21.468968,31.097817,56.061435,69.85072,77.287886,93.591364,100.0,24.963618,0.2838,0.395,0.0622,1,0,2,0,4,shapiro,0.9828,0.152479,False,ok
wipo_fdinetinfl_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,132,67,66.33,44.180797,42.876448,12.6453,2.683118,0.0,13.601759,33.721669,38.059788,40.140347,45.349396,52.955317,61.699248,99.06671,100.0,5.209049,0.0626,1.9659,9.4107,1,0,19,12,20,shapiro,0.6896,0.0,False,ok
wipo_femempdeg_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,124,75,62.31,38.450158,36.748397,26.961136,21.799147,0.0,0.543131,1.620114,3.495112,16.533043,60.125807,78.08586,82.323136,91.593203,100.0,43.592764,0.5932,0.2865,-1.0499,1,0,0,0,0,shapiro,0.9482,0.000123,False,ok
wipo_firmtrain_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,98,101,49.25,37.782944,34.379263,22.042792,14.051842,0.0,2.381992,8.976808,14.638472,20.600273,50.375171,68.676671,81.896317,92.721692,100.0,29.774898,0.4087,0.6848,-0.1108,1,0,1,0,3,shapiro,0.9563,0.002513,False,ok
wipo_gdpener_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,124,75,62.31,29.835513,28.072415,17.896347,10.415477,0.0,2.513284,7.920935,10.556209,17.880294,38.4669,49.535486,61.68861,93.560441,100.0,20.586606,0.371,1.317,2.7459,1,0,6,0,6,shapiro,0.9145,1e-06,False,ok
wipo_gentld_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,132,67,66.33,13.985901,2.806862,23.567067,2.638548,0.0,0.003386,0.057362,0.165524,0.871288,13.396591,51.918598,73.072169,98.702169,100.0,12.525304,0.94,2.1386,3.7152,1,0,20,14,35,shapiro,0.6311,0.0,True,ok
wipo_gerdfinabr_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,102,97,51.26,15.561711,7.320792,20.193672,6.894407,0.0,0.003481,0.039171,0.386381,1.567922,23.723999,37.195594,52.056212,99.739161,100.0,22.156077,0.9418,2.1084,5.1204,1,0,5,2,17,shapiro,0.7475,0.0,True,ok
wipo_gerdfinbus_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,103,96,51.76,40.328058,45.230335,28.680163,23.357877,0.0,0.001963,0.478585,1.631354,11.352121,62.654929,76.99196,84.537766,97.567677,100.0,51.302808,0.5164,0.082,-1.1079,2,0,0,0,0,shapiro,0.9394,0.000141,False,ok
wipo_gerdperf_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,89,110,44.72,15.604894,8.158868,19.548632,7.383212,0.0,0.002411,0.192248,0.464983,1.41047,20.734027,42.665716,51.500452,86.724485,100.0,19.323558,0.9049,1.9078,4.0986,1,0,8,2,14,shapiro,0.77,0.0,False,ok
wipo_gii_score,ecosystem_outcome,wipo,score_0_100,higher_better,True,141,58,70.85,31.225591,28.480284,13.468388,8.901696,11.909935,12.377414,14.421053,15.763699,20.951048,39.994374,51.463955,57.035492,62.222599,65.961951,19.043326,0.3126,0.6943,-0.4818,0,0,0,0,5,shapiro,0.9329,3e-06,False,ok
wipo_goveff_score,institutional_control,wipo,score_0_100,higher_better,False,132,67,66.33,55.548365,52.513142,20.071256,15.163134,0.0,24.24792,27.265119,32.627064,39.20427,72.735369,85.456045,89.903824,93.925694,100.0,33.531099,0.2887,0.2428,-0.6417,1,0,0,0,0,shapiro,0.9682,0.003497,False,ok
wipo_govfundpup_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,102,97,51.26,29.655708,29.4516,16.474108,8.726391,0.0,1.801818,5.015872,9.685163,19.819718,37.101932,48.563186,53.112372,73.77916,100.0,17.282214,0.2963,0.9452,2.5482,1,0,5,1,5,shapiro,0.9449,0.000338,False,ok
wipo_govolserv_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,131,68,65.83,67.574809,70.59,19.50879,14.7,19.41,22.996,30.585,38.82,52.645,84.12,90.59,94.71,98.705,100.0,31.475,0.2082,-0.4998,-0.5659,0,0,0,0,0,shapiro,0.9619,0.001002,False,ok
wipo_grocap_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,126,73,63.32,29.516509,26.571146,14.510802,7.050035,0.0,2.31941,10.268201,15.086857,21.402881,34.827207,45.943861,55.073527,71.270415,100.0,13.424327,0.2653,1.3994,4.0682,1,0,9,1,12,shapiro,0.914,1e-06,False,ok
wipo_hitechimp_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,131,68,65.83,28.434896,24.093489,19.987559,8.23908,0.0,1.99781,5.323151,9.274121,17.152459,33.423722,50.216419,78.960495,98.739811,100.0,16.271263,0.342,1.8083,3.6227,1,0,10,6,13,shapiro,0.8233,0.0,False,ok
wipo_ictacc_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,132,67,66.33,62.461773,66.959329,20.624607,16.344334,21.665122,22.886738,25.915157,33.379639,44.787166,79.820258,87.304496,90.229628,94.211818,95.051625,35.033093,0.2441,-0.3308,-1.1223,0,0,0,0,0,shapiro,0.9423,2.7e-05,False,ok
wipo_ictorgmod_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,125,74,62.81,55.580095,54.433393,12.933173,9.387819,21.689014,28.9546,37.393968,40.151118,47.233069,63.983329,75.14873,78.692614,82.144677,83.734417,16.75026,0.1725,0.1453,-0.4214,0,0,1,0,0,shapiro,0.9864,0.249515,False,ok
wipo_ictservexp_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,131,68,65.83,19.520629,14.036279,21.422349,10.244361,0.0,0.169855,1.199775,1.906366,4.957039,26.186929,45.499007,55.146208,100.0,100.0,21.22989,0.7298,2.122,5.0507,1,0,6,5,10,shapiro,0.763,0.0,True,ok
wipo_ictsevimp_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,131,68,65.83,30.939314,25.358468,22.139829,14.543011,0.0,1.003357,5.115317,6.482432,13.042045,44.31585,59.084055,71.284457,99.937186,100.0,31.273804,0.5735,0.9637,0.6288,1,0,3,0,6,shapiro,0.9231,1e-06,False,ok
wipo_ictuse_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,132,67,66.33,54.759216,57.607782,24.356905,18.705961,3.083421,7.686086,12.539732,15.934773,38.515483,76.280431,83.002628,86.78085,90.094731,90.438198,37.764948,0.3247,-0.4243,-0.9934,0,0,0,0,0,shapiro,0.9364,1e-05,False,ok
wipo_in_1_1_1_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,141,58,70.85,58.45476,60.666667,21.079638,14.666667,0.0,0.266667,20.0,28.666667,46.666667,75.333333,82.666667,86.666667,95.2,100.0,28.666667,0.2418,-0.6051,0.012,2,0,3,0,3,shapiro,0.9696,0.003137,False,ok
wipo_in_1_1_2_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,141,58,70.85,46.207726,43.399503,22.575676,17.110911,0.0,1.509491,15.08999,19.634936,27.352482,61.540514,80.652528,83.00016,94.34298,100.0,34.188033,0.3943,0.2696,-0.7042,2,0,0,0,0,shapiro,0.9775,0.020166,False,ok
wipo_in_1_1_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,141,58,70.85,52.331243,53.577952,21.145878,15.611604,0.0,2.112668,19.113064,24.923212,37.227585,68.286115,81.077671,86.301805,90.638157,98.666667,31.05853,0.2914,-0.1184,-0.5476,1,0,0,0,0,shapiro,0.9892,0.344468,False,ok
wipo_in_1_2_1_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,141,58,70.85,49.720465,49.074068,21.918309,15.904374,0.0,3.126058,18.151566,23.741118,33.129214,64.696886,80.639062,87.099233,91.426607,100.0,31.567672,0.3241,0.1474,-0.6809,2,0,0,0,0,shapiro,0.9838,0.094933,False,ok
wipo_in_1_2_2_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,141,58,70.85,53.242564,49.143829,23.278023,16.79272,0.0,0.237348,21.863783,25.55414,36.721329,69.292367,89.222936,94.028808,97.861113,100.0,32.571038,0.3417,0.1762,-0.6504,2,0,0,0,0,shapiro,0.9725,0.006055,False,ok
wipo_in_1_2_3_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,133,66,66.83,79.845388,84.378439,19.321645,11.441146,0.0,6.006605,46.738336,58.123531,70.579923,95.104511,100.0,100.0,100.0,100.0,24.524589,0.1356,-1.6771,3.8679,1,0,4,0,6,shapiro,0.8502,0.0,False,ok
wipo_in_1_2_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,141,58,70.85,52.016028,48.559642,21.616275,15.714701,0.0,14.831966,22.130912,27.366532,36.245606,67.483623,85.12875,90.182804,93.82311,97.403589,31.238018,0.3236,0.285,-0.7528,1,0,0,0,0,shapiro,0.9698,0.003249,False,ok
wipo_in_1_3_1_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,136,63,68.34,47.531795,46.275069,21.667665,17.615143,0.0,2.416363,12.981727,21.386683,30.611082,65.196294,76.223851,79.727964,91.692608,100.0,34.585212,0.3807,0.0294,-0.7272,1,0,0,0,0,shapiro,0.9858,0.173757,False,ok
wipo_in_1_3_2_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,93,106,46.73,41.502688,41.438337,22.601412,14.931315,0.0,1.613796,9.247587,15.528712,25.780681,53.077495,72.150914,78.133699,98.719069,100.0,27.296814,0.3603,0.4456,-0.2587,1,0,2,0,2,shapiro,0.9741,0.060777,False,ok
wipo_in_1_3_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,138,61,69.35,44.782968,43.759388,20.896799,15.697532,0.0,1.249435,9.50558,20.420758,28.657074,60.141666,72.194035,77.181859,89.97157,100.0,31.484593,0.3587,0.0875,-0.5662,1,0,0,0,1,shapiro,0.988,0.274749,False,ok
wipo_in_1_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,141,58,70.85,49.601907,48.958414,19.055015,14.444053,1.878481,14.398724,18.279251,26.655692,34.609744,65.257289,75.24707,81.233109,86.352135,98.690085,30.647544,0.295,0.0973,-0.6196,0,0,0,0,0,shapiro,0.989,0.332654,False,ok
wipo_in_2_1_1_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,137,62,68.84,43.122134,41.956448,16.589639,10.653357,0.0,3.780507,17.664454,23.589419,31.946999,52.702933,64.671405,70.485854,87.075968,100.0,20.755935,0.2539,0.292,0.7579,1,0,5,0,5,shapiro,0.9883,0.301104,False,ok
wipo_in_2_1_2_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,116,83,58.29,30.735211,28.801201,18.45666,11.273265,0.0,0.112912,3.70659,8.052735,17.560085,40.131296,57.127768,63.149163,74.441806,100.0,22.57121,0.3914,0.7233,0.8609,1,0,2,0,5,shapiro,0.9634,0.002964,False,ok
wipo_in_2_1_3_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,130,69,65.33,52.70971,54.763283,21.843681,14.323131,0.0,4.783221,15.475151,21.124431,37.043607,67.725662,79.405636,86.794403,96.947436,100.0,30.682055,0.2615,-0.2257,-0.4642,1,0,0,0,2,shapiro,0.9882,0.328161,False,ok
wipo_in_2_1_4_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,86,113,43.22,42.220608,42.156779,22.842069,18.115667,0.0,4.515722,8.180068,10.47333,24.582236,60.448889,66.320082,75.159164,93.146882,100.0,35.866653,0.4297,0.064,-0.8656,1,0,0,0,0,shapiro,0.9597,0.008938,False,ok
wipo_in_2_1_5_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,137,62,68.84,74.819403,80.459196,20.097592,10.037874,0.0,7.616773,35.734313,46.689307,66.30124,89.782995,93.957803,95.086137,97.660379,100.0,23.481754,0.1248,-1.4558,2.0677,2,0,6,0,14,shapiro,0.8612,0.0,False,ok
wipo_in_2_1_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,141,58,70.85,49.523407,49.680991,14.367847,10.897964,0.400894,13.994911,26.869492,31.786611,40.566034,61.123031,65.694304,69.987241,76.805468,91.338512,20.556997,0.2194,-0.3401,0.3943,0,0,1,0,3,shapiro,0.986,0.163238,False,ok
wipo_in_2_2_1_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,135,64,67.84,29.353181,30.952094,19.588978,15.956287,0.0,0.271794,2.013489,4.490853,11.500588,44.782657,53.707147,60.051251,72.127018,100.0,33.282069,0.5155,0.3738,-0.1044,2,0,1,0,1,shapiro,0.9533,0.00015,False,ok
wipo_in_2_2_2_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,119,80,59.8,43.53701,43.062574,21.724073,13.906428,0.0,0.899263,7.315476,16.470724,30.538841,58.417192,73.978516,83.413289,89.272341,100.0,27.878351,0.3229,0.1704,-0.3667,1,0,0,0,1,shapiro,0.9884,0.411664,False,ok
wipo_in_2_2_3_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,122,77,61.31,17.338882,10.545295,20.54244,9.034165,0.0,0.025508,0.544317,0.848546,2.974532,24.325891,45.124715,53.111549,100.0,100.0,21.35136,0.8567,2.068,4.9207,2,0,5,3,13,shapiro,0.7659,0.0,True,ok
wipo_in_2_2_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,136,63,68.34,28.84507,29.901129,15.39963,11.179144,0.0,0.431555,4.477684,6.766152,17.507798,39.031091,47.97898,52.853369,66.198341,73.412593,21.523293,0.3739,0.1147,-0.3425,2,0,1,0,2,shapiro,0.9834,0.096668,False,ok
wipo_in_2_3_1_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,118,81,59.3,20.288634,7.9646,24.606262,7.703553,0.0,0.058112,0.166326,0.265956,1.704694,34.746109,57.193988,68.573561,90.383067,100.0,33.041415,0.9672,1.3026,0.7335,1,0,3,0,30,shapiro,0.7924,0.0,False,ok
wipo_in_2_3_2_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,121,78,60.8,15.34307,9.394156,17.624998,7.028689,0.0,0.082243,0.667349,1.328033,3.0945,22.344767,41.725592,51.940851,73.84575,100.0,19.250266,0.7482,1.9595,4.5783,1,0,8,1,16,shapiro,0.7774,0.0,False,ok
wipo_in_2_3_3_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,140,59,70.35,19.466909,0.0,30.59834,0.0,0.0,0.0,0.0,0.0,0.0,46.051309,68.281359,81.886337,90.641925,100.0,46.051309,,1.1001,-0.4249,97,0,0,0,0,shapiro,0.6552,0.0,False,ok
wipo_in_2_3_4_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,141,58,70.85,21.523073,10.276545,27.02536,10.276545,0.0,0.0,0.0,0.0,0.0,39.09184,60.66917,79.378628,95.793786,100.0,39.09184,1.0,1.1525,0.2872,61,0,2,0,27,shapiro,0.7965,0.0,False,ok
wipo_in_2_3_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,141,58,70.85,18.225084,7.003911,22.585846,6.979188,0.0,0.0,0.0,0.0,0.861889,28.502271,60.275891,66.428343,75.408666,83.961762,27.640381,0.9965,1.2052,0.1987,17,0,3,0,35,shapiro,0.7874,0.0,False,ok
wipo_in_2_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,141,58,70.85,32.2638,30.401614,14.752106,10.887169,5.517167,7.303928,12.763458,14.598497,19.886427,42.696462,55.069895,58.575082,62.699869,66.991373,22.810035,0.3581,0.4228,-0.7426,0,0,0,0,0,shapiro,0.9627,0.000688,False,ok
wipo_in_3_1_1_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,140,59,70.35,77.305182,84.278428,22.624515,12.920878,0.0,16.488195,34.002174,43.748897,63.438358,96.013754,98.822101,99.826664,100.0,100.0,32.575396,0.1533,-1.0795,0.3912,1,0,1,0,9,shapiro,0.866,0.0,False,ok
wipo_in_3_1_2_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,141,58,70.85,68.798591,77.536747,24.366425,10.813451,0.0,1.948945,12.717133,22.958737,61.005155,84.818058,92.170248,94.488189,98.40653,100.0,23.812903,0.1395,-1.271,0.7731,2,0,15,0,20,shapiro,0.8548,0.0,False,ok
wipo_in_3_1_3_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,140,59,70.35,61.347288,66.562602,24.613103,19.410859,0.0,13.387555,19.602026,27.359753,39.735145,82.436147,90.529589,93.468498,99.72605,100.0,42.701002,0.2916,-0.3554,-1.0037,1,0,0,0,0,shapiro,0.9502,6.2e-05,False,ok
wipo_in_3_1_4_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,135,64,67.84,53.388321,53.494321,23.616408,19.758518,0.0,10.517548,19.888468,23.257956,32.559091,72.096593,81.624885,95.344316,98.440397,100.0,39.537501,0.3694,0.0463,-0.9385,1,0,0,0,0,shapiro,0.9704,0.004856,False,ok
wipo_in_3_1_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,141,58,70.85,69.310146,75.373119,21.912935,14.010887,10.333793,15.639452,25.366891,36.333509,56.814267,87.389245,92.889252,95.010296,98.18295,98.595105,30.574978,0.1859,-0.8209,-0.2672,0,0,1,0,8,shapiro,0.9165,0.0,False,ok
wipo_in_3_2_1_score,tech_infrastructure_control,wipo,score_0_100,higher_better,True,134,65,67.34,18.613017,12.208022,20.898906,9.449952,0.0,0.19309,0.431043,1.330814,3.800951,24.806634,41.960361,64.541704,100.0,100.0,21.005683,0.7741,2.0613,4.5749,1,0,9,3,13,shapiro,0.769,0.0,True,ok
