iso3,country_name_canonical,region,income_group,n_binding,has_binding,n_non_binding,has_non_binding,n_hybrid,has_hybrid,n_unknown,has_unknown,has_iapp_record,taxonomy_status
IND,India,South Asia,Lower middle income,3,1,6,1,2,1,0,0,1,classified_exploratory
IRL,Ireland,Europe & Central Asia,High income,0,0,0,0,0,0,0,0,1,classified_exploratory
IRN,Iran,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,0,0,0,0,0,0,0,0,1,classified_exploratory
IRQ,Iraq,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,0,0,0,0,0,0,0,0,0,no_iapp_record
ISL,Iceland,Europe & Central Asia,High income,0,0,0,0,0,0,0,0,1,classified_exploratory
ISR,Israel,"Middle East, North Africa, Afghanistan & Pakistan",High income,4,1,6,1,2,1,0,0,1,classified_exploratory
ITA,Italy,Europe & Central Asia,High income,0,0,0,0,0,0,0,0,1,classified_exploratory
JAM,Jamaica,Latin America & Caribbean ,Upper middle income,0,0,0,0,0,0,0,0,1,classified_exploratory
JOR,Jordan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0,0,0,0,0,0,0,0,1,classified_exploratory
JPN,Japan,East Asia & Pacific,High income,4,1,9,1,2,1,0,0,1,classified_exploratory
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,0,0,0,0,0,0,0,0,1,classified_exploratory
KEN,Kenya,Sub-Saharan Africa ,Lower middle income,3,1,2,1,2,1,0,0,1,classified_exploratory
KGZ,Kyrgyz Republic,Europe & Central Asia,Lower middle income,0,0,0,0,0,0,0,0,1,classified_exploratory
KHM,Cambodia,East Asia & Pacific,Lower middle income,0,0,0,0,0,0,0,0,1,classified_exploratory
KIR,Kiribati,East Asia & Pacific,Lower middle income,0,0,0,0,0,0,0,0,0,no_iapp_record
KNA,Saint Kitts and Nevis,Latin America & Caribbean ,High income,0,0,0,0,0,0,0,0,0,no_iapp_record
KOR,South Korea,East Asia & Pacific,High income,4,1,5,1,2,1,0,0,1,classified_exploratory
KWT,Kuwait,"Middle East, North Africa, Afghanistan & Pakistan",High income,0,0,0,0,0,0,0,0,1,classified_exploratory
LAO,Laos,East Asia & Pacific,Lower middle income,0,0,0,0,0,0,0,0,1,classified_exploratory
LBN,Lebanon,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0,0,0,0,0,0,0,0,1,classified_exploratory
LBR,Liberia,Sub-Saharan Africa ,Low income,0,0,0,0,0,0,0,0,1,classified_exploratory
LBY,Libya,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,0,0,0,0,0,0,0,0,1,classified_exploratory
LCA,Saint Lucia,Latin America & Caribbean ,Upper middle income,0,0,0,0,0,0,0,0,1,classified_exploratory
LIE,Liechtenstein,Europe & Central Asia,High income,0,0,0,0,0,0,0,0,0,no_iapp_record
LKA,Sri Lanka,South Asia,Lower middle income,0,0,0,0,0,0,0,0,1,classified_exploratory
LSO,Lesotho,Sub-Saharan Africa ,Lower middle income,0,0,0,0,0,0,0,0,1,classified_exploratory
LTU,Lithuania,Europe & Central Asia,High income,0,0,0,0,0,0,0,0,1,classified_exploratory
LUX,Luxembourg,Europe & Central Asia,High income,0,0,0,0,0,0,0,0,1,classified_exploratory
LVA,Latvia,Europe & Central Asia,High income,0,0,0,0,0,0,0,0,1,classified_exploratory
MAR,Morocco,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0,0,0,0,0,0,0,0,1,classified_exploratory
MCO,Monaco,Europe & Central Asia,High income,0,0,0,0,0,0,0,0,0,no_iapp_record
MDA,Moldova,Europe & Central Asia,Upper middle income,0,0,0,0,0,0,0,0,1,classified_exploratory
MDG,Madagascar,Sub-Saharan Africa ,Low income,0,0,0,0,0,0,0,0,0,no_iapp_record
MDV,Maldives,South Asia,Upper middle income,0,0,0,0,0,0,0,0,0,no_iapp_record
MEX,Mexico,Latin America & Caribbean ,Upper middle income,0,0,0,0,0,0,0,0,1,classified_exploratory
MHL,Marshall Islands (the),East Asia & Pacific,Upper middle income,0,0,0,0,0,0,0,0,0,no_iapp_record
MKD,North Macedonia,Europe & Central Asia,Upper middle income,0,0,0,0,0,0,0,0,1,classified_exploratory
MLI,Mali,Sub-Saharan Africa ,Low income,0,0,0,0,0,0,0,0,1,classified_exploratory
MLT,Malta,"Middle East, North Africa, Afghanistan & Pakistan",High income,0,0,0,0,0,0,0,0,1,classified_exploratory
MMR,Myanmar,East Asia & Pacific,Lower middle income,0,0,0,0,0,0,0,0,1,classified_exploratory
MNE,Montenegro,Europe & Central Asia,Upper middle income,0,0,0,0,0,0,0,0,1,classified_exploratory
MNG,Mongolia,East Asia & Pacific,Upper middle income,0,0,0,0,0,0,0,0,1,classified_exploratory
MOZ,Mozambique,Sub-Saharan Africa ,Low income,0,0,0,0,0,0,0,0,1,classified_exploratory
MRT,Mauritania,Sub-Saharan Africa ,Lower middle income,0,0,0,0,0,0,0,0,0,no_iapp_record
MUS,Mauritius,Sub-Saharan Africa ,Upper middle income,3,1,3,1,1,1,0,0,1,classified_exploratory
MWI,Malawi,Sub-Saharan Africa ,Low income,0,0,0,0,0,0,0,0,1,classified_exploratory
MYS,Malaysia,East Asia & Pacific,Upper middle income,0,0,0,0,0,0,0,0,1,classified_exploratory
NAM,Namibia,Sub-Saharan Africa ,Lower middle income,0,0,0,0,0,0,0,0,1,classified_exploratory
NER,Niger (the),Sub-Saharan Africa ,Low income,0,0,0,0,0,0,0,0,1,classified_exploratory
NGA,Nigeria,Sub-Saharan Africa ,Lower middle income,3,1,6,1,2,1,0,0,1,classified_exploratory
NIC,Nicaragua,Latin America & Caribbean ,Lower middle income,0,0,0,0,0,0,0,0,0,no_iapp_record
NLD,Netherlands (Kingdom of the),Europe & Central Asia,High income,0,0,0,0,0,0,0,0,1,classified_exploratory
NOR,Norway,Europe & Central Asia,High income,0,0,0,0,0,0,0,0,1,classified_exploratory
NPL,Nepal,South Asia,Lower middle income,0,0,0,0,0,0,0,0,1,classified_exploratory
NRU,Nauru,East Asia & Pacific,High income,0,0,0,0,0,0,0,0,0,no_iapp_record
NZL,New Zealand,East Asia & Pacific,High income,3,1,7,1,1,1,0,0,1,classified_exploratory
OMN,Oman,"Middle East, North Africa, Afghanistan & Pakistan",High income,0,0,0,0,0,0,0,0,1,classified_exploratory
PAK,Pakistan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0,0,0,0,0,0,0,0,1,classified_exploratory
PAN,Panama,Latin America & Caribbean ,High income,0,0,0,0,0,0,0,0,1,classified_exploratory
PER,Peru,Latin America & Caribbean ,Upper middle income,4,1,4,1,1,1,0,0,1,classified_exploratory
PHL,Philippines (the),East Asia & Pacific,Lower middle income,0,0,0,0,0,0,0,0,1,classified_exploratory
PLW,Palau,East Asia & Pacific,High income,0,0,0,0,0,0,0,0,0,no_iapp_record
PNG,Papua New Guinea,East Asia & Pacific,Lower middle income,0,0,0,0,0,0,0,0,0,no_iapp_record
POL,Poland,Europe & Central Asia,High income,0,0,0,0,0,0,0,0,1,classified_exploratory
PRI,Puerto Rico,Latin America & Caribbean ,High income,0,0,0,0,0,0,0,0,0,no_iapp_record
PRK,North Korea,East Asia & Pacific,Low income,0,0,0,0,0,0,0,0,0,no_iapp_record
PRT,Portugal,Europe & Central Asia,High income,0,0,0,0,0,0,0,0,1,classified_exploratory
PRY,Paraguay,Latin America & Caribbean ,Upper middle income,0,0,0,0,0,0,0,0,1,classified_exploratory
PSE,Palestine,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0,0,0,0,0,0,0,0,1,classified_exploratory
QAT,Qatar,"Middle East, North Africa, Afghanistan & Pakistan",High income,0,0,0,0,0,0,0,0,1,classified_exploratory
ROU,Romania,Europe & Central Asia,High income,0,0,0,0,0,0,0,0,1,classified_exploratory
RUS,Russia,Europe & Central Asia,High income,0,0,0,0,0,0,0,0,1,classified_exploratory
RWA,Rwanda,Sub-Saharan Africa ,Low income,0,0,0,0,0,0,0,0,1,classified_exploratory
SAU,Saudi Arabia,"Middle East, North Africa, Afghanistan & Pakistan",High income,3,1,4,1,2,1,0,0,1,classified_exploratory
SDN,Sudan (the),Sub-Saharan Africa ,Low income,0,0,0,0,0,0,0,0,0,no_iapp_record
SEN,Senegal,Sub-Saharan Africa ,Lower middle income,0,0,0,0,0,0,0,0,1,classified_exploratory
SGP,Singapore,East Asia & Pacific,High income,3,1,8,1,3,1,0,0,1,classified_exploratory
SLB,Solomon Islands,East Asia & Pacific,Lower middle income,0,0,0,0,0,0,0,0,0,no_iapp_record
SLE,Sierra Leone,Sub-Saharan Africa ,Low income,0,0,0,0,0,0,0,0,1,classified_exploratory
SLV,El Salvador,Latin America & Caribbean ,Upper middle income,0,0,0,0,0,0,0,0,1,classified_exploratory
SMR,San Marino,Europe & Central Asia,High income,0,0,0,0,0,0,0,0,0,no_iapp_record
SOM,"Somalia, Fed. Rep.",Sub-Saharan Africa ,Low income,0,0,0,0,0,0,0,0,1,classified_exploratory
SRB,Serbia,Europe & Central Asia,Upper middle income,0,0,0,0,0,0,0,0,1,classified_exploratory
SSD,South Sudan,Sub-Saharan Africa ,Low income,0,0,0,0,0,0,0,0,1,classified_exploratory
STP,Sao Tome and Principe,Sub-Saharan Africa ,Lower middle income,0,0,0,0,0,0,0,0,0,no_iapp_record
SUR,Suriname,Latin America & Caribbean ,Upper middle income,0,0,0,0,0,0,0,0,0,no_iapp_record
SVK,Slovakia,Europe & Central Asia,High income,0,0,0,0,0,0,0,0,1,classified_exploratory
SVN,Slovenia,Europe & Central Asia,High income,0,0,0,0,0,0,0,0,1,classified_exploratory
SWE,Sweden,Europe & Central Asia,High income,0,0,0,0,0,0,0,0,1,classified_exploratory
SWZ,Swaziland,Sub-Saharan Africa ,Lower middle income,0,0,0,0,0,0,0,0,0,no_iapp_record
SYC,Seychelles,Sub-Saharan Africa ,High income,0,0,0,0,0,0,0,0,0,no_iapp_record
SYR,Syria,"Middle East, North Africa, Afghanistan & Pakistan",Low income,0,0,0,0,0,0,0,0,0,no_iapp_record
TCD,Chad,Sub-Saharan Africa ,Low income,0,0,0,0,0,0,0,0,1,classified_exploratory
TGO,Togo,Sub-Saharan Africa ,Low income,0,0,0,0,0,0,0,0,1,classified_exploratory
THA,Thailand,East Asia & Pacific,Upper middle income,0,0,0,0,0,0,0,0,1,classified_exploratory
TJK,Tajikistan,Europe & Central Asia,Lower middle income,0,0,0,0,0,0,0,0,1,classified_exploratory
TKM,Turkmenistan,Europe & Central Asia,Upper middle income,0,0,0,0,0,0,0,0,1,classified_exploratory
TLS,Timor Leste,East Asia & Pacific,Lower middle income,0,0,0,0,0,0,0,0,0,no_iapp_record
TON,Tonga,East Asia & Pacific,Upper middle income,0,0,0,0,0,0,0,0,0,no_iapp_record
TTO,Trinidad and Tobago,Latin America & Caribbean ,High income,0,0,0,0,0,0,0,0,1,classified_exploratory
TUN,Tunisia,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0,0,0,0,0,0,0,0,1,classified_exploratory
TUR,Turkiye,Europe & Central Asia,Upper middle income,3,1,3,1,2,1,0,0,1,classified_exploratory
TUV,Tuvalu,East Asia & Pacific,Upper middle income,0,0,0,0,0,0,0,0,0,no_iapp_record
TWN,Taiwan,,,3,1,3,1,2,1,0,0,1,classified_exploratory
TZA,Tanzania,Sub-Saharan Africa ,Lower middle income,0,0,0,0,0,0,0,0,1,classified_exploratory
UGA,Uganda,Sub-Saharan Africa ,Low income,0,0,0,0,0,0,0,0,1,classified_exploratory
UKR,Ukraine,Europe & Central Asia,Upper middle income,0,0,0,0,0,0,0,0,1,classified_exploratory
URY,Uruguay,Latin America & Caribbean ,High income,0,0,0,0,0,0,0,0,1,classified_exploratory
USA,United States,North America,High income,5,1,8,1,3,1,0,0,1,classified_exploratory
UZB,Uzbekistan,Europe & Central Asia,Lower middle income,0,0,0,0,0,0,0,0,1,classified_exploratory
VAT,Vatican,,,0,0,0,0,0,0,0,0,0,no_iapp_record
VCT,Saint Vincent and the Grenadines,Latin America & Caribbean ,Upper middle income,0,0,0,0,0,0,0,0,0,no_iapp_record
VEN,Venezuela,Latin America & Caribbean ,Not classified,0,0,0,0,0,0,0,0,0,no_iapp_record
VNM,Vietnam,East Asia & Pacific,Lower middle income,4,1,1,1,2,1,0,0,1,classified_exploratory
VUT,Vanuatu,East Asia & Pacific,Lower middle income,0,0,0,0,0,0,0,0,0,no_iapp_record
WSM,Samoa,East Asia & Pacific,Upper middle income,0,0,0,0,0,0,0,0,0,no_iapp_record
XKX,Kosovo,Europe & Central Asia,Upper middle income,0,0,0,0,0,0,0,0,1,classified_exploratory
YEM,"Yemen, Rep.","Middle East, North Africa, Afghanistan & Pakistan",Low income,0,0,0,0,0,0,0,0,0,no_iapp_record
ZAF,South Africa,Sub-Saharan Africa ,Upper middle income,0,0,0,0,0,0,0,0,1,classified_exploratory
ZMB,Zambia,Sub-Saharan Africa ,Lower middle income,0,0,0,0,0,0,0,0,1,classified_exploratory
ZWE,Zimbabwe,Sub-Saharan Africa ,Lower middle income,0,0,0,0,0,0,0,0,1,classified_exploratory
