var_a,var_b,method,mi,n_pairs,n_bins
oxford_ind_govt_effectiveness,wb_regulatory_quality,mutual_information_quantile,0.999494,191,8
oxford_ind_github_activity_log,wipo_out_7_3_1_score,mutual_information_quantile,0.999308,140,8
wipo_appcrea_score,wipo_out_7_3_3_score,mutual_information_quantile,0.999218,104,8
oxford_data_infrastructure,wipo_entmedia_score,mutual_information_quantile,0.998895,62,8
oxford_data_infrastructure,wipo_ictuse_score,mutual_information_quantile,0.998798,131,8
oxford_infrastructure,wipo_gii_score,mutual_information_quantile,0.998483,140,8
wipo_in_1_2_2_score,wipo_sp11_score,mutual_information_quantile,0.998097,132,8
oxford_ind_regulatory_quality,wipo_out_7_2_3_score,mutual_information_quantile,0.997624,64,8
wipo_in_1_1_1_score,wipo_polstab_score,mutual_information_quantile,0.99637,132,8
oxford_infrastructure,wipo_in_score,mutual_information_quantile,0.995249,140,8
oxford_innovation_capacity,oxford_technology_sector,mutual_information_quantile,0.992004,193,8
wipo_goveff_score,wipo_regqua_score,mutual_information_quantile,0.991602,132,8
wipo_out_7_3_2_score,wipo_out_7_3_score,mutual_information_quantile,0.991099,141,8
oxford_ind_regulatory_quality,wb_rule_of_law,mutual_information_quantile,0.990756,191,8
wb_rule_of_law,wipo_in_1_2_1_score,mutual_information_quantile,0.988968,141,8
wb_control_of_corruption,wipo_out_7_2_3_score,mutual_information_quantile,0.988524,65,8
wb_control_of_corruption_se,wb_government_effectiveness_se,mutual_information_quantile,0.988398,196,8
wb_regulatory_quality,wipo_sp11_score,mutual_information_quantile,0.987548,132,8
wipo_out_7_2_3_score,wipo_sp11_score,mutual_information_quantile,0.986767,65,8
wipo_out_7_2_3_score,wipo_regqua_score,mutual_information_quantile,0.985702,65,8
oxford_ind_regulatory_quality,wipo_in_1_2_2_score,mutual_information_quantile,0.985546,140,8
oxford_ind_ict_trade_goods_log,oxford_maturity,mutual_information_quantile,0.984928,192,8
wb_electric_consumption_kwh_pc,wb_internet_penetration,mutual_information_quantile,0.983563,144,8
oxford_ind_regulatory_quality,wb_government_effectiveness,mutual_information_quantile,0.983554,191,8
wb_regulatory_quality,wipo_goveff_score,mutual_information_quantile,0.983149,132,8
wb_control_of_corruption,wipo_goveff_score,mutual_information_quantile,0.983006,132,8
wipo_ictuse_score,wipo_out_7_2_3_score,mutual_information_quantile,0.981539,65,8
wipo_out_7_2_3_score,wipo_ruleol_score,mutual_information_quantile,0.979782,65,8
