var_a,var_b,method,mi,n_pairs,n_bins
oxford_data_quality,wipo_in_2_2_1_score,mutual_information_quantile,0.667588,134,8
wipo_out_7_3_3_score,wipo_out_score,mutual_information_quantile,0.667552,139,8
wipo_in_1_2_1_score,wipo_in_2_1_3_score,mutual_information_quantile,0.667396,130,8
wipo_out_6_3_score,wipo_sp62_score,mutual_information_quantile,0.667353,132,8
oxford_compute_capacity,wipo_out_6_score,mutual_information_quantile,0.667284,140,8
oxford_data_availability,oxford_government,mutual_information_quantile,0.667224,193,8
oxford_ind_rd_spending_log,wipo_out_6_score,mutual_information_quantile,0.66722,140,8
wipo_out_6_1_1_score,wipo_out_6_1_2_score,mutual_information_quantile,0.66717,125,8
wipo_out_7_3_1_score,wipo_tertenrol_score,mutual_information_quantile,0.667167,128,8
oxford_ind_ict_skills,wipo_in_1_2_score,mutual_information_quantile,0.667135,133,8
oxford_governance_ethics,oxford_ind_govt_effectiveness,mutual_information_quantile,0.667129,193,8
oxford_e_government_delivery,oxford_ind_online_services,mutual_information_quantile,0.667094,193,8
oxford_ind_ict_skills,wipo_in_3_1_2_score,mutual_information_quantile,0.667073,133,8
oxford_human_capital,wipo_in_2_3_score,mutual_information_quantile,0.667032,140,8
oxford_ind_github_activity_log,wipo_in_3_2_1_score,mutual_information_quantile,0.666994,133,8
wipo_knowintsemp_score,wipo_out_6_1_2_score,mutual_information_quantile,0.666844,111,8
oxford_ind_adoption_emerging_tech,wb_government_effectiveness,mutual_information_quantile,0.666833,182,8
oxford_ind_ict_trade_goods_log,wipo_in_1_1_score,mutual_information_quantile,0.66683,140,8
oxford_data_quality,wipo_in_4_score,mutual_information_quantile,0.666781,140,8
oxford_compute_capacity,wipo_gii_score,mutual_information_quantile,0.66674,140,8
oxford_ind_ict_skills,wipo_elecout_score,mutual_information_quantile,0.666566,118,8
wipo_ictacc_score,wipo_in_1_2_score,mutual_information_quantile,0.666474,132,8
oxford_data_representativeness,wipo_in_1_2_1_score,mutual_information_quantile,0.666391,140,8
oxford_digital_capacity,wipo_sp31_score,mutual_information_quantile,0.666361,131,8
wipo_in_5_1_5_score,wipo_in_5_score,mutual_information_quantile,0.666358,135,8
wipo_goveff_score,wipo_in_5_2_score,mutual_information_quantile,0.666305,132,8
wipo_in_2_1_4_score,wipo_out_6_score,mutual_information_quantile,0.666225,86,8
oxford_societal_transition,wipo_goveff_score,mutual_information_quantile,0.666177,131,8
oxford_development_diffusion,oxford_ind_ai_research_papers_log,mutual_information_quantile,0.666151,193,8
wipo_c_eccomplexity_score,wipo_sp62_score,mutual_information_quantile,0.666114,121,8
wipo_in_3_score,wipo_regqua_score,mutual_information_quantile,0.666085,132,8
wipo_c_eccomplexity_score,wipo_sp23_score,mutual_information_quantile,0.666061,121,8
wipo_in_1_2_score,wipo_pctpatorig_score,mutual_information_quantile,0.66605,117,8
wipo_pctpatorig_score,wipo_sp73_score,mutual_information_quantile,0.665979,117,8
oxford_ind_ict_trade_goods_log,wipo_in_5_1_3_score,mutual_information_quantile,0.665924,139,8
oxford_societal_transition,wb_government_effectiveness,mutual_information_quantile,0.665922,193,8
wipo_gii_score,wipo_sp62_score,mutual_information_quantile,0.66588,132,8
wipo_sp12_score,wipo_wikiedit_score,mutual_information_quantile,0.665862,131,8
wipo_ictorgmod_score,wipo_in_1_1_2_score,mutual_information_quantile,0.665759,125,8
wb_fixed_broadband_per100,wipo_in_3_score,mutual_information_quantile,0.665718,141,8
ms_change_pp,wb_gdp_per_capita_ppp,mutual_information_quantile,0.665704,141,8
wipo_envperf_score,wipo_in_2_1_3_score,mutual_information_quantile,0.665678,123,8
oxford_infrastructure,wipo_in_3_2_1_score,mutual_information_quantile,0.665578,133,8
oxford_ind_ict_trade_goods_log,wb_regulatory_quality,mutual_information_quantile,0.665565,190,8
oxford_ind_telecom_infrastructure,wipo_out_score,mutual_information_quantile,0.66547,140,8
wb_regulatory_quality,wipo_logperf_score,mutual_information_quantile,0.665422,125,8
wipo_in_3_2_2_score,wipo_in_5_2_score,mutual_information_quantile,0.665397,131,8
oxford_ind_online_services,wipo_in_3_score,mutual_information_quantile,0.665343,140,8
wipo_in_1_1_score,wipo_in_3_score,mutual_information_quantile,0.665333,141,8
wb_fixed_broadband_per100,wipo_out_6_1_2_score,mutual_information_quantile,0.665327,125,8
oxford_government,wipo_ictorgmod_score,mutual_information_quantile,0.665317,124,8
wb_internet_penetration,wipo_out_7_3_1_score,mutual_information_quantile,0.665304,141,8
oxford_societal_transition,wipo_sp73_score,mutual_information_quantile,0.665256,131,8
wb_electric_consumption_kwh_pc,wipo_in_1_2_score,mutual_information_quantile,0.665219,132,8
oxford_development_diffusion,wipo_out_6_score,mutual_information_quantile,0.665201,140,8
wipo_in_2_1_3_score,wipo_pctpatorig_score,mutual_information_quantile,0.665173,112,8
oxford_ind_ict_trade_goods_log,wipo_in_2_1_3_score,mutual_information_quantile,0.665063,129,8
wipo_in_5_3_5_score,wipo_pctpatorig_score,mutual_information_quantile,0.664982,81,8
ms_h2_2025_ai_diffusion_pct,wipo_pctpatorig_score,mutual_information_quantile,0.664874,106,8
ms_change_pp,wipo_gii_score,mutual_information_quantile,0.664741,124,8
oxford_digital_capacity,oxford_infrastructure,mutual_information_quantile,0.664676,193,8
oxford_public_sector_adoption,wipo_in_3_1_3_score,mutual_information_quantile,0.664641,140,8
wipo_ictuse_score,wipo_sp23_score,mutual_information_quantile,0.66461,132,8
oxford_ai_infrastructure,wipo_in_2_1_3_score,mutual_information_quantile,0.664535,129,8
oxford_ind_github_activity_log,wipo_gerdperf_score,mutual_information_quantile,0.664508,88,8
wipo_in_2_score,wipo_in_4_score,mutual_information_quantile,0.664499,141,8
oxford_data_quality,wipo_sp73_score,mutual_information_quantile,0.664333,131,8
oxford_innovation_capacity,wipo_out_6_score,mutual_information_quantile,0.664147,140,8
wipo_in_2_3_2_score,wipo_patfam_score,mutual_information_quantile,0.664142,109,8
wb_tertiary_education_enrollment,wipo_in_2_score,mutual_information_quantile,0.664082,128,8
wb_electric_consumption_kwh_pc,wipo_sp11_score,mutual_information_quantile,0.663893,128,8
wipo_gentld_score,wipo_in_3_score,mutual_information_quantile,0.663814,132,8
wipo_in_3_1_score,wipo_out_score,mutual_information_quantile,0.663813,141,8
oxford_size,wb_government_effectiveness,mutual_information_quantile,0.663811,175,8
wipo_in_3_score,wipo_schlifeexp_score,mutual_information_quantile,0.663809,119,8
wipo_sp73_score,wipo_tertenrol_score,mutual_information_quantile,0.663768,128,8
oxford_maturity,wipo_in_5_1_1_score,mutual_information_quantile,0.663757,133,8
wipo_out_score,wipo_sp63_score,mutual_information_quantile,0.663739,132,8
wipo_in_2_3_1_score,wipo_wikiedit_score,mutual_information_quantile,0.663695,112,8
oxford_enabling_technical_infrastructure,oxford_government,mutual_information_quantile,0.663651,193,8
wipo_out_7_3_2_score,wipo_schlifeexp_score,mutual_information_quantile,0.663512,119,8
wb_secure_servers_per_1m,wipo_out_7_score,mutual_information_quantile,0.663422,141,8
wipo_in_2_3_1_score,wipo_in_3_2_2_score,mutual_information_quantile,0.663333,112,8
wipo_gerdperf_score,wipo_in_3_score,mutual_information_quantile,0.663331,89,8
ms_h2_2025_ai_diffusion_pct,wipo_goveff_score,mutual_information_quantile,0.66329,117,8
wipo_in_2_1_4_score,wipo_sp61_score,mutual_information_quantile,0.663287,86,8
wipo_citdoc_score,wipo_in_4_3_3_score,mutual_information_quantile,0.663198,132,8
wipo_in_2_score,wipo_in_3_1_score,mutual_information_quantile,0.663164,141,8
wipo_gii_score,wipo_out_6_3_2_score,mutual_information_quantile,0.663148,130,8
wipo_citdoc_score,wipo_gii_score,mutual_information_quantile,0.663144,132,8
wipo_in_score,wipo_out_6_score,mutual_information_quantile,0.663114,141,8
wipo_entmedia_score,wipo_in_4_2_2_score,mutual_information_quantile,0.663064,62,8
wipo_out_7_3_2_score,wipo_sp51_score,mutual_information_quantile,0.663034,132,8
wipo_out_6_1_score,wipo_patfam_score,mutual_information_quantile,0.662954,127,8
wb_secure_servers_per_1m,wipo_c_eccomplexity_score,mutual_information_quantile,0.662881,121,8
wipo_gii_score,wipo_in_3_1_4_score,mutual_information_quantile,0.662863,135,8
oxford_governance_ethics,wipo_out_6_score,mutual_information_quantile,0.662815,140,8
oxford_data_representativeness,wipo_ictacc_score,mutual_information_quantile,0.662724,131,8
oxford_total_score,wipo_goveff_score,mutual_information_quantile,0.662711,131,8
wipo_in_2_3_score,wipo_in_5_3_5_score,mutual_information_quantile,0.662703,90,8
wipo_in_2_2_score,wipo_resppop_score,mutual_information_quantile,0.662677,106,8
ms_h1_2025_ai_diffusion_pct,wipo_sp11_score,mutual_information_quantile,0.662632,117,8
wipo_c_vencapdeal_score,wipo_sp42_score,mutual_information_quantile,0.662618,94,8
oxford_data_representativeness,wipo_knowintsemp_score,mutual_information_quantile,0.662584,123,8
wb_regulatory_quality,wipo_in_4_2_5_score,mutual_information_quantile,0.662569,116,8
wipo_goveff_score,wipo_sp73_score,mutual_information_quantile,0.662539,132,8
wipo_ictacc_score,wipo_regqua_score,mutual_information_quantile,0.662425,132,8
oxford_infrastructure,wipo_out_6_1_2_score,mutual_information_quantile,0.662375,125,8
wipo_c_eccomplexity_score,wipo_out_6_3_3_score,mutual_information_quantile,0.662325,121,8
wipo_in_3_2_2_score,wipo_out_6_1_2_score,mutual_information_quantile,0.662301,118,8
oxford_ind_ict_trade_goods_log,wb_government_effectiveness,mutual_information_quantile,0.662235,190,8
wb_tertiary_education_enrollment,wipo_in_5_1_3_score,mutual_information_quantile,0.662233,128,8
wipo_out_6_score,wipo_out_7_3_2_score,mutual_information_quantile,0.662203,141,8
oxford_infrastructure,wipo_in_2_1_3_score,mutual_information_quantile,0.662126,129,8
wipo_out_6_1_score,wipo_restalbus_score,mutual_information_quantile,0.662025,87,8
wipo_in_5_1_5_score,wipo_in_5_3_5_score,mutual_information_quantile,0.662016,88,8
wipo_in_5_1_2_score,wipo_resppop_score,mutual_information_quantile,0.661955,103,8
wipo_in_2_score,wipo_in_5_1_4_score,mutual_information_quantile,0.661901,106,8
oxford_ind_ai_research_papers_log,oxford_total_score,mutual_information_quantile,0.661882,193,8
wipo_logperf_score,wipo_pctpatorig_score,mutual_information_quantile,0.66188,112,8
wb_regulatory_quality,wipo_in_3_1_1_score,mutual_information_quantile,0.661847,140,8
wipo_out_6_1_1_score,wipo_resppop_score,mutual_information_quantile,0.661831,107,8
wipo_in_3_1_1_score,wipo_tertenrol_score,mutual_information_quantile,0.661788,128,8
wipo_logperf_score,wipo_patfam_score,mutual_information_quantile,0.661696,120,8
oxford_infrastructure,wipo_restalbus_score,mutual_information_quantile,0.661283,86,8
oxford_data_representativeness,wipo_out_7_3_1_score,mutual_information_quantile,0.661239,140,8
oxford_ind_regulatory_quality,wipo_in_3_1_1_score,mutual_information_quantile,0.661227,139,8
oxford_ind_ict_trade_services_log,wipo_in_1_1_score,mutual_information_quantile,0.66114,140,8
wb_gdp_per_capita_ppp,wipo_out_7_3_2_score,mutual_information_quantile,0.661138,139,8
wipo_citdoc_score,wipo_out_6_1_2_score,mutual_information_quantile,0.661138,119,8
oxford_data_quality,wipo_in_5_2_5_score,mutual_information_quantile,0.661105,140,8
oxford_ind_adoption_emerging_tech,wipo_out_7_3_score,mutual_information_quantile,0.661089,137,8
wipo_in_3_1_score,wipo_out_7_score,mutual_information_quantile,0.661038,141,8
oxford_ai_technology_diffusion,oxford_governance_2025,mutual_information_quantile,0.661025,195,8
oxford_ind_broadband_quality,oxford_maturity,mutual_information_quantile,0.661023,184,8
oxford_data_representativeness,wipo_envperf_score,mutual_information_quantile,0.660944,130,8
oxford_societal_transition,wipo_out_7_3_score,mutual_information_quantile,0.66091,140,8
oxford_societal_transition,wb_rule_of_law,mutual_information_quantile,0.660877,193,8
oxford_maturity,wipo_out_7_3_2_score,mutual_information_quantile,0.660853,140,8
oxford_data_quality,wipo_elecout_score,mutual_information_quantile,0.66084,123,8
wipo_in_1_score,wipo_in_5_2_2_score,mutual_information_quantile,0.660739,136,8
oxford_maturity,wipo_ictorgmod_score,mutual_information_quantile,0.660731,124,8
wb_government_effectiveness,wipo_out_7_score,mutual_information_quantile,0.66064,141,8
wipo_in_3_2_2_score,wipo_out_6_1_5_score,mutual_information_quantile,0.660608,131,8
wipo_citdoc_score,wipo_qsrank_score,mutual_information_quantile,0.66057,132,8
oxford_ind_ict_trade_goods_log,wipo_in_5_1_2_score,mutual_information_quantile,0.66053,134,8
wipo_gerdperf_score,wipo_out_7_3_score,mutual_information_quantile,0.660492,89,8
oxford_enabling_technical_infrastructure,oxford_technology_sector,mutual_information_quantile,0.660447,193,8
wipo_out_6_1_5_score,wipo_rdexp_score,mutual_information_quantile,0.660291,116,8
ms_h1_2025_ai_diffusion_pct,oxford_maturity,mutual_information_quantile,0.660255,146,8
wipo_goveff_score,wipo_in_4_2_score,mutual_information_quantile,0.660219,126,8
wb_researchers_rd_per_million,wipo_in_5_score,mutual_information_quantile,0.660174,103,8
wb_rd_expenditure_pct_gdp,wipo_out_6_1_5_score,mutual_information_quantile,0.660122,110,8
oxford_ai_infrastructure,wipo_out_7_3_1_score,mutual_information_quantile,0.660067,140,8
wipo_in_5_2_3_score,wipo_in_5_2_score,mutual_information_quantile,0.659972,134,8
wipo_in_2_1_3_score,wipo_out_6_1_2_score,mutual_information_quantile,0.659905,118,8
oxford_ind_adoption_emerging_tech,wipo_in_1_2_score,mutual_information_quantile,0.65988,137,8
wb_electric_consumption_kwh_pc,wipo_in_2_2_1_score,mutual_information_quantile,0.659874,127,8
wb_rd_expenditure_pct_gdp,wipo_ictuse_score,mutual_information_quantile,0.659867,105,8
oxford_total_score,wipo_in_5_1_4_score,mutual_information_quantile,0.659332,105,8
oxford_ind_cybersecurity,wipo_in_3_2_2_score,mutual_information_quantile,0.659328,130,8
wipo_in_2_3_1_score,wipo_out_7_score,mutual_information_quantile,0.659284,118,8
wipo_out_6_3_1_score,wipo_pctpatorig_score,mutual_information_quantile,0.659194,117,8
ms_h2_2025_ai_diffusion_pct,wipo_sp11_score,mutual_information_quantile,0.659177,117,8
wipo_ictuse_score,wipo_out_6_1_2_score,mutual_information_quantile,0.659168,119,8
wipo_cctld_score,wipo_sp31_score,mutual_information_quantile,0.65912,132,8
wb_regulatory_quality,wipo_out_7_3_2_score,mutual_information_quantile,0.659104,141,8
wipo_gentld_score,wipo_knowintsemp_score,mutual_information_quantile,0.659052,124,8
oxford_ind_regulatory_quality,wb_voice_accountability,mutual_information_quantile,0.658956,191,8
oxford_digital_capacity,wipo_logperf_score,mutual_information_quantile,0.658923,124,8
oxford_government,wb_government_effectiveness,mutual_information_quantile,0.658835,191,8
oxford_data_availability,oxford_ind_statistical_capacity,mutual_information_quantile,0.658775,192,8
wipo_in_2_score,wipo_in_5_3_5_score,mutual_information_quantile,0.658729,90,8
oxford_data_infrastructure,wipo_ruleol_score,mutual_information_quantile,0.658668,131,8
oxford_infrastructure,wipo_regqua_score,mutual_information_quantile,0.658631,131,8
ms_h1_2025_ai_diffusion_pct,wipo_resppop_score,mutual_information_quantile,0.65857,95,8
wipo_in_2_1_4_score,wipo_sp51_score,mutual_information_quantile,0.658531,86,8
oxford_data_availability,wipo_schlifeexp_score,mutual_information_quantile,0.658522,118,8
oxford_government,wipo_goveff_score,mutual_information_quantile,0.658424,131,8
oxford_technology_sector,wipo_in_2_3_4_score,mutual_information_quantile,0.65834,140,8
ms_h2_2025_ai_diffusion_pct,wb_control_of_corruption,mutual_information_quantile,0.658333,145,8
oxford_technology_sector,wipo_brandval_score,mutual_information_quantile,0.658203,112,8
wipo_in_1_1_2_score,wipo_sp12_score,mutual_information_quantile,0.658021,132,8
wipo_in_3_score,wipo_logperf_score,mutual_information_quantile,0.658019,125,8
oxford_ind_telecom_infrastructure,wipo_sp22_score,mutual_information_quantile,0.65796,129,8
oxford_maturity,wipo_in_1_2_2_score,mutual_information_quantile,0.657903,140,8
oxford_infrastructure,wipo_in_5_2_score,mutual_information_quantile,0.657774,140,8
oxford_data_quality,wipo_sp11_score,mutual_information_quantile,0.657744,131,8
wb_rd_expenditure_pct_gdp,wipo_in_5_3_5_score,mutual_information_quantile,0.657693,84,8
wipo_pctpatorig_score,wipo_ruleol_score,mutual_information_quantile,0.657661,117,8
wipo_in_5_1_2_score,wipo_out_7_3_1_score,mutual_information_quantile,0.657633,135,8
oxford_compute_capacity,oxford_ind_ai_research_papers_log,mutual_information_quantile,0.657524,193,8
wipo_govolserv_score,wipo_in_score,mutual_information_quantile,0.657504,131,8
wipo_in_4_score,wipo_sp23_score,mutual_information_quantile,0.657426,132,8
wipo_in_3_1_1_score,wipo_knowintsemp_score,mutual_information_quantile,0.657393,124,8
oxford_governance_ethics,wipo_out_6_1_2_score,mutual_information_quantile,0.657298,125,8
wipo_elecout_score,wipo_in_score,mutual_information_quantile,0.657225,124,8
oxford_compute_capacity,wipo_sp23_score,mutual_information_quantile,0.657149,131,8
oxford_data_quality,wipo_gentld_score,mutual_information_quantile,0.657072,131,8
wipo_femempdeg_score,wipo_out_7_3_1_score,mutual_information_quantile,0.657014,124,8
oxford_data_quality,wipo_out_6_score,mutual_information_quantile,0.656951,140,8
oxford_data_infrastructure,wipo_in_5_2_5_score,mutual_information_quantile,0.656908,140,8
oxford_ind_ict_trade_goods_log,wipo_out_6_3_3_score,mutual_information_quantile,0.656798,138,8
wb_regulatory_quality,wipo_pctpatorig_score,mutual_information_quantile,0.656745,117,8
wipo_in_score,wipo_out_7_3_2_score,mutual_information_quantile,0.656724,141,8
oxford_ind_cost_internet_device,wipo_in_3_1_score,mutual_information_quantile,0.656569,139,8
wipo_c_htexphkg_score,wipo_out_6_3_2_score,mutual_information_quantile,0.656551,125,8
oxford_ind_regulatory_quality,wipo_in_4_2_4_score,mutual_information_quantile,0.656456,124,8
oxford_data_representativeness,wipo_in_1_2_score,mutual_information_quantile,0.656443,140,8
oxford_technology_sector,wipo_in_3_score,mutual_information_quantile,0.656309,140,8
wipo_gii_score,wipo_out_6_3_score,mutual_information_quantile,0.656203,141,8
wipo_gerdfinbus_score,wipo_in_2_3_score,mutual_information_quantile,0.656203,103,8
wipo_in_2_1_4_score,wipo_in_3_2_2_score,mutual_information_quantile,0.656087,84,8
wipo_out_6_3_score,wipo_out_7_2_score,mutual_information_quantile,0.656082,141,8
wb_fixed_broadband_per100,wipo_cctld_score,mutual_information_quantile,0.655971,132,8
wb_fixed_broadband_per100,wipo_pctpatorig_score,mutual_information_quantile,0.65581,117,8
oxford_adaptability,wipo_in_score,mutual_information_quantile,0.655741,140,8
oxford_data_quality,oxford_maturity,mutual_information_quantile,0.655554,193,8
oxford_infrastructure,wipo_gerdperf_score,mutual_information_quantile,0.655487,88,8
oxford_governance_ethics,wipo_sp23_score,mutual_information_quantile,0.655458,131,8
wipo_in_1_2_2_score,wipo_r_vencapdeal_score,mutual_information_quantile,0.655391,89,8
wb_secure_servers_per_1m,wipo_sp11_score,mutual_information_quantile,0.655362,132,8
wipo_in_5_1_1_score,wipo_in_5_2_5_score,mutual_information_quantile,0.655321,134,8
oxford_societal_transition,wb_regulatory_quality,mutual_information_quantile,0.655185,193,8
wipo_out_7_2_score,wipo_out_score,mutual_information_quantile,0.655159,141,8
wb_secure_servers_per_1m,wipo_pctpatorig_score,mutual_information_quantile,0.655117,117,8
oxford_governance_ethics,oxford_infrastructure,mutual_information_quantile,0.655088,193,8
oxford_technology_sector,wipo_sp43_score,mutual_information_quantile,0.65508,131,8
wipo_in_5_1_4_score,wipo_sp51_score,mutual_information_quantile,0.655076,103,8
oxford_maturity,wipo_in_1_2_1_score,mutual_information_quantile,0.655069,140,8
oxford_governance_2025,wipo_gii_score,mutual_information_quantile,0.655047,140,8
ms_h2_2025_ai_diffusion_pct,wipo_logperf_score,mutual_information_quantile,0.655005,111,8
oxford_ai_infrastructure,wipo_ictacc_score,mutual_information_quantile,0.654958,131,8
wipo_in_2_3_1_score,wipo_sp51_score,mutual_information_quantile,0.654938,113,8
oxford_ind_regulatory_quality,wipo_ictacc_score,mutual_information_quantile,0.654773,131,8
wipo_in_score,wipo_polstab_score,mutual_information_quantile,0.654526,132,8
wb_secure_servers_per_1m,wipo_goveff_score,mutual_information_quantile,0.65446,132,8
wipo_out_6_3_2_score,wipo_out_7_2_score,mutual_information_quantile,0.654428,130,8
wipo_in_3_score,wipo_out_7_score,mutual_information_quantile,0.654413,141,8
oxford_ind_govt_effectiveness,wipo_ictorgmod_score,mutual_information_quantile,0.654363,124,8
wipo_in_3_2_2_score,wipo_out_7_score,mutual_information_quantile,0.654319,131,8
oxford_total_score,wipo_in_2_3_1_score,mutual_information_quantile,0.654284,117,8
oxford_ai_technology_diffusion,oxford_government,mutual_information_quantile,0.654264,193,8
ms_h2_2025_ai_diffusion_pct,oxford_size,mutual_information_quantile,0.654209,141,8
wb_researchers_rd_per_million,wipo_out_6_1_5_score,mutual_information_quantile,0.65414,103,8
ms_change_pp,wipo_in_score,mutual_information_quantile,0.654135,124,8
ms_change_pp,wipo_logperf_score,mutual_information_quantile,0.654084,111,8
oxford_size,wipo_cctld_score,mutual_information_quantile,0.654024,131,8
oxford_ind_ict_skills,wipo_gentld_score,mutual_information_quantile,0.65394,126,8
ms_h2_2025_ai_diffusion_pct,wb_electric_consumption_kwh_pc,mutual_information_quantile,0.653913,130,8
anthropic_ai_autonomy_mean,wipo_ictuse_score,mutual_information_quantile,0.653894,122,8
oxford_infrastructure,wipo_in_2_3_1_score,mutual_information_quantile,0.653804,117,8
oxford_technology_sector,wipo_rdexp_score,mutual_information_quantile,0.653783,115,8
oxford_ind_adoption_emerging_tech,wipo_out_score,mutual_information_quantile,0.653749,137,8
wipo_goveff_score,wipo_in_5_1_1_score,mutual_information_quantile,0.653734,127,8
wipo_in_5_2_5_score,wipo_sp11_score,mutual_information_quantile,0.653626,132,8
oxford_ai_infrastructure,wipo_in_3_1_4_score,mutual_information_quantile,0.653412,135,8
wipo_knowintsemp_score,wipo_sp12_score,mutual_information_quantile,0.653255,124,8
wipo_out_7_3_score,wipo_schlifeexp_score,mutual_information_quantile,0.653229,119,8
oxford_ind_households_internet,oxford_ind_telecom_infrastructure,mutual_information_quantile,0.653217,192,8
oxford_data_availability,oxford_enabling_technical_infrastructure,mutual_information_quantile,0.653176,193,8
oxford_compute_capacity,oxford_development_diffusion,mutual_information_quantile,0.653143,195,8
oxford_development_diffusion,oxford_human_capital,mutual_information_quantile,0.653141,193,8
ms_h2_2025_ai_diffusion_pct,wipo_in_3_2_2_score,mutual_information_quantile,0.653085,117,8
oxford_government_digital_policy,wipo_in_3_1_3_score,mutual_information_quantile,0.652997,140,8
wipo_gii_score,wipo_in_3_1_3_score,mutual_information_quantile,0.652993,140,8
wipo_logperf_score,wipo_out_7_score,mutual_information_quantile,0.652968,125,8
oxford_ai_technology_diffusion,wipo_in_score,mutual_information_quantile,0.652934,140,8
oxford_data_quality,wipo_in_3_2_1_score,mutual_information_quantile,0.652902,133,8
oxford_maturity,wipo_in_2_1_4_score,mutual_information_quantile,0.6529,85,8
ms_h2_2025_ai_diffusion_pct,wipo_resppop_score,mutual_information_quantile,0.652856,95,8
oxford_ind_rd_spending_log,wipo_citdoc_score,mutual_information_quantile,0.652847,131,8
oxford_government,oxford_policy_capacity,mutual_information_quantile,0.652823,193,8
ms_h1_2025_ai_diffusion_pct,oxford_ind_ict_trade_services_log,mutual_information_quantile,0.652765,146,8
wipo_in_5_2_5_score,wipo_in_5_3_5_score,mutual_information_quantile,0.652683,90,8
wipo_in_3_1_1_score,wipo_out_7_3_score,mutual_information_quantile,0.652647,140,8
wb_rd_expenditure_pct_gdp,wipo_in_1_2_2_score,mutual_information_quantile,0.652641,110,8
oxford_government,wipo_in_3_2_2_score,mutual_information_quantile,0.652637,130,8
oxford_ind_ict_trade_goods_log,wipo_in_4_score,mutual_information_quantile,0.652633,140,8
oxford_ind_regulatory_quality,wipo_in_3_1_score,mutual_information_quantile,0.652624,140,8
oxford_size,wipo_in_1_2_1_score,mutual_information_quantile,0.652597,140,8
wipo_out_6_3_score,wipo_out_7_3_score,mutual_information_quantile,0.652577,141,8
oxford_ai_infrastructure,wipo_in_3_1_2_score,mutual_information_quantile,0.652568,140,8
oxford_technology_sector,wipo_out_6_2_5_score,mutual_information_quantile,0.65237,109,8
wipo_out_6_score,wipo_sp51_score,mutual_information_quantile,0.652348,132,8
wipo_ictacc_score,wipo_knowintsemp_score,mutual_information_quantile,0.652342,124,8
oxford_ind_regulatory_quality,wb_gdp_per_capita_ppp,mutual_information_quantile,0.652338,184,8
ms_change_pp,oxford_ind_ict_trade_goods_log,mutual_information_quantile,0.652336,146,8
oxford_ai_technology_diffusion,wipo_in_2_3_4_score,mutual_information_quantile,0.652223,140,8
oxford_size,wipo_wikiedit_score,mutual_information_quantile,0.652161,130,8
oxford_ind_ict_skills,wipo_knowintsemp_score,mutual_information_quantile,0.652146,118,8
wipo_domcred2priv_score,wipo_in_4_score,mutual_information_quantile,0.651956,130,8
wipo_elecout_score,wipo_sp31_score,mutual_information_quantile,0.651904,124,8
oxford_ai_technology_diffusion,wipo_out_6_1_score,mutual_information_quantile,0.651865,140,8
wipo_patorig_score,wipo_sp23_score,mutual_information_quantile,0.65175,131,8
wb_internet_penetration,wb_secure_servers_per_1m,mutual_information_quantile,0.651726,190,8
wipo_in_5_2_5_score,wipo_out_6_1_1_score,mutual_information_quantile,0.651682,140,8
oxford_development_diffusion,oxford_digital_capacity,mutual_information_quantile,0.65168,193,8
oxford_ind_ict_skills,wipo_in_2_3_1_score,mutual_information_quantile,0.651665,113,8
ms_h1_2025_ai_diffusion_pct,oxford_ai_infrastructure,mutual_information_quantile,0.65166,146,8
wipo_in_2_score,wipo_out_7_3_1_score,mutual_information_quantile,0.65164,141,8
wb_government_effectiveness,wipo_in_2_score,mutual_information_quantile,0.651555,141,8
oxford_data_infrastructure,wipo_in_5_1_3_score,mutual_information_quantile,0.65153,139,8
wipo_in_2_3_1_score,wipo_in_4_score,mutual_information_quantile,0.651519,118,8
oxford_ind_ict_trade_goods_log,oxford_ind_regulatory_quality,mutual_information_quantile,0.651452,192,8
wipo_ictsevimp_score,wipo_in_5_3_3_score,mutual_information_quantile,0.65143,131,8
wipo_in_1_score,wipo_in_5_2_score,mutual_information_quantile,0.651355,141,8
oxford_size,wipo_sp62_score,mutual_information_quantile,0.651293,131,8
wipo_out_7_3_2_score,wipo_sp61_score,mutual_information_quantile,0.65123,132,8
oxford_ind_regulatory_quality,oxford_infrastructure,mutual_information_quantile,0.651206,193,8
oxford_total_score,wipo_sp61_score,mutual_information_quantile,0.651186,131,8
oxford_enabling_technical_infrastructure,wipo_sp31_score,mutual_information_quantile,0.651108,131,8
oxford_development_diffusion,oxford_infrastructure,mutual_information_quantile,0.651062,193,8
wipo_in_5_2_5_score,wipo_sp31_score,mutual_information_quantile,0.651037,132,8
wipo_in_2_1_4_score,wipo_pctpatorig_score,mutual_information_quantile,0.651035,80,8
oxford_data_infrastructure,wipo_tertenrol_score,mutual_information_quantile,0.651024,127,8
wb_fixed_broadband_per100,wipo_in_3_1_1_score,mutual_information_quantile,0.651002,140,8
wipo_in_1_2_score,wipo_in_2_1_3_score,mutual_information_quantile,0.650936,130,8
wipo_in_3_2_1_score,wipo_in_score,mutual_information_quantile,0.650907,134,8
wipo_out_score,wipo_sp51_score,mutual_information_quantile,0.650888,132,8
oxford_data_quality,wipo_in_1_2_score,mutual_information_quantile,0.650874,140,8
wipo_femempdeg_score,wipo_wikiedit_score,mutual_information_quantile,0.650846,124,8
oxford_ind_telecom_infrastructure,wipo_in_4_score,mutual_information_quantile,0.650842,140,8
