variable_matriz,comparison,n_group_1,n_group_0,median_group_1,median_group_0,median_difference,status
oxford_digital_capacity,has_non_binding_1_vs_0,27,166,63.174059,40.098705,23.075355,descriptive_not_causal
oxford_e_government_delivery,has_binding_1_vs_0,27,168,85.3,56.455,28.845,descriptive_not_causal
oxford_e_government_delivery,has_non_binding_1_vs_0,27,168,85.3,56.455,28.845,descriptive_not_causal
oxford_enabling_technical_infrastructure,has_binding_1_vs_0,27,168,73.34,56.325,17.015,descriptive_not_causal
oxford_enabling_technical_infrastructure,has_non_binding_1_vs_0,27,168,73.34,56.325,17.015,descriptive_not_causal
oxford_governance_2025,has_binding_1_vs_0,27,168,76.85,50.385,26.465,descriptive_not_causal
oxford_governance_2025,has_non_binding_1_vs_0,27,168,76.85,50.385,26.465,descriptive_not_causal
oxford_governance_ethics,has_binding_1_vs_0,27,166,80.027176,51.681095,28.34608,descriptive_not_causal
oxford_governance_ethics,has_non_binding_1_vs_0,27,166,80.027176,51.681095,28.34608,descriptive_not_causal
oxford_governance_principles,has_binding_1_vs_0,27,168,75.0,48.0,27.0,descriptive_not_causal
oxford_governance_principles,has_non_binding_1_vs_0,27,168,75.0,48.0,27.0,descriptive_not_causal
oxford_government,has_binding_1_vs_0,27,166,74.506953,34.746931,39.760022,descriptive_not_causal
oxford_government,has_non_binding_1_vs_0,27,166,74.506953,34.746931,39.760022,descriptive_not_causal
oxford_government_digital_policy,has_binding_1_vs_0,27,168,71.19,26.73,44.46,descriptive_not_causal
oxford_government_digital_policy,has_non_binding_1_vs_0,27,168,71.19,26.73,44.46,descriptive_not_causal
oxford_human_capital,has_binding_1_vs_0,27,166,51.758009,34.043161,17.714848,descriptive_not_causal
oxford_human_capital,has_non_binding_1_vs_0,27,166,51.758009,34.043161,17.714848,descriptive_not_causal
oxford_human_capital_2025,has_binding_1_vs_0,27,168,67.38,30.605,36.775,descriptive_not_causal
oxford_human_capital_2025,has_non_binding_1_vs_0,27,168,67.38,30.605,36.775,descriptive_not_causal
oxford_ind_5g_infrastructure,has_binding_1_vs_0,27,166,100.0,0.0,100.0,descriptive_not_causal
oxford_ind_5g_infrastructure,has_non_binding_1_vs_0,27,166,100.0,0.0,100.0,descriptive_not_causal
oxford_ind_accountability,has_binding_1_vs_0,27,166,53.4,49.6,3.8,descriptive_not_causal
oxford_ind_accountability,has_non_binding_1_vs_0,27,166,53.4,49.6,3.8,descriptive_not_causal
oxford_ind_adoption_emerging_tech,has_binding_1_vs_0,27,157,59.47,43.43,16.04,descriptive_not_causal
oxford_ind_adoption_emerging_tech,has_non_binding_1_vs_0,27,157,59.47,43.43,16.04,descriptive_not_causal
oxford_ind_ai_research_papers_log,has_binding_1_vs_0,27,166,66.636395,27.881843,38.754551,descriptive_not_causal
oxford_ind_ai_research_papers_log,has_non_binding_1_vs_0,27,166,66.636395,27.881843,38.754551,descriptive_not_causal
oxford_ind_ai_strategy,has_binding_1_vs_0,27,166,100.0,0.0,100.0,descriptive_not_causal
oxford_ind_ai_strategy,has_non_binding_1_vs_0,27,166,100.0,0.0,100.0,descriptive_not_causal
oxford_ind_ai_unicorns_log,has_binding_1_vs_0,27,166,0.0,0.0,0.0,descriptive_not_causal
oxford_ind_ai_unicorns_log,has_non_binding_1_vs_0,27,166,0.0,0.0,0.0,descriptive_not_causal
oxford_ind_broadband_quality,has_binding_1_vs_0,27,157,47.7,38.9,8.8,descriptive_not_causal
oxford_ind_broadband_quality,has_non_binding_1_vs_0,27,157,47.7,38.9,8.8,descriptive_not_causal
oxford_ind_company_investment_emerging_tech,has_binding_1_vs_0,27,157,60.0,35.75,24.25,descriptive_not_causal
oxford_ind_company_investment_emerging_tech,has_non_binding_1_vs_0,27,157,60.0,35.75,24.25,descriptive_not_causal
oxford_ind_cost_internet_device,has_binding_1_vs_0,27,164,63.07,49.235,13.835,descriptive_not_causal
oxford_ind_cost_internet_device,has_non_binding_1_vs_0,27,164,63.07,49.235,13.835,descriptive_not_causal
oxford_ind_cybersecurity,has_binding_1_vs_0,27,166,95.48,35.5,59.98,descriptive_not_causal
oxford_ind_cybersecurity,has_non_binding_1_vs_0,27,166,95.48,35.5,59.98,descriptive_not_causal
oxford_ind_data_governance,has_binding_1_vs_0,27,166,50.0,0.0,50.0,descriptive_not_causal
oxford_ind_data_governance,has_non_binding_1_vs_0,27,166,50.0,0.0,50.0,descriptive_not_causal
oxford_ind_data_protection_laws,has_binding_1_vs_0,27,165,100.0,100.0,0.0,descriptive_not_causal
oxford_ind_data_protection_laws,has_non_binding_1_vs_0,27,165,100.0,100.0,0.0,descriptive_not_causal
oxford_ind_eng_tech_higher_ed_quality,has_binding_1_vs_0,27,166,73.130096,0.0,73.130096,descriptive_not_causal
oxford_ind_eng_tech_higher_ed_quality,has_non_binding_1_vs_0,27,166,73.130096,0.0,73.130096,descriptive_not_causal
oxford_ind_ethical_principles,has_binding_1_vs_0,27,166,100.0,0.0,100.0,descriptive_not_causal
oxford_ind_ethical_principles,has_non_binding_1_vs_0,27,166,100.0,0.0,100.0,descriptive_not_causal
oxford_ind_female_stem_graduates,has_binding_1_vs_0,27,163,71.733457,67.824227,3.90923,descriptive_not_causal
oxford_ind_female_stem_graduates,has_non_binding_1_vs_0,27,163,71.733457,67.824227,3.90923,descriptive_not_causal
oxford_ind_foundational_it,has_binding_1_vs_0,27,166,78.3,53.95,24.35,descriptive_not_causal
oxford_ind_foundational_it,has_non_binding_1_vs_0,27,166,78.3,53.95,24.35,descriptive_not_causal
oxford_ind_gender_gap_internet,has_binding_1_vs_0,27,157,96.0,94.1,1.9,descriptive_not_causal
oxford_ind_gender_gap_internet,has_non_binding_1_vs_0,27,157,96.0,94.1,1.9,descriptive_not_causal
oxford_ind_github_activity_log,has_binding_1_vs_0,27,166,54.745951,34.262137,20.483814,descriptive_not_causal
oxford_ind_github_activity_log,has_non_binding_1_vs_0,27,166,54.745951,34.262137,20.483814,descriptive_not_causal
oxford_ind_govt_effectiveness,has_binding_1_vs_0,27,166,61.0,44.5,16.5,descriptive_not_causal
oxford_ind_govt_effectiveness,has_non_binding_1_vs_0,27,166,61.0,44.5,16.5,descriptive_not_causal
oxford_ind_govt_promotion_emerging_tech,has_binding_1_vs_0,27,157,51.63,35.69,15.94,descriptive_not_causal
oxford_ind_govt_promotion_emerging_tech,has_non_binding_1_vs_0,27,157,51.63,35.69,15.94,descriptive_not_causal
oxford_ind_govt_responsiveness,has_binding_1_vs_0,27,160,52.922734,42.113829,10.808905,descriptive_not_causal
oxford_ind_govt_responsiveness,has_non_binding_1_vs_0,27,160,52.922734,42.113829,10.808905,descriptive_not_causal
oxford_ind_households_internet,has_binding_1_vs_0,27,165,88.02,70.6,17.42,descriptive_not_causal
oxford_ind_households_internet,has_non_binding_1_vs_0,27,165,88.02,70.6,17.42,descriptive_not_causal
oxford_ind_ict_skills,has_binding_1_vs_0,25,156,46.200448,23.414658,22.78579,descriptive_not_causal
oxford_ind_ict_skills,has_non_binding_1_vs_0,25,156,46.200448,23.414658,22.78579,descriptive_not_causal
oxford_ind_ict_trade_goods_log,has_binding_1_vs_0,27,165,57.605413,43.304341,14.301073,descriptive_not_causal
oxford_ind_ict_trade_goods_log,has_non_binding_1_vs_0,27,165,57.605413,43.304341,14.301073,descriptive_not_causal
oxford_ind_ict_trade_services_log,has_binding_1_vs_0,27,165,47.869813,37.37345,10.496363,descriptive_not_causal
oxford_ind_ict_trade_services_log,has_non_binding_1_vs_0,27,165,47.869813,37.37345,10.496363,descriptive_not_causal
oxford_ind_mobile_subscriptions,has_binding_1_vs_0,27,166,93.846154,85.038462,8.807692,descriptive_not_causal
oxford_ind_mobile_subscriptions,has_non_binding_1_vs_0,27,166,93.846154,85.038462,8.807692,descriptive_not_causal
oxford_ind_non_ai_unicorns_log,has_binding_1_vs_0,27,166,18.166772,0.0,18.166772,descriptive_not_causal
oxford_ind_non_ai_unicorns_log,has_non_binding_1_vs_0,27,166,18.166772,0.0,18.166772,descriptive_not_causal
oxford_ind_online_services,has_binding_1_vs_0,27,166,82.8,48.825,33.975,descriptive_not_causal
oxford_ind_online_services,has_non_binding_1_vs_0,27,166,82.8,48.825,33.975,descriptive_not_causal
oxford_ind_open_data,has_binding_1_vs_0,27,160,54.0,35.75,18.25,descriptive_not_causal
oxford_ind_open_data,has_non_binding_1_vs_0,27,160,54.0,35.75,18.25,descriptive_not_causal
oxford_ind_procurement_data,has_binding_1_vs_0,27,160,60.0,40.0,20.0,descriptive_not_causal
oxford_ind_procurement_data,has_non_binding_1_vs_0,27,160,60.0,40.0,20.0,descriptive_not_causal
oxford_ind_rd_spending_log,has_binding_1_vs_0,27,163,39.829502,14.729239,25.100263,descriptive_not_causal
oxford_ind_rd_spending_log,has_non_binding_1_vs_0,27,163,39.829502,14.729239,25.100263,descriptive_not_causal
oxford_ind_regulatory_quality,has_binding_1_vs_0,27,166,58.4,45.5,12.9,descriptive_not_causal
oxford_ind_regulatory_quality,has_non_binding_1_vs_0,27,166,58.4,45.5,12.9,descriptive_not_causal
oxford_ind_software_spending,has_binding_1_vs_0,27,157,23.226065,16.789006,6.437059,descriptive_not_causal
oxford_ind_software_spending,has_non_binding_1_vs_0,27,157,23.226065,16.789006,6.437059,descriptive_not_causal
oxford_ind_statistical_capacity,has_binding_1_vs_0,27,165,75.099167,59.340556,15.758611,descriptive_not_causal
oxford_ind_statistical_capacity,has_non_binding_1_vs_0,27,165,75.099167,59.340556,15.758611,descriptive_not_causal
oxford_ind_stem_graduates,has_binding_1_vs_0,27,166,29.080571,27.93558,1.14499,descriptive_not_causal
oxford_ind_stem_graduates,has_non_binding_1_vs_0,27,166,29.080571,27.93558,1.14499,descriptive_not_causal
oxford_ind_supercomputers_log,has_binding_1_vs_0,27,166,13.624257,0.0,13.624257,descriptive_not_causal
oxford_ind_supercomputers_log,has_non_binding_1_vs_0,27,166,13.624257,0.0,13.624257,descriptive_not_causal
oxford_ind_telecom_infrastructure,has_binding_1_vs_0,27,166,77.7,57.215,20.485,descriptive_not_causal
oxford_ind_telecom_infrastructure,has_non_binding_1_vs_0,27,166,77.7,57.215,20.485,descriptive_not_causal
oxford_ind_time_govt_regulations,has_binding_1_vs_0,19,161,93.7,91.244444,2.455556,descriptive_not_causal
oxford_ind_time_govt_regulations,has_non_binding_1_vs_0,19,161,93.7,91.244444,2.455556,descriptive_not_causal
oxford_ind_vc_availability,has_binding_1_vs_0,27,153,25.0,9.0,16.0,descriptive_not_causal
oxford_ind_vc_availability,has_non_binding_1_vs_0,27,153,25.0,9.0,16.0,descriptive_not_causal
oxford_infrastructure,has_binding_1_vs_0,27,166,55.996163,33.657508,22.338655,descriptive_not_causal
oxford_infrastructure,has_non_binding_1_vs_0,27,166,55.996163,33.657508,22.338655,descriptive_not_causal
oxford_innovation_capacity,has_binding_1_vs_0,27,166,61.689711,39.654917,22.034794,descriptive_not_causal
oxford_innovation_capacity,has_non_binding_1_vs_0,27,166,61.689711,39.654917,22.034794,descriptive_not_causal
oxford_maturity,has_binding_1_vs_0,27,166,31.905753,19.528182,12.377571,descriptive_not_causal
oxford_maturity,has_non_binding_1_vs_0,27,166,31.905753,19.528182,12.377571,descriptive_not_causal
oxford_policy_capacity,has_binding_1_vs_0,27,168,85.0,23.0,62.0,descriptive_not_causal
oxford_policy_capacity,has_non_binding_1_vs_0,27,168,85.0,23.0,62.0,descriptive_not_causal
oxford_policy_commitment,has_binding_1_vs_0,27,168,87.5,25.0,62.5,descriptive_not_causal
oxford_policy_commitment,has_non_binding_1_vs_0,27,168,87.5,25.0,62.5,descriptive_not_causal
oxford_policy_vision,has_binding_1_vs_0,27,168,80.0,30.0,50.0,descriptive_not_causal
oxford_policy_vision,has_non_binding_1_vs_0,27,168,80.0,30.0,50.0,descriptive_not_causal
oxford_public_sector_adoption,has_binding_1_vs_0,27,168,73.21,41.065,32.145,descriptive_not_causal
oxford_public_sector_adoption,has_non_binding_1_vs_0,27,168,73.21,41.065,32.145,descriptive_not_causal
oxford_regulatory_compliance,has_binding_1_vs_0,27,168,80.0,50.0,30.0,descriptive_not_causal
oxford_regulatory_compliance,has_non_binding_1_vs_0,27,168,80.0,50.0,30.0,descriptive_not_causal
oxford_resilience,has_binding_1_vs_0,27,168,61.32,36.82,24.5,descriptive_not_causal
oxford_resilience,has_non_binding_1_vs_0,27,168,61.32,36.82,24.5,descriptive_not_causal
oxford_safety_security,has_binding_1_vs_0,27,168,66.67,33.33,33.34,descriptive_not_causal
oxford_safety_security,has_non_binding_1_vs_0,27,168,66.67,33.33,33.34,descriptive_not_causal
oxford_size,has_binding_1_vs_0,27,149,32.053115,17.299491,14.753624,descriptive_not_causal
oxford_size,has_non_binding_1_vs_0,27,149,32.053115,17.299491,14.753624,descriptive_not_causal
oxford_societal_transition,has_binding_1_vs_0,27,168,52.85,42.365,10.485,descriptive_not_causal
oxford_societal_transition,has_non_binding_1_vs_0,27,168,52.85,42.365,10.485,descriptive_not_causal
oxford_technology_sector,has_binding_1_vs_0,27,166,49.563594,30.348773,19.214822,descriptive_not_causal
oxford_technology_sector,has_non_binding_1_vs_0,27,166,49.563594,30.348773,19.214822,descriptive_not_causal
oxford_total_score,has_binding_1_vs_0,27,168,64.81,36.365,28.445,descriptive_not_causal
oxford_total_score,has_non_binding_1_vs_0,27,168,64.81,36.365,28.445,descriptive_not_causal
oxford_vision,has_binding_1_vs_0,27,166,100.0,0.0,100.0,descriptive_not_causal
oxford_vision,has_non_binding_1_vs_0,27,166,100.0,0.0,100.0,descriptive_not_causal
wipo_appcrea_score,has_binding_1_vs_0,26,78,11.266621,5.420887,5.845735,descriptive_not_causal
wipo_appcrea_score,has_non_binding_1_vs_0,26,78,11.266621,5.420887,5.845735,descriptive_not_causal
wipo_brandval_score,has_binding_1_vs_0,26,87,18.936844,2.17314,16.763704,descriptive_not_causal
wipo_brandval_score,has_non_binding_1_vs_0,26,87,18.936844,2.17314,16.763704,descriptive_not_causal
wipo_c_scitechart_score,has_binding_1_vs_0,26,105,24.022469,19.393131,4.629338,descriptive_not_causal
wipo_c_scitechart_score,has_non_binding_1_vs_0,26,105,24.022469,19.393131,4.629338,descriptive_not_causal
wipo_creagoodexp_score,has_binding_1_vs_0,27,104,15.187289,2.589263,12.598026,descriptive_not_causal
wipo_creagoodexp_score,has_non_binding_1_vs_0,27,104,15.187289,2.589263,12.598026,descriptive_not_causal
wipo_elecout_score,has_binding_1_vs_0,27,97,15.88227,11.210596,4.671674,descriptive_not_causal
wipo_elecout_score,has_non_binding_1_vs_0,27,97,15.88227,11.210596,4.671674,descriptive_not_causal
wipo_gii_score,has_binding_1_vs_0,27,114,37.201717,26.419382,10.782335,descriptive_not_causal
wipo_gii_score,has_non_binding_1_vs_0,27,114,37.201717,26.419382,10.782335,descriptive_not_causal
