bloque_tematico,variable_matriz,tipo_matriz,source_id,unit,is_primary,n_non_null,pct_complete,n_unique,median,iqr,min,max
tech_infrastructure_control,wipo_in_2_2_2_score,numeric,wipo,score_0_100,True,119,59.8,119,43.062574,27.878351,0.0,100.0
tech_infrastructure_control,wipo_in_2_2_3_score,numeric,wipo,score_0_100,True,122,61.31,119,10.545295,21.35136,0.0,100.0
tech_infrastructure_control,wipo_in_2_2_score,numeric,wipo,score_0_100,True,136,68.34,135,29.901129,21.523293,0.0,73.412593
tech_infrastructure_control,wipo_in_2_3_1_score,numeric,wipo,score_0_100,True,118,59.3,118,7.9646,33.041415,0.0,100.0
tech_infrastructure_control,wipo_in_2_3_2_score,numeric,wipo,score_0_100,True,121,60.8,121,9.394156,19.250266,0.0,100.0
tech_infrastructure_control,wipo_in_2_3_3_score,numeric,wipo,score_0_100,True,140,70.35,44,0.0,46.051309,0.0,100.0
tech_infrastructure_control,wipo_in_2_3_4_score,numeric,wipo,score_0_100,True,141,70.85,81,10.276545,39.09184,0.0,100.0
tech_infrastructure_control,wipo_in_2_3_score,numeric,wipo,score_0_100,True,141,70.85,125,7.003911,27.640381,0.0,83.961762
tech_infrastructure_control,wipo_in_2_score,numeric,wipo,score_0_100,True,141,70.85,141,30.401614,22.810035,5.517167,66.991373
tech_infrastructure_control,wipo_in_3_1_1_score,numeric,wipo,score_0_100,True,140,70.35,138,84.278428,32.575396,0.0,100.0
tech_infrastructure_control,wipo_in_3_1_2_score,numeric,wipo,score_0_100,True,141,70.85,140,77.536747,23.812903,0.0,100.0
tech_infrastructure_control,wipo_in_3_1_3_score,numeric,wipo,score_0_100,True,140,70.35,140,66.562602,42.701002,0.0,100.0
tech_infrastructure_control,wipo_in_3_1_4_score,numeric,wipo,score_0_100,True,135,67.84,66,53.494321,39.537501,0.0,100.0
tech_infrastructure_control,wipo_in_3_1_score,numeric,wipo,score_0_100,True,141,70.85,141,75.373119,30.574978,10.333793,98.595105
tech_infrastructure_control,wipo_in_3_2_1_score,numeric,wipo,score_0_100,True,134,67.34,132,12.208022,21.005683,0.0,100.0
tech_infrastructure_control,wipo_in_3_2_2_score,numeric,wipo,score_0_100,True,131,65.83,39,38.604651,41.775899,0.0,100.0
tech_infrastructure_control,wipo_in_3_2_3_score,numeric,wipo,score_0_100,True,134,67.34,133,36.684398,21.892065,0.0,100.0
tech_infrastructure_control,wipo_in_3_2_score,numeric,wipo,score_0_100,True,141,70.85,141,32.973075,22.864739,3.133304,73.670883
tech_infrastructure_control,wipo_in_3_3_1_score,numeric,wipo,score_0_100,True,134,67.34,134,22.764503,18.817374,0.0,100.0
tech_infrastructure_control,wipo_in_3_3_2_score,numeric,wipo,score_0_100,True,140,70.35,140,22.37711,30.424329,0.0,100.0
tech_infrastructure_control,wipo_in_3_3_3_score,numeric,wipo,score_0_100,True,141,70.85,141,7.457556,18.731975,0.0,100.0
tech_infrastructure_control,wipo_in_3_3_score,numeric,wipo,score_0_100,True,141,70.85,141,19.943377,20.935728,1.064434,57.367066
tech_infrastructure_control,wipo_in_3_score,numeric,wipo,score_0_100,True,141,70.85,141,41.565471,22.013063,11.055644,68.827346
tech_infrastructure_control,wipo_in_4_1_1_score,numeric,wipo,score_0_100,True,93,46.73,93,50.947707,29.303967,0.0,100.0
tech_infrastructure_control,wipo_in_4_1_2_score,numeric,wipo,score_0_100,True,137,68.84,136,16.689047,22.127444,0.0,100.0
tech_infrastructure_control,wipo_in_4_1_3_score,numeric,wipo,score_0_100,True,68,34.17,65,10.776165,23.618281,0.0,100.0
tech_infrastructure_control,wipo_in_4_1_score,numeric,wipo,score_0_100,True,141,70.85,141,27.961553,29.373065,0.0,92.559341
tech_infrastructure_control,wipo_in_4_2_1_score,numeric,wipo,score_0_100,True,88,44.22,86,12.275406,22.285546,0.0,100.0
tech_infrastructure_control,wipo_in_4_2_2_score,numeric,wipo,score_0_100,True,129,64.82,125,5.840467,18.062836,0.0,100.0
tech_infrastructure_control,wipo_in_4_2_3_score,numeric,wipo,score_0_100,True,121,60.8,111,1.214038,5.822669,0.0,100.0
tech_infrastructure_control,wipo_in_4_2_4_score,numeric,wipo,score_0_100,True,125,62.81,125,3.414042,8.160502,0.0,100.0
tech_infrastructure_control,wipo_in_4_2_5_score,numeric,wipo,score_0_100,True,116,58.29,112,5.97159,21.380752,0.0,100.0
tech_infrastructure_control,wipo_in_4_2_score,numeric,wipo,score_0_100,True,132,66.33,132,5.598931,16.750935,0.117656,65.270232
tech_infrastructure_control,wipo_in_4_3_1_score,numeric,wipo,score_0_100,True,140,70.35,113,81.503881,35.230301,0.0,100.0
tech_infrastructure_control,wipo_in_4_3_2_score,numeric,wipo,score_0_100,True,120,60.3,118,83.620901,26.790957,0.0,100.0
tech_infrastructure_control,wipo_in_4_3_3_score,numeric,wipo,score_0_100,True,141,70.85,141,52.334365,24.479207,0.0,100.0
tech_infrastructure_control,wipo_in_4_3_score,numeric,wipo,score_0_100,True,141,70.85,141,68.275669,26.1554,10.055189,94.552737
tech_infrastructure_control,wipo_in_4_score,numeric,wipo,score_0_100,True,141,70.85,141,35.386266,17.483044,6.009651,75.034915
tech_infrastructure_control,wipo_in_5_1_1_score,numeric,wipo,score_0_100,True,134,67.34,134,32.726712,41.750163,0.0,100.0
tech_infrastructure_control,wipo_in_5_1_2_score,numeric,wipo,score_0_100,True,135,67.84,133,40.789929,52.347123,0.0,100.0
tech_infrastructure_control,wipo_in_5_1_3_score,numeric,wipo,score_0_100,True,140,70.35,140,36.105024,42.979868,0.0,100.0
tech_infrastructure_control,wipo_in_5_1_4_score,numeric,wipo,score_0_100,True,106,53.27,102,7.8157,24.396487,0.0,100.0
tech_infrastructure_control,wipo_in_5_1_5_score,numeric,wipo,score_0_100,True,135,67.84,132,35.53591,49.152078,0.0,100.0
tech_infrastructure_control,wipo_in_5_1_score,numeric,wipo,score_0_100,True,141,70.85,141,35.347622,17.800558,9.182798,85.044032
tech_infrastructure_control,wipo_in_5_2_1_score,numeric,wipo,score_0_100,True,140,70.35,140,12.660751,17.521063,0.0,100.0
tech_infrastructure_control,wipo_in_5_2_2_score,numeric,wipo,score_0_100,True,136,68.34,135,35.028878,28.648004,0.0,100.0
tech_infrastructure_control,wipo_in_5_2_3_score,numeric,wipo,score_0_100,True,134,67.34,125,31.705866,39.82444,0.0,100.0
tech_infrastructure_control,wipo_in_5_2_4_score,numeric,wipo,score_0_100,True,140,70.35,140,44.422508,38.691368,0.0,100.0
tech_infrastructure_control,wipo_in_5_2_5_score,numeric,wipo,score_0_100,True,141,70.85,101,0.715611,7.222081,0.0,100.0
tech_infrastructure_control,wipo_in_5_2_score,numeric,wipo,score_0_100,True,141,70.85,141,24.3257,21.619686,0.255436,80.647081
tech_infrastructure_control,wipo_in_5_3_1_score,numeric,wipo,score_0_100,True,141,70.85,133,13.26094,17.651531,0.0,100.0
tech_infrastructure_control,wipo_in_5_3_2_score,numeric,wipo,score_0_100,True,139,69.85,138,23.790409,15.99883,0.0,100.0
tech_infrastructure_control,wipo_in_5_3_3_score,numeric,wipo,score_0_100,True,141,70.85,140,17.518614,17.912317,0.0,100.0
tech_infrastructure_control,wipo_in_5_3_4_score,numeric,wipo,score_0_100,True,140,70.35,136,44.694265,8.803572,0.0,100.0
