bloque_tematico,variable_matriz,component,loading,explained_variance_ratio,status
ecosystem_outcome,oxford_e_government_delivery,PC3,-0.121462,0.052836,exploratory_not_feature
ecosystem_outcome,oxford_e_government_delivery,PC4,-0.022255,0.032747,exploratory_not_feature
ecosystem_outcome,oxford_e_government_delivery,PC5,0.063583,0.030984,exploratory_not_feature
ecosystem_outcome,oxford_enabling_technical_infrastructure,PC1,0.070492,0.604183,exploratory_not_feature
ecosystem_outcome,oxford_enabling_technical_infrastructure,PC2,-0.122357,0.097602,exploratory_not_feature
ecosystem_outcome,oxford_enabling_technical_infrastructure,PC3,-0.095683,0.052836,exploratory_not_feature
ecosystem_outcome,oxford_enabling_technical_infrastructure,PC4,-0.02925,0.032747,exploratory_not_feature
ecosystem_outcome,oxford_enabling_technical_infrastructure,PC5,0.048853,0.030984,exploratory_not_feature
ecosystem_outcome,oxford_governance_2025,PC1,0.0735,0.604183,exploratory_not_feature
ecosystem_outcome,oxford_governance_2025,PC2,-0.107192,0.097602,exploratory_not_feature
ecosystem_outcome,oxford_governance_2025,PC3,-0.030915,0.052836,exploratory_not_feature
ecosystem_outcome,oxford_governance_2025,PC4,0.018001,0.032747,exploratory_not_feature
ecosystem_outcome,oxford_governance_2025,PC5,0.020183,0.030984,exploratory_not_feature
ecosystem_outcome,oxford_governance_ethics,PC1,0.068841,0.604183,exploratory_not_feature
ecosystem_outcome,oxford_governance_ethics,PC2,-0.06615,0.097602,exploratory_not_feature
ecosystem_outcome,oxford_governance_ethics,PC3,-0.049961,0.052836,exploratory_not_feature
ecosystem_outcome,oxford_governance_ethics,PC4,0.029244,0.032747,exploratory_not_feature
ecosystem_outcome,oxford_governance_ethics,PC5,0.007877,0.030984,exploratory_not_feature
ecosystem_outcome,oxford_governance_principles,PC1,0.067393,0.604183,exploratory_not_feature
ecosystem_outcome,oxford_governance_principles,PC2,-0.098719,0.097602,exploratory_not_feature
ecosystem_outcome,oxford_governance_principles,PC3,-0.011823,0.052836,exploratory_not_feature
ecosystem_outcome,oxford_governance_principles,PC4,0.017714,0.032747,exploratory_not_feature
ecosystem_outcome,oxford_governance_principles,PC5,-0.006145,0.030984,exploratory_not_feature
ecosystem_outcome,oxford_government,PC1,0.05702,0.604183,exploratory_not_feature
ecosystem_outcome,oxford_government,PC2,-0.086921,0.097602,exploratory_not_feature
ecosystem_outcome,oxford_government,PC3,-0.038621,0.052836,exploratory_not_feature
ecosystem_outcome,oxford_government,PC4,0.043982,0.032747,exploratory_not_feature
ecosystem_outcome,oxford_government,PC5,-0.00066,0.030984,exploratory_not_feature
ecosystem_outcome,oxford_government_digital_policy,PC1,0.055871,0.604183,exploratory_not_feature
ecosystem_outcome,oxford_government_digital_policy,PC2,-0.089592,0.097602,exploratory_not_feature
ecosystem_outcome,oxford_government_digital_policy,PC3,-0.040285,0.052836,exploratory_not_feature
ecosystem_outcome,oxford_government_digital_policy,PC4,0.031717,0.032747,exploratory_not_feature
ecosystem_outcome,oxford_government_digital_policy,PC5,0.036439,0.030984,exploratory_not_feature
ecosystem_outcome,oxford_human_capital,PC1,0.069661,0.604183,exploratory_not_feature
ecosystem_outcome,oxford_human_capital,PC2,-0.101083,0.097602,exploratory_not_feature
ecosystem_outcome,oxford_human_capital,PC3,-0.002044,0.052836,exploratory_not_feature
ecosystem_outcome,oxford_human_capital,PC4,-0.019279,0.032747,exploratory_not_feature
ecosystem_outcome,oxford_human_capital,PC5,-0.020576,0.030984,exploratory_not_feature
ecosystem_outcome,oxford_human_capital_2025,PC1,0.056939,0.604183,exploratory_not_feature
ecosystem_outcome,oxford_human_capital_2025,PC2,-0.087983,0.097602,exploratory_not_feature
ecosystem_outcome,oxford_human_capital_2025,PC3,0.001327,0.052836,exploratory_not_feature
ecosystem_outcome,oxford_human_capital_2025,PC4,0.010327,0.032747,exploratory_not_feature
ecosystem_outcome,oxford_human_capital_2025,PC5,-0.022929,0.030984,exploratory_not_feature
ecosystem_outcome,oxford_ind_accountability,PC1,0.056606,0.604183,exploratory_not_feature
ecosystem_outcome,oxford_ind_accountability,PC2,0.034879,0.097602,exploratory_not_feature
ecosystem_outcome,oxford_ind_accountability,PC3,-0.061913,0.052836,exploratory_not_feature
ecosystem_outcome,oxford_ind_accountability,PC4,0.004015,0.032747,exploratory_not_feature
ecosystem_outcome,oxford_ind_accountability,PC5,0.041264,0.030984,exploratory_not_feature
ecosystem_outcome,oxford_ind_adoption_emerging_tech,PC1,0.088564,0.604183,exploratory_not_feature
ecosystem_outcome,oxford_ind_adoption_emerging_tech,PC2,-0.055267,0.097602,exploratory_not_feature
ecosystem_outcome,oxford_ind_adoption_emerging_tech,PC3,-0.02292,0.052836,exploratory_not_feature
ecosystem_outcome,oxford_ind_adoption_emerging_tech,PC4,0.027211,0.032747,exploratory_not_feature
ecosystem_outcome,oxford_ind_adoption_emerging_tech,PC5,0.015975,0.030984,exploratory_not_feature
ecosystem_outcome,oxford_ind_ai_research_papers_log,PC1,0.05861,0.604183,exploratory_not_feature
ecosystem_outcome,oxford_ind_ai_research_papers_log,PC2,-0.148506,0.097602,exploratory_not_feature
ecosystem_outcome,oxford_ind_ai_research_papers_log,PC3,0.031272,0.052836,exploratory_not_feature
ecosystem_outcome,oxford_ind_ai_research_papers_log,PC4,-0.04858,0.032747,exploratory_not_feature
ecosystem_outcome,oxford_ind_ai_research_papers_log,PC5,-0.079421,0.030984,exploratory_not_feature
ecosystem_outcome,oxford_ind_ai_strategy,PC1,0.036944,0.604183,exploratory_not_feature
ecosystem_outcome,oxford_ind_ai_strategy,PC2,-0.069713,0.097602,exploratory_not_feature
ecosystem_outcome,oxford_ind_ai_strategy,PC3,-0.024562,0.052836,exploratory_not_feature
ecosystem_outcome,oxford_ind_ai_strategy,PC4,0.008859,0.032747,exploratory_not_feature
ecosystem_outcome,oxford_ind_ai_strategy,PC5,-0.015985,0.030984,exploratory_not_feature
ecosystem_outcome,oxford_ind_broadband_quality,PC1,0.073092,0.604183,exploratory_not_feature
ecosystem_outcome,oxford_ind_broadband_quality,PC2,-0.044926,0.097602,exploratory_not_feature
ecosystem_outcome,oxford_ind_broadband_quality,PC3,-0.04597,0.052836,exploratory_not_feature
ecosystem_outcome,oxford_ind_broadband_quality,PC4,-0.008453,0.032747,exploratory_not_feature
ecosystem_outcome,oxford_ind_broadband_quality,PC5,0.070892,0.030984,exploratory_not_feature
ecosystem_outcome,oxford_ind_company_investment_emerging_tech,PC1,0.097676,0.604183,exploratory_not_feature
ecosystem_outcome,oxford_ind_company_investment_emerging_tech,PC2,-0.041123,0.097602,exploratory_not_feature
ecosystem_outcome,oxford_ind_company_investment_emerging_tech,PC3,0.059072,0.052836,exploratory_not_feature
ecosystem_outcome,oxford_ind_company_investment_emerging_tech,PC4,0.10719,0.032747,exploratory_not_feature
ecosystem_outcome,oxford_ind_company_investment_emerging_tech,PC5,-0.030554,0.030984,exploratory_not_feature
ecosystem_outcome,oxford_ind_cost_internet_device,PC1,0.07705,0.604183,exploratory_not_feature
ecosystem_outcome,oxford_ind_cost_internet_device,PC2,-0.059679,0.097602,exploratory_not_feature
ecosystem_outcome,oxford_ind_cost_internet_device,PC3,-0.061429,0.052836,exploratory_not_feature
ecosystem_outcome,oxford_ind_cost_internet_device,PC4,-0.028806,0.032747,exploratory_not_feature
ecosystem_outcome,oxford_ind_cost_internet_device,PC5,0.059385,0.030984,exploratory_not_feature
ecosystem_outcome,oxford_ind_cybersecurity,PC1,0.068323,0.604183,exploratory_not_feature
ecosystem_outcome,oxford_ind_cybersecurity,PC2,-0.134106,0.097602,exploratory_not_feature
ecosystem_outcome,oxford_ind_cybersecurity,PC3,-0.047043,0.052836,exploratory_not_feature
ecosystem_outcome,oxford_ind_cybersecurity,PC4,0.029726,0.032747,exploratory_not_feature
ecosystem_outcome,oxford_ind_cybersecurity,PC5,0.015265,0.030984,exploratory_not_feature
ecosystem_outcome,oxford_ind_data_governance,PC1,0.03217,0.604183,exploratory_not_feature
ecosystem_outcome,oxford_ind_data_governance,PC2,-0.012466,0.097602,exploratory_not_feature
ecosystem_outcome,oxford_ind_data_governance,PC3,-0.010902,0.052836,exploratory_not_feature
ecosystem_outcome,oxford_ind_data_governance,PC4,0.011644,0.032747,exploratory_not_feature
ecosystem_outcome,oxford_ind_data_governance,PC5,-0.011132,0.030984,exploratory_not_feature
ecosystem_outcome,oxford_ind_female_stem_graduates,PC1,0.00033,0.604183,exploratory_not_feature
ecosystem_outcome,oxford_ind_female_stem_graduates,PC2,-0.090883,0.097602,exploratory_not_feature
ecosystem_outcome,oxford_ind_female_stem_graduates,PC3,-0.077962,0.052836,exploratory_not_feature
ecosystem_outcome,oxford_ind_female_stem_graduates,PC4,0.022929,0.032747,exploratory_not_feature
ecosystem_outcome,oxford_ind_female_stem_graduates,PC5,0.067237,0.030984,exploratory_not_feature
ecosystem_outcome,oxford_ind_foundational_it,PC1,0.042862,0.604183,exploratory_not_feature
ecosystem_outcome,oxford_ind_foundational_it,PC2,-0.115744,0.097602,exploratory_not_feature
ecosystem_outcome,oxford_ind_foundational_it,PC3,-0.102807,0.052836,exploratory_not_feature
ecosystem_outcome,oxford_ind_foundational_it,PC4,-0.021712,0.032747,exploratory_not_feature
ecosystem_outcome,oxford_ind_foundational_it,PC5,0.010701,0.030984,exploratory_not_feature
ecosystem_outcome,oxford_ind_gender_gap_internet,PC1,0.048465,0.604183,exploratory_not_feature
ecosystem_outcome,oxford_ind_gender_gap_internet,PC2,-0.055996,0.097602,exploratory_not_feature
ecosystem_outcome,oxford_ind_gender_gap_internet,PC3,-0.054505,0.052836,exploratory_not_feature
ecosystem_outcome,oxford_ind_gender_gap_internet,PC4,-0.01468,0.032747,exploratory_not_feature
ecosystem_outcome,oxford_ind_gender_gap_internet,PC5,0.046966,0.030984,exploratory_not_feature
ecosystem_outcome,oxford_ind_github_activity_log,PC1,0.074043,0.604183,exploratory_not_feature
ecosystem_outcome,oxford_ind_github_activity_log,PC2,-0.041257,0.097602,exploratory_not_feature
ecosystem_outcome,oxford_ind_github_activity_log,PC3,-0.100818,0.052836,exploratory_not_feature
ecosystem_outcome,oxford_ind_github_activity_log,PC4,-0.013221,0.032747,exploratory_not_feature
ecosystem_outcome,oxford_ind_github_activity_log,PC5,0.098248,0.030984,exploratory_not_feature
ecosystem_outcome,oxford_ind_govt_effectiveness,PC1,0.083316,0.604183,exploratory_not_feature
ecosystem_outcome,oxford_ind_govt_effectiveness,PC2,-0.029642,0.097602,exploratory_not_feature
