Publication date,Training compute (petaFLOP),Label
2020-11-30,2990000.0,Industry
2020-10-22,3870720.0,Industry
2020-10-22,4262000.0,Industry
2020-10-20,82000000.0,Industry
2020-10-20,7600000.0,Industry
2020-08-06,200000.0,Industry
2020-06-30,47650000.0,Industry
2020-05-28,314000000.0,Industry
2020-05-26,400000.0,Industry
2020-03-24,9510.912,Industry
2020-02-14,33687.317,Industry
2020-02-13,15699999.999999998,Industry
2020-01-28,112000000.0,Industry
2020-01-19,8160000.0,Industry
2020-01-15,100000.0,Industry
2019-12-13,13000000.0,Industry
2019-12-13,67000000.0,Industry
2019-11-19,48000.0,Industry
2019-11-05,20760000.000000004,Industry
2019-10-30,107734000.01,Industry
2019-10-23,32999999.999999996,Industry
2019-10-23,9000000.0001,Industry
2019-10-02,12441.6,Industry
2019-09-17,9100000.0,Industry
2019-09-17,11299999.999999998,Industry
2019-09-17,22000000.0,Industry
2019-07-11,66.0,Industry
2019-05-31,4000.0,Industry
2019-04-25,220830.1056,Industry
2019-04-20,154050.0,Industry
2019-04-08,730.000001,Industry
2019-02-27,23200.0,Industry
2019-02-14,1920000.000001,Industry
2018-12-12,39.3,Industry
2018-11-12,51.88,Industry
2018-11-05,161740.8,Industry
2018-11-05,68428.8,Industry
2018-10-11,285000.0,Industry
2018-09-28,44700.0,Industry
2018-08-28,478080.0,Industry
2018-07-10,429.0048,Industry
2018-07-10,246.048,Industry
2018-07-03,34900.0,Industry
2018-06-01,17578.125,Industry
2018-05-02,8743950.0,Industry
2018-03-22,591.58815,Industry
2018-02-05,168000.0,Industry
2018-02-01,688.66472,Industry
2017-12-05,106000.00001,Industry
2017-10-19,341000.00001,Industry
2017-10-18,649439.9102902269,Industry
2017-09-26,3.18,Industry
2017-08-11,604609.5222592002,Industry
2017-08-07,2065.392,Industry
2017-08-07,297.0,Industry
2017-07-25,56400.0,Industry
2017-06-12,7424.5248,Industry
2016-11-05,2200000.0,Industry
2016-11-05,10.5,Industry
2016-10-07,436000.0,Industry
2016-09-26,7.49,Industry
2016-09-26,6620000.000001,Industry
2016-09-17,29741.645,Industry
2016-01-27,1900000.0,Industry
2015-12-10,10414.08,Industry
2015-12-10,7004.0,Industry
2015-10-01,380000.0,Industry
2015-02-06,23974.03008,Industry
2014-12-03,297600.000001,Industry
2014-09-10,56000.0,Industry
2013-12-19,2.84688384,Industry
2013-10-16,38.88,Industry
2013-01-16,2612.736,Industry
2012-12-03,311.4,Industry
2012-07-12,600.0,Industry
2007-06-22,1449.4464,Industry
2007-06-22,773.03808,Industry
2005-08-07,0.003482081588304,Industry
2025-09-30,4420000000.0,Industry-academia collaboration
2025-08-05,4420000000.0,Industry-academia collaboration
2025-01-20,47156000.0,Industry-academia collaboration
2024-08-06,3036551985.824,Industry-academia collaboration
2024-06-25,1070000000.0,Industry-academia collaboration
2024-06-13,110000000.0,Industry-academia collaboration
2024-05-20,585000.0,Industry-academia collaboration
2024-05-03,2300313.6,Industry-academia collaboration
2024-02-23,3900000000.0,Industry-academia collaboration
2023-12-14,67070000.0,Industry-academia collaboration
2023-12-12,2300313.6,Industry-academia collaboration
2023-11-13,45600000.0,Industry-academia collaboration
2023-11-08,26000.0,Industry-academia collaboration
2023-11-06,63310000.0,Industry-academia collaboration
2023-11-05,78070000.0,Industry-academia collaboration
2023-08-29,48946763.0,Industry-academia collaboration
2023-07-06,620000000.0,Industry-academia collaboration
2023-07-06,998400000.0,Industry-academia collaboration
2023-05-18,180000.0,Industry-academia collaboration
2023-05-11,194000.0,Industry-academia collaboration
2023-05-09,84600000.0,Industry-academia collaboration
2023-04-17,78049000.0,Industry-academia collaboration
2023-04-14,7418511.36,Industry-academia collaboration
2023-04-09,3000010.0,Industry-academia collaboration
2023-03-30,236000000.0,Industry-academia collaboration
2023-03-05,9500000.000000002,Industry-academia collaboration
2023-01-15,8080000.0,Industry-academia collaboration
2023-01-10,220320.0,Industry-academia collaboration
