year,country,country_code,education_label,pct_share
2020,India,IN,Other,0.4357
2020,India,IN,Diploma,0.0006
2020,India,IN,High School,0.0018
2020,India,IN,Bachelor,0.183
2020,India,IN,Masters,0.2564
2018,India,IN,Bachelor,0.1345
2019,India,IN,Other,0.4911
2019,India,IN,Diploma,0.0006
2019,India,IN,High School,0.0018
2019,India,IN,Bachelor,0.1514
2019,India,IN,Masters,0.2427
2019,India,IN,Doctorate,0.1125
2018,India,IN,Other,0.5184
2018,India,IN,Diploma,0.0006
2018,India,IN,High School,0.0017
2021,India,IN,Diploma,0.0006
2020,India,IN,Doctorate,0.1224
2021,India,IN,Other,0.3806
2023,India,IN,Other,0.2308
2022,India,IN,Masters,0.2845
2018,India,IN,Masters,0.2366
2025,India,IN,Diploma,0.0007
2025,India,IN,High School,0.002
2025,India,IN,Bachelor,0.3383
2025,India,IN,Other,0.1285
2025,India,IN,Doctorate,0.1852
2024,India,IN,Other,0.1609
2024,India,IN,Diploma,0.0007
2024,India,IN,High School,0.002
2024,India,IN,Bachelor,0.329
2024,India,IN,Masters,0.3308
2024,India,IN,Doctorate,0.1767
2023,India,IN,Diploma,0.0006
2023,India,IN,High School,0.002
2023,India,IN,Bachelor,0.2955
2023,India,IN,Masters,0.3078
2023,India,IN,Doctorate,0.1634
2022,India,IN,Other,0.3097
2022,India,IN,Diploma,0.0006
2022,India,IN,High School,0.0021
2022,India,IN,Bachelor,0.2562
2022,India,IN,Doctorate,0.1469
2018,India,IN,Doctorate,0.1083
2025,India,IN,Masters,0.3454
2017,India,IN,Diploma,0.0006
2013,India,IN,Bachelor,0.0957
2013,India,IN,Masters,0.1883
2013,India,IN,Doctorate,0.0958
2012,India,IN,Other,0.6324
2012,India,IN,Diploma,0.0003
2012,India,IN,High School,0.0007
2012,India,IN,Bachelor,0.0924
2012,India,IN,Masters,0.1782
2012,India,IN,Doctorate,0.096
2011,India,IN,Other,0.6374
2011,India,IN,Diploma,0.0003
2011,India,IN,High School,0.0006
2011,India,IN,Bachelor,0.0895
2011,India,IN,Masters,0.1743
2011,India,IN,Doctorate,0.0979
2010,India,IN,Other,0.6396
2010,India,IN,Diploma,0.0003
2010,India,IN,High School,0.0005
2010,India,IN,Bachelor,0.0887
2010,India,IN,Doctorate,0.1024
2017,India,IN,Other,0.5373
2013,India,IN,High School,0.0007
2013,India,IN,Diploma,0.0005
2010,India,IN,Masters,0.1685
2014,India,IN,Doctorate,0.0948
2013,India,IN,Other,0.6192
2017,India,IN,High School,0.0018
2017,India,IN,Masters,0.2337
2017,India,IN,Doctorate,0.1048
2016,India,IN,Other,0.5544
2016,India,IN,Diploma,0.0006
2016,India,IN,High School,0.0017
2016,India,IN,Bachelor,0.1143
2016,India,IN,Masters,0.2278
2016,India,IN,Doctorate,0.1011
2017,India,IN,Bachelor,0.1219
2015,India,IN,Diploma,0.0005
2015,India,IN,High School,0.0013
2015,India,IN,Bachelor,0.106
2015,India,IN,Masters,0.2142
2015,India,IN,Doctorate,0.0977
2014,India,IN,Other,0.6061
2014,India,IN,Diploma,0.0004
2014,India,IN,High School,0.0012
2014,India,IN,Masters,0.1978
2014,India,IN,Bachelor,0.0996
2015,India,IN,Other,0.5802
2020,Israel,IL,Diploma,0.0004
2020,Israel,IL,Other,0.3204
2021,Israel,IL,Doctorate,0.2839
2021,Israel,IL,Diploma,0.0006
2021,Israel,IL,Bachelor,0.0939
2021,Israel,IL,High School,0.0007
2021,Israel,IL,Other,0.2747
2021,Israel,IL,Masters,0.3462
2020,Israel,IL,High School,0.0004
2019,Israel,IL,Diploma,0.0004
2020,Israel,IL,Masters,0.3199
2020,Israel,IL,Doctorate,0.2694
2019,Israel,IL,Other,0.3777
2019,Israel,IL,High School,0.0009
2019,Israel,IL,Bachelor,0.0817
2019,Israel,IL,Masters,0.2908
2019,Israel,IL,Doctorate,0.2484
2022,Israel,IL,Doctorate,0.2999
2018,Israel,IL,Other,0.4151
2020,Israel,IL,Bachelor,0.0896
2022,Israel,IL,Masters,0.3694
2024,Israel,IL,Masters,0.3955
2022,Israel,IL,Diploma,0.0008
2018,Israel,IL,Diploma,0.0006
2025,Israel,IL,Other,0.1705
2025,Israel,IL,Diploma,0.0006
2025,Israel,IL,High School,0.0002
2025,Israel,IL,Bachelor,0.1039
2025,Israel,IL,Masters,0.3994
2025,Israel,IL,Doctorate,0.3254
2024,Israel,IL,Other,0.1807
2024,Israel,IL,Diploma,0.0006
2024,Israel,IL,High School,0.0002
2024,Israel,IL,Bachelor,0.1043
2024,Israel,IL,Doctorate,0.3187
2023,Israel,IL,Other,0.2006
