Publication date,training_dataset_size_(total)
10/20/22,1300000000
10/20/22,1920000
10/20/22,1400000000
10/11/22,2.2528E+11
10/4/22,4352000
9/21/22,12403200000
9/14/22,1.43507E+11
8/10/22,1300000000
8/4/22,1.52E+11
8/2/22,1.319E+12
7/22/22,1.25829E+12
7/21/22,15360000000
7/11/22,3.79E+11
7/6/22,3E+11
7/5/22,10500000000
6/29/22,26000000000
6/27/22,3.5E+11
6/22/22,4.71859E+12
6/14/22,1.35168E+12
6/13/22,6.46707E+11
6/6/22,103000000
5/29/22,1.45E+11
5/27/22,48230400000
5/27/22,10130000000
5/18/22,27363505
5/12/22,5.24288E+11
5/10/22,1E+12
5/2/22,1.8E+11
4/29/22,4.58333E+11
4/14/22,1E+11
4/6/22,1.6705E+11
4/4/22,7.8E+11
3/29/22,1.4E+12
3/24/22,2.67387E+11
3/21/22,103000000
3/10/22,1752320000
3/2/22,3.72E+11
3/1/22,2.7263E+11
2/26/22,39300000000
2/17/22,1.5E+12
2/10/22,37598200000
2/10/22,2.08E+12
2/9/22,3.41173E+11
2/7/22,4.1943E+11
2/2/22,9.67E+11
1/27/22,16969897
1/23/22,2868520960
1/20/22,251108732
1/20/22,17510400
1/20/22,1.31072E+11
12/23/21,6.68E+11
12/20/21,5E+11
12/20/21,2.91985E+11
12/16/21,2.62144E+11
12/15/21,5.24288E+11
12/13/21,6E+11
12/8/21,3E+11
12/6/21,2.4576E+11
11/24/21,5547780000
11/22/21,7500000000
11/19/21,8.90503E+12
11/15/21,1.04E+12
11/1/21,3000000
10/31/21,103000000
10/30/21,100000
10/27/21,24167054120
10/17/21,103000000
10/12/21,1.8E+11
10/11/21,2.7E+11
10/4/21,56573952
9/20/21,1.5E+11
9/10/21,5.6E+11
9/6/21,103000000
9/4/21,5E+11
9/3/21,2.49E+12
8/17/21,1.67E+11
8/15/21,1444128539
8/11/21,3E+11
8/6/21,2500000
8/3/21,125000000
7/29/21,1000000000
7/27/21,864000000
7/27/21,7.9872E+14
7/7/21,52788000000
7/5/21,3.75E+11
6/28/21,103000000
6/24/21,45995
6/21/21,50000000
6/21/21,50000000
6/11/21,5.9632E+11
6/11/21,1800000000
6/10/21,20800000000
6/9/21,1.716E+11
6/9/21,8.8779E+13
6/8/21,3000000000
5/28/21,1.04858E+12
5/26/21,1280000
5/26/21,9.648E+11
5/20/21,14587212800
5/11/21,1.30191E+14
5/4/21,19582371375
5/4/21,58950000000
4/19/21,60000000000
3/5/21,1.118E+11
3/5/21,56800000000
3/1/21,131280000
2/24/21,103000000
2/13/21,1.395E+12
2/9/21,3408000
1/15/21,3840000
1/11/21,86400000000
1/10/21,1.0053E+11
1/5/21,3.2E+11
1/5/21,400000000
1/5/21,400000000
12/31/20,103000000
12/25/20,2000000
12/23/20,58000000
12/17/20,2.51988E+11
12/15/20,27750400000
12/1/20,16700000000
11/30/20,5724000000
11/23/20,3533640000
10/22/20,4598395200
10/22/20,303000000
10/22/20,303000000
10/21/20,36383733333
10/20/20,1E+12
10/2/20,4666666667
9/1/20,58320000
8/6/20,1.14667E+11
8/3/20,103000000
6/30/20,3.46667E+11
5/28/20,2.38E+11
5/26/20,826000
5/22/20,3074560
5/7/20,349200000
4/29/20,1280000
4/27/20,40000000000
3/24/20,7045120000
3/23/20,33000000000
3/17/20,103000000
3/12/20,103000000
3/11/20,103000000
2/28/20,2000000
2/21/20,103000000
2/14/20,50600083456
2/13/20,46400000000
2/13/20,10467704832
2/9/20,3300000000
2/8/20,103000000
2/8/20,1.46022E+11
2/7/20,393000
1/28/20,53333333333
1/15/20,6622252080
12/24/19,300000000
12/19/19,2500000000
12/13/19,53084160000
12/13/19,4.54164E+11
12/5/19,2000000
12/5/19,929000
12/4/19,400000
12/3/19,114000000
11/27/19,103000000
11/25/19,819200000
11/19/19,981312000
11/19/19,12288000000
11/13/19,940000000
11/11/19,81000000
11/10/19,700000000
11/10/19,28615771780
11/5/19,1.67E+11
11/1/19,103000000
10/29/19,42666666666
10/23/19,34000000000
10/23/19,5100000000
10/2/19,495000000
10/2/19,61280000
9/26/19,3300000000
9/25/19,103000000
9/17/19,46400000000
9/17/19,1.57E+11
9/17/19,6960000000
9/4/19,149700000
9/4/19,2000000
7/4/19,2560000
7/1/19,42666666666
6/17/19,60000
6/14/19,940000000
6/13/19,929000
6/10/19,2000000
6/4/19,103000000
6/1/19,32890000000
5/31/19,38571428
5/28/19,1280000
5/14/19,2000000
5/2/19,90000000
4/26/19,100000
4/20/19,1300000000
4/17/19,103000000
4/8/19,929000
4/8/19,929000
3/26/19,3170000000
2/27/19,241000000
2/14/19,10666666667
2/1/19,20000000000
1/31/19,1000000
1/9/19,103000000
1/1/19,2000000000
12/12/18,50000000
12/4/18,2.51658E+11
11/16/18,1.45E+12
11/15/18,929000
11/12/18,1044112
11/5/18,5000000000
11/5/18,1550000000
10/31/18,1057958
10/15/18,103000000
10/11/18,2649900000
9/28/18,100000000
9/24/18,2000000
9/18/18,2000000
9/17/18,112500000
8/30/18,2000000
8/28/18,4520000000
8/14/18,2000000
7/10/18,720000000
7/10/18,1280000
7/3/18,2000000000
6/18/18,1280000
6/5/18,4000000000
6/1/18,1333333333
5/22/18,2000000
5/3/18,2000000
5/2/18,940000000
4/8/18,5430000
3/22/18,103000000
2/15/18,60000
2/7/18,8655843074
2/5/18,11400000000
2/1/18,103000000
2/1/18,2000000000
1/30/18,14000000000
12/5/17,3520000000
12/1/17,2149200000
12/1/17,400000000
11/21/17,509914
11/10/17,2000000
11/2/17,62914560000
10/31/17,2000000
10/31/17,215570
10/29/17,1060000
10/28/17,160000
10/18/17,6348800000
9/26/17,2000000
9/21/17,90000000
9/15/17,929000
9/6/17,1280000
9/5/17,1280000
8/29/17,2000000
8/16/17,1500809
8/14/17,929000
8/7/17,115000
8/7/17,11500000000
8/7/17,2000000
7/30/17,215570
7/25/17,1183333333
7/21/17,1280000
7/18/17,2000000
7/10/17,5.4873E+12
7/3/17,1280000
6/30/17,320000000
6/17/17,8354563074
6/13/17,150000000
6/12/17,832000000
6/8/17,200000
6/7/17,60000
6/1/17,240000
5/25/17,700000
5/8/17,215570
4/27/17,26455000
4/17/17,1280000
3/30/17,46161920000
3/15/17,38400
2/1/17,2560000000
1/23/17,87000000000
1/7/17,50000
1/6/17,25380000000
12/25/16,1280000
12/23/16,9830400000
12/15/16,500000
12/13/16,8243968
12/2/16,9843
11/21/16,2400000
11/17/16,1280000
11/16/16,1280000
11/16/16,1280000
11/16/16,20000
11/7/16,2000000
11/6/16,22531
11/5/16,45000
11/5/16,929000
11/5/16,879000
11/4/16,929000
10/28/16,13893600
10/8/16,235760
10/7/16,350000000
9/26/16,929000
9/26/16,720000000
9/19/16,1280000
9/17/16,50000
9/17/16,1281167
9/12/16,11520000000
9/12/16,11140000000
9/8/16,720000
8/22/16,1280000
6/27/16,20000
6/21/16,10624000
6/16/16,15728640000
5/8/16,152231040
4/30/16,22400000
3/12/16,7797
3/4/16,204567
2/24/16,1280000
2/23/16,1280000
2/23/16,1280000
2/4/16,200000000
1/27/16,300000000
12/16/15,929000
12/15/15,100000000
12/10/15,1280000
12/10/15,50000
12/10/15,1280000
12/8/15,2300000
12/2/15,1200000
11/23/15,293901
10/28/15,350000
10/1/15,12697600000
8/31/15,50000000
8/7/15,490356
7/26/15,494414
6/15/15,12441600000
6/7/15,141660
6/4/15,102400000
5/18/15,7864320
4/30/15,25600000
4/6/15,29160000
3/17/15,929000
2/25/15,12500000
2/6/15,1280000
1/1/15,2600000
12/22/14,50000
12/18/14,901200
12/3/14,800000000
11/29/14,45000
11/28/14,9320000
11/10/14,5000000
11/7/14,400000
9/23/14,901200
9/18/14,598388
9/17/14,5.71392E+11
9/14/14,929000
9/10/14,870000000
9/4/14,1300000
9/4/14,1300000
9/1/14,232000000
8/6/14,434600
7/15/14,144448
6/23/14,50000000
6/23/14,4400000
6/21/14,15000000
6/18/14,1280000
6/10/14,120000
6/9/14,1289500
6/1/14,600000
6/1/14,6248
5/14/14,16500000
3/5/14,750000000
1/1/14,315209597
1/1/14,66453980
12/20/13,47040000
12/19/13,160000000
12/16/13,630420
12/11/13,1000000000
12/5/13,17500000
12/5/13,5401200000
11/12/13,7680000
10/16/13,10000000000
10/16/13,3.3E+11
10/1/13,155063
10/1/13,4500000
8/1/13,71380800
5/26/13,3103200000
1/16/13,6000000000
12/3/12,3000000
12/3/12,16000000
12/3/12,1100000000
12/2/12,50000
12/1/12,929000
9/30/12,2457600000
9/9/12,27000000
7/27/12,37000000
7/12/12,1.2E+12
6/3/12,60000
6/3/12,2600000
6/3/12,60000
11/8/11,852000000
10/3/11,53280
10/3/11,800000
9/18/11,3380475
9/18/11,420000
7/16/11,50000
6/28/11,573285
6/19/11,5650000
4/29/11,4915200000
4/13/11,81920000
9/26/10,6400000
9/15/10,24300
9/15/10,3060
6/15/10,291600
6/15/10,233280
6/13/10,10000
5/13/10,90000
1/3/10,339250000
