Country,Gender,ai_talent_concentration_perc,Year
Chile,Male,0.00197,2017
Chile,Female,0.00088,2018
Chile,Male,0.00227,2018
Chile,Female,0.00101,2019
Chile,Male,0.00265,2019
Chile,Female,0.00111,2020
Chile,Male,0.00297,2020
Chile,Female,0.00126,2021
Chile,Male,0.00341,2021
Chile,Female,0.00139,2022
Chile,Male,0.00374,2022
Chile,Female,0.00146,2023
Chile,Male,0.0041,2023
Chile,Female,0.00158,2024
Chile,Male,0.0045,2024
Chile,Female,0.00174,2025
Chile,Male,0.00501,2025
Costa Rica,Female,0.00137,2016
Costa Rica,Male,0.00271,2016
Costa Rica,Female,0.00166,2017
Costa Rica,Male,0.00335,2017
Costa Rica,Female,0.00207,2018
Costa Rica,Male,0.00409,2018
Costa Rica,Female,0.00253,2019
Costa Rica,Male,0.00487,2019
Costa Rica,Female,0.00295,2020
Costa Rica,Male,0.0055,2020
Costa Rica,Female,0.00354,2021
Costa Rica,Male,0.00635,2021
Costa Rica,Female,0.0041,2022
Costa Rica,Male,0.00705,2022
Costa Rica,Female,0.00443,2023
Costa Rica,Male,0.00757,2023
Costa Rica,Female,0.00461,2024
Costa Rica,Male,0.00827,2024
Costa Rica,Female,0.00502,2025
Costa Rica,Male,0.00909,2025
Croatia,Female,0.00145,2016
Croatia,Male,0.00287,2016
Croatia,Female,0.00176,2017
Croatia,Male,0.00346,2017
Croatia,Female,0.00209,2018
Croatia,Male,0.00414,2018
Croatia,Female,0.00258,2019
Croatia,Male,0.00487,2019
Croatia,Female,0.00297,2020
Croatia,Male,0.00565,2020
Croatia,Female,0.00366,2021
Croatia,Male,0.00661,2021
Croatia,Female,0.00418,2022
Croatia,Male,0.00741,2022
Croatia,Female,0.00463,2023
Croatia,Male,0.00787,2023
Croatia,Female,0.00469,2024
Croatia,Male,0.00797,2024
Croatia,Female,0.00492,2025
Croatia,Male,0.00835,2025
Cyprus,Female,0.00214,2016
Cyprus,Male,0.00389,2016
Cyprus,Female,0.00251,2017
Cyprus,Male,0.00442,2017
Cyprus,Female,0.00293,2018
Cyprus,Male,0.00517,2018
Cyprus,Female,0.00316,2019
Cyprus,Male,0.00611,2019
Cyprus,Female,0.00362,2020
Cyprus,Male,0.00724,2020
Cyprus,Female,0.00417,2021
Cyprus,Male,0.00813,2021
Cyprus,Female,0.00526,2022
Cyprus,Male,0.01039,2022
Cyprus,Female,0.00601,2023
Cyprus,Male,0.01133,2023
Cyprus,Female,0.00614,2024
Cyprus,Male,0.01212,2024
Cyprus,Female,0.0067,2025
Cyprus,Male,0.01356,2025
Czech Republic,Female,0.00217,2016
Czech Republic,Male,0.00623,2016
Czech Republic,Female,0.0025,2017
Czech Republic,Male,0.00703,2017
Czech Republic,Female,0.00286,2018
Czech Republic,Male,0.00787,2018
Czech Republic,Female,0.00331,2019
Czech Republic,Male,0.00874,2019
Czech Republic,Female,0.00368,2020
Czech Republic,Male,0.00935,2020
Czech Republic,Female,0.00413,2021
Czech Republic,Male,0.0101,2021
Czech Republic,Female,0.0046,2022
Czech Republic,Male,0.01073,2022
Czech Republic,Female,0.00482,2023
Czech Republic,Male,0.01116,2023
Czech Republic,Female,0.00492,2024
Czech Republic,Male,0.01119,2024
Czech Republic,Female,0.00508,2025
Czech Republic,Male,0.01158,2025
Denmark,Female,0.00161,2016
Denmark,Male,0.00437,2016
Denmark,Female,0.00182,2017
Denmark,Male,0.00505,2017
Denmark,Female,0.00214,2018
Denmark,Male,0.00588,2018
Denmark,Female,0.00253,2019
Denmark,Male,0.00687,2019
Denmark,Female,0.00292,2020
Denmark,Male,0.0078,2020
Denmark,Female,0.00346,2021
Denmark,Male,0.00884,2021
Denmark,Female,0.00398,2022
Denmark,Male,0.00978,2022
Denmark,Female,0.00448,2023
Denmark,Male,0.01077,2023
Denmark,Female,0.00497,2024
Denmark,Male,0.0116,2024
Denmark,Female,0.00544,2025
Denmark,Male,0.01252,2025
Estonia,Female,0.00236,2016
Estonia,Male,0.00544,2016
Estonia,Female,0.00299,2017
Estonia,Male,0.00679,2017
Estonia,Female,0.00388,2018
Estonia,Male,0.00816,2018
Estonia,Female,0.0049,2019
Estonia,Male,0.01006,2019
Estonia,Female,0.00569,2020
Estonia,Male,0.0115,2020
Estonia,Female,0.00707,2021
Estonia,Male,0.01411,2021
Estonia,Female,0.00796,2022
Estonia,Male,0.0153,2022
Estonia,Female,0.00813,2023
Estonia,Male,0.01546,2023
Estonia,Female,0.00841,2024
Estonia,Male,0.01544,2024
Estonia,Female,0.00859,2025
Estonia,Male,0.01603,2025
Finland,Female,0.00452,2016
Finland,Male,0.00935,2016
Finland,Female,0.00488,2017
Finland,Male,0.01046,2017
Finland,Female,0.00537,2018
Finland,Male,0.01161,2018
Finland,Female,0.00596,2019
Finland,Male,0.01308,2019
Finland,Female,0.00663,2020
Finland,Male,0.01441,2020
Finland,Female,0.00723,2021
Finland,Male,0.0157,2021
Finland,Female,0.00779,2022
Finland,Male,0.0166,2022
Finland,Female,0.00817,2023
Finland,Male,0.01722,2023
Finland,Female,0.00833,2024
Finland,Male,0.01753,2024
Finland,Female,0.00864,2025
Finland,Male,0.0182,2025
France,Female,0.00361,2016
France,Male,0.0069,2016
France,Female,0.00381,2017
France,Male,0.00728,2017
France,Female,0.00404,2018
France,Male,0.00782,2018
France,Female,0.00437,2019
France,Male,0.00853,2019
France,Female,0.00458,2020
France,Male,0.00903,2020
France,Female,0.00484,2021
France,Male,0.00961,2021
France,Female,0.00509,2022
France,Male,0.01004,2022
France,Female,0.00521,2023
France,Male,0.01032,2023
France,Female,0.00517,2024
France,Male,0.01032,2024
France,Female,0.00519,2025
France,Male,0.01045,2025
Germany,Female,0.00285,2016
Germany,Male,0.00623,2016
Germany,Female,0.00315,2017
Germany,Male,0.00688,2017
Germany,Female,0.00363,2018
Germany,Male,0.00782,2018
Germany,Female,0.00443,2019
Germany,Male,0.0093,2019
Germany,Female,0.005,2020
Germany,Male,0.0104,2020
Germany,Female,0.00572,2021
Germany,Male,0.0116,2021
Germany,Female,0.00638,2022
Germany,Male,0.01269,2022
Germany,Female,0.00674,2023
Germany,Male,0.0134,2023
Germany,Female,0.0069,2024
Germany,Male,0.01387,2024
Germany,Female,0.00715,2025
Germany,Male,0.01463,2025
Hong Kong,Female,0.00208,2016
Hong Kong,Male,0.0045,2016
Hong Kong,Female,0.00232,2017
Hong Kong,Male,0.00508,2017
Hong Kong,Female,0.00274,2018
Hong Kong,Male,0.00594,2018
Hong Kong,Female,0.00307,2019
Hong Kong,Male,0.00687,2019
Hong Kong,Female,0.00343,2020
Hong Kong,Male,0.00745,2020
Hong Kong,Female,0.00395,2021
Hong Kong,Male,0.00829,2021
Hong Kong,Female,0.0043,2022
Hong Kong,Male,0.0088,2022
Hong Kong,Female,0.00477,2023
Hong Kong,Male,0.00959,2023
Hong Kong,Female,0.00532,2024
Hong Kong,Male,0.0103,2024
Hong Kong,Female,0.00609,2025
Hong Kong,Male,0.01137,2025
India,Female,0.00278,2016
India,Male,0.00282,2016
India,Female,0.00329,2017
India,Male,0.00328,2017
India,Female,0.00405,2018
India,Male,0.00399,2018
India,Female,0.00494,2019
India,Male,0.00476,2019
India,Female,0.00587,2020
India,Male,0.00564,2020
India,Female,0.0069,2021
India,Male,0.00651,2021
India,Female,0.0075,2022
India,Male,0.00713,2022
India,Female,0.00834,2023
India,Male,0.00806,2023
India,Female,0.00951,2024
India,Male,0.00896,2024
India,Female,0.01088,2025
India,Male,0.01037,2025
Ireland,Female,0.00335,2016
Ireland,Male,0.00666,2016
Ireland,Female,0.00385,2017
Ireland,Male,0.00754,2017
Ireland,Female,0.00446,2018
Ireland,Male,0.00881,2018
Ireland,Female,0.00503,2019
Ireland,Male,0.01001,2019
Ireland,Female,0.00558,2020
Ireland,Male,0.01103,2020
Ireland,Female,0.00621,2021
Ireland,Male,0.01206,2021
Ireland,Female,0.00687,2022
Ireland,Male,0.01297,2022
Ireland,Female,0.00745,2023
Ireland,Male,0.01386,2023
Ireland,Female,0.00794,2024
Ireland,Male,0.0148,2024
Ireland,Female,0.00883,2025
Ireland,Male,0.01644,2025
Israel,Female,0.00684,2016
Israel,Male,0.0141,2016
Israel,Female,0.00798,2017
Israel,Male,0.01617,2017
Israel,Female,0.00923,2018
Israel,Male,0.01845,2018
Israel,Female,0.01083,2019
Israel,Male,0.021,2019
Israel,Female,0.01235,2020
Israel,Male,0.02342,2020
Israel,Female,0.01412,2021
Israel,Male,0.02604,2021
Israel,Female,0.01566,2022
Israel,Male,0.02816,2022
Israel,Female,0.01657,2023
Israel,Male,0.02935,2023
Israel,Female,0.01702,2024
Israel,Male,0.03019,2024
Israel,Female,0.0178,2025
Israel,Male,0.03146,2025
Italy,Female,0.00143,2016
Italy,Male,0.00229,2016
Italy,Female,0.00158,2017
Italy,Male,0.00256,2017
Italy,Female,0.00178,2018
Italy,Male,0.00292,2018
Italy,Female,0.00202,2019
Italy,Male,0.00337,2019
Italy,Female,0.00221,2020
Italy,Male,0.00377,2020
Italy,Female,0.00245,2021
Italy,Male,0.00425,2021
Italy,Female,0.00267,2022
Italy,Male,0.00461,2022
Italy,Female,0.00284,2023
Italy,Male,0.005,2023
Italy,Female,0.00295,2024
Italy,Male,0.00529,2024
Italy,Female,0.00314,2025
Italy,Male,0.0057,2025
Lithuania,Female,0.00261,2016
Lithuania,Male,0.006,2016
Lithuania,Female,0.00301,2017
Lithuania,Male,0.00706,2017
Lithuania,Female,0.00364,2018
Lithuania,Male,0.0084,2018
Lithuania,Female,0.00451,2019
Lithuania,Male,0.00976,2019
Lithuania,Female,0.00522,2020
Lithuania,Male,0.01111,2020
Lithuania,Female,0.00627,2021
Lithuania,Male,0.01251,2021
Lithuania,Female,0.0071,2022
Lithuania,Male,0.01375,2022
Lithuania,Female,0.00738,2023
Lithuania,Male,0.01412,2023
Lithuania,Female,0.00761,2024
Lithuania,Male,0.01461,2024
Lithuania,Female,0.00802,2025
Lithuania,Male,0.01557,2025
Luxembourg,Female,0.00478,2016
Luxembourg,Male,0.00895,2016
Luxembourg,Female,0.00522,2017
Luxembourg,Male,0.01,2017
Luxembourg,Female,0.00587,2018
Luxembourg,Male,0.01089,2018
Luxembourg,Female,0.00658,2019
Luxembourg,Male,0.01201,2019
Luxembourg,Female,0.00706,2020
Luxembourg,Male,0.01329,2020
Luxembourg,Female,0.00801,2021
Luxembourg,Male,0.01455,2021
Luxembourg,Female,0.00872,2022
Luxembourg,Male,0.01615,2022
Luxembourg,Female,0.00943,2023
Luxembourg,Male,0.01731,2023
Luxembourg,Female,0.0101,2024
Luxembourg,Male,0.01844,2024
Luxembourg,Female,0.01118,2025
Luxembourg,Male,0.01991,2025
Mexico,Female,0.00083,2016
Mexico,Male,0.00164,2016
Mexico,Female,0.00093,2017
Mexico,Male,0.00184,2017
Mexico,Female,0.00106,2018
Mexico,Male,0.0021,2018
Mexico,Female,0.0012,2019
Mexico,Male,0.00241,2019
Mexico,Female,0.00131,2020
Mexico,Male,0.00265,2020
Mexico,Female,0.00146,2021
Mexico,Male,0.00299,2021
Mexico,Female,0.00163,2022
Mexico,Male,0.00333,2022
Mexico,Female,0.00175,2023
Mexico,Male,0.00365,2023
Mexico,Female,0.00184,2024
Mexico,Male,0.00391,2024
Mexico,Female,0.00195,2025
Mexico,Male,0.00419,2025
Netherlands,Female,0.00351,2016
Netherlands,Male,0.00701,2016
Netherlands,Female,0.00388,2017
Netherlands,Male,0.00776,2017
Netherlands,Female,0.00436,2018
Netherlands,Male,0.00864,2018
Netherlands,Female,0.0049,2019
Netherlands,Male,0.00962,2019
Netherlands,Female,0.00536,2020
Netherlands,Male,0.01043,2020
Netherlands,Female,0.00596,2021
Netherlands,Male,0.01139,2021
Netherlands,Female,0.00655,2022
Netherlands,Male,0.0123,2022
Netherlands,Female,0.00694,2023
Netherlands,Male,0.01293,2023
Netherlands,Female,0.00708,2024
Netherlands,Male,0.01315,2024
Netherlands,Female,0.00718,2025
Netherlands,Male,0.01358,2025
New Zealand,Female,0.00236,2016
New Zealand,Male,0.00453,2016
New Zealand,Female,0.00258,2017
New Zealand,Male,0.00496,2017
New Zealand,Female,0.00291,2018
New Zealand,Male,0.00555,2018
New Zealand,Female,0.00329,2019
New Zealand,Male,0.00627,2019
New Zealand,Female,0.00363,2020
New Zealand,Male,0.00672,2020
New Zealand,Female,0.00405,2021
New Zealand,Male,0.00735,2021
New Zealand,Female,0.00443,2022
New Zealand,Male,0.0079,2022
New Zealand,Female,0.00473,2023
New Zealand,Male,0.00822,2023
New Zealand,Female,0.0049,2024
New Zealand,Male,0.00841,2024
New Zealand,Female,0.00515,2025
New Zealand,Male,0.0088,2025
Norway,Female,0.00182,2016
Norway,Male,0.00345,2016
Norway,Female,0.00197,2017
Norway,Male,0.00389,2017
Norway,Female,0.00221,2018
Norway,Male,0.00445,2018
Norway,Female,0.00262,2019
Norway,Male,0.00521,2019
Norway,Female,0.00298,2020
Norway,Male,0.0059,2020
Norway,Female,0.00341,2021
Norway,Male,0.00668,2021
Norway,Female,0.00389,2022
Norway,Male,0.00739,2022
Norway,Female,0.00428,2023
Norway,Male,0.00799,2023
Norway,Female,0.0045,2024
Norway,Male,0.00838,2024
Norway,Female,0.00474,2025
Norway,Male,0.00883,2025
Poland,Female,0.00328,2016
Poland,Male,0.00642,2016
Poland,Female,0.00385,2017
Poland,Male,0.00743,2017
Poland,Female,0.00454,2018
Poland,Male,0.00873,2018
Poland,Female,0.00523,2019
Poland,Male,0.00997,2019
Poland,Female,0.00564,2020
Poland,Male,0.01079,2020
Poland,Female,0.00623,2021
Poland,Male,0.01188,2021
Poland,Female,0.00674,2022
Poland,Male,0.01278,2022
Poland,Female,0.00676,2023
Poland,Male,0.01295,2023
Poland,Female,0.00655,2024
Poland,Male,0.01277,2024
Poland,Female,0.00686,2025
Poland,Male,0.0134,2025
Portugal,Female,0.00115,2016
Portugal,Male,0.00236,2016
Portugal,Female,0.00134,2017
Portugal,Male,0.0028,2017
Portugal,Female,0.00159,2018
Portugal,Male,0.00336,2018
Portugal,Female,0.00188,2019
Portugal,Male,0.00397,2019
Portugal,Female,0.00211,2020
Portugal,Male,0.00458,2020
Portugal,Female,0.00247,2021
Portugal,Male,0.00532,2021
Portugal,Female,0.00286,2022
Portugal,Male,0.00616,2022
Portugal,Female,0.00321,2023
Portugal,Male,0.00691,2023
Portugal,Female,0.00347,2024
Portugal,Male,0.00752,2024
Portugal,Female,0.0039,2025
Portugal,Male,0.00841,2025
Romania,Female,0.00229,2016
Romania,Male,0.0035,2016
Romania,Female,0.00272,2017
Romania,Male,0.00405,2017
Romania,Female,0.00329,2018
Romania,Male,0.00472,2018
Romania,Female,0.00372,2019
Romania,Male,0.00533,2019
Romania,Female,0.00406,2020
Romania,Male,0.00584,2020
Romania,Female,0.00451,2021
Romania,Male,0.0065,2021
Romania,Female,0.00485,2022
Romania,Male,0.0069,2022
Romania,Female,0.00493,2023
Romania,Male,0.00713,2023
Romania,Female,0.00498,2024
Romania,Male,0.00728,2024
Romania,Female,0.00526,2025
Romania,Male,0.00808,2025
Saudi Arabia,Female,0.00154,2016
Saudi Arabia,Male,0.00185,2016
Saudi Arabia,Female,0.0017,2017
Saudi Arabia,Male,0.00203,2017
Saudi Arabia,Female,0.00202,2018
Saudi Arabia,Male,0.00217,2018
Saudi Arabia,Female,0.0026,2019
Saudi Arabia,Male,0.00236,2019
Saudi Arabia,Female,0.00312,2020
Saudi Arabia,Male,0.00256,2020
Saudi Arabia,Female,0.00381,2021
Saudi Arabia,Male,0.00281,2021
Saudi Arabia,Female,0.00431,2022
Saudi Arabia,Male,0.00298,2022
Saudi Arabia,Female,0.00511,2023
Saudi Arabia,Male,0.00336,2023
Saudi Arabia,Female,0.00614,2024
Saudi Arabia,Male,0.00395,2024
Saudi Arabia,Female,0.00763,2025
Saudi Arabia,Male,0.00481,2025
Singapore,Female,0.00526,2016
Singapore,Male,0.00834,2016
Singapore,Female,0.00602,2017
Singapore,Male,0.0093,2017
Singapore,Female,0.00697,2018
Singapore,Male,0.01068,2018
Singapore,Female,0.00811,2019
Singapore,Male,0.01213,2019
Singapore,Female,0.00929,2020
Singapore,Male,0.01355,2020
Singapore,Female,0.01063,2021
Singapore,Male,0.01498,2021
Singapore,Female,0.01162,2022
Singapore,Male,0.01607,2022
Singapore,Female,0.01278,2023
Singapore,Male,0.01748,2023
Singapore,Female,0.01417,2024
Singapore,Male,0.01938,2024
Singapore,Female,0.01546,2025
Singapore,Male,0.02126,2025
South Africa,Female,0.00167,2016
South Africa,Male,0.00253,2016
South Africa,Female,0.00175,2017
South Africa,Male,0.00272,2017
South Africa,Female,0.0019,2018
South Africa,Male,0.00298,2018
South Africa,Female,0.00207,2019
South Africa,Male,0.00327,2019
South Africa,Female,0.00221,2020
South Africa,Male,0.00352,2020
South Africa,Female,0.00228,2021
South Africa,Male,0.00368,2021
South Africa,Female,0.00234,2022
South Africa,Male,0.00379,2022
South Africa,Female,0.0024,2023
South Africa,Male,0.00393,2023
South Africa,Female,0.00248,2024
South Africa,Male,0.00404,2024
South Africa,Female,0.00272,2025
South Africa,Male,0.00436,2025
Spain,Female,0.00153,2016
Spain,Male,0.00328,2016
Spain,Female,0.00172,2017
Spain,Male,0.00377,2017
Spain,Female,0.00197,2018
Spain,Male,0.00435,2018
Spain,Female,0.00222,2019
Spain,Male,0.00498,2019
Spain,Female,0.00241,2020
Spain,Male,0.00547,2020
Spain,Female,0.00273,2021
Spain,Male,0.00614,2021
Spain,Female,0.00301,2022
Spain,Male,0.00676,2022
Spain,Female,0.00328,2023
Spain,Male,0.00737,2023
Spain,Female,0.0036,2024
Spain,Male,0.00801,2024
Spain,Female,0.00399,2025
Spain,Male,0.00891,2025
Sweden,Female,0.00364,2016
Sweden,Male,0.00734,2016
Sweden,Female,0.00381,2017
Sweden,Male,0.00784,2017
Sweden,Female,0.004,2018
Sweden,Male,0.00854,2018
Sweden,Female,0.0043,2019
Sweden,Male,0.00926,2019
Sweden,Female,0.00463,2020
Sweden,Male,0.00992,2020
Sweden,Female,0.00501,2021
Sweden,Male,0.01059,2021
Sweden,Female,0.00538,2022
Sweden,Male,0.01116,2022
Sweden,Female,0.00563,2023
Sweden,Male,0.01154,2023
Sweden,Female,0.00581,2024
Sweden,Male,0.01179,2024
Sweden,Female,0.0061,2025
Sweden,Male,0.01231,2025
Switzerland,Female,0.00384,2016
Switzerland,Male,0.00815,2016
Switzerland,Female,0.00402,2017
Switzerland,Male,0.00868,2017
Switzerland,Female,0.00437,2018
Switzerland,Male,0.00948,2018
Switzerland,Female,0.00499,2019
Switzerland,Male,0.01071,2019
Switzerland,Female,0.00557,2020
Switzerland,Male,0.01187,2020
Switzerland,Female,0.00608,2021
Switzerland,Male,0.01291,2021
Switzerland,Female,0.00658,2022
Switzerland,Male,0.01388,2022
Switzerland,Female,0.00698,2023
Switzerland,Male,0.01471,2023
Switzerland,Female,0.00737,2024
Switzerland,Male,0.01544,2024
Switzerland,Female,0.00782,2025
Switzerland,Male,0.01646,2025
Turkey,Female,0.00116,2016
Turkey,Male,0.00143,2016
Turkey,Female,0.00134,2017
Turkey,Male,0.00164,2017
Turkey,Female,0.00158,2018
Turkey,Male,0.00196,2018
Turkey,Female,0.00186,2019
Turkey,Male,0.00228,2019
Turkey,Female,0.00212,2020
Turkey,Male,0.00266,2020
Turkey,Female,0.00245,2021
Turkey,Male,0.00301,2021
Turkey,Female,0.00274,2022
Turkey,Male,0.00338,2022
Turkey,Female,0.00293,2023
Turkey,Male,0.00359,2023
Turkey,Female,0.00303,2024
Turkey,Male,0.00373,2024
Turkey,Female,0.00328,2025
Turkey,Male,0.00405,2025
United Arab Emirates,Female,0.00229,2016
United Arab Emirates,Male,0.00252,2016
United Arab Emirates,Female,0.00253,2017
United Arab Emirates,Male,0.00268,2017
United Arab Emirates,Female,0.00276,2018
United Arab Emirates,Male,0.00294,2018
United Arab Emirates,Female,0.00303,2019
United Arab Emirates,Male,0.00317,2019
United Arab Emirates,Female,0.0034,2020
United Arab Emirates,Male,0.00352,2020
United Arab Emirates,Female,0.00377,2021
United Arab Emirates,Male,0.00388,2021
United Arab Emirates,Female,0.00416,2022
United Arab Emirates,Male,0.00423,2022
United Arab Emirates,Female,0.00473,2023
United Arab Emirates,Male,0.00486,2023
United Arab Emirates,Female,0.00561,2024
United Arab Emirates,Male,0.00573,2024
United Arab Emirates,Female,0.00676,2025
United Arab Emirates,Male,0.00716,2025
United Kingdom,Female,0.00282,2016
United Kingdom,Male,0.00606,2016
United Kingdom,Female,0.00311,2017
United Kingdom,Male,0.00658,2017
United Kingdom,Female,0.00346,2018
United Kingdom,Male,0.00723,2018
United Kingdom,Female,0.00387,2019
United Kingdom,Male,0.00794,2019
United Kingdom,Female,0.00418,2020
United Kingdom,Male,0.00848,2020
United Kingdom,Female,0.00467,2021
United Kingdom,Male,0.00926,2021
United Kingdom,Female,0.00522,2022
United Kingdom,Male,0.01007,2022
United Kingdom,Female,0.00565,2023
United Kingdom,Male,0.01074,2023
United Kingdom,Female,0.00593,2024
United Kingdom,Male,0.01121,2024
United Kingdom,Female,0.00626,2025
United Kingdom,Male,0.01178,2025
United States,Female,0.00271,2016
United States,Male,0.00523,2016
United States,Female,0.00299,2017
United States,Male,0.00578,2017
United States,Female,0.00331,2018
United States,Male,0.00639,2018
United States,Female,0.0037,2019
United States,Male,0.00712,2019
United States,Female,0.00403,2020
United States,Male,0.00771,2020
United States,Female,0.00444,2021
United States,Male,0.00842,2021
United States,Female,0.00485,2022
United States,Male,0.0091,2022
United States,Female,0.00521,2023
United States,Male,0.00978,2023
United States,Female,0.00555,2024
United States,Male,0.01044,2024
United States,Female,0.00592,2025
United States,Male,0.01116,2025
Uruguay,Female,0.00056,2016
Uruguay,Male,0.00142,2016
Uruguay,Female,0.00063,2017
Uruguay,Male,0.00165,2017
Uruguay,Female,0.00072,2018
Uruguay,Male,0.00199,2018
Uruguay,Female,0.00075,2019
Uruguay,Male,0.00225,2019
Uruguay,Female,0.00088,2020
Uruguay,Male,0.00245,2020
Uruguay,Female,0.00102,2021
Uruguay,Male,0.00284,2021
Uruguay,Female,0.00121,2022
Uruguay,Male,0.00321,2022
Uruguay,Female,0.00132,2023
Uruguay,Male,0.00346,2023
Uruguay,Female,0.00138,2024
Uruguay,Male,0.00373,2024
Uruguay,Female,0.00158,2025
Uruguay,Male,0.00414,2025
