year,country,netflow_per_10K
1/1/23,Slovenia,0.06601
1/1/24,Slovenia,-0.01908
1/1/25,Slovenia,0.0859
1/1/25,South Africa,-0.01818
1/1/24,South Africa,-0.14709
1/1/23,South Africa,-0.29894
1/1/21,South Africa,-0.16388
1/1/22,South Africa,-0.35401
1/1/21,South Korea,0.11677
1/1/22,South Korea,-0.03101
1/1/23,South Korea,-0.44279
1/1/24,South Korea,-0.15012
1/1/25,South Korea,-0.35437
1/1/21,Spain,0.36601
1/1/22,Spain,0.44116
1/1/23,Spain,0.56182
1/1/24,Spain,0.23064
1/1/25,Spain,0.54295
1/1/25,Sweden,0.07966
1/1/23,Sweden,0.44537
1/1/24,Sweden,-0.37487
1/1/21,Sweden,0.74333
1/1/22,Sweden,1.04813
1/1/21,Switzerland*,2.62133
1/1/22,Switzerland*,3.25999
1/1/23,Switzerland*,2.79402
1/1/24,Switzerland*,1.72272
1/1/25,Switzerland*,2.44543
1/1/21,Turkey,-0.45416
1/1/22,Turkey,-0.26176
1/1/23,Turkey,-0.47619
1/1/24,Turkey,-0.12343
1/1/25,Turkey,-0.30182
1/1/25,United Arab Emirates*,6.52047
1/1/23,United Arab Emirates*,3.55731
1/1/24,United Arab Emirates*,4.40063
1/1/21,United Arab Emirates*,1.2922
1/1/22,United Arab Emirates*,2.86365
1/1/21,United Kingdom*,0.97512
1/1/22,United Kingdom*,1.91834
1/1/23,United Kingdom*,1.34111
1/1/24,United Kingdom*,1.03905
1/1/25,United Kingdom*,0.61656
1/1/25,United States,0.91968
1/1/24,United States,1.21862
1/1/22,United States,0.88965
1/1/21,United States,0.62236
1/1/23,United States,1.07318
1/1/24,Uruguay,0.15617
1/1/21,Uruguay,-0.06166
1/1/22,Uruguay,0.12009
1/1/23,Uruguay,-0.25631
1/1/25,Uruguay,0.16309
