Country,Gender,ai_talent_representation_perc,Year
Mexico,Male,0.73057,2017
Mexico,Female,0.26892,2018
Mexico,Male,0.73108,2018
Mexico,Female,0.26756,2019
Mexico,Male,0.73244,2019
Mexico,Female,0.26845,2020
Mexico,Male,0.73155,2020
Mexico,Female,0.26955,2021
Mexico,Male,0.73045,2021
Mexico,Female,0.27138,2022
Mexico,Male,0.72862,2022
Mexico,Female,0.26808,2023
Mexico,Male,0.73192,2023
Mexico,Female,0.26755,2024
Mexico,Male,0.73245,2024
Mexico,Female,0.26875,2025
Mexico,Male,0.73125,2025
Netherlands,Female,0.26253,2016
Netherlands,Male,0.73747,2016
Netherlands,Female,0.26477,2017
Netherlands,Male,0.73523,2017
Netherlands,Female,0.26838,2018
Netherlands,Male,0.73162,2018
Netherlands,Female,0.27145,2019
Netherlands,Male,0.72855,2019
Netherlands,Female,0.27466,2020
Netherlands,Male,0.72534,2020
Netherlands,Female,0.27984,2021
Netherlands,Male,0.72016,2021
Netherlands,Female,0.28449,2022
Netherlands,Male,0.71551,2022
Netherlands,Female,0.28714,2023
Netherlands,Male,0.71286,2023
Netherlands,Female,0.28913,2024
Netherlands,Male,0.71087,2024
Netherlands,Female,0.2906,2025
Netherlands,Male,0.7094,2025
New Zealand,Female,0.31599,2016
New Zealand,Male,0.68401,2016
New Zealand,Female,0.31777,2017
New Zealand,Male,0.68223,2017
New Zealand,Female,0.32102,2018
New Zealand,Male,0.67898,2018
New Zealand,Female,0.32133,2019
New Zealand,Male,0.67867,2019
New Zealand,Female,0.32924,2020
New Zealand,Male,0.67076,2020
New Zealand,Female,0.3351,2021
New Zealand,Male,0.6649,2021
New Zealand,Female,0.33995,2022
New Zealand,Male,0.66005,2022
New Zealand,Female,0.34612,2023
New Zealand,Male,0.65388,2023
New Zealand,Female,0.34937,2024
New Zealand,Male,0.65063,2024
New Zealand,Female,0.35062,2025
New Zealand,Male,0.64938,2025
Norway,Female,0.26696,2016
Norway,Male,0.73304,2016
Norway,Female,0.26156,2017
Norway,Male,0.73844,2017
Norway,Female,0.25996,2018
Norway,Male,0.74004,2018
Norway,Female,0.26347,2019
Norway,Male,0.73653,2019
Norway,Female,0.26471,2020
Norway,Male,0.73529,2020
Norway,Female,0.26894,2021
Norway,Male,0.73106,2021
Norway,Female,0.27571,2022
Norway,Male,0.72429,2022
Norway,Female,0.28018,2023
Norway,Male,0.71982,2023
Norway,Female,0.28169,2024
Norway,Male,0.71831,2024
Norway,Female,0.28418,2025
Norway,Male,0.71582,2025
Poland,Female,0.30703,2016
Poland,Male,0.69297,2016
Poland,Female,0.31362,2017
Poland,Male,0.68638,2017
Poland,Female,0.31808,2018
Poland,Male,0.68192,2018
Poland,Female,0.32206,2019
Poland,Male,0.67794,2019
Poland,Female,0.32437,2020
Poland,Male,0.67563,2020
Poland,Female,0.329,2021
Poland,Male,0.671,2021
Poland,Female,0.33531,2022
Poland,Male,0.66469,2022
Poland,Female,0.33728,2023
