Age Band Imputed,Date,Headcount,Jbb Role
Early Career 2 (26-30),10/1/21,0.918626828,Software developers
Early Career 2 (26-30),11/1/21,0.92231405,Software developers
Early Career 2 (26-30),12/1/21,0.927145582,Software developers
Early Career 2 (26-30),1/1/22,0.950158932,Software developers
Early Career 2 (26-30),2/1/22,0.954990464,Software developers
Early Career 2 (26-30),3/1/22,0.955753338,Software developers
Early Career 2 (26-30),4/1/22,0.95079466,Software developers
Early Career 2 (26-30),5/1/22,0.959059123,Software developers
Early Career 2 (26-30),6/1/22,0.974189447,Software developers
Early Career 2 (26-30),7/1/22,0.996567069,Software developers
Early Career 2 (26-30),8/1/22,0.993006993,Software developers
Early Career 2 (26-30),9/1/22,1.010680229,Software developers
Early Career 2 (26-30),10/1/22,1.00317864,Software developers
Early Career 2 (26-30),11/1/22,1,Software developers
Early Career 2 (26-30),12/1/22,0.995549905,Software developers
Early Career 2 (26-30),1/1/23,0.999237127,Software developers
Early Career 2 (26-30),2/1/23,1.002415766,Software developers
Early Career 2 (26-30),3/1/23,0.997202797,Software developers
Early Career 2 (26-30),4/1/23,0.999364272,Software developers
Early Career 2 (26-30),5/1/23,0.999364272,Software developers
Early Career 2 (26-30),6/1/23,0.979402416,Software developers
Early Career 2 (26-30),7/1/23,0.98588684,Software developers
Early Career 2 (26-30),8/1/23,0.988684043,Software developers
Early Career 2 (26-30),9/1/23,0.987539733,Software developers
Early Career 2 (26-30),10/1/23,0.98041958,Software developers
Early Career 2 (26-30),11/1/23,0.962364908,Software developers
Early Career 2 (26-30),12/1/23,0.958677686,Software developers
Early Career 2 (26-30),1/1/24,0.964780674,Software developers
Early Career 2 (26-30),2/1/24,0.96834075,Software developers
Early Career 2 (26-30),3/1/24,0.975333757,Software developers
Early Career 2 (26-30),4/1/24,0.975969485,Software developers
Early Career 2 (26-30),5/1/24,0.978512397,Software developers
Early Career 2 (26-30),6/1/24,0.977368086,Software developers
Early Career 2 (26-30),7/1/24,0.96948506,Software developers
Early Career 2 (26-30),8/1/24,0.972917991,Software developers
Early Career 2 (26-30),9/1/24,0.982581055,Software developers
Early Career 2 (26-30),10/1/24,0.972917991,Software developers
Early Career 2 (26-30),11/1/24,0.974189447,Software developers
Early Career 2 (26-30),12/1/24,0.966815003,Software developers
Early Career 2 (26-30),1/1/25,0.967069294,Software developers
Early Career 2 (26-30),2/1/25,0.963127781,Software developers
Early Career 2 (26-30),3/1/25,0.962364908,Software developers
Early Career 2 (26-30),4/1/25,0.96719644,Software developers
Early Career 2 (26-30),5/1/25,0.952828989,Software developers
Early Career 2 (26-30),6/1/25,0.95626192,Software developers
Early Career 2 (26-30),7/1/25,0.955371901,Software developers
Early Career 2 (26-30),8/1/25,0.962110617,Software developers
Early Career 2 (26-30),9/1/25,0.960203433,Software developers
Early Career 2 (26-30),10/1/25,0.953337572,Software developers
Early Career 2 (26-30),11/1/25,0.952447552,Software developers
Early Career 2 (26-30),12/1/25,0.945581691,Software developers
Mid-Career 1 (35-40),1/1/21,0.883904363,Software developers
Mid-Career 1 (35-40),2/1/21,0.891175746,Software developers
Mid-Career 1 (35-40),3/1/21,0.890066552,Software developers
Mid-Career 1 (35-40),4/1/21,0.900419029,Software developers
Mid-Career 1 (35-40),5/1/21,0.897461178,Software developers
Mid-Career 1 (35-40),6/1/21,0.906581218,Software developers
Mid-Career 1 (35-40),7/1/21,0.915578013,Software developers
Mid-Career 1 (35-40),8/1/21,0.916317476,Software developers
Mid-Career 1 (35-40),9/1/21,0.921370471,Software developers
Mid-Career 1 (35-40),10/1/21,0.930860242,Software developers
Mid-Career 1 (35-40),11/1/21,0.938871087,Software developers
Mid-Career 1 (35-40),12/1/21,0.938378112,Software developers
Mid-Career 1 (35-40),1/1/22,0.955632241,Software developers
Mid-Career 1 (35-40),2/1/22,0.951318708,Software developers
Mid-Career 1 (35-40),3/1/22,0.960561992,Software developers
Mid-Career 1 (35-40),4/1/22,0.965861474,Software developers
Mid-Career 1 (35-40),5/1/22,0.959576041,Software developers
Mid-Career 1 (35-40),6/1/22,0.975967464,Software developers
Mid-Career 1 (35-40),7/1/22,0.992358886,Software developers
Mid-Career 1 (35-40),8/1/22,0.993961055,Software developers
Mid-Career 1 (35-40),9/1/22,1.010352477,Software developers
Mid-Career 1 (35-40),10/1/22,0.998890806,Software developers
Mid-Career 1 (35-40),11/1/22,1,Software developers
Mid-Career 1 (35-40),12/1/22,0.999137294,Software developers
Mid-Career 1 (35-40),1/1/23,1.022060636,Software developers
Mid-Career 1 (35-40),2/1/23,1.019349273,Software developers
Mid-Career 1 (35-40),3/1/23,1.024771999,Software developers
Mid-Career 1 (35-40),4/1/23,1.022060636,Software developers
Mid-Career 1 (35-40),5/1/23,1.032659601,Software developers
Mid-Career 1 (35-40),6/1/23,1.01959576,Software developers
Mid-Career 1 (35-40),7/1/23,1.022676855,Software developers
Mid-Career 1 (35-40),8/1/23,1.021567661,Software developers
Mid-Career 1 (35-40),9/1/23,1.029948238,Software developers
Mid-Career 1 (35-40),10/1/23,1.026127681,Software developers
Mid-Career 1 (35-40),11/1/23,1.020581711,Software developers
Mid-Career 1 (35-40),12/1/23,1.013433572,Software developers
Mid-Career 1 (35-40),1/1/24,1.019965492,Software developers
Mid-Career 1 (35-40),2/1/24,1.032536357,Software developers
Mid-Career 1 (35-40),3/1/24,1.038452058,Software developers
Mid-Career 1 (35-40),4/1/24,1.03980774,Software developers
Mid-Career 1 (35-40),5/1/24,1.038575302,Software developers
Mid-Career 1 (35-40),6/1/24,1.035863939,Software developers
Mid-Career 1 (35-40),7/1/24,1.049913729,Software developers
Mid-Career 1 (35-40),8/1/24,1.045969929,Software developers
Mid-Career 1 (35-40),9/1/24,1.06297757,Software developers
Mid-Career 1 (35-40),10/1/24,1.053487799,Software developers
Mid-Career 1 (35-40),11/1/24,1.057678087,Software developers
Mid-Career 1 (35-40),12/1/24,1.055582943,Software developers
Mid-Career 1 (35-40),1/1/25,1.069016515,Software developers
Mid-Career 1 (35-40),2/1/25,1.066058664,Software developers
Mid-Career 1 (35-40),3/1/25,1.06852354,Software developers
Mid-Career 1 (35-40),4/1/25,1.077643579,Software developers
Mid-Career 1 (35-40),5/1/25,1.071974365,Software developers
Mid-Career 1 (35-40),6/1/25,1.087996056,Software developers
Mid-Career 1 (35-40),7/1/25,1.090707419,Software developers
Mid-Career 1 (35-40),8/1/25,1.096130145,Software developers
Mid-Career 1 (35-40),9/1/25,1.100073946,Software developers
Mid-Career 1 (35-40),10/1/25,1.09822529,Software developers
Mid-Career 1 (35-40),11/1/25,1.099580971,Software developers
Mid-Career 1 (35-40),12/1/25,1.107345329,Software developers
Mid-Career 2 (41-49),1/1/21,0.878505788,Software developers
Mid-Career 2 (41-49),2/1/21,0.880295978,Software developers
Mid-Career 2 (41-49),3/1/21,0.891275809,Software developers
Mid-Career 2 (41-49),4/1/21,0.89449815,Software developers
Mid-Career 2 (41-49),5/1/21,0.889008235,Software developers
Mid-Career 2 (41-49),6/1/21,0.896765724,Software developers
Mid-Career 2 (41-49),7/1/21,0.900107411,Software developers
Mid-Career 2 (41-49),8/1/21,0.908939014,Software developers
Mid-Career 2 (41-49),9/1/21,0.914667621,Software developers
Mid-Career 2 (41-49),10/1/21,0.918964077,Software developers
Mid-Career 2 (41-49),11/1/21,0.916577157,Software developers
Mid-Career 2 (41-49),12/1/21,0.918964077,Software developers
Mid-Career 2 (41-49),1/1/22,0.946294307,Software developers
Mid-Career 2 (41-49),2/1/22,0.946652345,Software developers
Mid-Career 2 (41-49),3/1/22,0.950232725,Software developers
Mid-Career 2 (41-49),4/1/22,0.961570593,Software developers
Mid-Career 2 (41-49),5/1/22,0.973385846,Software developers
Mid-Career 2 (41-49),6/1/22,0.973505192,Software developers
Mid-Career 2 (41-49),7/1/22,0.998329156,Software developers
Mid-Career 2 (41-49),8/1/22,0.995226161,Software developers
Mid-Career 2 (41-49),9/1/22,1.005489915,Software developers
Mid-Career 2 (41-49),10/1/22,0.995584199,Software developers
Mid-Career 2 (41-49),11/1/22,1,Software developers
Mid-Career 2 (41-49),12/1/22,0.999045232,Software developers
Mid-Career 2 (41-49),1/1/23,1.017782552,Software developers
Mid-Career 2 (41-49),2/1/23,1.019334049,Software developers
Mid-Career 2 (41-49),3/1/23,1.020527509,Software developers
Mid-Career 2 (41-49),4/1/23,1.028762382,Software developers
Mid-Career 2 (41-49),5/1/23,1.031149302,Software developers
Mid-Career 2 (41-49),6/1/23,1.036161833,Software developers
Mid-Career 2 (41-49),7/1/23,1.036877909,Software developers
Mid-Career 2 (41-49),8/1/23,1.045232128,Software developers
Mid-Career 2 (41-49),9/1/23,1.050125313,Software developers
Mid-Career 2 (41-49),10/1/23,1.045112782,Software developers
Mid-Career 2 (41-49),11/1/23,1.043203246,Software developers
Mid-Career 2 (41-49),12/1/23,1.033894259,Software developers
Mid-Career 2 (41-49),1/1/24,1.053586347,Software developers
Mid-Career 2 (41-49),2/1/24,1.051796157,Software developers
Mid-Career 2 (41-49),3/1/24,1.06241795,Software developers
Mid-Career 2 (41-49),4/1/24,1.059553646,Software developers
Mid-Career 2 (41-49),5/1/24,1.067669173,Software developers
Mid-Career 2 (41-49),6/1/24,1.078887695,Software developers
Mid-Career 2 (41-49),7/1/24,1.07399451,Software developers
Mid-Career 2 (41-49),8/1/24,1.083422843,Software developers
Mid-Career 2 (41-49),9/1/24,1.084854995,Software developers
Mid-Career 2 (41-49),10/1/24,1.092254446,Software developers
Mid-Career 2 (41-49),11/1/24,1.098818475,Software developers
Mid-Career 2 (41-49),12/1/24,1.097983053,Software developers
Mid-Career 2 (41-49),1/1/25,1.10669531,Software developers
Mid-Career 2 (41-49),2/1/25,1.114094761,Software developers
Mid-Career 2 (41-49),3/1/25,1.111349803,Software developers
Mid-Career 2 (41-49),4/1/25,1.121494212,Software developers
Mid-Career 2 (41-49),5/1/25,1.119345984,Software developers
Mid-Career 2 (41-49),6/1/25,1.118033178,Software developers
Mid-Career 2 (41-49),7/1/25,1.117555794,Software developers
Mid-Career 2 (41-49),8/1/25,1.123642439,Software developers
Mid-Career 2 (41-49),9/1/25,1.133548156,Software developers
Mid-Career 2 (41-49),10/1/25,1.137725266,Software developers
Mid-Career 2 (41-49),11/1/25,1.145363409,Software developers
Mid-Career 2 (41-49),12/1/25,1.145124717,Software developers
Senior (50+),1/1/21,0.85769351,Software developers
Senior (50+),2/1/21,0.85894364,Software developers
Senior (50+),3/1/21,0.869986457,Software developers
Senior (50+),4/1/21,0.874674445,Software developers
Senior (50+),5/1/21,0.880925096,Software developers
Senior (50+),6/1/21,0.884675487,Software developers
Senior (50+),7/1/21,0.892384623,Software developers
Senior (50+),8/1/21,0.900197937,Software developers
Senior (50+),9/1/21,0.909573914,Software developers
Senior (50+),10/1/21,0.921762684,Software developers
Senior (50+),11/1/21,0.932805501,Software developers
Senior (50+),12/1/21,0.931763725,Software developers
Senior (50+),1/1/22,0.958954058,Software developers
Senior (50+),2/1/22,0.96010001,Software developers
Senior (50+),3/1/22,0.967079904,Software developers
Senior (50+),4/1/22,0.97020523,Software developers
Senior (50+),5/1/22,0.974580685,Software developers
Senior (50+),6/1/22,0.979893739,Software developers
Senior (50+),7/1/22,0.991040733,Software developers
Senior (50+),8/1/22,0.995416189,Software developers
Senior (50+),9/1/22,1.012084592,Software developers
Senior (50+),10/1/22,0.995416189,Software developers
Senior (50+),11/1/22,1,Software developers
Senior (50+),12/1/22,0.999687467,Software developers
Senior (50+),1/1/23,1.012292947,Software developers
Senior (50+),2/1/23,1.009063444,Software developers
Senior (50+),3/1/23,1.010417752,Software developers
Senior (50+),4/1/23,1.017814356,Software developers
Senior (50+),5/1/23,1.022398166,Software developers
Senior (50+),6/1/23,1.022919054,Software developers
Senior (50+),7/1/23,1.02604438,Software developers
Senior (50+),8/1/23,1.028336285,Software developers
Senior (50+),9/1/23,1.033857694,Software developers
Senior (50+),10/1/23,1.031149078,Software developers
Senior (50+),11/1/23,1.035837066,Software developers
Senior (50+),12/1/23,1.034586936,Software developers
Senior (50+),1/1/24,1.035732889,Software developers
Senior (50+),2/1/24,1.040941765,Software developers
Senior (50+),3/1/24,1.043025315,Software developers
Senior (50+),4/1/24,1.048859256,Software developers
Senior (50+),5/1/24,1.053338889,Software developers
Senior (50+),6/1/24,1.05833941,Software developers
Senior (50+),7/1/24,1.061464736,Software developers
Senior (50+),8/1/24,1.072090843,Software developers
Senior (50+),9/1/24,1.072924263,Software developers
Senior (50+),10/1/24,1.075111991,Software developers
Senior (50+),11/1/24,1.079279092,Software developers
Senior (50+),12/1/24,1.074382748,Software developers
Senior (50+),1/1/25,1.068965517,Software developers
Senior (50+),2/1/25,1.067507032,Software developers
Senior (50+),3/1/25,1.064381706,Software developers
Senior (50+),4/1/25,1.065423482,Software developers
Senior (50+),5/1/25,1.05500573,Software developers
Senior (50+),6/1/25,1.046046463,Software developers
Senior (50+),7/1/25,1.050734452,Software developers
Senior (50+),8/1/25,1.059693718,Software developers
Senior (50+),9/1/25,1.069173872,Software developers
Senior (50+),10/1/25,1.070007292,Software developers
Senior (50+),11/1/25,1.072924263,Software developers
Senior (50+),12/1/25,1.069903115,Software developers
Developing (31-34),1/1/21,0.845121625,Customer support agents
Developing (31-34),2/1/21,0.848917402,Customer support agents
Developing (31-34),3/1/21,0.855279337,Customer support agents
Developing (31-34),4/1/21,0.864848971,Customer support agents
Developing (31-34),5/1/21,0.864100508,Customer support agents
Developing (31-34),6/1/21,0.859342422,Customer support agents
Developing (31-34),7/1/21,0.861748196,Customer support agents
Developing (31-34),8/1/21,0.874953221,Customer support agents
Developing (31-34),9/1/21,0.885057471,Customer support agents
Developing (31-34),10/1/21,0.903287891,Customer support agents
Developing (31-34),11/1/21,0.916385993,Customer support agents
Developing (31-34),12/1/21,0.932745255,Customer support agents
Developing (31-34),1/1/22,0.941887196,Customer support agents
Developing (31-34),2/1/22,0.939481422,Customer support agents
Developing (31-34),3/1/22,0.946377974,Customer support agents
Developing (31-34),4/1/22,0.953007217,Customer support agents
Developing (31-34),5/1/22,0.965944935,Customer support agents
Developing (31-34),6/1/22,0.970916867,Customer support agents
Developing (31-34),7/1/22,0.978348035,Customer support agents
Developing (31-34),8/1/22,0.980753809,Customer support agents
Developing (31-34),9/1/22,0.985244587,Customer support agents
Developing (31-34),10/1/22,0.995562684,Customer support agents
Developing (31-34),11/1/22,1,Customer support agents
Developing (31-34),12/1/22,1.006575782,Customer support agents
Developing (31-34),1/1/23,1.02085004,Customer support agents
Developing (31-34),2/1/23,1.022453889,Customer support agents
Developing (31-34),3/1/23,1.02443197,Customer support agents
Developing (31-34),4/1/23,1.031809677,Customer support agents
Developing (31-34),5/1/23,1.029991981,Customer support agents
Developing (31-34),6/1/23,1.032397755,Customer support agents
Developing (31-34),7/1/23,1.050628174,Customer support agents
Developing (31-34),8/1/23,1.039508153,Customer support agents
Developing (31-34),9/1/23,1.050200481,Customer support agents
Developing (31-34),10/1/23,1.059235499,Customer support agents
Developing (31-34),11/1/23,1.065757819,Customer support agents
Developing (31-34),12/1/23,1.06677359,Customer support agents
Developing (31-34),1/1/24,1.069125902,Customer support agents
Developing (31-34),2/1/24,1.067308206,Customer support agents
Developing (31-34),3/1/24,1.064207431,Customer support agents
Developing (31-34),4/1/24,1.0638332,Customer support agents
Developing (31-34),5/1/24,1.065062817,Customer support agents
Developing (31-34),6/1/24,1.059182037,Customer support agents
Developing (31-34),7/1/24,1.054530874,Customer support agents
Developing (31-34),8/1/24,1.065223202,Customer support agents
Developing (31-34),9/1/24,1.060892809,Customer support agents
Developing (31-34),10/1/24,1.058326651,Customer support agents
Developing (31-34),11/1/24,1.067468591,Customer support agents
Developing (31-34),12/1/24,1.064367816,Customer support agents
Developing (31-34),1/1/25,1.067628976,Customer support agents
Developing (31-34),2/1/25,1.061320503,Customer support agents
Developing (31-34),3/1/25,1.05538626,Customer support agents
Developing (31-34),4/1/25,1.053033948,Customer support agents
Developing (31-34),5/1/25,1.04854317,Customer support agents
Developing (31-34),6/1/25,1.037850842,Customer support agents
Developing (31-34),7/1/25,1.044266239,Customer support agents
Developing (31-34),8/1/25,1.048917402,Customer support agents
Developing (31-34),9/1/25,1.039882384,Customer support agents
Developing (31-34),10/1/25,1.049238172,Customer support agents
Developing (31-34),11/1/25,1.048008554,Customer support agents
Developing (31-34),12/1/25,1.05308741,Customer support agents
Early Career 1 (22-25),1/1/21,0.912556054,Customer support agents
Early Career 1 (22-25),2/1/21,0.917831707,Customer support agents
Early Career 1 (22-25),3/1/21,0.914996043,Customer support agents
Early Career 1 (22-25),4/1/21,0.913083619,Customer support agents
Early Career 1 (22-25),5/1/21,0.897520443,Customer support agents
Early Career 1 (22-25),6/1/21,0.882352941,Customer support agents
Early Career 1 (22-25),7/1/21,0.896069639,Customer support agents
Early Career 1 (22-25),8/1/21,0.899103139,Customer support agents
Early Career 1 (22-25),9/1/21,0.915853337,Customer support agents
Early Career 1 (22-25),10/1/21,0.940780797,Customer support agents
Early Career 1 (22-25),11/1/21,0.954695331,Customer support agents
Early Career 1 (22-25),12/1/21,0.972170931,Customer support agents
Early Career 1 (22-25),1/1/22,0.96854392,Customer support agents
Early Career 1 (22-25),2/1/22,0.963597995,Customer support agents
Early Career 1 (22-25),3/1/22,0.951266157,Customer support agents
Early Career 1 (22-25),4/1/22,0.965708256,Customer support agents
Early Career 1 (22-25),5/1/22,0.953574255,Customer support agents
Early Career 1 (22-25),6/1/22,0.968280137,Customer support agents
Early Career 1 (22-25),7/1/22,0.979293063,Customer support agents
Early Career 1 (22-25),8/1/22,0.966631496,Customer support agents
Early Career 1 (22-25),9/1/22,0.978303878,Customer support agents
Early Career 1 (22-25),10/1/22,0.986613031,Customer support agents
Early Career 1 (22-25),11/1/22,1,Customer support agents
Early Career 1 (22-25),12/1/22,0.992811923,Customer support agents
Early Career 1 (22-25),1/1/23,0.993405434,Customer support agents
Early Career 1 (22-25),2/1/23,0.983843313,Customer support agents
Early Career 1 (22-25),3/1/23,0.981864943,Customer support agents
Early Career 1 (22-25),4/1/23,0.971643366,Customer support agents
Early Career 1 (22-25),5/1/23,0.951661831,Customer support agents
Early Career 1 (22-25),6/1/23,0.958520179,Customer support agents
Early Career 1 (22-25),7/1/23,0.949683461,Customer support agents
Early Career 1 (22-25),8/1/23,0.938208916,Customer support agents
Early Career 1 (22-25),9/1/23,0.956673701,Customer support agents
Early Career 1 (22-25),10/1/23,0.953706146,Customer support agents
Early Career 1 (22-25),11/1/23,0.953903983,Customer support agents
Early Career 1 (22-25),12/1/23,0.942891058,Customer support agents
Early Career 1 (22-25),1/1/24,0.932273806,Customer support agents
Early Career 1 (22-25),2/1/24,0.934515959,Customer support agents
Early Career 1 (22-25),3/1/24,0.938934318,Customer support agents
Early Career 1 (22-25),4/1/24,0.935175415,Customer support agents
Early Career 1 (22-25),5/1/24,0.929899763,Customer support agents
Early Career 1 (22-25),6/1/24,0.928185175,Customer support agents
Early Career 1 (22-25),7/1/24,0.92462411,Customer support agents
Early Career 1 (22-25),8/1/24,0.931878132,Customer support agents
Early Career 1 (22-25),9/1/24,0.913083619,Customer support agents
Early Career 1 (22-25),10/1/24,0.911039304,Customer support agents
Early Career 1 (22-25),11/1/24,0.920469533,Customer support agents
Early Career 1 (22-25),12/1/24,0.910379847,Customer support agents
Early Career 1 (22-25),1/1/25,0.900487998,Customer support agents
Early Career 1 (22-25),2/1/25,0.899366922,Customer support agents
Early Career 1 (22-25),3/1/25,0.892442627,Customer support agents
Early Career 1 (22-25),4/1/25,0.890662094,Customer support agents
Early Career 1 (22-25),5/1/25,0.899037193,Customer support agents
Early Career 1 (22-25),6/1/25,0.88617779,Customer support agents
Early Career 1 (22-25),7/1/25,0.885452387,Customer support agents
Early Career 1 (22-25),8/1/25,0.881891322,Customer support agents
Early Career 1 (22-25),9/1/25,0.877736745,Customer support agents
Early Career 1 (22-25),10/1/25,0.883078343,Customer support agents
Early Career 1 (22-25),11/1/25,0.885386442,Customer support agents
Early Career 1 (22-25),12/1/25,0.881891322,Customer support agents
Early Career 2 (26-30),1/1/21,0.901904189,Customer support agents
Early Career 2 (26-30),2/1/21,0.908077771,Customer support agents
Early Career 2 (26-30),3/1/21,0.910202445,Customer support agents
Early Career 2 (26-30),4/1/21,0.922549609,Customer support agents
Early Career 2 (26-30),5/1/21,0.905953097,Customer support agents
Early Career 2 (26-30),6/1/21,0.897374223,Customer support agents
Early Career 2 (26-30),7/1/21,0.898296252,Customer support agents
Early Career 2 (26-30),8/1/21,0.902345159,Customer support agents
Early Career 2 (26-30),9/1/21,0.906193626,Customer support agents
Early Career 2 (26-30),10/1/21,0.930487072,Customer support agents
Early Career 2 (26-30),11/1/21,0.938825416,Customer support agents
